gml_id,local_id,year,raw_begin,current_use,n_dwellings,n_units,n_floors,condition,n_floors_nil_reason
ES.SDGC.BU.0087923VK4708E,0087923VK4708E,1945.0,1945-01-01T00:00:00,1_residential,24,24,,functional,other:unpopulated
ES.SDGC.BU.0087924VK4708E,0087924VK4708E,1965.0,1965-01-01T00:00:00,3_industrial,0,1,,functional,other:unpopulated
ES.SDGC.BU.0087925VK4708E,0087925VK4708E,1981.0,1981-01-01T00:00:00,1_residential,14,20,,functional,other:unpopulated
ES.SDGC.BU.0087926VK4708E,0087926VK4708E,1955.0,1955-01-01T00:00:00,1_residential,9,10,,functional,other:unpopulated
ES.SDGC.BU.0087931VK4708E,0087931VK4708E,1999.0,1999-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087932VK4708E,0087932VK4708E,1968.0,1968-01-01T00:00:00,3_industrial,0,1,,functional,other:unpopulated
ES.SDGC.BU.0087946VK4708E,0087946VK4708E,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087949VK4708E,0087949VK4708E,1965.0,1965-01-01T00:00:00,4_1_office,0,1,,functional,other:unpopulated
ES.SDGC.BU.0087950VK4708E,0087950VK4708E,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087951VK4708E,0087951VK4708E,1960.0,1960-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087952VK4708E,0087952VK4708E,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087953VK4708E,0087953VK4708E,1960.0,1960-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087955VK4708E,0087955VK4708E,1955.0,1955-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087956VK4708E,0087956VK4708E,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087957VK4708E,0087957VK4708E,1945.0,1945-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087958VK4708E,0087958VK4708E,1960.0,1960-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087975VK4708E,0087975VK4708E,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087976VK4708E,0087976VK4708E,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087977VK4708E,0087977VK4708E,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.9987418VK3798H,9987418VK3798H,1960.0,1960-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.9987419VK3798H,9987419VK3798H,1925.0,1925-01-01T00:00:00,4_2_retail,0,1,,functional,other:unpopulated
ES.SDGC.BU.9987420VK3798H,9987420VK3798H,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.9987421VK3798H,9987421VK3798H,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.9987422VK3798H,9987422VK3798H,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.9987423VK3798H,9987423VK3798H,1987.0,1987-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.9987424VK3798H,9987424VK3798H,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.9987425VK3798H,9987425VK3798H,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.9987426VK3798H,9987426VK3798H,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.9987427VK3798H,9987427VK3798H,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087912VK4708E,0087912VK4708E,1955.0,1955-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087913VK4708E,0087913VK4708E,1920.0,1920-01-01T00:00:00,1_residential,14,14,,functional,other:unpopulated
ES.SDGC.BU.0087914VK4708E,0087914VK4708E,1930.0,1930-01-01T00:00:00,1_residential,16,16,,functional,other:unpopulated
ES.SDGC.BU.0087915VK4708E,0087915VK4708E,1930.0,1930-01-01T00:00:00,1_residential,25,27,,functional,other:unpopulated
ES.SDGC.BU.0087916VK4708E,0087916VK4708E,1933.0,1933-01-01T00:00:00,1_residential,28,30,,functional,other:unpopulated
ES.SDGC.BU.0087917VK4708E,0087917VK4708E,1932.0,1932-01-01T00:00:00,1_residential,25,27,,functional,other:unpopulated
ES.SDGC.BU.0087918VK4708E,0087918VK4708E,1930.0,1930-01-01T00:00:00,1_residential,22,22,,functional,other:unpopulated
ES.SDGC.BU.0087973VK4708E,0087973VK4708E,2002.0,2002-01-01T00:00:00,1_residential,7,17,,functional,other:unpopulated
ES.SDGC.BU.0185501VK4708E,0185501VK4708E,1970.0,1970-01-01T00:00:00,1_residential,11,15,,functional,other:unpopulated
ES.SDGC.BU.0185502VK4708E,0185502VK4708E,1955.0,1955-01-01T00:00:00,1_residential,6,7,,functional,other:unpopulated
ES.SDGC.BU.0185525VK4708E,0185525VK4708E,2008.0,2008-01-01T00:00:00,1_residential,2,3,,functional,other:unpopulated
ES.SDGC.BU.0187803VK4708E,0187803VK4708E,1951.0,1951-01-01T00:00:00,1_residential,4,5,,functional,other:unpopulated
ES.SDGC.BU.0187804VK4708E,0187804VK4708E,2004.0,2004-01-01T00:00:00,1_residential,10,20,,functional,other:unpopulated
ES.SDGC.BU.0187805VK4708E,0187805VK4708E,1950.0,1950-01-01T00:00:00,1_residential,15,16,,functional,other:unpopulated
ES.SDGC.BU.0187806VK4708E,0187806VK4708E,1960.0,1960-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0187807VK4708E,0187807VK4708E,1951.0,1951-01-01T00:00:00,1_residential,19,19,,functional,other:unpopulated
ES.SDGC.BU.0187808VK4708E,0187808VK4708E,1950.0,1950-01-01T00:00:00,1_residential,20,22,,functional,other:unpopulated
ES.SDGC.BU.0187809VK4708E,0187809VK4708E,1999.0,1999-01-01T00:00:00,1_residential,15,37,,functional,other:unpopulated
ES.SDGC.BU.0187904VK4708G,0187904VK4708G,1980.0,1980-01-01T00:00:00,1_residential,43,45,,functional,other:unpopulated
ES.SDGC.BU.0187905VK4708G,0187905VK4708G,1945.0,1945-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0187906VK4708G,0187906VK4708G,1983.0,1983-01-01T00:00:00,1_residential,12,18,,functional,other:unpopulated
ES.SDGC.BU.0187907VK4708G,0187907VK4708G,1965.0,1965-01-01T00:00:00,1_residential,20,23,,functional,other:unpopulated
ES.SDGC.BU.0187908VK4708G,0187908VK4708G,1955.0,1955-01-01T00:00:00,1_residential,10,54,,functional,other:unpopulated
ES.SDGC.BU.0187909VK4708G,0187909VK4708G,1945.0,1945-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0187910VK4708G,0187910VK4708G,1950.0,1950-01-01T00:00:00,1_residential,13,14,,functional,other:unpopulated
ES.SDGC.BU.0187911VK4708G,0187911VK4708G,1950.0,1950-01-01T00:00:00,1_residential,7,8,,functional,other:unpopulated
ES.SDGC.BU.0187912VK4708G,0187912VK4708G,1925.0,1925-01-01T00:00:00,1_residential,9,9,,functional,other:unpopulated
ES.SDGC.BU.0187913VK4708G,0187913VK4708G,2022.0,2022-01-01T00:00:00,1_residential,9,18,,functional,other:unpopulated
ES.SDGC.BU.0286301VK4708E,0286301VK4708E,1950.0,1950-01-01T00:00:00,1_residential,13,15,,functional,other:unpopulated
ES.SDGC.BU.0286303VK4708E,0286303VK4708E,1980.0,1980-01-01T00:00:00,1_residential,33,35,,functional,other:unpopulated
ES.SDGC.BU.0286304VK4708E,0286304VK4708E,1997.0,1997-01-01T00:00:00,1_residential,26,46,,functional,other:unpopulated
ES.SDGC.BU.0286305VK4708E,0286305VK4708E,1970.0,1970-01-01T00:00:00,1_residential,5,7,,functional,other:unpopulated
ES.SDGC.BU.0286306VK4708E,0286306VK4708E,2003.0,2003-01-01T00:00:00,1_residential,30,38,,functional,other:unpopulated
ES.SDGC.BU.0286307VK4708E,0286307VK4708E,1981.0,1981-01-01T00:00:00,1_residential,24,25,,functional,other:unpopulated
ES.SDGC.BU.0286308VK4708E,0286308VK4708E,1965.0,1965-01-01T00:00:00,1_residential,14,16,,functional,other:unpopulated
ES.SDGC.BU.0286309VK4708E,0286309VK4708E,1960.0,1960-01-01T00:00:00,1_residential,25,26,,functional,other:unpopulated
ES.SDGC.BU.0286310VK4708E,0286310VK4708E,1935.0,1935-01-01T00:00:00,1_residential,32,34,,functional,other:unpopulated
ES.SDGC.BU.0286311VK4708E,0286311VK4708E,1953.0,1953-01-01T00:00:00,1_residential,10,12,,functional,other:unpopulated
ES.SDGC.BU.0286312VK4708E,0286312VK4708E,1950.0,1950-01-01T00:00:00,1_residential,10,11,,functional,other:unpopulated
ES.SDGC.BU.0286809VK4708E,0286809VK4708E,1950.0,1950-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0286810VK4708E,0286810VK4708E,1975.0,1975-01-01T00:00:00,1_residential,9,11,,functional,other:unpopulated
ES.SDGC.BU.0386531VK4708E,0386531VK4708E,2006.0,2006-01-01T00:00:00,1_residential,22,24,,functional,other:unpopulated
ES.SDGC.BU.0386532VK4708E,0386532VK4708E,1965.0,1965-01-01T00:00:00,1_residential,56,58,,functional,other:unpopulated
ES.SDGC.BU.0286804VK4708E,0286804VK4708E,1978.0,1978-01-01T00:00:00,1_residential,24,25,,functional,other:unpopulated
ES.SDGC.BU.0286813VK4708E,0286813VK4708E,2002.0,2002-01-01T00:00:00,1_residential,23,49,,functional,other:unpopulated
ES.SDGC.BU.0386520VK4708E,0386520VK4708E,1970.0,1970-01-01T00:00:00,1_residential,53,54,,functional,other:unpopulated
ES.SDGC.BU.0386529VK4708E,0386529VK4708E,1969.0,1969-01-01T00:00:00,1_residential,34,36,,functional,other:unpopulated
ES.SDGC.BU.0386530VK4708E,0386530VK4708E,1957.0,1957-01-01T00:00:00,1_residential,22,23,,functional,other:unpopulated
ES.SDGC.BU.0386533VK4708E,0386533VK4708E,2000.0,2000-01-01T00:00:00,1_residential,18,64,,functional,other:unpopulated
ES.SDGC.BU.0386539VK4708E,0386539VK4708E,1926.0,1926-01-01T00:00:00,1_residential,0,823,,functional,other:unpopulated
ES.SDGC.BU.0386540VK4708E,0386540VK4708E,2007.0,2007-01-01T00:00:00,4_3_publicServices,0,1,,functional,other:unpopulated
ES.SDGC.BU.0486501VK4708E,0486501VK4708E,1965.0,1965-01-01T00:00:00,1_residential,8,12,,functional,other:unpopulated
ES.SDGC.BU.0486503VK4708E,0486503VK4708E,1930.0,1930-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0486504VK4708E,0486504VK4708E,1920.0,1920-01-01T00:00:00,1_residential,39,41,,functional,other:unpopulated
ES.SDGC.BU.0486505VK4708E,0486505VK4708E,1960.0,1960-01-01T00:00:00,3_industrial,0,1,,functional,other:unpopulated
ES.SDGC.BU.0486507VK4708E,0486507VK4708E,1994.0,1994-01-01T00:00:00,1_residential,29,57,,functional,other:unpopulated
ES.SDGC.BU.0486508VK4708E,0486508VK4708E,1973.0,1973-01-01T00:00:00,1_residential,27,28,,functional,other:unpopulated
ES.SDGC.BU.0486509VK4708E,0486509VK4708E,1990.0,1990-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0486510VK4708E,0486510VK4708E,1990.0,1990-01-01T00:00:00,1_residential,6,14,,functional,other:unpopulated
ES.SDGC.BU.0486511VK4708E,0486511VK4708E,1925.0,1925-01-01T00:00:00,1_residential,6,10,,functional,other:unpopulated
ES.SDGC.BU.0486512VK4708E,0486512VK4708E,1925.0,1925-01-01T00:00:00,1_residential,46,49,,functional,other:unpopulated
ES.SDGC.BU.0486513VK4708E,0486513VK4708E,1920.0,1920-01-01T00:00:00,1_residential,20,25,,functional,other:unpopulated
ES.SDGC.BU.0487312VK4708G,0487312VK4708G,1920.0,1920-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0487313VK4708G,0487313VK4708G,1960.0,1960-01-01T00:00:00,1_residential,34,35,,functional,other:unpopulated
ES.SDGC.BU.0586501VK4708F,0586501VK4708F,1968.0,1968-01-01T00:00:00,1_residential,40,43,,functional,other:unpopulated
ES.SDGC.BU.0586502VK4708F,0586502VK4708F,1970.0,1970-01-01T00:00:00,3_industrial,0,15,,functional,other:unpopulated
ES.SDGC.BU.0586508VK4708F,0586508VK4708F,1925.0,1925-01-01T00:00:00,1_residential,12,14,,functional,other:unpopulated
ES.SDGC.BU.0586509VK4708F,0586509VK4708F,1925.0,1925-01-01T00:00:00,1_residential,16,18,,functional,other:unpopulated
ES.SDGC.BU.0586510VK4708F,0586510VK4708F,2024.0,2024-01-01T00:00:00,1_residential,40,80,,functional,other:unpopulated
ES.SDGC.BU.0587308VK4708G,0587308VK4708G,1925.0,1925-01-01T00:00:00,1_residential,39,43,,functional,other:unpopulated
ES.SDGC.BU.0587309VK4708G,0587309VK4708G,1965.0,1965-01-01T00:00:00,1_residential,32,37,,functional,other:unpopulated
ES.SDGC.BU.0587310VK4708G,0587310VK4708G,1999.0,1999-01-01T00:00:00,1_residential,6,103,,functional,other:unpopulated
ES.SDGC.BU.0587311VK4708G,0587311VK4708G,1920.0,1920-01-01T00:00:00,1_residential,12,14,,functional,other:unpopulated
ES.SDGC.BU.0587601VK4708F,0587601VK4708F,1965.0,1965-01-01T00:00:00,1_residential,113,127,,functional,other:unpopulated
ES.SDGC.BU.0587602VK4708F,0587602VK4708F,1979.0,1979-01-01T00:00:00,1_residential,48,169,,functional,other:unpopulated
ES.SDGC.BU.0685301VK4708F,0685301VK4708F,1920.0,1920-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0685302VK4708F,0685302VK4708F,1940.0,1940-01-01T00:00:00,3_industrial,0,1,,functional,other:unpopulated
ES.SDGC.BU.0685303VK4708F,0685303VK4708F,1944.0,1944-01-01T00:00:00,1_residential,1,2,,functional,other:unpopulated
ES.SDGC.BU.0685304VK4708F,0685304VK4708F,1958.0,1958-01-01T00:00:00,1_residential,4,5,,functional,other:unpopulated
ES.SDGC.BU.0686601VK4708F,0686601VK4708F,1965.0,1965-01-01T00:00:00,4_2_retail,0,1,,functional,other:unpopulated
ES.SDGC.BU.0686602VK4708F,0686602VK4708F,1983.0,1983-01-01T00:00:00,3_industrial,0,1,,functional,other:unpopulated
ES.SDGC.BU.0686603VK4708F,0686603VK4708F,2019.0,2019-01-01T00:00:00,1_residential,22,62,,functional,other:unpopulated
ES.SDGC.BU.0686604VK4708F,0686604VK4708F,1920.0,1920-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0686605VK4708F,0686605VK4708F,1927.0,1927-01-01T00:00:00,1_residential,7,7,,functional,other:unpopulated
ES.SDGC.BU.0686606VK4708F,0686606VK4708F,1960.0,1960-01-01T00:00:00,4_1_office,0,1,,functional,other:unpopulated
ES.SDGC.BU.0686607VK4708F,0686607VK4708F,1982.0,1982-01-01T00:00:00,4_1_office,0,1,,functional,other:unpopulated
ES.SDGC.BU.0686608VK4708F,0686608VK4708F,1969.0,1969-01-01T00:00:00,4_2_retail,0,1,,functional,other:unpopulated
ES.SDGC.BU.0687701VK4708F,0687701VK4708F,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0687702VK4708F,0687702VK4708F,1930.0,1930-01-01T00:00:00,1_residential,24,25,,functional,other:unpopulated
ES.SDGC.BU.0687703VK4708F,0687703VK4708F,2000.0,2000-01-01T00:00:00,1_residential,12,31,,functional,other:unpopulated
ES.SDGC.BU.0687704VK4708F,0687704VK4708F,1960.0,1960-01-01T00:00:00,4_2_retail,0,1,,functional,other:unpopulated
ES.SDGC.BU.0687705VK4708F,0687705VK4708F,1935.0,1935-01-01T00:00:00,1_residential,6,8,,functional,other:unpopulated
ES.SDGC.BU.0687706VK4708F,0687706VK4708F,1930.0,1930-01-01T00:00:00,1_residential,8,11,,functional,other:unpopulated
ES.SDGC.BU.0687707VK4708F,0687707VK4708F,1910.0,1910-01-01T00:00:00,1_residential,7,7,,functional,other:unpopulated
ES.SDGC.BU.0687708VK4708F,0687708VK4708F,1960.0,1960-01-01T00:00:00,3_industrial,0,1,,functional,other:unpopulated
ES.SDGC.BU.0687709VK4708F,0687709VK4708F,2000.0,2000-01-01T00:00:00,1_residential,8,9,,functional,other:unpopulated
ES.SDGC.BU.0687710VK4708F,0687710VK4708F,1999.0,1999-01-01T00:00:00,1_residential,4,10,,functional,other:unpopulated
ES.SDGC.BU.0687712VK4708F,0687712VK4708F,1957.0,1957-01-01T00:00:00,1_residential,6,7,,functional,other:unpopulated
ES.SDGC.BU.0687715VK4708F,0687715VK4708F,1920.0,1920-01-01T00:00:00,4_3_publicServices,0,1,,functional,other:unpopulated
ES.SDGC.BU.0687716VK4708F,0687716VK4708F,2017.0,2017-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0687717VK4708F,0687717VK4708F,2022.0,2022-01-01T00:00:00,1_residential,8,16,,functional,other:unpopulated
ES.SDGC.BU.0786501VK4708F,0786501VK4708F,1960.0,1960-01-01T00:00:00,4_3_publicServices,0,1,,functional,other:unpopulated
ES.SDGC.BU.0786509VK4708F,0786509VK4708F,1926.0,1926-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0786510VK4708F,0786510VK4708F,1945.0,1945-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0786511VK4708F,0786511VK4708F,1950.0,1950-01-01T00:00:00,3_industrial,0,1,,functional,other:unpopulated
ES.SDGC.BU.0786512VK4708F,0786512VK4708F,1927.0,1927-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0786513VK4708F,0786513VK4708F,2003.0,2003-01-01T00:00:00,1_residential,9,17,,functional,other:unpopulated
ES.SDGC.BU.0786514VK4708F,0786514VK4708F,1962.0,1962-01-01T00:00:00,4_1_office,0,2,,functional,other:unpopulated
ES.SDGC.BU.0786701VK4708F,0786701VK4708F,1992.0,1992-01-01T00:00:00,4_1_office,0,173,,functional,other:unpopulated
ES.SDGC.BU.0787303VK4708H,0787303VK4708H,1935.0,1935-01-01T00:00:00,1_residential,25,29,,functional,other:unpopulated
ES.SDGC.BU.0887313VK4708H,0887313VK4708H,1950.0,1950-01-01T00:00:00,4_3_publicServices,0,1,,functional,other:unpopulated
ES.SDGC.BU.0887314VK4708H,0887314VK4708H,1999.0,1999-01-01T00:00:00,1_residential,30,66,,functional,other:unpopulated
ES.SDGC.BU.0786502VK4708F,0786502VK4708F,2007.0,2007-01-01T00:00:00,1_residential,8,15,,functional,other:unpopulated
ES.SDGC.BU.0786503VK4708F,0786503VK4708F,1999.0,1999-01-01T00:00:00,4_1_office,0,1,,functional,other:unpopulated
ES.SDGC.BU.0786504VK4708F,0786504VK4708F,1950.0,1950-01-01T00:00:00,3_industrial,0,3,,functional,other:unpopulated
ES.SDGC.BU.0786505VK4708F,0786505VK4708F,1945.0,1945-01-01T00:00:00,3_industrial,0,1,,functional,other:unpopulated
ES.SDGC.BU.0786506VK4708F,0786506VK4708F,1974.0,1974-01-01T00:00:00,1_residential,18,21,,functional,other:unpopulated
ES.SDGC.BU.0786507VK4708F,0786507VK4708F,1993.0,1993-01-01T00:00:00,4_1_office,0,248,,functional,other:unpopulated
ES.SDGC.BU.0786508VK4708F,0786508VK4708F,1997.0,1997-01-01T00:00:00,4_1_office,0,1,,functional,other:unpopulated
ES.SDGC.BU.0786702VK4708F,0786702VK4708F,1990.0,1990-01-01T00:00:00,4_1_office,0,18,,functional,other:unpopulated
ES.SDGC.BU.0786705VK4708F,0786705VK4708F,1965.0,1965-01-01T00:00:00,1_residential,37,42,,functional,other:unpopulated
ES.SDGC.BU.0786706VK4708F,0786706VK4708F,1965.0,1965-01-01T00:00:00,1_residential,23,25,,functional,other:unpopulated
ES.SDGC.BU.0886506VK4708F,0886506VK4708F,1959.0,1959-01-01T00:00:00,1_residential,227,233,,functional,other:unpopulated
ES.SDGC.BU.0887306VK4708H,0887306VK4708H,1992.0,1992-01-01T00:00:00,4_3_publicServices,0,1,,functional,other:unpopulated
ES.SDGC.BU.0887307VK4708H,0887307VK4708H,1960.0,1960-01-01T00:00:00,1_residential,12,15,,functional,other:unpopulated
ES.SDGC.BU.0887308VK4708H,0887308VK4708H,1998.0,1998-01-01T00:00:00,4_1_office,0,30,,functional,other:unpopulated
ES.SDGC.BU.0887309VK4708H,0887309VK4708H,1960.0,1960-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0887310VK4708H,0887310VK4708H,1976.0,1976-01-01T00:00:00,4_3_publicServices,0,1,,functional,other:unpopulated
ES.SDGC.BU.0887311VK4708H,0887311VK4708H,1995.0,1995-01-01T00:00:00,3_industrial,0,1,,functional,other:unpopulated
ES.SDGC.BU.0887312VK4708H,0887312VK4708H,1993.0,1993-01-01T00:00:00,3_industrial,0,1,,functional,other:unpopulated
ES.SDGC.BU.9889801VK3798H,9889801VK3798H,1995.0,1995-01-01T00:00:00,1_residential,0,2,,functional,other:unpopulated
ES.SDGC.BU.9889802VK3798H,9889802VK3798H,1995.0,1995-01-01T00:00:00,1_residential,33,66,,functional,other:unpopulated
ES.SDGC.BU.9889803VK3798H,9889803VK3798H,1977.0,1977-01-01T00:00:00,1_residential,20,23,,functional,other:unpopulated
ES.SDGC.BU.9889804VK3798H,9889804VK3798H,1977.0,1977-01-01T00:00:00,1_residential,17,18,,functional,other:unpopulated
ES.SDGC.BU.9889805VK3798H,9889805VK3798H,1992.0,1992-01-01T00:00:00,4_1_office,0,9,,functional,other:unpopulated
ES.SDGC.BU.9889806VK3798H,9889806VK3798H,1977.0,1977-01-01T00:00:00,4_3_publicServices,0,1,,functional,other:unpopulated
ES.SDGC.BU.9889809VK3798H,9889809VK3798H,2006.0,2006-01-01T00:00:00,4_3_publicServices,0,2,,functional,other:unpopulated
ES.SDGC.BU.9889812VK3798H,9889812VK3798H,,,,0,0,,,other:unpopulated
ES.SDGC.BU.9889813VK3798H,9889813VK3798H,,,,0,0,,,other:unpopulated
ES.SDGC.BU.9987430VK3798H,9987430VK3798H,1982.0,1982-01-01T00:00:00,1_residential,14,15,,functional,other:unpopulated
ES.SDGC.BU.9987432VK3798H,9987432VK3798H,1976.0,1976-01-01T00:00:00,1_residential,27,27,,functional,other:unpopulated
ES.SDGC.BU.9987433VK3798H,9987433VK3798H,1978.0,1978-01-01T00:00:00,1_residential,27,54,,functional,other:unpopulated
ES.SDGC.BU.9987435VK3798H,9987435VK3798H,1975.0,1975-01-01T00:00:00,1_residential,43,79,,functional,other:unpopulated
ES.SDGC.BU.0087901VK4708E,0087901VK4708E,1973.0,1973-01-01T00:00:00,1_residential,41,47,,functional,other:unpopulated
ES.SDGC.BU.0087902VK4708E,0087902VK4708E,1973.0,1973-01-01T00:00:00,1_residential,66,75,,functional,other:unpopulated
ES.SDGC.BU.0087903VK4708E,0087903VK4708E,1951.0,1951-01-01T00:00:00,1_residential,21,23,,functional,other:unpopulated
ES.SDGC.BU.0087907VK4708E,0087907VK4708E,1991.0,1991-01-01T00:00:00,1_residential,6,9,,functional,other:unpopulated
ES.SDGC.BU.0087959VK4708E,0087959VK4708E,1960.0,1960-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087960VK4708E,0087960VK4708E,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087961VK4708E,0087961VK4708E,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087962VK4708E,0087962VK4708E,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087963VK4708E,0087963VK4708E,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087964VK4708E,0087964VK4708E,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087965VK4708E,0087965VK4708E,1925.0,1925-01-01T00:00:00,1_residential,1,1,,functional,other:unpopulated
ES.SDGC.BU.0087966VK4708E,0087966VK4708E,1950.0,1950-01-01T00:00:00,1_residential,2,2,,functional,other:unpopulated
