osm_id,certificateNumber,registrationDate,construction_year,source_key
way/298850489,0005-3835-7592-9597-2985,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8107-7639-0590-9345-3996,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8305-3650-1339-9697-8973,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0803-3835-7694-9697-0321,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,9258-4063-7369-0137-6930,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8947-7939-0220-4345-3996,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0003-3835-7591-9797-0585,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8157-7739-0830-8335-5992,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,9258-2023-7399-0137-9974,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0001-3835-7992-9697-9391,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0802-3835-7990-9697-5335,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8804-4650-6339-3097-3973,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8301-8650-0339-5897-3973,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0202-3835-7593-9697-5245,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8204-0650-1339-9597-0973,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0805-3835-7099-9697-3801,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0601-3835-7595-9597-3925,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0009-3835-7194-9697-7815,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0509-3835-7895-9797-3515,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8506-3750-0339-0997-4973,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8306-9950-1339-9397-1973,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0707-3835-7994-9697-6835,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8157-7639-0910-5355-8992,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0404-3835-7090-9697-2945,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,9358-8028-7309-0137-6904,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8267-7639-0560-8325-2996,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8667-7639-0540-7345-2992,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,9558-1009-7319-0737-6990,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0704-3835-7597-9597-8981,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8903-7650-3339-5097-1973,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,9358-7095-7329-0637-7960,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,9658-2088-7389-0947-2954,2013-01-15,2010,/sap_building_parts[0]/construction_year
