osm_id,uprn,certificateNumber,registrationDate,currentEnergyEfficiencyBand,postcode,schemaType,http_status,cert_http_status,age_band,year_key_used,property_type,built_form,floor_area_m2
way/154194221,000006027674,0188-1051-6286-6321-5044,2009-06-08,D,E1 3NU,SAP-Schema-13.0,200,200,A,/sap_building_parts[0]/construction_age_band,3,6,39.4
way/154194221,000006027675,6509-7629-2009-0012-0296,2021-11-13,D,E1 3NU,RdSAP-Schema-20.0.0,200,200,B,/sap_building_parts[0]/construction_age_band,3,4,70
way/154194221,000006027675,0438-5959-6279-9839-1934,2011-11-08,E,E1 3NU,SAP-Schema-15.0,200,200,B,/sap_building_parts[0]/construction_age_band,3,5,69
way/154194221,000006027676,0388-6913-6270-6881-4014,2009-10-08,F,E1 3NU,SAP-Schema-13.0,200,200,B,/sap_building_parts[0]/construction_age_band,3,2,66
way/154194221,000006027677,2687-0060-7203-6577-2200,2023-07-29,E,E1 3NU,RdSAP-Schema-20.0.0,200,200,G,/sap_building_parts[0]/construction_age_band,2,5,72
way/154194221,000006027677,8906-2001-8129-8597-9373,2013-07-10,D,E1 3NU,SAP-Schema-16.2,200,200,B,/sap_building_parts[0]/construction_age_band,2,3,80
way/154194221,000006027678,7639-1523-5000-0820-2276,2021-08-31,C,E1 3NU,RdSAP-Schema-20.0.0,200,200,B,/sap_building_parts[0]/construction_age_band,2,4,42
way/154194221,000006027678,2548-0000-6291-4751-2070,2009-09-24,E,E1 3NU,SAP-Schema-13.0,200,200,B,/sap_building_parts[0]/construction_age_band,2,3,39
way/154194221,000006027679,0056-0200-7409-2809-6704,2021-05-11,D,E1 3NU,RdSAP-Schema-20.0.0,200,200,A,/sap_building_parts[0]/construction_age_band,2,4,52
way/154194221,000006027679,9658-3065-7288-0102-9974,2012-08-17,E,E1 3NU,SAP-Schema-16.0,200,200,A,/sap_building_parts[0]/construction_age_band,2,4,59
way/396622959,000006027680,0360-2164-8030-2329-2825,2021-07-25,D,E1 3NE,RdSAP-Schema-20.0.0,200,200,B,/sap_building_parts[1]/construction_age_band,0,4,104
way/396622961,000006027681,,,,,,404,,,,,,
way/396619823,000006027682,,,,,,404,,,,,,
way/396595550,000006027684,,,,,,404,,,,,,
way/360924345,000006027790,2763-3037-4204-2434-4204,2024-04-27,C,E1 0NS,RdSAP-Schema-20.0.0,200,200,I,/sap_building_parts[0]/construction_age_band,0,3,133
way/360924345,000006027790,0858-8048-7222-1294-2930,2014-02-05,C,E1 0NS,SAP-Schema-16.3,200,200,I,/sap_building_parts[0]/construction_age_band,0,3,133
way/190837476,000006028980,8306-4814-7729-6026-5723,2012-03-29,D,E1 0HJ,SAP-Schema-15.0,200,200,B,/sap_building_parts[0]/construction_age_band,3,3,287
way/396591271,000006030774,8607-7621-1190-7186-5992,2013-09-16,E,E1 3NG,SAP-Schema-16.2,200,200,F,/sap_building_parts[0]/construction_age_band,0,3,89
way/1433576723,000006030775,,,,,,404,,,,,,
way/1433576726,000006030776,0129-2820-7440-9774-5861,2014-04-30,C,E1 3NG,SAP-Schema-16.3,200,200,K,/sap_building_parts[0]/sap_room_in_roof/construction_age_band,0,4,130
way/1433576727,000006030777,2030-2705-0020-7607-6021,2022-05-26,C,E1 3NG,RdSAP-Schema-20.0.0,200,200,F,/sap_building_parts[0]/construction_age_band,0,4,99
way/1433576727,000006030777,0558-2870-6950-9474-5845,2014-05-31,D,E1 3NG,SAP-Schema-16.3,200,200,D,/sap_building_parts[0]/construction_age_band,0,4,102
way/1433576727,000006030777,0738-5098-6202-5671-4084,2009-02-07,D,E1 3NG,SAP-Schema-12.0,200,200,F,/sap_building_parts[0]/construction_age_band,0,4,49.2
way/1433576728,000006030778,2918-5087-7264-6841-1904,2019-04-29,D,E1 3NG,RdSAP-Schema-18.0,200,200,C,/sap_building_parts[0]/construction_age_band,0,4,80
way/1433576729,000006030779,8038-6820-5629-6240-8022,2008-10-20,D,E1 3NG,SAP-Schema-12.0,200,200,F,/sap_building_parts[0]/construction_age_band,0,4,44.2
way/1433576730,000006030780,,,,,,404,,,,,,
way/1433576731,000006030781,,,,,,404,,,,,,
way/1433576732,000006030782,3739-3724-0000-0602-5226,2021-04-22,C,E1 3NG,RdSAP-Schema-20.0.0,200,200,G,/sap_building_parts[0]/construction_age_band,0,4,126
way/1433576732,000006030782,0275-2812-6391-9720-2751,2010-01-24,C,E1 3NG,SAP-Schema-14.0,200,200,K,/sap_building_parts[0]/sap_room_in_roof/construction_age_band,0,4,119
way/1433576733,000006030783,8206-2695-1829-3396-2243,2014-02-25,D,E1 3NG,SAP-Schema-16.3,200,200,E,/sap_building_parts[0]/construction_age_band,0,4,110
way/1433576733,000006030783,8206-7625-1829-2396-2203,2010-02-12,D,E1 3NG,SAP-Schema-14.0,200,200,G,/sap_building_parts[0]/construction_age_band,0,4,109
way/1433576733,000006030783,8206-9655-1820-9306-2713,2009-03-05,C,E1 3NG,SAP-Schema-12.0,200,200,G,/sap_building_parts[0]/construction_age_band,0,3,43.61
way/1433576724,000006030784,8163-7629-1439-4879-6996,2017-11-23,C,E1 3NG,RdSAP-Schema-18.0,200,200,I,/sap_building_parts[0]/construction_age_band,0,4,77
way/1433576724,000006030784,0614-2883-7493-9694-6641,2014-01-21,D,E1 3NG,SAP-Schema-16.2,200,200,E,/sap_building_parts[0]/construction_age_band,0,6,81
way/1433576725,000006030785,,,,,,404,,,,,,
way/396619814,000006030786,4132-9024-3100-0739-5206,2022-04-02,C,E1 3NG,RdSAP-Schema-20.0.0,200,200,L,/sap_building_parts[0]/sap_room_in_roof/construction_age_band,0,3,124
way/396619814,000006030786,8241-6327-5200-8965-2022,2009-03-28,C,E1 3NG,SAP-Schema-12.0,200,200,G,/sap_building_parts[0]/construction_age_band,0,3,52
way/396619815,000006030787,9481-3059-0202-9536-2200,2026-02-20,C,E1 3NG,RdSAP-Schema-21.0.1,200,200,F,/sap_building_parts[0]/construction_age_band,0,4,89
way/396619815,000006030787,0588-9019-6293-6651-9920,2019-07-25,C,E1 3NG,RdSAP-Schema-18.0,200,200,E,/sap_building_parts[0]/construction_age_band,0,4,88
way/396619815,000006030787,9298-9019-6298-6351-9020,2009-08-11,B,E1 3NG,SAP-Schema-13.0,200,200,J,/sap_building_parts[0]/construction_age_band,0,4,87
way/396619816,000006030788,2030-1706-0090-8608-4021,2021-06-24,C,E1 3NG,RdSAP-Schema-20.0.0,200,200,F,/sap_building_parts[0]/construction_age_band,0,4,83
way/396619816,000006030788,8029-6328-8390-7949-9992,2011-08-18,C,E1 3NG,SAP-Schema-15.0,200,200,G,/sap_building_parts[0]/construction_age_band,0,4,86
way/396619817,000006030789,7709-0652-3002-0021-0806,2022-09-23,C,E1 3NG,RdSAP-Schema-20.0.0,200,200,F,/sap_building_parts[0]/construction_age_band,0,3,87
way/396469818,000006030790,9145-2882-7504-9026-8185,2016-10-24,C,E1 3NG,RdSAP-Schema-17.0,200,200,F,/sap_building_parts[0]/construction_age_band,0,3,89
way/396469815,000006030791,,,,,,404,,,,,,
way/396469814,000006030792,7603-3945-5202-9124-3204,2024-12-31,C,E1 3NG,RdSAP-Schema-20.0.0,200,200,F,/sap_building_parts[0]/construction_age_band,0,4,90
way/396591273,000006030793,,,,,,404,,,,,,
way/396591273,000006030794,5434-3223-1400-0427-0226,2024-07-23,C,E1 3NG,RdSAP-Schema-20.0.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,3,61
way/396591273,000006030794,8901-1959-5829-1296-2623,2012-06-18,D,E1 3NG,SAP-Schema-16.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,3,55
way/396591273,000006030795,8251-6127-5830-2992-0092,2009-03-12,C,E1 3NG,SAP-Schema-12.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,1,46.76
way/396591273,000006030796,9800-2832-7396-9322-1991,2012-11-23,C,E1 3NG,SAP-Schema-16.1,200,200,F,/sap_building_parts[0]/construction_age_band,2,4,51
way/396591273,000006030797,8106-7072-6429-6307-2643,2014-06-03,D,E1 3NG,SAP-Schema-16.3,200,200,F,/sap_building_parts[0]/construction_age_band,2,4,52
way/396591273,000006030798,9146-3902-8202-2600-4204,2020-12-16,C,E1 3NG,RdSAP-Schema-20.0.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,4,51
way/396591273,000006030799,,,,,,404,,,,,,
way/396591273,000006030800,9290-2898-0522-1022-3203,2020-12-22,C,E1 3NG,RdSAP-Schema-20.0.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,4,52
way/396622952,000006030801,2216-3058-0209-5596-5200,2026-01-30,C,E1 3NG,RdSAP-Schema-21.0.1,200,200,E,/sap_building_parts[0]/construction_age_band,2,NR,52
way/396622952,000006030801,8005-5994-6329-5697-4463,2016-04-11,D,E1 3NG,RdSAP-Schema-17.0,200,200,E,/sap_building_parts[0]/construction_age_band,2,4,50
way/396622952,000006030802,,,,,,404,,,,,,
way/396622952,000006030803,8009-4211-7829-6407-6943,2014-01-09,D,E1 3NG,SAP-Schema-16.2,200,200,D,/sap_building_parts[0]/construction_age_band,2,4,53
way/396622952,000006030804,,,,,,404,,,,,,
way/396622953,000006030805,0080-2501-0650-2397-6075,2023-05-30,C,E1 3NG,RdSAP-Schema-20.0.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,4,50
way/396622953,000006030805,8601-6721-6880-4719-0026,2009-09-21,C,E1 3NG,SAP-Schema-13.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,1,50
way/396622953,000006030806,9634-4029-4300-0120-4226,2024-01-20,C,E1 3NG,RdSAP-Schema-20.0.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,4,52
way/396622953,000006030807,9348-0017-7295-6541-4944,2019-05-15,C,E1 3NG,RdSAP-Schema-18.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,4,50
way/396622953,000006030808,,,,,,404,,,,,,
way/396622954,000006030809,9340-2114-4200-2902-0045,2022-10-04,D,E1 3NG,RdSAP-Schema-20.0.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,4,52
way/396622954,000006030810,2048-6050-6259-9531-1990,2019-01-25,D,E1 3NG,RdSAP-Schema-18.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,3,51
way/396622954,000006030810,8099-2119-5329-8506-6993,2011-11-09,D,E1 3NG,SAP-Schema-15.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,,49
way/396622955,000006030811,8630-6228-7350-7984-4922,2010-08-24,D,E1 3NG,SAP-Schema-14.2,200,200,F,/sap_building_parts[0]/construction_age_band,2,1,55
way/396622955,000006030812,0484-2889-6881-9909-4091,2011-08-01,D,E1 3NG,SAP-Schema-15.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,,50
way/396622955,000006030813,0888-2849-6972-9799-7145,2011-03-11,C,E1 3NG,SAP-Schema-14.2,200,200,F,/sap_building_parts[0]/construction_age_band,2,1,50
way/396622955,000006030814,8502-7285-5629-5807-5283,2018-02-09,C,E1 3NG,RdSAP-Schema-18.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,4,52
way/396622955,000006030815,9586-3038-0205-4454-2200,2024-05-22,C,E1 3NG,RdSAP-Schema-20.0.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,4,50
way/396622955,000006030815,8392-6627-9290-9656-7922,2012-03-26,D,E1 3NG,SAP-Schema-15.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,,51
way/396622955,000006030816,9698-4004-7286-3078-2934,2018-06-14,C,E1 3NG,RdSAP-Schema-18.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,4,51
way/396622955,000006030816,0433-2870-7068-9275-3445,2015-07-01,C,E1 3NG,RdSAP-Schema-17.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,4,51
way/396622955,000006030817,0136-2851-7640-9105-2105,2015-04-10,D,E1 3NG,RdSAP-Schema-17.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,3,49
way/396622955,000006030818,9448-9074-7245-3265-0930,2015-05-14,C,E1 3NG,RdSAP-Schema-17.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,3,59
way/396622956,000006030819,0658-2896-6678-0291-4545,2009-03-16,C,E1 3NG,SAP-Schema-12.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,1,52.1
way/396622956,000006030820,9330-2726-6420-2194-4565,2024-12-16,C,E1 3NG,RdSAP-Schema-20.0.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,4,54
way/396622956,000006030820,8689-6223-8430-7810-0922,2011-07-20,C,E1 3NG,SAP-Schema-15.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,,53
way/396622956,000006030821,,,,,,404,,,,,,
way/396622956,000006030822,8904-7328-2130-2701-1926,2014-06-01,C,E1 3NG,SAP-Schema-16.3,200,200,F,/sap_building_parts[0]/construction_age_band,2,4,48
way/396622957,000006030823,2708-4045-6207-9662-4904,2012-03-20,C,E1 3NG,SAP-Schema-15.0,200,200,H,/sap_building_parts[0]/construction_age_band,2,,48
way/396622957,000006030824,,,,,,404,,,,,,
way/396622957,000006030825,6200-2960-0522-7121-3923,2022-01-27,C,E1 3NG,RdSAP-Schema-20.0.0,200,200,F,/sap_building_parts[0]/construction_age_band,2,3,54
way/396622957,000006030826,,,,,,404,,,,,,
way/396619810,000006030827,8254-7929-0129-4919-1922,2014-11-23,D,E1 3NQ,SAP-Schema-16.3,200,200,F,/sap_building_parts[0]/construction_age_band,0,3,89
way/396619810,000006030827,8104-0900-2929-0177-5543,2014-05-31,D,E1 3NQ,SAP-Schema-16.3,200,200,E,/sap_building_parts[0]/construction_age_band,0,3,100
way/1433131822,000006030828,0288-0200-0209-3508-6200,2021-08-26,D,E1 3NQ,RdSAP-Schema-20.0.0,200,200,E,/sap_building_parts[0]/construction_age_band,0,4,85
way/1433131822,000006030828,8940-6128-7700-3991-1992,2010-08-19,D,E1 3NQ,SAP-Schema-14.2,200,200,E,/sap_building_parts[0]/construction_age_band,0,4,88
way/1433131823,000006030829,8345-7927-3960-3449-1972,2015-03-31,C,E1 3NQ,RdSAP-Schema-17.0,200,200,F,/sap_building_parts[0]/construction_age_band,0,4,87
way/1433131824,000006030830,,,,,,404,,,,,,
way/1433131825,000006030831,8020-0693-0003-4090-0013,2020-11-05,C,E1 3NQ,RdSAP-Schema-20.0.0,200,200,K,/sap_building_parts[0]/sap_room_in_roof/construction_age_band,0,4,120
way/1433131826,000006030832,8869-6927-8710-3446-1992,2011-03-18,C,E1 3NQ,SAP-Schema-14.2,200,200,G,/sap_building_parts[0]/construction_age_band,0,3,87
