timestep,N,u_roof_w_m2k,total_thickness_m,layer_thickness_m,result,ctf_severe_present,verbatim_severe_line,verbatim_end_line,run_dir,elapsed_s
6,6,0.097,1.237113,0.206186,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  1.31sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts6_u0097_N6,1.49
6,7,0.097,1.237113,0.17673,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  1.37sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts6_u0097_N7,1.56
6,8,0.097,1.237113,0.154639,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  1.25sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts6_u0097_N8,1.43
6,9,0.097,1.237113,0.137457,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  1.33sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts6_u0097_N9,1.52
6,10,0.097,1.237113,0.123711,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  1.35sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts6_u0097_N10,1.53
4,1,0.138,0.869565,0.869565,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.09sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts4_u0138_N1,0.28
4,2,0.138,0.869565,0.434783,PASS,False,,EnergyPlus Completed Successfully-- 153181 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  5.12sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts4_u0138_N2,5.31
4,1,0.119,1.008403,1.008403,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.08sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts4_u0119_N1,0.27
4,2,0.119,1.008403,0.504202,PASS,False,,EnergyPlus Completed Successfully-- 153191 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  5.14sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts4_u0119_N2,5.32
4,3,0.119,1.008403,0.336134,PASS,False,,EnergyPlus Completed Successfully-- 153247 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  5.29sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts4_u0119_N3,5.48
4,1,0.105,1.142857,1.142857,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.09sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts4_u0105_N1,0.27
4,2,0.105,1.142857,0.571429,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.11sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts4_u0105_N2,0.3
4,3,0.105,1.142857,0.380952,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.22sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts4_u0105_N3,0.41
