osm_id,cell,u_roof,total_t,engaged,timestep_used,result,ctf_severe_present,verbatim_severe_line,end_line,annual_site_eui_kwh_m2,thermal_mass_false_eui_ref,pct_delta_vs_thermal_mass_false,run_dir,elapsed_s
way/772627005,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 166990 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  7.04sec,95.10833333333333,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627005,7.24
way/772627006,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 169802 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.01sec,90.79166666666667,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627006,7.2
way/772627008,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 160298 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  6.73sec,110.98055555555554,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627008,6.92
way/772627009,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 165683 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  6.79sec,97.93333333333334,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627009,6.97
way/772627010,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 161214 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  6.78sec,108.10277777777777,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627010,6.96
way/772627011,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 172206 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  6.98sec,86.55277777777776,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627011,7.16
way/772627012,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 161876 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  6.79sec,105.68611111111112,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627012,6.98
way/772627013,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 168796 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  6.85sec,92.975,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627013,7.03
way/772627015,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 169323 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  6.84sec,92.22777777777777,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627015,7.03
way/772627016,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 161166 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  7.00sec,108.23333333333332,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627016,7.18
way/772627017,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 169779 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  6.92sec,91.2,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627017,7.11
way/772627018,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 163054 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  6.77sec,102.95555555555555,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627018,6.96
way/772627020,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 173729 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  7.25sec,83.60277777777779,81.108,3.0758714032867096,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627020,7.44
way/772627021,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 175733 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.37sec,76.66944444444444,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627021,7.56
way/772627022,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 172020 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  7.13sec,87.05,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627022,7.37
