u_roof,timestep,total_t,engaged,t_mass,r_residual,result,ctf_severe_present,verbatim_severe_line,run_dir
0.233,2,0.515021,False,0.515021,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u021_0233_ts2
0.233,4,0.515021,False,0.515021,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u021_0233_ts4
0.233,6,0.515021,False,0.515021,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u021_0233_ts6
0.234,2,0.512821,False,0.512821,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u022_0234_ts2
0.234,4,0.512821,False,0.512821,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u022_0234_ts4
0.234,6,0.512821,False,0.512821,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u022_0234_ts6
0.237,2,0.506329,False,0.506329,-0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u023_0237_ts2
0.237,4,0.506329,False,0.506329,-0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u023_0237_ts4
0.237,6,0.506329,False,0.506329,-0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u023_0237_ts6
0.238,2,0.504202,False,0.504202,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u024_0238_ts2
0.238,4,0.504202,False,0.504202,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u024_0238_ts4
0.238,6,0.504202,False,0.504202,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u024_0238_ts6
0.242,2,0.495868,False,0.495868,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u025_0242_ts2
0.242,4,0.495868,False,0.495868,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u025_0242_ts4
0.242,6,0.495868,False,0.495868,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u025_0242_ts6
0.245,2,0.489796,False,0.489796,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u026_0245_ts2
0.245,4,0.489796,False,0.489796,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u026_0245_ts4
0.245,6,0.489796,False,0.489796,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u026_0245_ts6
0.252,2,0.47619,False,0.47619,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u027_0252_ts2
0.252,4,0.47619,False,0.47619,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u027_0252_ts4
0.252,6,0.47619,False,0.47619,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u027_0252_ts6
0.254,2,0.472441,False,0.472441,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u028_0254_ts2
0.254,4,0.472441,False,0.472441,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u028_0254_ts4
0.254,6,0.472441,False,0.472441,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u028_0254_ts6
0.261,2,0.45977,False,0.45977,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u029_0261_ts2
0.261,4,0.45977,False,0.45977,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u029_0261_ts4
0.261,6,0.45977,False,0.45977,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u029_0261_ts6
0.264,2,0.454545,False,0.454545,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u030_0264_ts2
0.264,4,0.454545,False,0.454545,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u030_0264_ts4
0.264,6,0.454545,False,0.454545,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u030_0264_ts6
0.273,2,0.43956,False,0.43956,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u031_0273_ts2
0.273,4,0.43956,False,0.43956,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u031_0273_ts4
0.273,6,0.43956,False,0.43956,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u031_0273_ts6
0.275,2,0.436364,False,0.436364,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u032_0275_ts2
0.275,4,0.436364,False,0.436364,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u032_0275_ts4
0.275,6,0.436364,False,0.436364,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u032_0275_ts6
0.279,2,0.430108,False,0.430108,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u033_0279_ts2
0.279,4,0.430108,False,0.430108,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u033_0279_ts4
0.279,6,0.430108,False,0.430108,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u033_0279_ts6
0.282,2,0.425532,False,0.425532,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u034_0282_ts2
0.282,4,0.425532,False,0.425532,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u034_0282_ts4
0.282,6,0.425532,False,0.425532,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u034_0282_ts6
0.288,2,0.416667,False,0.416667,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u035_0288_ts2
0.288,4,0.416667,False,0.416667,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u035_0288_ts4
0.288,6,0.416667,False,0.416667,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u035_0288_ts6
0.289,2,0.415225,False,0.415225,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u036_0289_ts2
0.289,4,0.415225,False,0.415225,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u036_0289_ts4
0.289,6,0.415225,False,0.415225,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u036_0289_ts6
0.291,2,0.412371,False,0.412371,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u037_0291_ts2
0.291,4,0.412371,False,0.412371,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u037_0291_ts4
0.291,6,0.412371,False,0.412371,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u037_0291_ts6
0.305,2,0.393443,False,0.393443,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u038_0305_ts2
0.305,4,0.393443,False,0.393443,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u038_0305_ts4
0.305,6,0.393443,False,0.393443,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u038_0305_ts6
0.332,2,0.361446,False,0.361446,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u039_0332_ts2
0.332,4,0.361446,False,0.361446,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u039_0332_ts4
0.332,6,0.361446,False,0.361446,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u039_0332_ts6
0.336,2,0.357143,False,0.357143,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u040_0336_ts2
0.336,4,0.357143,False,0.357143,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u040_0336_ts4
0.336,6,0.357143,False,0.357143,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u040_0336_ts6
0.35,2,0.342857,False,0.342857,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u041_035_ts2
0.35,4,0.342857,False,0.342857,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u041_035_ts4
0.35,6,0.342857,False,0.342857,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u041_035_ts6
0.354,2,0.338983,False,0.338983,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u042_0354_ts2
0.354,4,0.338983,False,0.338983,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u042_0354_ts4
0.354,6,0.338983,False,0.338983,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u042_0354_ts6
0.357,2,0.336134,False,0.336134,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u043_0357_ts2
0.357,4,0.336134,False,0.336134,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u043_0357_ts4
0.357,6,0.336134,False,0.336134,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u043_0357_ts6
0.369,2,0.325203,False,0.325203,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u044_0369_ts2
0.369,4,0.325203,False,0.325203,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u044_0369_ts4
0.369,6,0.325203,False,0.325203,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u044_0369_ts6
0.373,2,0.321716,False,0.321716,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u045_0373_ts2
0.373,4,0.321716,False,0.321716,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u045_0373_ts4
0.373,6,0.321716,False,0.321716,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u045_0373_ts6
0.432,2,0.277778,False,0.277778,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u046_0432_ts2
0.432,4,0.277778,False,0.277778,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u046_0432_ts4
0.432,6,0.277778,False,0.277778,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u046_0432_ts6
0.437,2,0.2746,False,0.2746,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u047_0437_ts2
0.437,4,0.2746,False,0.2746,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u047_0437_ts4
0.437,6,0.2746,False,0.2746,0.0,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f09_work\runs\f09_u047_0437_ts6
