building_id,eui_kwh_m2,geometry_outcome
BATIMENT0000000240879981_part0,67.3,dwelling layout (imputed)
BATIMENT0000000240879983_part0,65.48,geometry-limited massing box
BATIMENT0000000240879984_part0,100.74,dwelling layout (imputed)
BATIMENT0000000240879985_part0,87.13,dwelling layout (imputed)
BATIMENT0000000240879986_part0,69.1,geometry-limited massing box
BATIMENT0000000240879992_part0,62.08,geometry-limited massing box
BATIMENT0000000240879995_part0,31.69,geometry-limited massing box
BATIMENT0000000240879996_part0,32.74,dwelling layout (imputed)
BATIMENT0000000240880001_part0,39.42,geometry-limited massing box
BATIMENT0000000240880008_part0,65.22,geometry-limited massing box
BATIMENT0000000240880009_part0,64.33,dwelling layout (imputed)
BATIMENT0000000240880010_part0,121.51,dwelling layout (imputed)
BATIMENT0000000240880013_part0,125.05,dwelling layout (imputed)
BATIMENT0000000240880015_part0,29.96,geometry-limited massing box
BATIMENT0000000240880018_part0,83.76,dwelling layout (imputed)
BATIMENT0000000240880020_part0,66.78,dwelling layout (imputed)
BATIMENT0000000240880021_part0,70.0,dwelling layout (imputed)
BATIMENT0000000240880024_part0,55.0,dwelling layout (imputed)
BATIMENT0000000240880027_part0,103.06,dwelling layout (imputed)
BATIMENT0000000240880035_part0,66.61,dwelling layout (imputed)
BATIMENT0000000240880036_part0,72.64,dwelling layout (imputed)
BATIMENT0000000240880044_part0,45.05,geometry-limited massing box
BATIMENT0000000240880046_part0,53.8,dwelling layout (imputed)
BATIMENT0000000240880049_part0,320.29,dwelling layout (imputed)
BATIMENT0000000240880050_part0,318.66,dwelling layout (imputed)
BATIMENT0000000240880053_part0,50.92,dwelling layout (imputed)
BATIMENT0000000240880055_part0,176.66,dwelling layout (imputed)
BATIMENT0000000240880071_part0,299.81,dwelling layout (imputed)
BATIMENT0000000240880079_part0,96.25,dwelling layout (imputed)
BATIMENT0000000240880082_part0,244.21,dwelling layout (imputed)
BATIMENT0000000240880083_part0,167.35,dwelling layout (imputed)
BATIMENT0000000240880094_part0,230.42,dwelling layout (imputed)
BATIMENT0000000240880095_part0,49.6,dwelling layout (imputed)
BATIMENT0000000240880096_part0,52.5,dwelling layout (imputed)
BATIMENT0000000240880097_part0,63.12,dwelling layout (imputed)
BATIMENT0000000240880100_part0,49.54,geometry-limited massing box
BATIMENT0000000240880101_part0,66.12,dwelling layout (imputed)
BATIMENT0000000240880102_part0,52.52,dwelling layout (imputed)
BATIMENT0000000240880108_part0,55.28,dwelling layout (imputed)
BATIMENT0000000240880109_part0,49.69,dwelling layout (imputed)
BATIMENT0000000240880110_part0,96.86,dwelling layout (imputed)
BATIMENT0000000240880111_part0,61.7,dwelling layout (imputed)
BATIMENT0000000240880112_part0,41.11,dwelling layout (imputed)
BATIMENT0000000240880113_part0,72.47,dwelling layout (imputed)
BATIMENT0000000240880119_part0,60.48,dwelling layout (imputed)
BATIMENT0000000240880122_part0,62.5,dwelling layout (imputed)
BATIMENT0000000240880127_part0,68.19,dwelling layout (imputed)
BATIMENT0000000240880130_part0,67.77,geometry-limited massing box
BATIMENT0000000240880149_part0,375.91,dwelling layout (imputed)
BATIMENT0000000240880150_part0,76.16,dwelling layout (imputed)
BATIMENT0000000240880151_part0,230.24,dwelling layout (imputed)
BATIMENT0000000240880159_part0,33.99,dwelling layout (imputed)
BATIMENT0000000240880161_part0,69.19,dwelling layout (imputed)
BATIMENT0000000240880162_part0,44.1,dwelling layout (imputed)
BATIMENT0000000240880169_part0,240.64,dwelling layout (imputed)
BATIMENT0000000240880170_part0,307.06,dwelling layout (imputed)
BATIMENT0000000240880171_part0,48.78,dwelling layout (imputed)
BATIMENT0000000240880172_part0,316.44,dwelling layout (imputed)
BATIMENT0000000240880173_part0,99.72,dwelling layout (imputed)
BATIMENT0000000240880177_part0,51.49,dwelling layout (imputed)
BATIMENT0000000240880179_part0,83.48,dwelling layout (imputed)
BATIMENT0000000240880186_part0,48.24,geometry-limited massing box
BATIMENT0000000240880188_part0,52.38,dwelling layout (imputed)
BATIMENT0000000240880189_part0,201.64,dwelling layout (imputed)
BATIMENT0000000240880192_part0,66.88,geometry-limited massing box
BATIMENT0000000240880199_part0,59.05,dwelling layout (imputed)
BATIMENT0000000240880200_part0,59.35,dwelling layout (imputed)
BATIMENT0000000240880201_part0,61.51,geometry-limited massing box
BATIMENT0000000240880205_part0,52.17,geometry-limited massing box
BATIMENT0000000240880209_part0,68.31,dwelling layout (imputed)
BATIMENT0000000240880212_part0,112.42,dwelling layout (imputed)
BATIMENT0000000240880213_part0,60.53,geometry-limited massing box
BATIMENT0000000240880214_part0,216.54,dwelling layout (imputed)
BATIMENT0000000240880215_part0,58.18,dwelling layout (imputed)
BATIMENT0000000240880216_part0,51.36,dwelling layout (imputed)
BATIMENT0000000240880218_part0,193.22,dwelling layout (imputed)
BATIMENT0000000240880225_part0,72.5,dwelling layout (imputed)
BATIMENT0000000240880226_part0,208.83,dwelling layout (imputed)
BATIMENT0000000240880227_part0,51.17,dwelling layout (imputed)
BATIMENT0000000240880228_part0,88.08,dwelling layout (imputed)
BATIMENT0000000240880229_part0,44.82,dwelling layout (imputed)
BATIMENT0000000240880233_part0,73.79,dwelling layout (imputed)
BATIMENT0000000240880238_part0,75.58,dwelling layout (imputed)
BATIMENT0000000240880239_part0,53.6,dwelling layout (imputed)
BATIMENT0000000240880245_part0,87.62,geometry-limited massing box
BATIMENT0000000240880246_part0,74.17,geometry-limited massing box
BATIMENT0000000240880247_part0,53.16,dwelling layout (imputed)
BATIMENT0000000240880248_part0,43.56,dwelling layout (imputed)
BATIMENT0000000240880250_part0,47.93,dwelling layout (imputed)
BATIMENT0000000240880254_part0,60.7,geometry-limited massing box
BATIMENT0000000240880262_part0,131.5,dwelling layout (imputed)
BATIMENT0000000240880263_part0,50.54,dwelling layout (imputed)
BATIMENT0000000240880271_part0,76.99,dwelling layout (imputed)
BATIMENT0000000240880340_part0,59.03,geometry-limited massing box
BATIMENT0000000240880341_part0,75.35,dwelling layout (imputed)
BATIMENT0000000240880344_part0,189.04,dwelling layout (imputed)
BATIMENT0000000240880346_part0,61.47,geometry-limited massing box
BATIMENT0000000240880347_part0,66.16,geometry-limited massing box
BATIMENT0000000240880349_part0,66.21,dwelling layout (imputed)
BATIMENT0000000240880356_part0,71.83,dwelling layout (imputed)
BATIMENT0000000240880359_part0,26.63,geometry-limited massing box
BATIMENT0000000240880362_part0,45.98,dwelling layout (imputed)
BATIMENT0000000240880366_part0,57.49,dwelling layout (imputed)
BATIMENT0000000240880370_part0,55.63,geometry-limited massing box
BATIMENT0000000240880372_part0,54.19,geometry-limited massing box
BATIMENT0000000240880374_part0,60.54,geometry-limited massing box
BATIMENT0000000240880377_part0,58.6,geometry-limited massing box
BATIMENT0000000240880380_part0,58.73,geometry-limited massing box
BATIMENT0000000240880382_part0,48.11,dwelling layout (imputed)
BATIMENT0000000240880383_part0,53.09,geometry-limited massing box
BATIMENT0000000240880388_part0,57.5,geometry-limited massing box
BATIMENT0000000240880393_part0,52.37,dwelling layout (imputed)
BATIMENT0000000240880395_part0,61.85,dwelling layout (imputed)
BATIMENT0000000240880400_part0,60.37,geometry-limited massing box
BATIMENT0000000240880404_part0,53.29,geometry-limited massing box
BATIMENT0000000240880408_part0,54.69,geometry-limited massing box
BATIMENT0000000240880410_part0,60.66,geometry-limited massing box
BATIMENT0000000240880479_part0,57.44,geometry-limited massing box
BATIMENT0000000240880566_part0,64.99,dwelling layout (imputed)
BATIMENT0000000240880567_part0,40.77,dwelling layout (imputed)
BATIMENT0000000240880569_part0,59.46,geometry-limited massing box
BATIMENT0000000240880570_part0,88.44,dwelling layout (imputed)
BATIMENT0000000240880572_part0,81.81,dwelling layout (imputed)
BATIMENT0000000240880573_part0,56.68,dwelling layout (imputed)
BATIMENT0000000240880615_part0,67.25,dwelling layout (imputed)
BATIMENT0000000240880624_part0,82.12,dwelling layout (imputed)
BATIMENT0000000240880639_part0,70.55,dwelling layout (imputed)
BATIMENT0000000240880640_part0,42.57,dwelling layout (imputed)
BATIMENT0000000240881070_part0,54.46,dwelling layout (imputed)
BATIMENT0000000240881079_part0,53.2,dwelling layout (imputed)
BATIMENT0000000240881080_part0,52.95,dwelling layout (imputed)
BATIMENT0000000240881081_part0,59.32,dwelling layout (imputed)
BATIMENT0000000240881082_part0,53.13,dwelling layout (imputed)
BATIMENT0000000240881087_part0,52.49,dwelling layout (imputed)
BATIMENT0000000240881088_part0,69.93,dwelling layout (imputed)
BATIMENT0000000240881089_part0,82.12,dwelling layout (imputed)
BATIMENT0000000240881090_part0,60.3,dwelling layout (imputed)
BATIMENT0000000240881095_part0,90.4,dwelling layout (imputed)
BATIMENT0000000240881096_part0,55.41,geometry-limited massing box
BATIMENT0000000240881098_part0,64.78,geometry-limited massing box
BATIMENT0000000240881103_part0,70.86,geometry-limited massing box
BATIMENT0000000240881104_part0,44.93,dwelling layout (imputed)
BATIMENT0000000240881106_part0,44.98,geometry-limited massing box
BATIMENT0000000240881107_part0,46.9,geometry-limited massing box
BATIMENT0000000240881119_part0,60.55,geometry-limited massing box
BATIMENT0000000240881120_part0,64.42,geometry-limited massing box
BATIMENT0000000240881123_part0,60.47,geometry-limited massing box
BATIMENT0000000240881124_part0,66.58,geometry-limited massing box
BATIMENT0000000240881125_part0,63.2,geometry-limited massing box
BATIMENT0000000240881126_part0,60.24,geometry-limited massing box
BATIMENT0000000240881127_part0,66.13,geometry-limited massing box
BATIMENT0000000240881128_part0,62.53,geometry-limited massing box
BATIMENT0000000240881132_part0,61.15,geometry-limited massing box
BATIMENT0000000240881134_part0,61.84,dwelling layout (imputed)
BATIMENT0000000240881136_part0,47.57,geometry-limited massing box
BATIMENT0000000240881139_part0,63.23,geometry-limited massing box
BATIMENT0000000240881143_part0,74.9,dwelling layout (imputed)
BATIMENT0000000240881145_part0,63.14,geometry-limited massing box
BATIMENT0000000240881146_part0,61.55,geometry-limited massing box
BATIMENT0000000240881147_part0,61.85,geometry-limited massing box
BATIMENT0000000240881148_part0,62.34,geometry-limited massing box
BATIMENT0000000240881150_part0,61.1,dwelling layout (imputed)
BATIMENT0000000240881152_part0,61.09,dwelling layout (imputed)
BATIMENT0000000240881156_part0,60.04,geometry-limited massing box
BATIMENT0000000240881160_part0,139.67,dwelling layout (imputed)
BATIMENT0000000240881165_part0,61.4,geometry-limited massing box
BATIMENT0000000240881167_part0,72.41,dwelling layout (imputed)
BATIMENT0000000240881178_part0,74.31,geometry-limited massing box
BATIMENT0000000240881180_part0,84.19,dwelling layout (imputed)
BATIMENT0000000240881184_part0,73.22,dwelling layout (imputed)
BATIMENT0000000240881188_part0,145.46,dwelling layout (imputed)
BATIMENT0000000240881191_part0,63.1,dwelling layout (imputed)
BATIMENT0000000240881192_part0,70.12,geometry-limited massing box
BATIMENT0000000240881194_part0,63.24,geometry-limited massing box
BATIMENT0000000240881206_part0,64.82,geometry-limited massing box
BATIMENT0000000240881209_part0,59.85,geometry-limited massing box
BATIMENT0000000240881211_part0,61.71,geometry-limited massing box
BATIMENT0000000240881212_part0,185.01,dwelling layout (imputed)
BATIMENT0000000240881213_part0,75.36,dwelling layout (imputed)
BATIMENT0000000240881215_part0,83.49,dwelling layout (imputed)
BATIMENT0000000240881218_part0,61.41,geometry-limited massing box
BATIMENT0000000240881220_part0,62.38,geometry-limited massing box
BATIMENT0000000240881221_part0,66.47,geometry-limited massing box
BATIMENT0000000240881222_part0,58.25,geometry-limited massing box
BATIMENT0000000240881223_part0,60.8,dwelling layout (imputed)
BATIMENT0000000240881228_part0,62.81,geometry-limited massing box
BATIMENT0000000240881230_part0,63.04,geometry-limited massing box
BATIMENT0000000240881232_part0,66.64,geometry-limited massing box
BATIMENT0000000240881269_part0,49.67,dwelling layout (imputed)
BATIMENT0000000240881272_part0,75.53,dwelling layout (imputed)
BATIMENT0000000240881273_part0,58.28,geometry-limited massing box
BATIMENT0000000240881294_part0,66.13,geometry-limited massing box
BATIMENT0000000240881304_part0,41.45,dwelling layout (imputed)
BATIMENT0000000240881318_part0,61.95,geometry-limited massing box
BATIMENT0000000240881322_part0,69.96,geometry-limited massing box
BATIMENT0000000240881324_part0,66.32,geometry-limited massing box
BATIMENT0000000240881335_part0,85.52,dwelling layout (imputed)
BATIMENT0000000240881348_part0,42.15,geometry-limited massing box
BATIMENT0000000240881367_part0,70.9,geometry-limited massing box
BATIMENT0000000240881368_part0,52.8,dwelling layout (imputed)
BATIMENT0000000240881520_part0,69.78,geometry-limited massing box
BATIMENT0000000240881521_part0,106.68,dwelling layout (imputed)
BATIMENT0000000240881525_part0,62.21,dwelling layout (imputed)
BATIMENT0000000240881527_part0,66.15,dwelling layout (imputed)
BATIMENT0000000240881528_part0,61.75,dwelling layout (imputed)
BATIMENT0000000240881529_part0,97.43,dwelling layout (imputed)
BATIMENT0000000240881531_part0,106.38,dwelling layout (imputed)
BATIMENT0000000240881532_part0,47.84,dwelling layout (imputed)
BATIMENT0000000240881533_part0,203.86,dwelling layout (imputed)
BATIMENT0000000240881536_part0,54.82,dwelling layout (imputed)
BATIMENT0000000240881539_part0,75.62,dwelling layout (imputed)
BATIMENT0000000240881541_part0,219.54,dwelling layout (imputed)
BATIMENT0000000240881546_part0,80.15,dwelling layout (imputed)
BATIMENT0000000240881550_part0,46.66,dwelling layout (imputed)
BATIMENT0000000240881552_part0,126.22,dwelling layout (imputed)
BATIMENT0000000240881554_part0,58.44,dwelling layout (imputed)
BATIMENT0000000240881557_part0,45.17,dwelling layout (imputed)
BATIMENT0000000240882144_part0,47.34,geometry-limited massing box
BATIMENT0000000240883749_part0,38.0,dwelling layout (imputed)
BATIMENT0000000240883750_part0,45.28,dwelling layout (imputed)
BATIMENT0000000357175643_part0,137.03,dwelling layout (imputed)
BATIMENT0000000357175644_part0,32.35,dwelling layout (imputed)
