Date/Time,RELATION_12765478_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F5_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),Electricity:Facility [J](Annual),DistrictHeating:Facility [J](Annual),Heating:DistrictHeating [J](Annual),InteriorEquipment:Electricity [J](Annual),Electricity:Building [J](Annual) 
 01/05  08:00:00,26717925.515928067,26070729.160685096,26104685.322210357,26359621.925197225,28210008.446686916,48648451.80880585 
 01/05  09:00:00,26504477.96241616,25858635.475430295,25893961.30647266,26149726.46271045,27996250.973756984,48290259.88180431 
 01/05  10:00:00,26408223.5379932,25767883.160729628,25809433.49756414,26068377.07275994,27894376.953144915,47771579.19656262 
 01/05  11:00:00,25345638.04474871,24713135.61170758,24774847.972735867,25042524.713734582,26785563.33053294,45070021.51730731 
 01/05  12:00:00,21747299.048434056,21072577.147194624,21172313.59338288,21450293.38856398,22893244.354920708,36022414.11357948 
 01/05  13:00:00,15426947.129987832,14596698.388652332,14748877.0513001,15025077.28486701,15729158.059549715,17852470.215395276 
 01/05  14:00:00,11496521.042462528,10480956.378140662,10619898.663166916,10854479.382895663,11034970.236731874,9258423.055192528 
 01/05  15:00:00,10436255.840830388,9226914.821541067,9293520.559852283,9469051.357792757,9527182.53273842,7593395.130416298 
 01/05  16:00:00,10581998.150363972,9321592.377313484,9379398.88675827,9563074.041183442,9788773.31952953,9431691.820541898 
 01/05  17:00:00,11744224.484443786,10558983.47465061,10655899.327182507,10887754.782732775,11428901.448306974,14955337.850929234 
 01/05  18:00:00,12208417.739680208,10950895.310793478,11039166.127157724,11295701.530628039,12115284.506666299,19802499.581701055 
 01/05  19:00:00,20259273.08799329,19065232.627754197,19060065.179000743,19268212.499859385,20467749.092789203,35178863.430565864 
 01/05  20:00:00,22392925.368322663,21271115.209354598,21271130.74188458,21490677.11073574,22834434.521235682,39314719.53295581 
 01/05  21:00:00,23157233.672188684,22079607.878723927,22078044.4074121,22301705.818055816,23738708.13304462,41120419.9647692 
 01/05  22:00:00,24076050.184064798,23056531.123078987,23059004.983820733,23289621.449097097,24813949.947456554,43021616.94293778 
 01/05  23:00:00,25551113.073868856,24604415.50675917,24615422.37134356,24855673.78224503,26477262.71201245,45799727.55630424 
 01/05  24:00:00,26993434.99852152,26102749.757384986,26110175.074671786,26354834.19533535,28123366.91741491,49660255.82092632 
