building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,eui_denominator_m2,context_building_count,fallback_reason
28719,fc797f0923e36af9,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,9b7962881827634611034bff68bdfb74ea4c8843b7cb6ab4718551c2d1628e03,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,196.7533,196.7533,196.7533,196.7533,6,
28721,02f186e541967f24,IT.MidClim.AB.05.Gen.ReEx.001.001,AB,IT.05,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,582883e594901de13b48fd0217ea22fb8db09d954e64efb13274a317487f40a6,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,924.9769,924.9769,924.9769,924.9769,2,
28736,60cdfb503459e75a,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,e908346d40401e46eb5c74c90184f4e38fdf42f70f50af69813e8abe5eabea04,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,203.3076,203.3076,198.7332,198.7332,4,
28749,862211dd1557cf0e,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,9388fbb6146c735f0f48350f4ec2109ed8ba6b0ca67a8e3f4d392b5770eadd6d,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,4570.5585,4570.5585,4570.5585,4570.5585,8,
28754,3befdb205d381336,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,abf34f0c3b80822c09f542faf85daed2548a58480634fb49080d175cf193ef45,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,3566.4528,3566.4528,3566.4528,3566.4528,11,near_duplicate_vertex_tolerated_box
28764,8cdc013c545ab598,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,a9f646fee85c5995411deacafd00a0e639d5a8a43adda6164ef9d26a06a5015d,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,6748.8242,6748.8242,6748.8242,6748.8242,18,near_duplicate_vertex_tolerated_box
28781,e3674b12e048eeb4,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,655e76ec0291882d44c7c99d7b23016cb70357cc1df7ff36e5d6e1b2abb4ec2e,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,19046.3242,19046.3242,17739.1209,17739.1209,19,near_duplicate_vertex_tolerated_box
28782,c47cadea0882632b,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,3fe04875dd5e8fe2be4ec62512172c93e2e6edef582a4225eb280b8cac64bb09,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,3227.6336,3227.6336,3099.4148,3099.4148,5,
28784,9b18c991daf60479,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,199ed0f8dc20f70513ec3d3968846c751a5c0e713a000be7b26eeb3e42793159,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,9906.0999,9906.0999,9014.5509,9014.5509,7,
28787,86a226713f8264c9,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,86b0be0e6260e8758c1d697037dcfb031e64c0cc2ff43063dd28d7d1f73317bb,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,1691.2196,1691.2196,1691.2196,1691.2196,7,
