building_id,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds,platform,energyplus_version
33128,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,d89ed951096bfdf4f7616956760478c1bd2c453dd3aa89ba8d29bef3b2966ea9,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,180.8732,,,,
33130,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,07e1c23463ff74b26769cc6337dea5a99f2fd42592f4e2e37cfac4caa6a6d81e,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,512.666,,,,
33141,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,c78a067a927e9e78b088e97641971ed7e2b2e7d284b096c186fa02f76284d698,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,1844.3198,,,,
33143,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,6ad560a97bfb46075abed3334b6a38c02501e68fc3e444a55d01aec999e755de,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,584.7078,,,,
33153,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,9e543b6a7305fa5a27ae88daa531d37f5b3178bb0d8eddf5b60a6a0b7d4fad3a,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,342.6918,,,,
33167,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,12ecd89a58668c43c3a76dd7a49281181c9555979569d0c78471d91816aea388,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,915.7671,,,,
33168,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,68a3bf0bf98e37467c1149b5c0121b68d93c03220fed3042c2dde18c9a1fb4df,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,1511.5881,,,,
33171,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,1308a9564489f957470cac86fe464cf965a5c3b8144f3798fe6ab7de96025445,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,700.6319,,,,
33180,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,e592f1fd4cd657dd05ed42a6a43f65082cb1f7ef914c8aeb36d14bb3faec3a40,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,4765.2288,,,,
33184,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,0548d2c3af199a13892c46904eb66fad7b072f60419e4e3efcf28c4389fd216d,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,1995.4177,,,,
33186,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,3b253f8e6ca483a38d103f9cd8286c17bbfbac487c31311d7ced39fa00203b2b,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,853.4006,,,,
33191,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,8b73d36b35bc6664a087763478d8fa5d380dc44bc7cf74ad5f0be8a0bd13c1aa,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,3903.5029,,,,
33193,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,38c2810ced8e98056a9e6ecf186431d9c80d8b6a8ac01680e82fd37d89b8dae3,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,630.4023,,,,
33196,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,7f23124e21733a8fa7da67250415dd2cadefc50ad7a066d1f6f8539f105cdd97,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,2179.3463,,,,
33207,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,23a9251855b73fa85f2c9a19b8d196ff674a366e2b9a4841e80046c222f717e6,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,343.8092,,,,
33213,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,c8bb9f35e371618f2cb90e453e626b4bb041aa8a16d80a2744ed14c984eed74a,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,269.8005,,,,
33227,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,3e1dc6edd707377a4cd3a02418eb5ca103720f9a84a6999817b67b4ebd085a38,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,714.5807,,,,
33229,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,87e9ac2214c76e07c3f64db9f48b8fa03c1498fa2c840f2c78c7a8942b5d06e0,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,7879.3376,,,,
33231,IT.MidClim.SFH.01.Gen.ReEx.001.001,SFH,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,31ab03d8d7045d0a55aebd02c413e9a50691629a9592dc23ff4e132509e6f5b1,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,25.833,,,,
33241,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,ef77f5fcfd3e620dc3455c09efd0c6255e3a2154544350da93bceb1a4906d619,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,157.0813,,,,
33245,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,d251bbb82662d0aeb122ed38f324e900fbcbded1c4aa2bfa05a295f8388be64f,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,214.5029,,,,
33251,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,058ab8c460d76a1c48429c82e2bd8b34a720d93eac901a47307ef9f582cb1272,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,1152.2282,,,,
33255,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,5a430543f4be5dbe0478ab85aa68ff76114cd316a5c6ca171c7bf6d6450e9a63,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,1332.588,,,,
33260,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,7a69b7e5442312e26ebf73c18fc03e0d01838caba2e7526831323d91e87dfd27,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,2170.3806,,,,
33261,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,113e6ae97b3889509b2849a6d9d15923e81524e156bfd48de8e9283086a81633,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,2314.2419,,,,
33266,IT.MidClim.SFH.01.Gen.ReEx.001.001,SFH,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,b9ac145ed25dcaf18dae4b3a80ecde691941611a28b4845ddffe051d30b1ba48,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,27.191,,,,
33273,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,9f6db5f81ba9bdbfcbc778147c811dc07aea5d913a872af43d5b0469a20d10fa,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,870.0864,,,,
33278,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,2fa3b1291b436bc64fc20bcb9181f4b2b098afadc0876882d2d8b895465301fa,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,279.6968,,,,
33288,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,2a0cdcafb679981a5b66f889f85db1ec53fc6fb744b2215b84e7f77abf424413,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,1870.8657,,,,
33298,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,5d958cd4c6897daa2c6984614603e852102ae681327a8497a7b95825ef392c1d,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,600.5162,,,,
33299,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,01b19ed6b8bd74ad51797b909db96b5fd486b9a18c70cb5fbb4d4d897f95203c,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,2612.7517,,,,
33303,IT.MidClim.SFH.01.Gen.ReEx.001.001,SFH,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,86ec20c905f84b11e50bac4baff6caee2043cdb468a88d966810aa803a2899c4,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,74.5812,,,,
33320,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,515c452806874677fc4c322c105ab24453a458e9fa09f10a8ee43ce1d4f10c21,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,2410.0045,,,,
33327,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,0f4f349441e10709e9482b06b30f5b059d9a20c772b8a09a65a005cde76c6c49,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,4807.336,,,,
33329,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,ece65473a3830caa311d236268c1bcfc240cfa560dc49d74954d98d357519f0b,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,1003.6838,,,,
33335,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,72c0b5ab59f93eaccec3424826ed48a766156f6e0c880f6f5532c758d0dc06a2,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,116.9889,,,,
33336,IT.MidClim.SFH.01.Gen.ReEx.001.001,SFH,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,edb1173ae433316ea105ea3277af244c1bd3eea1392cffeb8e9a0f16730563c6,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,24.4634,,,,
33338,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,fcdee679540586683419c358469de2e818c0a5844fb878d096745ccaa51c1e73,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,1621.4666,,,,
33340,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,0b171c6ae31c06c172cd900de319d8813d4766f4058add969cd67aa6845ee16f,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,,,,,109.1013,,,,
