osm_id,footprint_area_m2,levels,height_m,archetype_id,zoning_strategy,data_quality_flag,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,fans_eui_kwh_m2,pumps_eui_kwh_m2,dhw_gas_eui_kwh_m2,dhw_elec_eui_kwh_m2,dhw_eui_kwh_m2,cooking_eui_kwh_m2,refrigeration_eui_kwh_m2,elevators_eui_kwh_m2,total_eui_kwh_m2,gwp_heating_kgco2_m2,gwp_cooling_kgco2_m2,gwp_lighting_kgco2_m2,gwp_equipment_kgco2_m2,gwp_fans_kgco2_m2,gwp_pumps_kgco2_m2,gwp_dhw_kgco2_m2,gwp_cooking_kgco2_m2,gwp_refrigeration_kgco2_m2,gwp_elevators_kgco2_m2,gwp_total_kgco2_m2,iod,simulation_status,error_summary,centroid_lon,centroid_lat
way/266170697,203.35065232026227,7.0,24.5,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",44.20418436361752,8.666712384947704,26.465100598400007,27.764778058354107,10.31576571322835,0.0,0.0,1.8743242124808228,1.8743242124808228,0.0,0.0,0.0,119.29086533102851,8.00095736981477,1.9315675226580646,5.898329900566606,6.187991615421496,2.299095336038629,0.0,0.4177343858840259,0.0,0.0,0.0,24.735676130383588,0.0,success,,-79.4887438843744,3.2196304312154545e-11
way/266170699,823.0470751768187,11.0,38.5,MediumOffice,perimeter_core,"no_floors,no_year|GROUPMODE_MED",61.007833692487125,12.507622612315773,26.46510059816794,44.06327609222278,36.20971837303683,0.0,3.792484654597071,0.0,3.792484654597071,0.0,0.0,3.538462437733994,187.5844984605615,11.042417898340169,2.787598866852041,5.898329900514884,9.820470469225874,8.070132353235463,0.0,0.6864397224820699,0.0,0.0,0.7886242004226507,39.094013411073156,0.000364034643949042,success,,-79.48874388436744,4.368640600718234e-11
way/266170700,492.39733744197775,9.0,31.5,MediumOffice,one_zone_per_floor,"generic_tag,no_function,no_year|GROUPMODE_MED",26.73383957763998,11.678521234795166,26.465100598242046,44.06327609234875,30.536255840112858,0.0,4.162574011137179,0.0,4.162574011137179,0.0,0.0,3.539455087740184,147.17902244201616,4.838824963552836,2.6028153846412683,5.898329900531401,9.82047046925395,6.8056764115976325,0.0,0.7534258960158294,0.0,0.0,0.7888454343148302,31.508388459907746,2.2684179258982436e-06,success,,-79.4887438840159,5.742299911838142e-10
way/266170701,210.02351364530728,6.0,21.0,SmallOffice,one_zone_per_floor,"generic_tag,no_function,no_year|GROUPMODE_MED",42.62288859525374,8.515599844077794,26.465100598376704,27.764778058329657,10.114557721440061,0.0,0.0,1.9367635968895798,1.9367635968895798,0.0,0.0,0.0,117.41968841436754,7.7147428357409265,1.897888768449306,5.8983299005614125,6.187991615416047,2.2542517084927893,0.0,0.4316503763659744,0.0,0.0,0.0,24.384855205026458,0.0,success,,-79.4887438843788,-1.2902550303128958e-11
way/266170702,470.5419668407311,6.0,21.0,MediumOffice,one_zone_per_floor,"generic_tag,no_function,no_year|GROUPMODE_MED",29.083671937045626,10.53744740403617,26.465102352347735,44.06327901286011,27.075644753363907,0.0,4.571867904836359,0.0,4.571867904836359,0.0,0.0,3.5387685518871046,145.33578191637702,5.264144620605258,2.348501977832349,5.898330291472444,9.820471120154158,6.034403097471721,0.0,0.8275080907753809,0.0,0.0,0.7886924246961827,30.982051623007493,0.0,success,,-79.48874388460422,-4.758452918366824e-10
way/266170703,370.4072700178147,19.0,66.5,MediumOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",36.70031106974458,11.729026453442302,26.46510190592487,44.06327826958266,32.44374595097797,0.0,3.8963950418544733,0.0,3.8963950418544733,0.0,0.0,3.539717676878622,158.83757636840548,6.642756303623768,2.6140715837315924,5.898330191977288,9.820470954498425,7.230802547586362,0.0,0.7052475025756596,0.0,0.0,0.7889039580812922,33.700583042074385,5.765775994488071e-05,success,,-79.48874777656792,-2.7014981951693042e-05
way/266170704,100.84624506912422,5.0,17.5,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",53.02834942583995,9.008333278679048,26.46510059817251,27.764778058115443,10.803954542722728,0.0,0.0,2.756526824947735,2.756526824947735,0.0,0.0,0.0,129.8270427284774,9.598131246077031,2.0077052544857565,5.898329900515903,6.187991615368305,2.4078989568457,0.0,0.6143526465297515,0.0,0.0,0.0,26.714409619822447,0.0,success,,-79.48874388589313,3.0736349087001745e-10
way/266170705,241.89731314498874,5.0,17.5,SmallOffice,one_zone_per_floor,"generic_tag,no_function,no_year|GROUPMODE_MED",37.496948855723495,8.204025210448982,26.46510059807269,27.764778058010727,9.45112655317588,0.0,0.0,1.9590453723984245,1.9590453723984245,0.0,0.0,0.0,111.34102464783021,6.786947742885952,1.8284475067031856,5.898329900493657,6.187991615344966,2.1063914771594145,0.0,0.43661636023718164,0.0,0.0,0.0,23.244724602824355,0.0,success,,-79.48874387979407,-2.7099303478474888e-09
way/266170711,841.5101863934741,1.0,3.5,MediumOffice,single_zone,"generic_tag,no_floors,no_function,no_height,no_year|GROUPMODE_MED",48.65328008664893,9.031769665485887,26.465100571815817,44.06327604834726,5.126988996559696,0.0,7.231980698576111,0.0,7.231980698576111,0.0,0.0,3.540718710928504,144.11311477836222,8.806243695683456,2.0129285688861707,5.898329894641734,9.82047045944725,1.1426622916412525,0.0,1.308988506442276,0.0,0.0,0.7891270605420575,29.778750477284195,0.0,success,,-79.48874658266618,2.8930529397782047e-05
way/266170712,200.76597868243482,5.0,17.5,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",45.549638462103104,8.561223015021866,26.465100598004838,27.764778057939534,10.031538662425074,0.0,0.0,2.076457422614636,2.076457422614636,0.0,0.0,0.0,120.44873621810906,8.244484561640661,1.9080568958039532,5.898329900478534,6.187991615329099,2.235749084772001,0.0,0.46278421869296915,0.0,0.0,0.0,24.93739627671722,0.0,success,,-79.48875846933014,-2.156563614314933e-05
