cell_id,archetype_id,survey_fold,sensitivity_f,class,completed,completion_status,return_code,severe_count,fatal_count,heating_kwh,runtime_s,marker_psy,marker_inside_hb,marker_calchb,idf_sha256,error
es__ES.ME.MFH.04.Gen.ReEx.001.001__f000,ES.ME.MFH.04.Gen.ReEx.001.001,es,0.0,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.487,False,False,False,ec9d16b0d8677d6e361bca01d35c6a8fc0be6a718d81525f4d56788edeb2fd07,
es__ES.ME.MFH.04.Gen.ReEx.001.001__f015,ES.ME.MFH.04.Gen.ReEx.001.001,es,0.15,ATTEMPTED,True,COMPLETED,0,0,0,225597.17917688447,2.074,True,False,False,fd4152b41cd39fcc7face895b16f9c9e3eb63182ef84b3a8f0fbb1209e87a7f1,
es__ES.ME.MFH.04.Gen.ReEx.001.001__f030,ES.ME.MFH.04.Gen.ReEx.001.001,es,0.3,ATTEMPTED,True,COMPLETED,0,0,0,225593.68120118676,2.316,True,False,False,bf31438a0e7d22a381d05006d3f55bb888132c0e37c77bfb5a00afbf1c93ab21,
es__ES.ME.MFH.04.Gen.ReEx.001.001__f050,ES.ME.MFH.04.Gen.ReEx.001.001,es,0.5,ATTEMPTED,True,COMPLETED,0,0,0,225591.46148653454,2.178,True,False,False,051a40857aa57186d1eccdd29e124765c05a53f3c19df11bf817b52f3d4e53db,
es__ES.ME.MFH.04.Gen.ReEx.001.001__f100,ES.ME.MFH.04.Gen.ReEx.001.001,es,1.0,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.567,False,False,False,67cffda19b8e554e2632807c242651bbcf7088665d55ee34c3070025ca9ad2aa,
es__ES.ME.MFH.05.Gen.ReEx.001.001__f000,ES.ME.MFH.05.Gen.ReEx.001.001,es,0.0,BUILD_REFUSED,,,,,,,0.025,False,False,False,,ValueError: TABULA directional window areas disagree materially with A_Window_1
es__ES.ME.MFH.05.Gen.ReEx.001.001__f015,ES.ME.MFH.05.Gen.ReEx.001.001,es,0.15,BUILD_REFUSED,,,,,,,0.028,False,False,False,,ValueError: TABULA directional window areas disagree materially with A_Window_1
es__ES.ME.MFH.05.Gen.ReEx.001.001__f030,ES.ME.MFH.05.Gen.ReEx.001.001,es,0.3,BUILD_REFUSED,,,,,,,0.028,False,False,False,,ValueError: TABULA directional window areas disagree materially with A_Window_1
es__ES.ME.MFH.05.Gen.ReEx.001.001__f050,ES.ME.MFH.05.Gen.ReEx.001.001,es,0.5,BUILD_REFUSED,,,,,,,0.026,False,False,False,,ValueError: TABULA directional window areas disagree materially with A_Window_1
es__ES.ME.MFH.05.Gen.ReEx.001.001__f100,ES.ME.MFH.05.Gen.ReEx.001.001,es,1.0,BUILD_REFUSED,,,,,,,0.028,False,False,False,,ValueError: TABULA directional window areas disagree materially with A_Window_1
es__ES.ME.MFH.06.Gen.ReEx.001.001__f000,ES.ME.MFH.06.Gen.ReEx.001.001,es,0.0,ATTEMPTED,True,COMPLETED,0,0,0,91224.35937447706,1.934,True,False,False,dd2712bb4c498dcd9b4ace621ff69934471542ac2d2f188051d6a539ee92fbcf,
es__ES.ME.MFH.06.Gen.ReEx.001.001__f015,ES.ME.MFH.06.Gen.ReEx.001.001,es,0.15,ATTEMPTED,True,COMPLETED,0,0,0,91212.73551025924,2.117,True,False,False,832e9eed16140d1d085cdee9eb749eebfb85aff17d03326517b193c2352345a7,
es__ES.ME.MFH.06.Gen.ReEx.001.001__f030,ES.ME.MFH.06.Gen.ReEx.001.001,es,0.3,ATTEMPTED,True,COMPLETED,0,0,0,91205.35316262991,2.087,True,False,False,656f83481fadda0b421770c3ca721e4e6c128999eb4f8ffcaac67b8145f2237a,
es__ES.ME.MFH.06.Gen.ReEx.001.001__f050,ES.ME.MFH.06.Gen.ReEx.001.001,es,0.5,ATTEMPTED,True,COMPLETED,0,0,0,91202.49440471068,2.197,True,False,False,bf3bec2ec15f031da4441400a5ebde0dcd028fd0efa6d1d779487aff50ae22cc,
es__ES.ME.MFH.06.Gen.ReEx.001.001__f100,ES.ME.MFH.06.Gen.ReEx.001.001,es,1.0,ATTEMPTED,True,COMPLETED,0,0,0,91234.28917119415,2.001,True,False,False,10e936eee0a7c945ab5002628c6abcbe23dd2c70853893ca90865f5b60f7e710,
es__ES.ME.SFH.01.Gen.ReEx.001.001__f000,ES.ME.SFH.01.Gen.ReEx.001.001,es,0.0,ATTEMPTED,True,COMPLETED,0,0,0,7513.418553328049,1.935,True,False,False,c53de96f67d69d65b686dc9bb443818dcf358b9dd6e80a4542b7705e6493057c,
es__ES.ME.SFH.01.Gen.ReEx.001.001__f015,ES.ME.SFH.01.Gen.ReEx.001.001,es,0.15,ATTEMPTED,True,COMPLETED,0,0,0,8127.6823555202955,1.91,True,False,False,b8680679d67a539b3a1d40b5c9c1b0d6b0aa1fa96ce8e579f37e498c5f842698,
es__ES.ME.SFH.01.Gen.ReEx.001.001__f030,ES.ME.SFH.01.Gen.ReEx.001.001,es,0.3,ATTEMPTED,True,COMPLETED,0,0,0,8123.680425302599,2.007,True,False,False,2866ce1205eb6d06a960ff97ae43f3ce1d97048f73d588964c623ed986c81e15,
es__ES.ME.SFH.01.Gen.ReEx.001.001__f050,ES.ME.SFH.01.Gen.ReEx.001.001,es,0.5,ATTEMPTED,True,COMPLETED,0,0,0,7170.926041214718,1.994,True,False,False,a318fdb27f8b56054a2c6b24a20cb58cfe96dc317ea3fafb6992a40472c4f049,
es__ES.ME.SFH.01.Gen.ReEx.001.001__f100,ES.ME.SFH.01.Gen.ReEx.001.001,es,1.0,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.506,False,False,False,4243b11e79ab8c8dc0eee8ab7020cbcdca5adc5c6c53ff94d57af42a624a2e66,
es__ES.ME.SFH.02.Gen.ReEx.001.001__f000,ES.ME.SFH.02.Gen.ReEx.001.001,es,0.0,ATTEMPTED,True,COMPLETED,0,0,0,45480.89185067646,2.329,True,False,False,bae2e7ee29068413f94cfdbd082719fbc37330c38250a24072f8be47526f374a,
es__ES.ME.SFH.02.Gen.ReEx.001.001__f015,ES.ME.SFH.02.Gen.ReEx.001.001,es,0.15,ATTEMPTED,True,COMPLETED,0,0,0,45477.37976007728,2.182,True,False,False,3726dd671e59d054ba528a134a1673d2bf737bf259130a42f216d018c6ba7d20,
es__ES.ME.SFH.02.Gen.ReEx.001.001__f030,ES.ME.SFH.02.Gen.ReEx.001.001,es,0.3,ATTEMPTED,True,COMPLETED,0,0,0,45474.24451512311,2.264,True,False,False,fa60051715ff11f644463700a80a534e3b563a02cd652c00fd54042e50764010,
es__ES.ME.SFH.02.Gen.ReEx.001.001__f050,ES.ME.SFH.02.Gen.ReEx.001.001,es,0.5,ATTEMPTED,True,COMPLETED,0,0,0,45470.591663062034,2.394,True,False,False,fa966e9375aaa909288c2504b8aa99a90752d0f079657c43b6ecb6c53c1edd0d,
