cell_id,survey_fold,arm,replicate,applied,completed,completion_status,return_code,severe_count,fatal_count,heating_kwh,runtime_s,marker_psy,marker_inside_hb,marker_calchb,error
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E1,5,True,False,ENGINE_FAILED,1,1,1,None,0.373,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E1,6,True,True,COMPLETED,0,0,0,432915.0504708593,1.821,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E1,7,True,True,COMPLETED,0,0,0,432915.0504708593,1.774,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E1,8,True,True,COMPLETED,0,0,0,432915.0504708593,2.091,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E1,9,True,True,COMPLETED,0,0,0,432915.0504708593,2.327,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E1,10,True,True,COMPLETED,0,0,0,432915.0504708593,1.857,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E1,1,True,False,ENGINE_FAILED,1,1,1,None,0.368,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E1,2,True,True,COMPLETED,0,0,0,11263.179301953025,1.852,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E1,3,True,True,COMPLETED,0,0,0,12002.09671996312,1.923,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E1,4,True,True,COMPLETED,0,0,0,14924.60956663375,2.312,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E1,5,True,True,COMPLETED,0,0,0,10128.978083661083,2.247,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E1,6,True,True,COMPLETED,0,0,0,11263.179301953025,2.027,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E1,7,True,False,ENGINE_FAILED,1,1,1,None,0.396,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E1,8,True,True,COMPLETED,0,0,0,12002.09671996312,2.319,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E1,9,True,True,COMPLETED,0,0,0,12823.863541141567,2.083,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E1,10,True,True,COMPLETED,0,0,0,10128.978083661083,2.064,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E1,1,True,True,COMPLETED,0,0,0,13605.143823220722,2.015,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E1,2,True,True,COMPLETED,0,0,0,10572.720185961136,2.05,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E1,3,True,True,COMPLETED,0,0,0,13267.626412532973,1.999,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E1,4,True,True,COMPLETED,0,0,0,13267.626412532973,1.924,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E1,5,True,True,COMPLETED,0,0,0,15173.321502331624,2.043,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E1,6,True,True,COMPLETED,0,0,0,15336.17787681938,2.184,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E1,7,True,True,COMPLETED,0,0,0,15336.17787681938,1.907,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E1,8,True,False,ENGINE_FAILED,1,1,1,None,0.393,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E1,9,True,True,COMPLETED,0,0,0,13267.626412532973,2.127,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E1,10,True,True,COMPLETED,0,0,0,15173.321502331624,2.007,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E2,1,True,False,ENGINE_FAILED,1,1,1,None,0.427,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E2,2,True,True,COMPLETED,0,0,0,432915.0504708593,2.812,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E2,3,True,True,COMPLETED,0,0,0,432915.0504708593,2.97,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E2,4,True,True,COMPLETED,0,0,0,432915.0504708593,3.379,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E2,5,True,True,COMPLETED,0,0,0,432770.9590558643,2.892,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E2,6,True,True,COMPLETED,0,0,0,432915.0504708593,3.4,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E2,7,True,True,COMPLETED,0,0,0,432915.0504708593,3.264,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E2,8,True,True,COMPLETED,0,0,0,432915.0504708593,3.866,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E2,9,True,True,COMPLETED,0,0,0,432915.0504708593,3.519,False,False,False,
uk__GB.ENG.AB.04.Gen.ReEx.001.001__f100,uk,E2,10,True,False,ENGINE_FAILED,1,1,1,None,0.499,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E2,1,True,True,COMPLETED,0,0,0,14924.60956663375,3.346,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E2,2,True,True,COMPLETED,0,0,0,11263.179301953025,3.286,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E2,3,True,True,COMPLETED,0,0,0,14924.60956663375,3.383,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E2,4,True,False,ENGINE_FAILED,1,1,1,None,0.481,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E2,5,True,True,COMPLETED,0,0,0,11263.179301953025,3.384,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E2,6,True,True,COMPLETED,0,0,0,14924.60956663375,3.397,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E2,7,True,False,ENGINE_FAILED,1,1,1,None,0.498,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E2,8,True,True,COMPLETED,0,0,0,12002.09671996312,3.406,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E2,9,True,True,COMPLETED,0,0,0,14757.749579335225,3.471,False,False,False,
it__IT.MidClim.SFH-TH.07.Gen.ReEx.001.001__f100,it,E2,10,True,False,ENGINE_FAILED,1,1,1,None,0.627,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E2,1,True,True,COMPLETED,0,0,0,12281.330132700994,3.367,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E2,2,True,False,ENGINE_FAILED,1,1,1,None,0.488,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E2,3,True,True,COMPLETED,0,0,0,12448.879697947988,3.561,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E2,4,True,True,COMPLETED,0,0,0,13605.143823220722,3.32,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E2,5,True,True,COMPLETED,0,0,0,11709.661873294688,3.562,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E2,6,True,True,COMPLETED,0,0,0,12448.879697947988,3.415,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E2,7,True,False,ENGINE_FAILED,1,1,1,None,0.558,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E2,8,True,True,COMPLETED,0,0,0,11709.661873294688,3.887,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E2,9,True,False,ENGINE_FAILED,1,1,1,None,0.488,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,E2,10,True,False,ENGINE_FAILED,1,1,1,None,0.48,False,False,False,
