cell_id,survey_fold,probe,replicate,applied,completed,completion_status,return_code,severe_count,fatal_count,heating_kwh,runtime_s,marker_psy,marker_inside_hb,marker_calchb,error
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,uk,P1,2,True,True,COMPLETED,0,0,0,429228.3912597699,2.483,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,uk,P1,3,True,True,COMPLETED,0,0,0,429228.3912597699,2.48,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,uk,P2,1,True,True,COMPLETED,0,0,0,472400.24562358105,1.508,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,uk,P2,2,True,True,COMPLETED,0,0,0,472400.24562358105,1.514,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,uk,P2,3,True,True,COMPLETED,0,0,0,472400.24562358105,1.527,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,uk,P3,1,True,True,COMPLETED,0,0,0,431069.86323113827,1.637,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,uk,P3,2,True,True,COMPLETED,0,0,0,431069.86323113827,1.55,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,uk,P3,3,True,True,COMPLETED,0,0,0,431069.86323113827,1.568,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,uk,P4,1,True,True,COMPLETED,0,0,0,448750.8113869707,1.536,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,uk,P4,2,True,True,COMPLETED,0,0,0,448750.8113869707,1.524,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,uk,P4,3,True,True,COMPLETED,0,0,0,448750.8113869707,1.629,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,uk,P5,1,False,,NOT_APPLICABLE,,,,,,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,uk,P5,2,False,,NOT_APPLICABLE,,,,,,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,uk,P5,3,False,,NOT_APPLICABLE,,,,,,False,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,es,P0,1,True,True,COMPLETED,0,0,0,177928.78032852308,1.597,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,es,P0,2,True,True,COMPLETED,0,0,0,177928.78032852308,1.634,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,es,P0,3,True,True,COMPLETED,0,0,0,177928.78032852308,1.875,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,es,P1,1,True,True,COMPLETED,0,0,0,177989.4834858776,2.53,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,es,P1,2,True,True,COMPLETED,0,0,0,177989.4834858776,2.625,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,es,P1,3,True,True,COMPLETED,0,0,0,177989.4834858776,2.865,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,es,P2,1,True,True,COMPLETED,0,0,0,194107.56642751224,1.549,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,es,P2,2,True,True,COMPLETED,0,0,0,194107.56642751224,1.57,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,es,P2,3,True,True,COMPLETED,0,0,0,194046.65225431466,1.606,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,es,P3,1,True,True,COMPLETED,0,0,0,147791.8462211473,1.6,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,es,P3,2,True,True,COMPLETED,0,0,0,147791.8462211473,1.605,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,es,P3,3,True,True,COMPLETED,0,0,0,147791.8462211473,1.648,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,es,P4,1,True,True,COMPLETED,0,0,0,149959.79526247497,1.657,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,es,P4,2,True,True,COMPLETED,0,0,0,149959.79526247497,1.612,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,es,P4,3,True,True,COMPLETED,0,0,0,149959.79526247497,1.59,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,es,P5,1,False,,NOT_APPLICABLE,,,,,,False,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,es,P5,2,False,,NOT_APPLICABLE,,,,,,False,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,es,P5,3,False,,NOT_APPLICABLE,,,,,,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,it,P0,1,True,True,COMPLETED,0,0,0,93172.14725318627,1.604,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,it,P0,2,True,True,COMPLETED,0,0,0,93172.14725318627,1.529,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,it,P0,3,True,True,COMPLETED,0,0,0,93071.20038935631,1.53,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,it,P1,1,True,True,COMPLETED,0,0,0,93211.42645472022,2.354,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,it,P1,2,True,True,COMPLETED,0,0,0,93211.42645472022,2.365,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,it,P1,3,True,True,COMPLETED,0,0,0,93211.42645472022,2.442,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,it,P2,1,True,False,ENGINE_FAILED,1,27,1,None,1.223,False,True,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,it,P2,2,True,True,COMPLETED,0,0,0,102602.48087730627,1.496,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,it,P2,3,True,True,COMPLETED,0,0,0,102717.3377242745,1.457,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,it,P3,1,True,True,COMPLETED,0,0,0,90730.81977738634,1.628,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,it,P3,2,True,False,ENGINE_FAILED,1,1,1,None,0.372,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,it,P3,3,True,True,COMPLETED,0,0,0,90730.81977738634,1.548,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,it,P4,1,True,True,COMPLETED,0,0,0,91722.80619398123,1.528,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,it,P4,2,True,True,COMPLETED,0,0,0,91722.80619398123,1.5,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,it,P4,3,True,True,COMPLETED,0,0,0,91722.80619398123,1.558,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,it,P5,1,False,,NOT_APPLICABLE,,,,,,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,it,P5,2,False,,NOT_APPLICABLE,,,,,,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,it,P5,3,False,,NOT_APPLICABLE,,,,,,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,P0,1,True,False,ENGINE_FAILED,1,31,1,None,1.078,False,True,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,P0,2,True,False,ENGINE_FAILED,1,1,1,None,0.37,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,P0,3,True,True,COMPLETED,0,0,0,15328.776876190752,1.634,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,P1,1,True,True,COMPLETED,0,0,0,13605.143823220722,2.592,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,P1,2,True,False,ENGINE_FAILED,1,1,1,None,0.406,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,P1,3,True,True,COMPLETED,0,0,0,15173.321502331624,2.581,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,P2,1,True,False,ENGINE_FAILED,1,1,1,None,0.444,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,P2,2,True,True,COMPLETED,0,0,0,14370.90079959993,1.583,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,P2,3,True,True,COMPLETED,0,0,0,14715.2489605768,1.594,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,P3,1,True,False,ENGINE_FAILED,1,1,1,None,0.387,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,P3,2,True,False,ENGINE_FAILED,1,1,1,None,0.382,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,P3,3,True,True,COMPLETED,0,0,0,12586.84567131505,1.661,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,P4,1,True,True,COMPLETED,0,0,0,12304.024399935739,1.642,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,P4,2,True,False,ENGINE_FAILED,1,1,1,None,0.376,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,P4,3,True,False,ENGINE_FAILED,1,33,1,None,1.044,False,True,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,P5,1,False,,NOT_APPLICABLE,,,,,,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,P5,2,False,,NOT_APPLICABLE,,,,,,False,False,False,
it__IT.MidClim.SFH.07.Gen.ReEx.001.001__f000,it,P5,3,False,,NOT_APPLICABLE,,,,,,False,False,False,
uk__GB.ENG.TH.05.Gen.ReEx.001.001__f015,uk,P0,1,True,False,ENGINE_FAILED,1,1,1,None,0.37,False,False,False,
uk__GB.ENG.TH.05.Gen.ReEx.001.001__f015,uk,P0,2,True,True,COMPLETED,0,0,0,11630.430954904636,1.514,False,False,False,
uk__GB.ENG.TH.05.Gen.ReEx.001.001__f015,uk,P0,3,True,True,COMPLETED,0,0,0,11630.430954904636,1.568,False,False,False,
uk__GB.ENG.TH.05.Gen.ReEx.001.001__f015,uk,P1,1,True,True,COMPLETED,0,0,0,11632.375029833287,2.456,False,False,False,
uk__GB.ENG.TH.05.Gen.ReEx.001.001__f015,uk,P1,2,True,True,COMPLETED,0,0,0,11632.375029833287,2.381,False,False,False,
uk__GB.ENG.TH.05.Gen.ReEx.001.001__f015,uk,P1,3,True,True,COMPLETED,0,0,0,11632.375029833287,2.39,False,False,False,
uk__GB.ENG.TH.05.Gen.ReEx.001.001__f015,uk,P2,1,True,True,COMPLETED,0,0,0,12790.41421910994,1.502,False,False,False,
uk__GB.ENG.TH.05.Gen.ReEx.001.001__f015,uk,P2,2,True,True,COMPLETED,0,0,0,12790.41421910994,1.536,False,False,False,
uk__GB.ENG.TH.05.Gen.ReEx.001.001__f015,uk,P2,3,True,True,COMPLETED,0,0,0,12790.41421910994,1.502,False,False,False,
uk__GB.ENG.TH.05.Gen.ReEx.001.001__f015,uk,P3,1,True,True,COMPLETED,0,0,0,11532.276127549927,1.553,False,False,False,
uk__GB.ENG.TH.05.Gen.ReEx.001.001__f015,uk,P3,2,True,True,COMPLETED,0,0,0,11681.835565683752,1.63,False,False,False,
uk__GB.ENG.TH.05.Gen.ReEx.001.001__f015,uk,P3,3,True,True,COMPLETED,0,0,0,11681.835565683752,1.572,False,False,False,
uk__GB.ENG.TH.05.Gen.ReEx.001.001__f015,uk,P4,1,True,True,COMPLETED,0,0,0,11753.565892416891,1.523,False,False,False,
uk__GB.ENG.TH.05.Gen.ReEx.001.001__f015,uk,P4,2,True,False,ENGINE_FAILED,1,29,1,None,1.41,False,True,False,
uk__GB.ENG.TH.05.Gen.ReEx.001.001__f015,uk,P4,3,True,True,COMPLETED,0,0,0,11916.074188993078,1.531,False,False,False,
uk__GB.ENG.TH.05.Gen.ReEx.001.001__f015,uk,P5,1,False,,NOT_APPLICABLE,,,,,,False,False,False,
uk__GB.ENG.TH.05.Gen.ReEx.001.001__f015,uk,P5,2,False,,NOT_APPLICABLE,,,,,,False,False,False,
uk__GB.ENG.TH.05.Gen.ReEx.001.001__f015,uk,P5,3,False,,NOT_APPLICABLE,,,,,,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,it,P0,1,True,False,ENGINE_FAILED,1,1,1,None,0.374,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,it,P0,2,True,True,COMPLETED,0,0,0,93149.18562626436,1.602,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,it,P0,3,True,True,COMPLETED,0,0,0,93250.02037697194,1.534,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,it,P1,1,True,True,COMPLETED,0,0,0,93290.1368156589,2.386,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,it,P1,2,True,True,COMPLETED,0,0,0,93290.1368156589,2.394,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,it,P1,3,True,True,COMPLETED,0,0,0,93290.1368156589,2.411,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,it,P2,1,True,True,COMPLETED,0,0,0,102791.12632991657,1.45,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,it,P2,2,True,True,COMPLETED,0,0,0,102791.12632991657,1.478,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,it,P2,3,True,True,COMPLETED,0,0,0,102791.12632991657,1.459,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,it,P3,1,True,True,COMPLETED,0,0,0,90811.03345402882,1.523,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,it,P3,2,True,True,COMPLETED,0,0,0,90811.03345402882,1.524,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,it,P3,3,True,True,COMPLETED,0,0,0,90811.03345402882,1.552,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,it,P4,1,True,True,COMPLETED,0,0,0,91782.18574873042,1.547,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,it,P4,2,True,True,COMPLETED,0,0,0,91782.18574873042,1.515,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,it,P4,3,True,False,ENGINE_FAILED,1,1,1,None,0.456,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,it,P5,1,False,,NOT_APPLICABLE,,,,,,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,it,P5,2,False,,NOT_APPLICABLE,,,,,,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,it,P5,3,False,,NOT_APPLICABLE,,,,,,False,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,es,P0,1,True,True,COMPLETED,0,0,0,177853.4447974208,1.594,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,es,P0,2,True,True,COMPLETED,0,0,0,177853.4447974208,1.647,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,es,P0,3,True,True,COMPLETED,0,0,0,177853.4447974208,1.885,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,es,P1,1,True,True,COMPLETED,0,0,0,177913.93695266882,2.63,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,es,P1,2,True,True,COMPLETED,0,0,0,177913.93695266882,2.561,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,es,P1,3,True,True,COMPLETED,0,0,0,177913.93695266882,2.547,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,es,P2,1,True,False,ENGINE_FAILED,1,1,1,None,0.384,False,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,es,P2,2,True,True,COMPLETED,0,0,0,194039.25034592464,1.596,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,es,P2,3,True,True,COMPLETED,0,0,0,194039.25034592464,1.632,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,es,P3,1,True,True,COMPLETED,0,0,0,147714.6483976633,1.644,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,es,P3,2,True,True,COMPLETED,0,0,0,147714.6483976633,1.611,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,es,P3,3,True,True,COMPLETED,0,0,0,147714.6483976633,1.608,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,es,P4,1,True,True,COMPLETED,0,0,0,149913.2154309293,1.602,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,es,P4,2,True,False,ENGINE_FAILED,1,1,1,None,0.443,False,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,es,P4,3,True,True,COMPLETED,0,0,0,149913.2154309293,1.606,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,es,P5,1,False,,NOT_APPLICABLE,,,,,,False,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,es,P5,2,False,,NOT_APPLICABLE,,,,,,False,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,es,P5,3,False,,NOT_APPLICABLE,,,,,,False,False,False,
