cell_id,archetype_id,survey_fold,sensitivity_f,replicate,class,completed,completion_status,return_code,severe_count,fatal_count,heating_kwh,runtime_s,marker_psy,marker_inside_hb,marker_calchb,idf_sha256,error
es__ES.ME.AB.03.Gen.ReEx.001.001__f000,ES.ME.AB.03.Gen.ReEx.001.001,es,0.0,3,ATTEMPTED,True,COMPLETED,0,0,0,107039.24971755367,4.113,True,False,False,b87a6b9490cbaa2698e8016b030010ff8928f284e802e2b6866540c173da127d,
es__ES.ME.AB.03.Gen.ReEx.001.001__f015,ES.ME.AB.03.Gen.ReEx.001.001,es,0.15,1,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.471,False,False,False,3a6479df260f59781c013e46060dfe090a17c621669d2384420df6799d2ca7ff,
es__ES.ME.AB.03.Gen.ReEx.001.001__f015,ES.ME.AB.03.Gen.ReEx.001.001,es,0.15,2,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.474,False,False,False,020021beff1579c7fc2385940c62746a3d221da545dd7d6c96c77d04c5bce231,
es__ES.ME.AB.03.Gen.ReEx.001.001__f015,ES.ME.AB.03.Gen.ReEx.001.001,es,0.15,3,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.492,False,False,False,73fca4029a4780705d9593725cd82833229afab9da1990aab28cadf9e0138566,
es__ES.ME.AB.03.Gen.ReEx.001.001__f030,ES.ME.AB.03.Gen.ReEx.001.001,es,0.3,1,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.44,False,False,False,e7d177c695966d680a7b126326150eb9dc91d1d000bfee64df9c38ae80ab6a51,
es__ES.ME.AB.03.Gen.ReEx.001.001__f030,ES.ME.AB.03.Gen.ReEx.001.001,es,0.3,2,ATTEMPTED,True,COMPLETED,0,0,0,114105.68284219746,3.856,True,False,False,419269536c73587b4cf5da944f1c6589a7fed86afe91d6fd9d2717fb4e95d822,
es__ES.ME.AB.03.Gen.ReEx.001.001__f030,ES.ME.AB.03.Gen.ReEx.001.001,es,0.3,3,ATTEMPTED,True,COMPLETED,0,0,0,109177.04476617345,3.825,True,False,False,39178791e9cb7eda1839dd1f8bf79389c4e16214392ebf3eba7fbd024e806ab1,
es__ES.ME.AB.03.Gen.ReEx.001.001__f050,ES.ME.AB.03.Gen.ReEx.001.001,es,0.5,1,ATTEMPTED,True,COMPLETED,0,0,0,114091.20287991215,3.825,True,False,False,f2c132974fa83080c1a9f4f18c66425652bffdef283bcaec27c8ddb279b1a358,
es__ES.ME.AB.03.Gen.ReEx.001.001__f050,ES.ME.AB.03.Gen.ReEx.001.001,es,0.5,2,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.438,False,False,False,7b5214191fdac1200933281c1be59a9eb1ea453f6711f4ba8f951528091d40bd,
es__ES.ME.AB.03.Gen.ReEx.001.001__f050,ES.ME.AB.03.Gen.ReEx.001.001,es,0.5,3,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.466,False,False,False,9418af4991cb39b25c252aef323a43889cfdc0366544d68528b14c0fd36af6b3,
