cell_id,archetype_id,survey_fold,sensitivity_f,mode,replicate,idf_sha256,heating_kwh,completed,completion_status,return_code,severe_count,fatal_count,runtime_s,marker_psy,marker_inside_hb,marker_calchb,error
es__ES.ME.AB.01.Gen.ReEx.001.001__f015,ES.ME.AB.01.Gen.ReEx.001.001,es,0.15,serial,2,b4cb1e5e6a3ad64fbf46b3210b3b636cf17d91b17a264b5e848a2a74956f0136,177889.98714490884,True,COMPLETED,0,0,0,1.674,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f015,ES.ME.AB.01.Gen.ReEx.001.001,es,0.15,serial,3,d8ac3364eb9da10a726cb16721fa5c7249095b28af22019fb4c0ca9c6298d897,177889.98714490884,True,COMPLETED,0,0,0,1.608,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,ES.ME.AB.01.Gen.ReEx.001.001,es,0.3,serial,1,334ba9b71e7f0993c7dad909a967db5724c7cb384526726af35835663e25e6f0,177853.4447974208,True,COMPLETED,0,0,0,1.624,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,ES.ME.AB.01.Gen.ReEx.001.001,es,0.3,serial,2,d43c160a74e0d635b99c6112b9abc5d5aaf3f449f68cf4072a188ec99fb09d4e,177853.4447974208,True,COMPLETED,0,0,0,1.613,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,ES.ME.AB.01.Gen.ReEx.001.001,es,0.3,serial,3,1e240f8bd68e1c01b4bbda6e5f122f291a33f02f94f6f373e244b2e288723050,177853.4447974208,True,COMPLETED,0,0,0,1.625,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f050,ES.ME.AB.01.Gen.ReEx.001.001,es,0.5,serial,1,a2833ef35ce6370e52f5d24da5f13311c5d68c2bef0abbee9a81348256ea3f9b,177808.44960956744,True,COMPLETED,0,0,0,1.627,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f050,ES.ME.AB.01.Gen.ReEx.001.001,es,0.5,serial,2,598596d8ad3a4c21602b617e04a8c76408f9193821df4e27a6a0131a1355175d,177808.44960956744,True,COMPLETED,0,0,0,1.748,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f050,ES.ME.AB.01.Gen.ReEx.001.001,es,0.5,serial,3,f026a0e45dfef98df2f2bff4725c927832400c667b95971951cf22bb3129da79,177808.44960956744,True,COMPLETED,0,0,0,1.617,True,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.0,thread,1,c59a5b0c13bd5c3936025b1eb5cda3defaeb0ac363f05cf8477bdf11b1f91e2f,429401.8978237175,True,COMPLETED,0,0,0,1.94,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.0,thread,2,46c93cbd42346d38efe612472de34cc0ffd012e5306d6ed49cde55804fdc5c33,429401.8978237175,True,COMPLETED,0,0,0,2.026,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.0,thread,3,b849676c62ea3749e7cacb77f8200f475e40340f00cb3cd7b1b582d42cef5227,429401.8978237175,True,COMPLETED,0,0,0,2.149,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f015,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.15,thread,1,afd9939be8d9eca0ecf98ecb28b4f8239a2e0d8d6aa11f4f1d66107091041d4d,429321.8745368888,True,COMPLETED,0,0,0,2.127,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f015,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.15,thread,2,618039b3f021ccf103636fca81f8b5bad115bacd43f9fdfd4fc184a7b62135c2,429321.8745368888,True,COMPLETED,0,0,0,2.148,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f015,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.15,thread,3,d2129b81277ab0ab4e71c30451ff52d5a89f04fb9032eed47ffc6f2b6fbeab8d,429321.8745368888,True,COMPLETED,0,0,0,2.298,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f030,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.3,thread,1,3d3687ca7f0762e4a7dfbc3762de6c70558677cdf320611334760905058b4c51,429248.3754781889,True,COMPLETED,0,0,0,2.36,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f030,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.3,thread,2,beca4519583daaf74f3292ba26b29b465a87cba695ec80f93cd20ad048fa59c4,429248.3754781889,True,COMPLETED,0,0,0,2.368,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f030,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.3,thread,3,1508b0314ff4f13f332003049e49cd2ff43f5ce208c1d9455219ffc0e56c8016,429248.3754781889,True,COMPLETED,0,0,0,2.378,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.5,thread,1,fe0e065613a65f37e166a5ecccb912018a3ec559f58fb3375506e0fa1a67f36c,429161.0117617531,True,COMPLETED,0,0,0,2.359,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.5,thread,2,a5af743a0b7045505c2375ccfa1c6e026125b6d48d8423aa884e831f8b233a95,429161.0117617531,True,COMPLETED,0,0,0,2.331,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.5,thread,3,ad440d0754cdb4a02de5ec98b5e1cef45bc37235ef7173255f850965c558b8bb,429161.0117617531,True,COMPLETED,0,0,0,2.36,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.0,thread,1,29b9501ae47cc8222f76b34f64df127c80110204661ff7e89653cdac7c76d4d3,93250.02037697194,True,COMPLETED,0,0,0,2.126,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.0,thread,2,9b9d7036b84953f15f85a43355d0805cc29eb0a416bc91451a2ee49c6d4ed415,93250.02037697194,True,COMPLETED,0,0,0,2.173,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.0,thread,3,a10ef93326a448e0f80796fbf3634f50258da61391447a9d75d0ce0e230f0528,93250.02037697194,True,COMPLETED,0,0,0,1.907,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f015,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.15,thread,1,1168266fc1a7e9b25646d229ef5e7ff803a8434996de0665a13bc944f2bb2c1c,93225.62768088045,True,COMPLETED,0,0,0,1.961,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f015,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.15,thread,2,f6d16ef70df2135d1e0f7b8e8c9b722822d109cb3f369b387391220200e13c16,93225.62768088045,True,COMPLETED,0,0,0,1.848,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f015,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.15,thread,3,667fa1f6a1d858e5d79f352ed908258e3c1a23c6ca9aee3b0cc14be84f19e8db,93225.62768088045,True,COMPLETED,0,0,0,1.873,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f030,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.3,thread,1,0c26982d60167a3e1d4a1af85b70f273c78f62bf40ae2d1a39d9e4260beee69b,93202.1854932216,True,COMPLETED,0,0,0,1.874,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f030,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.3,thread,2,cc672eb7008d40619ef1b901ee694efc08ba5b5e9e11c4fa4cc96d0602da5214,93202.1854932216,True,COMPLETED,0,0,0,1.913,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f030,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.3,thread,3,581ba88832a2b858932d81dd86189fada15386da1f7369015fe5399e088a8236,93202.1854932216,True,COMPLETED,0,0,0,1.911,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.5,thread,1,1300571557bc203e1798fe2e11131b47bc7088eda05cc36fa64d0c0b576f585e,93071.20038935631,True,COMPLETED,0,0,0,1.924,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.5,thread,2,b86f824afaba36f2f7ab110b2191a51a5a56dcb5d09a0288061b6257b78f5b9a,None,False,ENGINE_FAILED,1,29,1,1.551,False,True,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.5,thread,3,330dfe6f89bc8a6a146ad6b5051a9014bba7d92380d766c46f5c8593ac7c7d2f,93172.14725318627,True,COMPLETED,0,0,0,1.988,False,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,ES.ME.AB.01.Gen.ReEx.001.001,es,0.0,thread,1,223a4a0265c7f210d0ab99cc21d27c78bfa7c6648d54ff5c4a69a10db9905285,177928.78032852308,True,COMPLETED,0,0,0,2.131,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,ES.ME.AB.01.Gen.ReEx.001.001,es,0.0,thread,2,a026944bf41ca55ab49ffeffa163b384b93af2ba722840353463754501db1cff,177928.78032852308,True,COMPLETED,0,0,0,2.076,True,False,False,
