cell_id,archetype_id,survey_fold,sensitivity_f,class,n_replicates,heating_kwh,bitwise_identical,severe_max,fatal_max,certified,reason
es__ES.ME.SFH.05.Gen.ReEx.001.001__f050,ES.ME.SFH.05.Gen.ReEx.001.001,es,0.5,ATTEMPTED,3,,False,0,0,False,replicates_disagree
es__ES.ME.SFH.05.Gen.ReEx.001.001__f100,ES.ME.SFH.05.Gen.ReEx.001.001,es,1.0,ATTEMPTED,3,,False,0,0,False,replicates_disagree
es__ES.ME.SFH.06.Gen.ReEx.001.001__f000,ES.ME.SFH.06.Gen.ReEx.001.001,es,0.0,ATTEMPTED,3,12640.975630443363,True,0,0,True,certified
es__ES.ME.SFH.06.Gen.ReEx.001.001__f015,ES.ME.SFH.06.Gen.ReEx.001.001,es,0.15,ATTEMPTED,3,12634.982299787187,True,0,0,True,certified
es__ES.ME.SFH.06.Gen.ReEx.001.001__f030,ES.ME.SFH.06.Gen.ReEx.001.001,es,0.3,ATTEMPTED,3,12629.97707214422,True,0,0,True,certified
es__ES.ME.SFH.06.Gen.ReEx.001.001__f050,ES.ME.SFH.06.Gen.ReEx.001.001,es,0.5,ATTEMPTED,3,,False,21,1,False,not_all_completed
es__ES.ME.SFH.06.Gen.ReEx.001.001__f100,ES.ME.SFH.06.Gen.ReEx.001.001,es,1.0,ATTEMPTED,3,,False,0,0,False,replicates_disagree
es__ES.ME.TH.01.Gen.ReEx.001.001__f000,ES.ME.TH.01.Gen.ReEx.001.001,es,0.0,BUILD_REFUSED,3,,False,0,0,False,build_refused
es__ES.ME.TH.01.Gen.ReEx.001.001__f015,ES.ME.TH.01.Gen.ReEx.001.001,es,0.15,BUILD_REFUSED,3,,False,0,0,False,build_refused
es__ES.ME.TH.01.Gen.ReEx.001.001__f030,ES.ME.TH.01.Gen.ReEx.001.001,es,0.3,BUILD_REFUSED,3,,False,0,0,False,build_refused
es__ES.ME.TH.01.Gen.ReEx.001.001__f050,ES.ME.TH.01.Gen.ReEx.001.001,es,0.5,BUILD_REFUSED,3,,False,0,0,False,build_refused
es__ES.ME.TH.01.Gen.ReEx.001.001__f100,ES.ME.TH.01.Gen.ReEx.001.001,es,1.0,BUILD_REFUSED,3,,False,0,0,False,build_refused
es__ES.ME.TH.02.Gen.ReEx.001.001__f000,ES.ME.TH.02.Gen.ReEx.001.001,es,0.0,ATTEMPTED,3,39392.229962183155,True,0,0,True,certified
es__ES.ME.TH.02.Gen.ReEx.001.001__f015,ES.ME.TH.02.Gen.ReEx.001.001,es,0.15,ATTEMPTED,3,39384.03381461765,True,0,0,True,certified
es__ES.ME.TH.02.Gen.ReEx.001.001__f030,ES.ME.TH.02.Gen.ReEx.001.001,es,0.3,ATTEMPTED,3,,False,0,0,False,replicates_disagree
es__ES.ME.TH.02.Gen.ReEx.001.001__f050,ES.ME.TH.02.Gen.ReEx.001.001,es,0.5,ATTEMPTED,3,,False,1,1,False,not_all_completed
es__ES.ME.TH.02.Gen.ReEx.001.001__f100,ES.ME.TH.02.Gen.ReEx.001.001,es,1.0,ATTEMPTED,3,39341.564336243566,True,0,0,True,certified
es__ES.ME.TH.03.Gen.ReEx.001.001__f000,ES.ME.TH.03.Gen.ReEx.001.001,es,0.0,ATTEMPTED,3,22118.183143292867,True,0,0,True,certified
es__ES.ME.TH.03.Gen.ReEx.001.001__f015,ES.ME.TH.03.Gen.ReEx.001.001,es,0.15,ATTEMPTED,3,22116.97623899346,True,0,0,True,certified
es__ES.ME.TH.03.Gen.ReEx.001.001__f030,ES.ME.TH.03.Gen.ReEx.001.001,es,0.3,ATTEMPTED,3,22115.818241544213,True,0,0,True,certified
es__ES.ME.TH.03.Gen.ReEx.001.001__f050,ES.ME.TH.03.Gen.ReEx.001.001,es,0.5,ATTEMPTED,3,22114.340571058045,True,0,0,True,certified
es__ES.ME.TH.03.Gen.ReEx.001.001__f100,ES.ME.TH.03.Gen.ReEx.001.001,es,1.0,ATTEMPTED,3,22111.108603364086,True,0,0,True,certified
es__ES.ME.TH.04.Gen.ReEx.001.001__f000,ES.ME.TH.04.Gen.ReEx.001.001,es,0.0,ATTEMPTED,3,,False,0,0,False,replicates_disagree
es__ES.ME.TH.04.Gen.ReEx.001.001__f015,ES.ME.TH.04.Gen.ReEx.001.001,es,0.15,ATTEMPTED,3,,False,1,1,False,not_all_completed
es__ES.ME.TH.04.Gen.ReEx.001.001__f030,ES.ME.TH.04.Gen.ReEx.001.001,es,0.3,ATTEMPTED,3,,False,1,1,False,not_all_completed
es__ES.ME.TH.04.Gen.ReEx.001.001__f050,ES.ME.TH.04.Gen.ReEx.001.001,es,0.5,ATTEMPTED,3,36865.69785802133,True,0,0,True,certified
es__ES.ME.TH.04.Gen.ReEx.001.001__f100,ES.ME.TH.04.Gen.ReEx.001.001,es,1.0,ATTEMPTED,3,,False,21,1,False,not_all_completed
es__ES.ME.TH.05.Gen.ReEx.001.001__f000,ES.ME.TH.05.Gen.ReEx.001.001,es,0.0,ATTEMPTED,3,,False,0,0,False,replicates_disagree
es__ES.ME.TH.05.Gen.ReEx.001.001__f015,ES.ME.TH.05.Gen.ReEx.001.001,es,0.15,ATTEMPTED,3,,False,1,1,False,not_all_completed
es__ES.ME.TH.05.Gen.ReEx.001.001__f030,ES.ME.TH.05.Gen.ReEx.001.001,es,0.3,ATTEMPTED,3,16964.251499743677,True,0,0,True,certified
es__ES.ME.TH.05.Gen.ReEx.001.001__f050,ES.ME.TH.05.Gen.ReEx.001.001,es,0.5,ATTEMPTED,3,,False,1,1,False,not_all_completed
es__ES.ME.TH.05.Gen.ReEx.001.001__f100,ES.ME.TH.05.Gen.ReEx.001.001,es,1.0,ATTEMPTED,3,,False,0,0,False,replicates_disagree
es__ES.ME.TH.06.Gen.ReEx.001.001__f000,ES.ME.TH.06.Gen.ReEx.001.001,es,0.0,ATTEMPTED,3,8502.092195243138,True,0,0,True,certified
es__ES.ME.TH.06.Gen.ReEx.001.001__f015,ES.ME.TH.06.Gen.ReEx.001.001,es,0.15,ATTEMPTED,3,8498.394975049547,True,0,0,True,certified
es__ES.ME.TH.06.Gen.ReEx.001.001__f030,ES.ME.TH.06.Gen.ReEx.001.001,es,0.3,ATTEMPTED,3,,False,1,1,False,not_all_completed
es__ES.ME.TH.06.Gen.ReEx.001.001__f050,ES.ME.TH.06.Gen.ReEx.001.001,es,0.5,ATTEMPTED,3,8491.544194449492,True,0,0,True,certified
es__ES.ME.TH.06.Gen.ReEx.001.001__f100,ES.ME.TH.06.Gen.ReEx.001.001,es,1.0,ATTEMPTED,3,8486.532844385672,True,0,0,True,certified
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.0,ATTEMPTED,3,93290.1368156589,True,0,0,True,certified
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f015,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.15,ATTEMPTED,3,93265.49585744369,True,0,0,True,certified
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f030,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.3,ATTEMPTED,3,93241.6910943281,True,0,0,True,certified
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.5,ATTEMPTED,3,93211.42645472022,True,0,0,True,certified
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f100,IT.MidClim.AB.01.Gen.ReEx.001.001,it,1.0,ATTEMPTED,3,,False,0,0,False,replicates_disagree
it__IT.MidClim.AB.02.Gen.ReEx.001.001__f000,IT.MidClim.AB.02.Gen.ReEx.001.001,it,0.0,ATTEMPTED,3,368801.5874569613,True,0,0,True,certified
it__IT.MidClim.AB.02.Gen.ReEx.001.001__f015,IT.MidClim.AB.02.Gen.ReEx.001.001,it,0.15,ATTEMPTED,3,368667.20520939154,True,0,0,True,certified
it__IT.MidClim.AB.02.Gen.ReEx.001.001__f030,IT.MidClim.AB.02.Gen.ReEx.001.001,it,0.3,ATTEMPTED,3,,False,37,1,False,not_all_completed
it__IT.MidClim.AB.02.Gen.ReEx.001.001__f050,IT.MidClim.AB.02.Gen.ReEx.001.001,it,0.5,ATTEMPTED,3,,False,0,0,False,replicates_disagree
it__IT.MidClim.AB.02.Gen.ReEx.001.001__f100,IT.MidClim.AB.02.Gen.ReEx.001.001,it,1.0,ATTEMPTED,3,367996.3798164515,True,0,0,True,certified
it__IT.MidClim.AB.03.Gen.ReEx.001.001__f000,IT.MidClim.AB.03.Gen.ReEx.001.001,it,0.0,ATTEMPTED,3,233511.54074689272,True,0,0,True,certified
it__IT.MidClim.AB.03.Gen.ReEx.001.001__f015,IT.MidClim.AB.03.Gen.ReEx.001.001,it,0.15,ATTEMPTED,3,233424.52648470926,True,0,0,True,certified
it__IT.MidClim.AB.03.Gen.ReEx.001.001__f030,IT.MidClim.AB.03.Gen.ReEx.001.001,it,0.3,ATTEMPTED,3,233341.0944505169,True,0,0,True,certified
it__IT.MidClim.AB.03.Gen.ReEx.001.001__f050,IT.MidClim.AB.03.Gen.ReEx.001.001,it,0.5,ATTEMPTED,3,,False,0,0,False,replicates_disagree
it__IT.MidClim.AB.03.Gen.ReEx.001.001__f100,IT.MidClim.AB.03.Gen.ReEx.001.001,it,1.0,ATTEMPTED,3,232999.14871661158,True,0,0,True,certified
it__IT.MidClim.AB.04.Gen.ReEx.001.001__f000,IT.MidClim.AB.04.Gen.ReEx.001.001,it,0.0,ATTEMPTED,3,,False,1,1,False,not_all_completed
