Date/Time,BATIMENT0000000357175643_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000357175643_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000357175643_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 11/06  23:00:00,1474922.854927992,1446423.877913537,2254357.7194007994 
 11/06  24:00:00,1559366.6681415918,1532473.2700494723,2343406.2066232795 
 11/07  01:00:00,1651897.9320893518,1627621.5264454456,2461603.9833562598 
 11/07  02:00:00,1749862.6337669676,1731398.3626557603,2631971.582239629 
 11/07  03:00:00,1836942.9766553564,1820918.1367238394,2744457.530812461 
 11/07  04:00:00,1945788.0239745085,1930178.0960970486,2855076.6961605567 
 11/07  05:00:00,2019289.6860201391,2004950.7543370763,2940599.8093211064 
 11/07  06:00:00,2052775.873799522,2040366.7559503447,2990610.074752656 
 11/07  07:00:00,2084570.7070348756,2073271.3682223721,3028167.882101532 
 11/07  08:00:00,2082814.7634654627,2071681.3906952841,3018348.8225714844 
 11/07  09:00:00,2061661.1847395748,2045918.3867126128,2965158.097859505 
 11/07  10:00:00,1809569.6860210586,1773500.184605464,2584433.396297163 
 11/07  11:00:00,1445539.4771471221,1361651.1413966743,2035490.4168220698 
 11/07  12:00:00,1160475.9079302815,990654.2206131605,1571657.5496383237 
 11/07  13:00:00,932853.977475007,721119.4208884109,1202029.004187259 
 11/07  14:00:00,765980.0693614503,553374.8331527219,937837.203848888 
 11/07  15:00:00,685788.3798876014,532614.8751689813,773340.4819228367 
 11/07  16:00:00,682876.4898071772,598763.6520372159,753383.4209222122 
 11/07  17:00:00,815052.6965399396,733930.4258974139,1097557.1828336152 
 11/07  18:00:00,1023399.0021346225,958204.5868887772,1494327.968719616 
 11/07  19:00:00,1330545.1396049417,1272640.1288053559,1880774.580866143 
 11/07  20:00:00,1657939.9426118662,1607962.5173616458,2314587.81150344 
 11/07  21:00:00,1874048.9184575374,1833335.8997812867,2644153.491531028 
 11/07  22:00:00,2037671.0217132147,2003849.6531302321,2879712.7449169094 
 11/07  23:00:00,2200415.6769662322,2171287.8153544036,3093721.627019585 
 11/07  24:00:00,2289359.857244412,2265142.183186431,3229160.7995161777 
 11/08  01:00:00,2307245.1890498074,2286695.999191716,3271039.9866021313 
 11/08  02:00:00,2383484.552401183,2369295.7154113227,3416447.1060986156 
 11/08  03:00:00,2502920.85312696,2494877.0680516595,3609991.098629568 
 11/08  04:00:00,2604472.20360183,2601206.498323636,3766904.588138244 
 11/08  05:00:00,2729250.1278929207,2729389.0613968405,3933324.565062567 
