building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,context_building_count
way/432411455,781cf4d5d5cee200,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,ea36c22a6156fb2c333216625a46fa2014c8162199527defe9486956c8aa4949,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,501.2589,501.2589,501.2589,8
way/432411457,cb80265296bb9030,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,FALLBACK_PENDING_LAYOUT,b00a427cb64213209c93038ea99964a807fa9aaacecd0c5e92f147132c734252,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,807.9783,807.9783,807.9783,9
way/432411459,10571379eb6a62a7,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,DWELLING_LAYOUT_EMITTED,90263bd23ee461610308bc8a1e78809c72b8374744340e12b00c8b745268c389,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1038.7702,1038.7702,1038.7702,10
way/432411462,0e4880e0fdf5d4dc,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,d726cefdf0896f5bf9c75363e456e31c65d6862b57eff79abd563e5b6b9f1932,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,305.1201,305.1201,286.806,7
way/432411464,804596aac5a73104,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,a9c80ce8d49d2828a7cf4f3836897ecab30497a1a24e235ba8e200aa16fed6ef,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,305.6604,305.6604,305.6604,10
way/432411472,8bff55dd6fa625b1,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,52a398583e7890ce4b1df519c2ee2983c4eaa02eb2fe219a87b7308cdf584f54,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,961.9511,961.9511,961.9511,18
way/432411814,d2184af8a2804484,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,e795e3f00c502e506b4ee096a11406630983a09973d769484f7f68607488125a,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1862.7202,1862.7202,1862.7202,17
way/432411815,e83c22953bc5182f,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,36c988944895402d75f64be3115fe9c837827ca577be49805f9ad47bc1f67665,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,685.2766,685.2766,685.2766,17
way/432411816,dc85212502c83883,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,e32c35fd2b8d288cd696fc5567f67eae9dc39d5c1d1e897d03e6ffb1fe448acc,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,124.8434,124.8434,124.8434,9
way/432411817,4690764d3de2a465,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,7f853e2aa3892f7498f46cf4e05ea96ae33a675b73df5944e4945f854a043dc6,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,58.2282,58.2282,58.2282,9
