building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,storey_provenance,imputation_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,eui_denominator_m2,context_building_count,fallback_reason
way/360408499,0175f7ba7623ac3c,GB.ENG.TH.01.Gen.ReEx.001.001,TH,GB.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,6880e2ea4abdb00acd9154c616964d0b6b92a5e08b6b4f91a0956355b4d63ba2,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,IMPUTED_NEIGHBOUR_NEAREST_4.3M,,IMPUTED_NEIGHBOUR_NEAREST_4.3M,30.6735,30.6735,30.6735,30.6735,10,
way/360408509,5128ba7f53645b44,GB.ENG.TH.01.Gen.ReEx.001.001,TH,GB.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,2ced8d1b3e1143957f5028cc877b7390d439135bd75cc337e5b510aeb3a78c61,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,IMPUTED_NEIGHBOUR_NEAREST_4.1M,,IMPUTED_NEIGHBOUR_NEAREST_4.1M,40.9872,40.9872,40.9872,40.9872,6,
way/360617974,87124f60d69c9e06,GB.ENG.TH.07.Gen.ReEx.001.001,TH,GB.07,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,02640958d531bf27011ac5e5ee321ffd766f37dc2d93632af87994eac6fd2cc7,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,IMPUTED_NEIGHBOUR_STRADDLE_OLDER_BAND,,IMPUTED_NEIGHBOUR_STRADDLE_OLDER_BAND,40.6811,40.6811,40.6811,40.6811,8,
way/360924356,af6df8bc32933a8f,GB.ENG.TH.06.Gen.ReEx.001.001,TH,GB.06,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,777109ed3630babbdc8a097437d6c38f24d63995ff850d5dc584171a42ecf0ff,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,IMPUTED_NEIGHBOUR_NEAREST_10.4M,,IMPUTED_NEIGHBOUR_NEAREST_10.4M,78.6588,78.6588,78.6588,78.6588,5,
way/360977295,616fab6a013fb93c,GB.ENG.TH.01.Gen.ReEx.001.001,TH,GB.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,06817b1f4d55ebe1a9f696a828ca136093e4d1cd5c2450ab70069e7649e0d597,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,IMPUTED_NEIGHBOUR_NEAREST_0.0M,,IMPUTED_NEIGHBOUR_NEAREST_0.0M,35.1547,35.1547,35.1547,35.1547,10,
way/381441241,8b06677b97b30bb3,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,GB.06,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,b4adbee6cd4dc6f132c4b97cf6f034c9e7e557faa9e1cfe104ccf0446867a810,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,IMPUTED_DISTRICT_MODE,,IMPUTED_DISTRICT_MODE,3274.6907,3274.6907,3274.6907,3274.6907,5,
way/381466697,f28fa76e7bf82b34,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,GB.06,DWELLING_LAYOUT_EMITTED_BEST_EFFORT_IMPUTED_COUNT,cee90988a266509cd159246358e0c7b325a79471fb7f984b13e19316db5a094b,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,IMPUTED_DISTRICT_MODE,,IMPUTED_DISTRICT_MODE,2836.0802,2836.0802,2836.0802,2836.0802,9,NOCORE_BEST_EFFORT_C10
way/387106026,e47d35e044c5bf25,GB.ENG.AB.04.Gen.ReEx.001.001,AB,D|E,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,9c3d232c4aba2f6b0005f0c76297eb81b700098e01887f8bf965c16878d74834,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,EPC_MULTI_CERTIFICATE_BAND_INTERSECTION,IMPUTED_NEIGHBOUR_NEAREST_16.1M,IMPUTED_NEIGHBOUR_NEAREST_16.1M,1756.5445,1756.5445,1756.5445,1756.5445,8,DWELLING_DENSITY_EXCEEDS_RULED_GRID_GT_12
way/388457725,33f000a6e847d20c,GB.ENG.AB.07.Gen.ReEx.001.001,AB,GB.07,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,119e1485cf93749fca59a4b2fce1fa5948dfc5596b3358ed4303cbca8511d66a,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,IMPUTED_NEIGHBOUR_NEAREST_0.0M,,IMPUTED_NEIGHBOUR_NEAREST_0.0M,438.5504,438.5504,438.5504,438.5504,16,DWELLING_DENSITY_EXCEEDS_RULED_GRID_GT_12
way/388460383,e04d187b5a6afccd,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,GB.08,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,46cec2718910f5291eda1c61994b2d95263f26942c1afbb437c3482af0646f92,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,IMPUTED_NEIGHBOUR_NEAREST_4.7M,,IMPUTED_NEIGHBOUR_NEAREST_4.7M,522.1615,522.1615,522.1615,522.1615,4,
way/389707049,50d0a54063e89d5f,GB.ENG.AB.04.Gen.ReEx.001.001,AB,D|E|F,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,b2bc9913a1a783213b86d07841d311ebddd6d70923aeea30286155290fc821ce,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,EPC_MULTI_CERTIFICATE_BAND_INTERSECTION,IMPUTED_NEIGHBOUR_NEAREST_10.4M,IMPUTED_NEIGHBOUR_NEAREST_10.4M,800.3685,800.3685,800.3685,800.3685,10,DWELLING_DENSITY_EXCEEDS_RULED_GRID_GT_12
way/389890209,300280d8af323e47,GB.ENG.SFH.06.Gen.ReEx.001.001,SFH,GB.06,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,579d92014465a473e88ba8c5095306121dd6b822687817d5ab9c509a43426cca,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,IMPUTED_DISTRICT_MODE,,IMPUTED_DISTRICT_MODE,60.4346,60.4346,60.4346,60.4346,1,
way/390194491,9c9ccc9646d1d834,GB.ENG.TH.01.Gen.ReEx.001.001,TH,GB.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,3136041bd2be3058e2f8e51dbe5f0e886012949216b04866a7376593426fe19e,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,IMPUTED_NEIGHBOUR_STRADDLE_OLDER_BAND,,IMPUTED_NEIGHBOUR_STRADDLE_OLDER_BAND,66.5697,66.5697,66.5697,66.5697,6,
way/390194492,2922a87df0856eb7,GB.ENG.TH.06.Gen.ReEx.001.001,TH,GB.06,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,73368bc9ca169baca306617378dbd47b1d5be02fe3478b8cf8314b6b3033df63,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,IMPUTED_NEIGHBOUR_NEAREST_4.5M,,IMPUTED_NEIGHBOUR_NEAREST_4.5M,70.1076,70.1076,70.1076,70.1076,6,
way/390797575,a2ea308f54dea822,GB.ENG.TH.03.Gen.ReEx.001.001,TH,GB.03,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,65e9b4bf1ddfd6300fa67e6d3995751c9e6faa8939d33f1c3541679aa122c8f8,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,IMPUTED_NEIGHBOUR_STRADDLE_OLDER_BAND,,IMPUTED_NEIGHBOUR_STRADDLE_OLDER_BAND,51.0719,51.0719,51.0719,51.0719,12,
way/390799028,d5d72b2398dd5c0b,GB.ENG.TH.03.Gen.ReEx.001.001,TH,GB.03,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,dfe1b8672a11c904d3ae5c74f0c248e0200eae4e230523fbd78fc92e08acfd20,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,IMPUTED_NEIGHBOUR_NEAREST_6.2M,,IMPUTED_NEIGHBOUR_NEAREST_6.2M,54.1916,54.1916,54.1916,54.1916,15,
way/390799030,33aeaacde24679a7,GB.ENG.TH.06.Gen.ReEx.001.001,TH,GB.06,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,4282dec85ce8d96291a96ec1c1c7d22c574e8d558d995179d600709b7f6278fe,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,IMPUTED_NEIGHBOUR_NEAREST_11.3M,,IMPUTED_NEIGHBOUR_NEAREST_11.3M,68.4719,68.4719,68.4719,68.4719,16,
