building_id,stage,blocker,detail
way/1056576461,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056576464,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056576465,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056576466,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_I|K,
way/1056576467,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1056576470,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056576471,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056576473,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1056576474,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1056804566,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056804567,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_F|L,
way/1056804568,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1056804569,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1056804570,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056804571,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056804572,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_C|H|K,
way/1056804573,base_mapping,PERIOD_STRADDLE_J_GB.06_GB.07,
way/1056804574,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056849908,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_G|I,
way/1056849911,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1056849912,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1057093129,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1057093130,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1057529446,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1057529447,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1057529448,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1057529449,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1057529450,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1057529451,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1057778427,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1057778444,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1057778450,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1057778451,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1057778452,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_G|J,
way/1058042181,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058042182,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058042183,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1058042185,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1058042186,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058042187,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058042188,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058042189,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058042190,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058042191,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058042192,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058042193,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058057716,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058057717,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058057718,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058057719,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058057720,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058057721,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058057722,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058147230,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058147231,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058147232,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058147233,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058147235,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058147237,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058147238,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058147239,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252088,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252091,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252092,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252095,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252096,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252099,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252100,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252102,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252103,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252104,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252105,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252106,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252107,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252108,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252109,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_G|I,
way/1058252110,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252112,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252114,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252116,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252117,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252119,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252120,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252121,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252122,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252123,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_E|F|G|I|J,
way/1058252124,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252125,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252126,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058252127,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058438117,base_mapping,PERIOD_STRADDLE_J_GB.06_GB.07,
way/1058438119,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_F|H,
way/1058438120,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_G|H|I|J,
way/1058438121,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058438122,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058438124,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058438125,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1058438126,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1060201727,base_mapping,PERIOD_STRADDLE_F_GB.04_GB.05,
way/1060201728,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1060201729,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1060201730,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1060201731,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1060522013,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1060522014,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_A|D,
way/1060522015,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_A|C,
way/1060522016,base_mapping,PERIOD_STRADDLE_B_GB.01_GB.02,
way/1060522017,base_mapping,PERIOD_STRADDLE_B_GB.01_GB.02,
way/1060522018,base_mapping,PERIOD_STRADDLE_B_GB.01_GB.02,
way/1061146998,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1061147000,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1061147002,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1061147003,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1061147004,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1061147006,base_mapping,PERIOD_STRADDLE_B_GB.01_GB.02,
way/1061203026,base_mapping,PERIOD_STRADDLE_B_GB.01_GB.02,
way/1061203030,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1061203031,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1061203032,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1061203033,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1061203035,base_mapping,PERIOD_STRADDLE_B_GB.01_GB.02,
way/1330242236,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1430302432,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1430302433,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1430302434,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430302435,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1430302436,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430302438,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_E|G,
way/1430302439,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430302440,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1430302442,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430302444,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430302465,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1430302466,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1430302467,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1430302468,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430302469,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1430302477,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_D|H,
way/1430302478,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1430302488,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430302489,base_mapping,PERIOD_STRADDLE_F_GB.04_GB.05,
way/1430536816,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1430536817,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_E|G,
way/1430536818,base_mapping,PERIOD_STRADDLE_F_GB.04_GB.05,
way/1430536819,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430536822,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1430536823,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_C|D|E,
way/1430536836,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430536837,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
