cell,osm_id,archetype_id,levels,footprint_area_m2,floor_area_m2,is_under_500m2,n_proto_geometric,has_baseline,category_geometric,category_registry_alt
nyc_urban,way/241862383,OpenUBEMUnknown,2.0,27.4017670251964,54.8035340503928,True,,False,no_baseline,
nyc_urban,way/241862386,SmallOffice,4.0,153.40574141364905,613.6229656545962,False,2.0,True,taller,
nyc_urban,way/241862391,SmallOffice,3.0,71.97816185324847,215.93448555974538,True,2.0,True,taller,
nyc_urban,way/241862394,SmallOffice,3.0,89.21154516690922,267.63463550072765,True,2.0,True,taller,
nyc_urban,way/241862398,OpenUBEMUnknown,2.0,52.43156002851735,104.8631200570347,True,,False,no_baseline,
nyc_urban,way/241862401,SmallOffice,3.0,50.94657287997362,152.83971863992087,True,2.0,True,taller,
nyc_urban,way/241862405,OpenUBEMUnknown,2.0,44.898208462658175,89.79641692531635,True,,False,no_baseline,
nyc_urban,way/241862408,OpenUBEMUnknown,2.0,45.71207388367607,91.42414776735214,True,,False,no_baseline,
nyc_urban,way/241862417,OpenUBEMUnknown,1.0,40.84521748509084,40.84521748509084,True,,False,no_baseline,
nyc_urban,way/241862421,OpenUBEMUnknown,1.0,32.18700655314704,32.18700655314704,True,,False,no_baseline,
nyc_urban,way/241862424,SmallOffice,3.0,162.90172301184418,488.70516903553255,True,2.0,True,taller,
nyc_urban,way/241862427,SmallOffice,3.0,70.78332658852955,212.34997976558864,True,2.0,True,taller,
nyc_urban,way/241862431,SmallOffice,4.0,82.3259364746841,329.3037458987364,True,2.0,True,taller,
nyc_urban,way/241862436,OpenUBEMUnknown,2.0,36.62773621124208,73.25547242248416,True,,False,no_baseline,
nyc_urban,way/241862439,MediumOffice,5.0,137.1129670019018,685.564835009509,False,3.0,True,taller,
nyc_urban,way/241862443,OpenUBEMUnknown,2.0,34.05043034023887,68.10086068047774,True,,False,no_baseline,
nyc_urban,way/241862447,SmallOffice,3.0,55.45324357853865,166.35973073561593,True,2.0,True,taller,
nyc_urban,way/241862450,OpenUBEMUnknown,2.0,53.84602349982256,107.69204699964511,True,,False,no_baseline,
nyc_urban,way/241862453,SmallOffice,4.0,130.82250215296705,523.2900086118682,False,2.0,True,taller,
nyc_urban,way/241862456,OpenUBEMUnknown,1.0,38.55033857124937,38.55033857124937,True,,False,no_baseline,
nyc_urban,way/241862458,MediumOffice,4.0,241.41942467812407,965.6776987124963,False,3.0,True,taller,
nyc_urban,way/241862461,SmallOffice,3.0,88.671078758258,266.01323627477404,True,2.0,True,taller,
nyc_urban,way/241862464,SmallOffice,3.0,126.17601938813522,378.52805816440565,True,2.0,True,taller,
nyc_urban,way/241862467,SmallOffice,3.0,71.82474030629834,215.474220918895,True,2.0,True,taller,
nyc_urban,way/241862469,OpenUBEMUnknown,1.0,22.49045204737729,22.49045204737729,True,,False,no_baseline,
nyc_urban,way/241862472,SmallOffice,4.0,142.50444005823755,570.0177602329502,False,2.0,True,taller,
nyc_urban,way/241862474,SmallOffice,3.0,72.3135477215895,216.94064316476852,True,2.0,True,taller,
nyc_urban,way/241862477,SmallOffice,2.0,72.39078775359695,144.7815755071939,True,2.0,True,equal,
nyc_urban,way/241862480,SmallOffice,3.0,61.04079730225043,183.1223919067513,True,2.0,True,taller,
nyc_urban,way/241862482,SmallOffice,3.0,54.77605328013144,164.32815984039433,True,2.0,True,taller,
nyc_urban,way/241862485,OpenUBEMUnknown,1.0,57.14059447134872,57.14059447134872,True,,False,no_baseline,
nyc_urban,way/241862488,OpenUBEMUnknown,2.0,38.00651942433818,76.01303884867636,True,,False,no_baseline,
nyc_urban,way/241862490,SmallOffice,4.0,121.0137736559355,484.055094623742,True,2.0,True,taller,
nyc_urban,way/241862493,OpenUBEMUnknown,1.0,29.449579802069124,29.449579802069124,True,,False,no_baseline,
nyc_urban,way/241862496,MediumOffice,4.0,179.24587971568985,716.9835188627594,False,3.0,True,taller,
nyc_urban,way/241862498,SmallOffice,3.0,86.95625910492622,260.86877731477864,True,2.0,True,taller,
nyc_urban,way/241862505,SmallOffice,3.0,51.68831980381803,155.06495941145408,True,2.0,True,taller,
