primary_archetype,idf_filename,total_zone_count,num_modelled_storeys,floor_band_convention,zones_by_band,has_multiplier_gt_1,avg_storey_plate_area_m2,recomputed_floor_area_m2,registry_baseline_area_m2,area_diff_pct,disagreements
Outpatient,ASHRAE901_OutPatientHealthCare_STD2022_Buffalo.idf,118,3,F1/F2/...,Z=0.0m:59z(1373.3m2); Z=3.05m:37z(1215.4m2); Z=6.1m:22z(1215.4m2),False,1268.0,3804.01,3804.0,0.0,None
QuickServiceRestaurant,ASHRAE901_RestaurantFastFood_STD2022_Buffalo.idf,3,2,other,Z=0.0m:2z(232.3m2); Z=3.05m:1z(232.3m2),False,232.34,464.69,232.0,100.3,None
FullServiceRestaurant,ASHRAE901_RestaurantSitDown_STD2022_Buffalo.idf,3,2,other,Z=0.0m:2z(511.2m2); Z=3.05m:1z(511.2m2),False,511.15,1022.31,511.0,100.06,None
RetailStandalone,ASHRAE901_RetailStandalone_STD2022_Buffalo.idf,5,1,single-storey,Z=0.0m:5z(2294.0m2),False,2293.99,2293.99,2294.0,-0.0,None
RetailStripmall,ASHRAE901_RetailStripmall_STD2022_Buffalo.idf,10,1,single-storey,Z=0.0m:10z(2090.3m2),False,2090.32,2090.32,2090.0,0.02,None
PrimarySchool,ASHRAE901_SchoolPrimary_STD2022_Buffalo_50pct_downscaled.idf,25,1,single-storey,Z=0.0m:25z(3435.5m2),False,3435.5,3435.5,6871.0,-50.0,None
SecondarySchool,ASHRAE901_SchoolSecondary_STD2022_Buffalo_50pct_downscaled.idf,46,2,F1/F2/...,Z=0.0m:25z(5951.0m2); Z=4.0m:21z(3845.0m2),False,4898.0,9796.0,19592.0,-50.0,None
Warehouse,ASHRAE901_Warehouse_STD2022_Buffalo.idf,3,1,single-storey,Z=0.0m:3z(4598.3m2),False,4598.25,4598.25,4835.0,-4.9,None
College,College_90.1-2019_6A_Buffalo_v221.idf,117,4,F1/F2/...,Z=-0.0m:26z(1603.9m2); Z=3.96m:30z(1603.9m2); Z=7.92m:31z(1603.9m2); Z=11.89m:30z(1603.9m2),False,1603.88,6415.51,11000.0,-41.68,None
Laboratory,Laboratory_90.1-2019_6A_Buffalo_v221.idf,24,6,other,Z=0.0m:7z(2787.1m2); Z=3.05m:1z(2787.1m2); Z=4.57m:7z(2787.1m2); Z=7.62m:1z(2787.1m2); Z=9.14m:7z(2787.1m2); Z=12.19m:1z(2787.1m2),False,2787.09,16722.55,8500.0,96.74,None
SmallDataCenterHighITE,SmallDataCenterHighITE_90.1-2019_6A_Buffalo_v221.idf,1,1,single-storey,Z=0.0m:1z(55.7m2),False,55.74,55.74,55.7,0.08,None
SmallDataCenterLowITE,SmallDataCenterLowITE_90.1-2019_6A_Buffalo_v221.idf,1,1,single-storey,Z=0.0m:1z(55.7m2),False,55.74,55.74,55.7,0.08,None
SuperMarket,Supermarket_V22.1.idf,2,1,single-storey,Z=0.0m:2z(2090.1m2),False,2090.11,2090.11,4181.0,-50.01,None
SuperTallBuilding,SuperTallBuilding_90.1-2019_6A_Buffalo_v221.idf,256,30,F1/F2/...,Z=-4.88m:9z(1858.2m2); Z=0.0m:10z(1858.2m2); Z=4.27m:1z(1858.2m2); Z=7.32m:9z(3716.4m2); Z=11.58m:1z(3716.4m2); Z=31.46m:23z(16723.8m2); Z=34.66m:1z(16723.8m2); Z=69.31m:23z(16723.8m2); Z=72.51m:1z(16723.8m2); Z=107.17m:23z(16723.8m2); Z=110.37m:1z(16723.8m2); Z=140.82m:23z(13007.4m2); Z=144.02m:1z(13007.4m2); Z=157.64m:6z(1858.2m2); Z=160.84m:1z(1858.2m2); Z=161.85m:20z(1858.2m2); Z=165.05m:1z(1858.2m2); Z=180.78m:20z(14865.6m2); Z=183.98m:1z(14865.6m2); Z=214.43m:20z(14865.6m2); Z=217.63m:1z(14865.6m2); Z=233.35m:11z(1858.2m2); Z=236.56m:1z(1858.2m2); Z=252.28m:15z(14865.6m2); Z=255.48m:1z(14865.6m2); Z=283.83m:15z(13007.4m2); Z=287.03m:1z(13007.4m2); Z=300.65m:14z(1858.2m2); Z=303.86m:1z(1858.2m2); Z=304.86m:1z(209.0m2),True,8988.27,269647.96,60000.0,349.41,None
TallBuilding,TallBuilding_90.1-2019_6A_Buffalo_v221.idf,164,20,F1/F2/...,Z=-4.88m:9z(1858.2m2); Z=0.0m:10z(1858.2m2); Z=4.27m:1z(1858.2m2); Z=4.88m:9z(1858.2m2); Z=9.14m:1z(1858.2m2); Z=23.77m:23z(16723.8m2); Z=26.52m:1z(16723.8m2); Z=55.32m:23z(16723.8m2); Z=58.06m:1z(16723.8m2); Z=72.85m:20z(1858.2m2); Z=75.59m:1z(1858.2m2); Z=88.62m:20z(14865.6m2); Z=91.36m:1z(14865.6m2); Z=104.39m:11z(1858.2m2); Z=107.14m:1z(1858.2m2); Z=118.41m:15z(13007.4m2); Z=121.16m:1z(13007.4m2); Z=132.44m:14z(1858.2m2); Z=135.18m:1z(1858.2m2); Z=135.94m:1z(153.3m2),True,7161.73,143234.65,25000.0,472.94,None
