building_id,district,outcome_before,outcome_after,whole_before,whole_after,n_zones_before,n_zones_after,dwellings_after,floor_area_before,floor_area_after,area_delta_pct
way/289510897,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,2.0,2.0,2.0,484.2447,484.2036,-0.00848744446764798
way/289510898,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,2.0,2.0,2.0,202.1388,202.1388,0.0
way/289510900,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,4.0,9.0,9.0,1075.6286,1074.9563,-0.06250298662567638
way/289595788,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,2.0,2.0,2.0,182.2177,182.2177,0.0
way/289692616,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,258.9963,258.9963,0.0
way/289692617,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,277.7671,277.7341,-0.011880456684760527
way/289692618,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,329.7534,329.7534,0.0
way/289692619,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,14.0,14.0,14.0,217.5195,217.5221,0.0011952951344596902
way/289692620,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,5.0,14.0,14.0,907.0903,906.7889,-0.03322712193041246
way/289692621,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,4.0,7.0,7.0,456.8593,456.9655,0.023245668852533194
way/289692622,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,148.7373,148.7411,0.002554839976242703
way/289692623,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,Y,3.0,3.0,0.0,1472.4522,1472.4522,0.0
way/289692624,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,4.0,4.0,4.0,918.7248,919.7474,0.1113064543375787
way/289779210,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,82.3989,82.3989,0.0
way/289779214,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,16.0,16.0,16.0,1905.9975,1906.0071,0.0005036732734482241
way/289779218,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,335.6049,335.6296,0.007359844865195868
way/289779221,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,144.1383,144.0879,-0.03496641766969378
way/289979822,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,3.0,3.0,3.0,447.7548,447.6544,-0.022422986866914477
way/289979823,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,3.0,3.0,3.0,325.4283,325.4283,0.0
way/289979824,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,6.0,6.0,6.0,349.9015,349.9015,0.0
way/289979825,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,4.0,6.0,6.0,382.9776,382.4757,-0.13105205108601073
way/289979826,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,101.4175,101.4402,0.0223827248748987
way/289979828,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,6.0,6.0,6.0,311.0507,311.055,0.0013824112917928289
way/289979829,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,5.0,23.0,23.0,1840.81,1841.4223,0.03326253116834463
way/290026247,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,44.9762,44.9762,0.0
way/290026248,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,FALLBACK_PENDING_LAYOUT,Y,Y,1.0,1.0,0.0,60.7154,60.7154,0.0
way/290026249,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,48.2366,48.2366,0.0
way/290026253,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,13.0,13.0,13.0,483.2104,483.1613,-0.01016120513962653
way/290026255,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,65.4177,65.4172,-0.0007643191368733346
way/290026256,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,4.0,30.0,30.0,2545.8831,2547.0473,0.0457287296498478
way/290026258,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,FALLBACK_PENDING_LAYOUT,Y,Y,2.0,2.0,0.0,318.6047,318.6047,0.0
way/290026259,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,76.0861,76.0861,0.0
way/290653348,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,DWELLING_LAYOUT_EMITTED,Y,N,3.0,14.0,14.0,775.4027,775.4499,0.00608715961396256
way/290653349,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,4.0,8.0,8.0,506.7904,506.4377,-0.06959484631121077
way/290653350,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,3.0,6.0,6.0,341.072,340.9811,-0.026651264249183883
way/290653352,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,Y,4.0,4.0,0.0,711.3331,711.3331,0.0
way/290653355,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,2.0,2.0,2.0,147.3754,147.3754,0.0
way/290662257,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,64.1243,64.1243,0.0
way/290662258,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,5.0,5.0,5.0,416.8246,416.8246,0.0
way/290662259,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,5.0,12.0,12.0,1494.0191,1494.1242,0.0070347159551034585
way/290663060,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,6.0,6.0,6.0,669.1554,669.1554,0.0
way/290663061,ES-MAD-BERRUGUETE,FALLBACK_PENDING_LAYOUT,FALLBACK_PENDING_LAYOUT,Y,Y,3.0,3.0,0.0,301.5687,301.5687,0.0
way/290820835,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,41.8241,41.8241,0.0
way/290820839,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,4.0,10.0,10.0,691.201,691.2178,0.002430552039130335
way/290820840,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,3.0,3.0,3.0,340.291,339.94,-0.1031470124099665
way/290820842,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,3.0,3.0,3.0,203.1513,203.1513,0.0
way/290820844,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,8.0,8.0,8.0,669.9761,669.9976,0.0032090696966742584
way/290820846,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED,Y,N,5.0,9.0,9.0,488.4057,488.0724,-0.0682424468019125
way/290820847,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,6.0,6.0,6.0,492.2454,492.2472,0.000365671268843327
way/290820849,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,5.0,5.0,5.0,438.5482,438.5482,0.0
way/290820851,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,Y,6.0,6.0,0.0,1885.082,1885.0894,0.0003925558675941649
way/291149502,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,1.0,1.0,1.0,129.1101,129.1101,0.0
way/291149503,ES-MAD-BERRUGUETE,DWELLING_LAYOUT_EMITTED,DWELLING_LAYOUT_EMITTED,N,N,26.0,26.0,26.0,1591.6619,1591.6724,0.000659687839475544
