building_id,n_surfaces_checked,n_defective_surfaces,first_defect_kind,first_defect_angle_deg,first_defect_edge_m,defect_on_footprint_ring,has_interzone_partner
way/288276179,42,0,,,,,
way/288461992,32,0,,,,,
way/288461994,8,2,collinear,179.917321,1.64981696,Y,N
way/288461996,13,0,,,,,
way/288461997,15,0,,,,,
way/288600848,33,0,,,,,
way/288600850,42,0,,,,,
way/288600852,46,0,,,,,
way/288600854,27,0,,,,,
way/288600859,24,0,,,,,
way/288600861,162,12,collinear,179.986009,2.51015617,Y,N
way/289362368,21,0,,,,,
way/289362370,8,2,collinear,179.978082,1.49645882,Y,N
way/289362372,76,0,,,,,
way/289362374,8,0,,,,,
way/289364388,64,2,collinear,179.968224,4.09284864,Y,N
way/289364389,16,0,,,,,
way/289510893,42,0,,,,,
way/289510894,8,0,,,,,
way/289510897,20,0,,,,,
way/289510898,18,0,,,,,
way/289510900,52,0,,,,,
way/289595788,18,0,,,,,
way/289692616,14,0,,,,,
way/289692617,9,2,collinear,179.921015,4.36325715,Y,N
way/288447771,30,0,,,,,
way/288447773,52,0,,,,,
way/288450068,70,0,,,,,
way/288450069,60,0,,,,,
way/288461982,109,2,collinear,179.985349,4.48406166,Y,N
way/288461983,100,0,,,,,
way/288461988,9,2,collinear,179.980387,10.11903879,Y,N
way/288461989,33,0,,,,,
way/289692618,10,0,,,,,
way/289692619,87,0,,,,,
way/289692620,50,0,,,,,
way/289692621,24,0,,,,,
way/289692622,11,2,collinear,179.954089,4.59680857,Y,N
way/289692623,39,0,,,,,
way/289692624,40,0,,,,,
way/289779210,9,0,,,,,
way/289434329,72,0,,,,,
way/289434331,24,0,,,,,
way/289434333,14,0,,,,,
way/289434335,30,0,,,,,
way/289434336,20,0,,,,,
way/289434337,81,6,collinear,179.993829,6.76544729,Y,N
way/289434338,45,0,,,,,
way/289434339,21,0,,,,,
way/289779214,99,0,,,,,
way/289779218,26,0,,,,,
way/289779221,14,2,collinear,179.912123,7.19565987,Y,N
way/289979822,27,0,,,,,
way/289979823,27,0,,,,,
way/289979824,50,0,,,,,
way/289979825,28,0,,,,,
way/289979826,14,2,collinear,179.927238,6.90827041,Y,N
way/290026258,34,4,collinear,179.943697,3.17695105,Y,N
way/290026259,10,0,,,,,
way/290653348,66,6,collinear,179.912567,4.08746425,Y,N
way/290653349,40,0,,,,,
way/290653350,18,0,,,,,
way/290653352,36,0,,,,,
way/290653355,20,0,,,,,
way/290662257,7,0,,,,,
relation/4154506,430,125,proximity,,0.00447214,N,N
relation/4154554,525,200,proximity,,0.001,N,Y
relation/4154555,214,44,collinear,179.920598,0.47015955,Y,N
relation/4154596,220,88,proximity,,0.00016951,Y,N
relation/4164892,182,28,collinear,179.931925,1.78635719,Y,N
relation/4164893,376,10,collinear,179.961696,0.90409789,Y,N
relation/4164894,80,8,collinear,179.979195,5.87921764,Y,N
relation/4164895,332,16,collinear,179.955267,1.83601334,Y,N
way/290662258,42,0,,,,,
way/290662259,45,0,,,,,
way/290663060,45,0,,,,,
way/290663061,30,0,,,,,
way/290820835,7,0,,,,,
way/290820839,24,0,,,,,
way/290820840,18,0,,,,,
way/290820842,21,0,,,,,
way/289387273,33,0,,,,,
way/289387274,27,0,,,,,
