building_id,district,population,surface_name,vertex_index,defect_kind,interior_angle_deg,edge1_m,edge2_m,perp_dist_to_chord_m,abs_area_change_m2,ring_area_m2,relative_area_change,admitted_1e6
way/286685222,ES-MAD-BERRUGUETE,173_undivided,Block c57a45184a1c34ba_whole Storey 0 Floor 0001,16,collinear,179.99937946277126,12.056662929627727,9.65696774365227,5.807530238416497e-05,0.0006305128335952759,490.99400597810745,1.2841558673190591e-06,False
relation/12993356,ES-MAD-BERRUGUETE,173_undivided,Block f734f8445bc66815_whole Storey 0 Floor 0001,3,collinear,179.95263589689833,12.262903571302186,7.671906216569529,0.0039013162708793204,0.038885995745658875,339.66373348608613,0.00011448380239644214,False
relation/12993356,ES-MAD-BERRUGUETE,173_undivided,Block f734f8445bc66815_whole Storey 0 Floor 0001,5,collinear,179.90279958757094,8.123122859590188,4.084000489699416,0.004610424456085179,0.028140000998973846,339.66373348608613,8.284664574037182e-05,False
relation/5662803,ES-MAD-BERRUGUETE,173_undivided,Block 4d588743b2a0cd3e_whole Storey 0 Floor 0001,3,collinear,179.94565457547773,10.000577283293518,8.986768551559916,0.0044895702399692415,0.042622506618499756,339.90276499837637,0.0001253961750464235,False
relation/5808693,ES-MAD-BERRUGUETE,173_undivided,Block 6e8c342c111770cf_whole Storey 0 Floor 0001,3,collinear,179.93757520700262,18.12396650831637,8.566174467156651,0.006337584734557931,0.08457550406455994,529.2582814842463,0.0001598000579742981,False
way/288600861,ES-MAD-BERRUGUETE,173_undivided,Block e7b81d4b0e60b668_whole Storey 0 Floor 0001,20,collinear,179.98600949483696,2.5101561704469213,9.139693758303151,0.00048086347079070535,0.0028009936213493347,881.1317540258169,3.178859016885761e-06,False
way/289434337,ES-MAD-BERRUGUETE,173_undivided,Block cd09b093c31ecf78_whole Storey 0 Floor 0001,19,collinear,179.9938289928874,6.765447287352945,6.896143341967325,0.00036781949655356077,0.002512499690055847,328.2770294994116,7.653595787335924e-06,False
way/289434337,ES-MAD-BERRUGUETE,173_undivided,Block cd09b093c31ecf78_whole Storey 0 Floor 0001,20,collinear,179.96572268631388,6.896143341967325,0.9853045221294132,0.0005157690720063999,0.0020325034856796265,328.2770294994116,6.191427675518398e-06,False
way/289434337,ES-MAD-BERRUGUETE,173_undivided,Block cd09b093c31ecf78_whole Storey 0 Floor 0001,21,collinear,179.99922109401564,0.9853045221294132,11.57136677260527,1.2342998708840526e-05,7.749348878860474e-05,328.2770294994116,2.360612587081535e-07,True
way/290026258,ES-MAD-BERRUGUETE,173_undivided,Block c046106c23fd3576_whole Storey 0 Floor 0001,8,collinear,179.94369664043626,3.357867329544245,3.1769510536465724,0.0016041764402900415,0.005241500213742256,159.30004250258207,3.290331961874585e-05,False
way/290026258,ES-MAD-BERRUGUETE,173_undivided,Block c046106c23fd3576_whole Storey 0 Floor 0001,10,collinear,179.9525037742008,3.571221220192743,3.1677956053526017,0.0013915979347284202,0.0046890005469322205,159.30004250258207,2.94350238284225e-05,False
way/290026258,ES-MAD-BERRUGUETE,173_undivided,Block c046106c23fd3576_whole Storey 0 Floor 0001,13,collinear,179.98550336643154,2.6851629374364347,3.7681215479426036,0.00039669677775240603,0.0012799985706806183,159.30004250258207,8.035142681521073e-06,False
way/290653348,ES-MAD-BERRUGUETE,173_undivided,Block 8088954d59a8a788_whole Storey 0 Floor 0001,6,collinear,179.91256703266322,4.087464250514135,4.622729604566156,0.0033103750698245627,0.014417000114917755,258.4669185075909,5.57788988941513e-05,False
relation/4164894,ES-MAD-BERRUGUETE,173_undivided,Block eb2ff2e756f34846_whole Storey 0 Floor 0001,2,collinear,179.9791949168368,5.8792176352607735,30.006865297488563,0.0017850923841885146,0.03202998638153076,1174.4071589708328,2.7273323512094027e-05,False
relation/4164894,ES-MAD-BERRUGUETE,173_undivided,Block eb2ff2e756f34846_whole Storey 0 Floor 0001,13,collinear,179.97286321873278,11.170430251252732,3.1104173355114733,0.001152312092875712,0.008227996528148651,1174.4071589708328,7.006085125842628e-06,False
relation/4164983,ES-MAD-BERRUGUETE,173_undivided,Block 54513dc0adfd41dd_whole Storey 0 Floor 0001,17,collinear,179.97677853601493,9.256548006463543,12.195611711271791,0.0021327920470467165,0.022876497358083725,344.07489401102066,6.648697058772034e-05,False
relation/4165180,ES-MAD-BERRUGUETE,173_undivided,Block 9d3693dc899b5bd8_whole Storey 0 Floor 0001,6,collinear,179.99867541510594,7.154712083671907,7.031221302222671,8.198198145567982e-05,0.000581495463848114,400.5155314952135,1.4518674511254587e-06,False
way/290026248,ES-MAD-BERRUGUETE,173_undivided,Block 6306022d60f82cac_whole Storey 0 Floor 0001,2,collinear,179.9005258670408,3.2385490579990455,11.195873212745365,0.004361103998225824,0.0314750000834465,60.715598492883146,0.0005184005571012511,False
way/310738154,ES-MAD-BERRUGUETE,173_undivided,Block b6ac0e76ab411129_whole Storey 0 Floor 0001,7,collinear,179.99103754063208,9.470446663098251,8.278605196612151,0.0006909672372745349,0.006132006645202637,433.8007764816284,1.4135536351356275e-05,False
relation/12702624,ES-MAD-BERRUGUETE,173_undivided,Block 1d78cf9122f19e7a_whole Storey 0 Floor 0001,3,collinear,179.97280150281074,3.447364355331778,12.013625597655441,0.0012715881309954464,0.009830005466938019,278.6969484947622,3.527130641375775e-05,False
relation/12702624,ES-MAD-BERRUGUETE,173_undivided,Block 1d78cf9122f19e7a_whole Storey 0 Floor 0001,7,collinear,179.92083861348914,6.889052329302679,2.997342989838479,0.0028856836181540206,0.014264501631259918,278.6969484947622,5.118284110501484e-05,False
relation/12702624,ES-MAD-BERRUGUETE,173_undivided,Block 1d78cf9122f19e7a_whole Storey 0 Floor 0001,8,collinear,179.95485551508443,2.997342989838479,12.617364067309381,0.001908329267823224,0.014899000525474548,278.6969484947622,5.345950361474647e-05,False
relation/12702626,ES-MAD-BERRUGUETE,173_undivided,Block 8912451f8d1d6584_whole Storey 0 Floor 0001,1,collinear,179.90048824522498,4.803545461289888,6.457400482660405,0.0047840576823698555,0.026936497539281845,241.38357251882553,0.00011159209078812132,False
way/333138130,ES-MAD-BERRUGUETE,173_undivided,Block 7c1a882582c5ae4c_whole Storey 0 Floor 0001,1,collinear,179.96146142837816,20.778722241860695,15.283960252146487,0.005923381194060162,0.10680650174617767,1177.7325325161219,9.068824949413173e-05,False
way/333138130,ES-MAD-BERRUGUETE,173_undivided,Block 7c1a882582c5ae4c_whole Storey 0 Floor 0001,6,collinear,179.9201551809165,25.35007258378144,15.262729146489665,0.01327615894357563,0.26959094405174255,1177.7325325161219,0.00022890676499848843,False
way/311159684,ES-MAD-BERRUGUETE,173_undivided,Block dfd3c412acf87ad5_whole Storey 0 Floor 0001,12,collinear,179.99429070384537,4.942342460786099,7.431698930927321,0.00029578236413874706,0.0018300116062164307,178.86608150601387,1.0231182965535596e-05,False
way/388485201,ES-MAD-BERRUGUETE,173_undivided,Block cbf29d1eb950a518_whole Storey 0 Floor 0001,7,collinear,179.99550540693795,16.135827775874542,12.682276018479401,0.0005570458826748625,0.008026503026485443,399.1107100173831,2.0110968773891968e-05,False
way/333138111,ES-MAD-BERRUGUETE,173_undivided,Block 27a3e5e369556f87_whole Storey 0 Floor 0001,6,collinear,179.97925851789998,15.367764313615341,13.219990960670078,0.0025726386372216924,0.03677298128604889,519.5343945026398,7.078064835582709e-05,False
way/333138113,ES-MAD-BERRUGUETE,173_undivided,Block a6ab77197f54e1e0_whole Storey 0 Floor 0001,1,collinear,179.97095372901484,19.82014442482866,17.404164012962028,0.004697870937347001,0.08743749558925629,366.1183250248432,0.00023882305149113515,False
way/333138116,ES-MAD-BERRUGUETE,173_undivided,Block 1829c2c78b87a6bf_whole Storey 0 Floor 0001,1,collinear,179.9210816028685,6.668409855778368,0.5417545567977262,0.0006901369622242821,0.0024880003184080124,217.9051190018654,1.1417814917816198e-05,False
way/333138116,ES-MAD-BERRUGUETE,173_undivided,Block 1829c2c78b87a6bf_whole Storey 0 Floor 0001,7,collinear,179.98318190031145,7.931877772635045,6.611823424743926,0.001058463203579374,0.007696986198425293,217.9051190018654,3.5322649755462614e-05,False
way/391270221,ES-MAD-BERRUGUETE,173_undivided,Block fd062c908350af6c_whole Storey 0 Floor 0001,1,collinear,179.96950488866398,14.990725465693984,13.1424253856223,0.0037272397512511817,0.05242949724197388,339.9005070067942,0.00015424954114859815,False
way/380242657,ES-MAD-BERRUGUETE,173_undivided,Block e98df1437d46ce90_whole Storey 0 Floor 0001,1,collinear,179.99749259194843,4.100923432344288,4.491083610902961,9.380812653208175e-05,0.00040300004184246063,1232.180844962597,3.270624141659123e-07,True
way/311968163,ES-MAD-BERRUGUETE,173_undivided,Block 20760fb7a921e2c7_whole Storey 0 Floor 0001,5,collinear,179.96601565964832,5.459315433905634,0.8646964779441008,0.000442756907692291,0.00139999995008111,182.71935000270605,7.662023480602225e-06,False
way/403642584,ES-MAD-BERRUGUETE,173_undivided,Block 4d69da50edc61ff7_whole Storey 0 Floor 0001,4,collinear,179.92694593378596,11.684256288190559,19.600988674357946,0.009333858882518694,0.1460060030221939,198.13532349467278,0.0007369004196070043,False
way/403642586,ES-MAD-BERRUGUETE,173_undivided,Block 0275c53572b2ff9f_whole Storey 0 Floor 0001,3,collinear,179.94822446166597,2.7566307334946876,6.392110840501136,0.0017404573800055955,0.007961496710777283,202.67645249143243,3.9281804141079644e-05,False
way/420411246,ES-MAD-BERRUGUETE,173_undivided,Block d14b3eb917a7385c_whole Storey 0 Floor 0001,10,collinear,179.98587206578597,4.1876873091084725,2.8007091958875976,0.00041382812663913205,0.0014459975063800812,81.26387249678373,1.7793854291614162e-05,False
way/432412733,ES-MAD-BERRUGUETE,173_undivided,Block 35c5826f31108fd9_whole Storey 0 Floor 0001,1,collinear,179.92402733665364,3.908261122449898,3.4834304934762894,0.0024422020620835003,0.009026000276207924,125.99115850031376,7.163994984763511e-05,False
way/428478245,ES-MAD-BERRUGUETE,173_undivided,Block fc27c491ecadc9d5_whole Storey 0 Floor 0001,6,collinear,179.92290593609036,12.16255927014135,6.750148590903618,0.0058409400777288305,0.05523398518562317,286.3681780025363,0.00019287752420987913,False
way/403642589,ES-MAD-BERRUGUETE,173_undivided,Block 9d2aa4108bf8a8b0_whole Storey 0 Floor 0001,15,collinear,179.98509399745856,6.504992697627486,6.36991051748946,0.0008372883708861656,0.005390003323554993,205.94121000915766,2.617253401257239e-05,False
way/432405737,ES-MAD-BERRUGUETE,173_undivided,Block 55bb78129ce9131b_whole Storey 0 Floor 0001,8,collinear,179.92808501751531,49.33901726838254,28.143161247455982,0.022493564535023998,0.8714250326156616,1026.3164000362158,0.0008490802958862506,False
way/432412738,ES-MAD-BERRUGUETE,173_undivided,Block 8a85ae6cc2d33dd2_whole Storey 0 Floor 0001,1,collinear,179.97773639876706,5.111000880462153,10.103737625662013,0.0013188528249133491,0.010033000260591507,150.75656101107597,6.655100244595252e-05,False
way/432412738,ES-MAD-BERRUGUETE,173_undivided,Block 8a85ae6cc2d33dd2_whole Storey 0 Floor 0001,3,collinear,179.99750549781604,5.686411610162197,6.765728489915944,0.00013451461461634284,0.0008374974131584167,150.75656101107597,5.555296615560808e-06,False
way/435637782,ES-MAD-BERRUGUETE,173_undivided,Block 4a0896afcb9d56b4_whole Storey 0 Floor 0001,3,collinear,179.93227065706787,4.169538343649388,4.180522096566367,0.002467646985300672,0.010302498936653137,135.1643474935554,7.622201510752943e-05,False
