building_id,district,stem,geometry_outcome,has_whole_zone,census_k,census_drawn_per_floor,census_status,census_spread,census_verdict,storeys,area_m2,recoverable
relation/12743488,ES-MAD-BERRUGUETE,8646e385d56d94f9,DWELLING_LAYOUT_EMITTED,N,3,3,direct,1.0,PASS,5,203,N
relation/12765477,ES-MAD-BERRUGUETE,d634186e5eec2148,DWELLING_LAYOUT_EMITTED,N,4,4,direct,0.4411,PASS,5,441,N
relation/12765478,ES-MAD-BERRUGUETE,634a622529b8455a,DWELLING_LAYOUT_EMITTED,N,6,6,direct,0.9913,PASS,6,404,N
relation/12771675,ES-MAD-BERRUGUETE,d7bef8de84c0c135,DWELLING_LAYOUT_EMITTED,N,4,4,direct,0.1854,PASS,3,225,N
relation/12771676,ES-MAD-BERRUGUETE,8b3598ac47b3f4a0,DWELLING_LAYOUT_EMITTED,N,2,2,direct,0.3028,PASS,3,144,N
relation/12794755,ES-MAD-BERRUGUETE,c089a1b34d5922a4,DWELLING_LAYOUT_EMITTED,N,2,2,direct,0.4377,PASS,4,565,N
relation/12863111,ES-MAD-BERRUGUETE,dc4c8768bb34abb7,DWELLING_LAYOUT_EMITTED,N,8,8,direct,0.9896,PASS,5,604,N
relation/12867469,ES-MAD-BERRUGUETE,bb4d3f44d4fbe5b1,DWELLING_LAYOUT_EMITTED,N,1,,GENERIC_NO_CENSUS,,GENERIC,1,104,N
relation/12876435,ES-MAD-BERRUGUETE,1271cddbf6bd1e8a,DWELLING_LAYOUT_EMITTED,N,4,4,direct,0.5152,PASS,5,177,N
relation/12876436,ES-MAD-BERRUGUETE,ee59f26430f27ad4,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,3,73,N
relation/12876437,ES-MAD-BERRUGUETE,9e05613344663735,DWELLING_LAYOUT_EMITTED,N,4,4,direct,0.4132,PASS,2,103,N
relation/12877779,ES-MAD-BERRUGUETE,d342db5179c1ac49,FALLBACK_PENDING_LAYOUT,Y,31,,REFUSED_K_GT_12,,,3,1263,N
