building_id,building_type,year_built,native_layout_status,native_layout_reason,centroid_translated_layout_status,centroid_translated_layout_reason,status_changed_under_translation,exterior_vertex_count,exceeds_energyplus_idd_vertex_budget_approx_120,geometry_simplified_for_energyplus,geometry_original_vertex_count,geometry_simplified_vertex_count,geometry_simplification_delta_area_m2,geometry_simplification_hausdorff_m
BATIMENT0000000240879996_part0,AB,1985.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,53,False,False,53,53,0.0,0.0
BATIMENT0000000240880001_part0,MFH,1985.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,21,False,False,21,21,0.0,0.0
BATIMENT0000000240880008_part0,AB,1800.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,8,False,False,8,8,0.0,0.0
BATIMENT0000000240880009_part0,AB,1840.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,5,False,False,5,5,0.0,0.0
BATIMENT0000000240880010_part0,AB,1800.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,5,False,False,5,5,0.0,0.0
BATIMENT0000000240880013_part0,MFH,1959.0,DWELLING_LAYOUT_EMITTED,,DWELLING_LAYOUT_EMITTED,,False,4,False,False,4,4,0.0,0.0
BATIMENT0000000240880015_part0,AB,2001.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,8,False,False,8,8,0.0,0.0
BATIMENT0000000240880018_part0,AB,1750.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,6,False,False,6,6,0.0,0.0
BATIMENT0000000240880020_part0,AB,1821.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,5,False,False,5,5,0.0,0.0
BATIMENT0000000240880021_part0,AB,1850.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,7,False,False,7,7,0.0,0.0
BATIMENT0000000240880024_part0,TH,2005.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,9,False,False,9,9,0.0,0.0
BATIMENT0000000240880027_part0,MFH,1935.0,DWELLING_LAYOUT_EMITTED,,DWELLING_LAYOUT_EMITTED,,False,4,False,False,4,4,0.0,0.0
BATIMENT0000000240880035_part0,AB,1830.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,8,False,False,8,8,0.0,0.0
BATIMENT0000000240880036_part0,AB,1810.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,8,False,False,8,8,0.0,0.0
BATIMENT0000000240880044_part0,AB,1991.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,18,False,False,18,18,0.0,0.0
BATIMENT0000000240880046_part0,MFH,1800.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,13,False,False,13,13,0.0,0.0
BATIMENT0000000240880049_part0,TH,1860.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,6,False,False,6,6,0.0,0.0
BATIMENT0000000240880050_part0,TH,1720.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,7,False,False,7,7,0.0,0.0
