osm_id,footprint_area_m2,levels,height_m,archetype_id,zoning_strategy,data_quality_flag,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,total_eui_kwh_m2,fans_eui_kwh_m2,gwp_heating_kgco2_m2,gwp_cooling_kgco2_m2,gwp_lighting_kgco2_m2,gwp_equipment_kgco2_m2,gwp_total_kgco2_m2,iod,simulation_status,error_summary,centroid_lon,centroid_lat
way/265875663,1756.2542176670604,1.0,3.5,MediumOffice,single_zone,"generic_tag,no_floors,no_function,no_height",33.52120041511218,12.417235621608151,26.4651005984,44.06327609260917,116.4668127277295,0.5324601999320334,6.067337275135305,2.7674541374590516,5.898329900566604,9.82047046931199,24.55359178247295,0.0,success,,-79.48874388388923,-2.4021800849592467e-10
way/265875670,588.4335524062146,23.0,80.5,TallBuilding,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",38.6319434551435,8.888600585076638,26.465100598208487,44.06327609229031,118.04892073071893,0.5616718242414666,6.992381765380973,1.9810201895972004,5.898329900523922,9.820470469240925,24.692202324743022,0.0,success,,-79.48869683858601,-2.520199053608273e-05
way/265875679,1249.0349153077375,15.0,52.5,LargeOffice,perimeter_core,"generic_tag,no_floors,no_function",92.37755283579325,9.63712450186867,28.71555297513412,47.81018436679494,178.54041467959098,0.8666411316786928,16.720337063278578,2.147845211980474,6.399892722674092,10.655551410196322,35.923626408129465,7.515761544208628e-05,success,,-79.4887635804859,-2.9420522411841935e-05
way/265875682,3307.128567189362,1.0,3.5,MediumOffice,single_zone,"generic_tag,no_floors,no_function,no_height",27.712939198852443,9.229883031450113,26.465100598400003,44.06327609260917,107.47119892131172,0.3318606722143144,5.016041994992292,2.0570824909853496,5.898329900566605,9.82047046931199,22.791924855856237,0.0,success,,-79.48879673381064,5.08408395123701e-05
way/265932612,2579.1496815354135,1.0,3.5,MediumOffice,single_zone,"generic_tag,no_floors,no_function,no_height",29.7291165245047,9.82586869128079,26.465100598399996,44.06327609260916,110.08336190679465,0.33863878677875187,5.38097009093535,2.1899110069631322,5.898329900566604,9.820470469311987,23.289681467777072,0.0,success,,-79.48868298977851,0.0001071148346805684
way/265932613,181.4024935672569,3.0,10.5,RetailStandalone,one_zone_per_floor,"no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",77.42517254144221,15.856541852838632,58.28211999824888,48.974690521449084,200.5385249139788,1.0546373292912639,14.013956230001039,3.5339791958258515,12.989452648249724,10.9150872258964,41.45247529997302,0.0,success,,-79.48874387773587,-4.29121407502558e-09
way/265947358,12374.174747857889,14.0,49.0,OpenUBEMUnknown,one_zone_per_floor,no_floors,0.2251912490326786,28.309686971845764,31.312221923660026,75.70172239953864,135.5488225440771,0.667020298089854,0.04075961607491482,6.309436554789209,6.978617524569957,16.871794274629973,30.200607970064056,0.0005165677687394585,success,,-79.48901019064414,-4.6851742639916904e-05
way/266010263,190.6074322819196,8.0,28.0,MediumOffice,one_zone_per_floor,"generic_tag,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",95.1925384987692,13.375882957696104,26.465100986037566,44.06327673800936,179.09679918051222,0.9856816293008063,17.229849468277223,2.981109786547646,5.898329986960164,9.82047061315362,35.92975985493865,0.0006546265057624233,success,,-79.48874387546793,1.5939951448314313e-08
way/266010265,402.7364755812034,4.0,14.0,MediumOffice,one_zone_per_floor,"generic_tag,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",52.705152135741464,11.633948387347644,26.46510067010417,44.0632762119936,134.8674774051869,0.5871263634780512,9.539632536569204,2.592881344984944,5.898329916547456,9.820470495919437,27.85131429402104,0.0,success,,-79.48874388021957,-2.0816062233163916e-09
way/266010267,173.50643701976225,7.0,24.5,MediumOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",92.44689110594175,12.59462286700657,26.465100597680053,44.06327609141048,175.56989066203883,0.8194453738426325,16.732887290175455,2.8069887876154884,5.898329900406148,9.820470469044835,35.258676447241925,0.0,success,,-79.488743884385,9.861034514689115e-12
