building_id,district,n_floors,dwellings_total,n_groups,n_transitions,n_dwelling_count_changes,engine_status,geometry_outcome
way/286754288,ES-MAD-BERRUGUETE,3,3,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/286754289,ES-MAD-BERRUGUETE,3,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/286754290,ES-MAD-BERRUGUETE,4,6,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/286783497,ES-MAD-BERRUGUETE,3,3,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/287225519,ES-MAD-BERRUGUETE,4,16,4.0,3.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/287225523,ES-MAD-BERRUGUETE,2,2,2.0,1.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/287225524,ES-MAD-BERRUGUETE,2,3,2.0,1.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/287356953,ES-MAD-BERRUGUETE,4,46,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/287496586,ES-MAD-BERRUGUETE,4,12,4.0,3.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/287696580,ES-MAD-BERRUGUETE,3,6,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/287696581,ES-MAD-BERRUGUETE,4,7,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/287696583,ES-MAD-BERRUGUETE,4,9,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/287696584,ES-MAD-BERRUGUETE,4,11,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/287696585,ES-MAD-BERRUGUETE,3,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/287696586,ES-MAD-BERRUGUETE,1,1,1.0,0.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/287696587,ES-MAD-BERRUGUETE,3,3,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/287696588,ES-MAD-BERRUGUETE,1,1,1.0,0.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/287696589,ES-MAD-BERRUGUETE,3,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/287696590,ES-MAD-BERRUGUETE,5,3,,,1,FALLBACK,FALLBACK_PENDING_LAYOUT
way/287696594,ES-MAD-BERRUGUETE,2,2,2.0,1.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/287696595,ES-MAD-BERRUGUETE,2,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/287696596,ES-MAD-BERRUGUETE,3,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/287938551,ES-MAD-BERRUGUETE,3,7,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/287938553,ES-MAD-BERRUGUETE,4,6,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/287938556,ES-MAD-BERRUGUETE,3,7,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/287939446,ES-MAD-BERRUGUETE,3,11,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/287939447,ES-MAD-BERRUGUETE,5,9,5.0,4.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/287939448,ES-MAD-BERRUGUETE,3,10,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/287943062,ES-MAD-BERRUGUETE,3,10,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/287943064,ES-MAD-BERRUGUETE,3,10,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/287943067,ES-MAD-BERRUGUETE,3,7,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/288276172,ES-MAD-BERRUGUETE,3,4,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/288276173,ES-MAD-BERRUGUETE,4,13,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/288276174,ES-MAD-BERRUGUETE,4,21,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/288276175,ES-MAD-BERRUGUETE,3,4,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/288276176,ES-MAD-BERRUGUETE,3,4,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/288276177,ES-MAD-BERRUGUETE,3,4,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/288276179,ES-MAD-BERRUGUETE,3,3,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/288447771,ES-MAD-BERRUGUETE,4,3,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/288461982,ES-MAD-BERRUGUETE,5,16,5.0,4.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/288461983,ES-MAD-BERRUGUETE,4,8,4.0,3.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/288461988,ES-MAD-BERRUGUETE,3,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/288461989,ES-MAD-BERRUGUETE,3,9,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/288461992,ES-MAD-BERRUGUETE,2,8,2.0,1.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/288600850,ES-MAD-BERRUGUETE,3,14,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/288600852,ES-MAD-BERRUGUETE,3,7,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/288600854,ES-MAD-BERRUGUETE,3,16,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/288600859,ES-MAD-BERRUGUETE,3,4,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289364388,ES-MAD-BERRUGUETE,3,10,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289364389,ES-MAD-BERRUGUETE,5,2,2.0,1.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/289387273,ES-MAD-BERRUGUETE,3,14,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289387274,ES-MAD-BERRUGUETE,3,15,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289387276,ES-MAD-BERRUGUETE,3,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289387277,ES-MAD-BERRUGUETE,5,16,5.0,4.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289387278,ES-MAD-BERRUGUETE,5,15,5.0,4.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289387279,ES-MAD-BERRUGUETE,3,15,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289387281,ES-MAD-BERRUGUETE,3,11,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289434331,ES-MAD-BERRUGUETE,4,4,4.0,3.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289434333,ES-MAD-BERRUGUETE,3,2,2.0,1.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289434335,ES-MAD-BERRUGUETE,2,4,2.0,1.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/289434336,ES-MAD-BERRUGUETE,2,2,2.0,1.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/289434339,ES-MAD-BERRUGUETE,3,5,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289510893,ES-MAD-BERRUGUETE,3,9,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289510894,ES-MAD-BERRUGUETE,3,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/289510897,ES-MAD-BERRUGUETE,3,2,2.0,1.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289510900,ES-MAD-BERRUGUETE,4,9,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289692616,ES-MAD-BERRUGUETE,4,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/289692618,ES-MAD-BERRUGUETE,3,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/289692619,ES-MAD-BERRUGUETE,3,14,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/289692620,ES-MAD-BERRUGUETE,5,14,5.0,4.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289692621,ES-MAD-BERRUGUETE,4,7,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289692622,ES-MAD-BERRUGUETE,3,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289692623,ES-MAD-BERRUGUETE,3,17,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289692624,ES-MAD-BERRUGUETE,4,4,4.0,3.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289779214,ES-MAD-BERRUGUETE,5,16,5.0,4.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/289779218,ES-MAD-BERRUGUETE,4,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/289979822,ES-MAD-BERRUGUETE,3,3,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289979823,ES-MAD-BERRUGUETE,4,3,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/289979825,ES-MAD-BERRUGUETE,4,6,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289979826,ES-MAD-BERRUGUETE,3,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/289979828,ES-MAD-BERRUGUETE,4,6,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/290026253,ES-MAD-BERRUGUETE,3,13,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/290026256,ES-MAD-BERRUGUETE,4,30,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/290026258,ES-MAD-BERRUGUETE,2,4,,,0,FALLBACK,FALLBACK_PENDING_LAYOUT
way/290653348,ES-MAD-BERRUGUETE,3,14,,,1,FALLBACK,FALLBACK_PENDING_LAYOUT
way/290653350,ES-MAD-BERRUGUETE,3,6,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/290653352,ES-MAD-BERRUGUETE,4,13,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/290662258,ES-MAD-BERRUGUETE,4,5,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/290662259,ES-MAD-BERRUGUETE,5,12,5.0,4.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/290663060,ES-MAD-BERRUGUETE,3,6,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/290663061,ES-MAD-BERRUGUETE,3,25,,,1,FALLBACK,FALLBACK_PENDING_LAYOUT
way/290820839,ES-MAD-BERRUGUETE,4,10,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/290820840,ES-MAD-BERRUGUETE,4,3,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/290820842,ES-MAD-BERRUGUETE,6,3,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/290820844,ES-MAD-BERRUGUETE,4,8,4.0,3.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/290820846,ES-MAD-BERRUGUETE,5,9,5.0,4.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/290820847,ES-MAD-BERRUGUETE,5,6,5.0,4.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/290820849,ES-MAD-BERRUGUETE,5,5,5.0,4.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/290820851,ES-MAD-BERRUGUETE,6,17,6.0,5.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/291149502,ES-MAD-BERRUGUETE,3,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/291149503,ES-MAD-BERRUGUETE,3,26,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/291155593,ES-MAD-BERRUGUETE,4,21,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/291155594,ES-MAD-BERRUGUETE,5,21,5.0,4.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/291155595,ES-MAD-BERRUGUETE,7,6,6.0,5.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/291155596,ES-MAD-BERRUGUETE,7,6,6.0,5.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/291278667,ES-MAD-BERRUGUETE,4,6,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/291278668,ES-MAD-BERRUGUETE,4,6,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/291278669,ES-MAD-BERRUGUETE,2,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/291278670,ES-MAD-BERRUGUETE,2,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/291278671,ES-MAD-BERRUGUETE,2,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/291278672,ES-MAD-BERRUGUETE,4,7,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/291278674,ES-MAD-BERRUGUETE,3,5,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/291278675,ES-MAD-BERRUGUETE,5,16,5.0,4.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/291892249,ES-MAD-BERRUGUETE,2,16,2.0,1.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/291892250,ES-MAD-BERRUGUETE,4,4,4.0,3.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/291892251,ES-MAD-BERRUGUETE,3,4,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/291892252,ES-MAD-BERRUGUETE,4,10,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/291892387,ES-MAD-BERRUGUETE,7,15,7.0,6.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/292149912,ES-MAD-BERRUGUETE,3,12,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/292149913,ES-MAD-BERRUGUETE,4,5,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/292149914,ES-MAD-BERRUGUETE,3,3,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/292149915,ES-MAD-BERRUGUETE,3,5,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/293591506,ES-MAD-BERRUGUETE,4,11,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/293591511,ES-MAD-BERRUGUETE,7,29,7.0,6.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/293596159,ES-MAD-BERRUGUETE,7,29,7.0,6.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/298875931,ES-MAD-BERRUGUETE,4,6,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/310738147,ES-MAD-BERRUGUETE,7,27,7.0,6.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310738149,ES-MAD-BERRUGUETE,7,26,7.0,6.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310738150,ES-MAD-BERRUGUETE,4,22,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310738151,ES-MAD-BERRUGUETE,7,26,7.0,6.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/310738152,ES-MAD-BERRUGUETE,6,26,6.0,5.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310738153,ES-MAD-BERRUGUETE,6,26,6.0,5.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310738154,ES-MAD-BERRUGUETE,6,26,,,1,FALLBACK,FALLBACK_PENDING_LAYOUT
way/310738155,ES-MAD-BERRUGUETE,6,17,6.0,5.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310738157,ES-MAD-BERRUGUETE,5,11,5.0,4.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310738158,ES-MAD-BERRUGUETE,6,9,6.0,5.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310738159,ES-MAD-BERRUGUETE,3,8,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310738160,ES-MAD-BERRUGUETE,4,8,4.0,3.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310771769,ES-MAD-BERRUGUETE,7,27,7.0,6.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310771771,ES-MAD-BERRUGUETE,4,6,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310771773,ES-MAD-BERRUGUETE,7,14,7.0,6.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310771776,ES-MAD-BERRUGUETE,4,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/310771778,ES-MAD-BERRUGUETE,6,18,6.0,5.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310771781,ES-MAD-BERRUGUETE,7,13,7.0,6.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310771784,ES-MAD-BERRUGUETE,3,8,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310771790,ES-MAD-BERRUGUETE,5,18,5.0,4.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310771792,ES-MAD-BERRUGUETE,8,30,8.0,7.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310771803,ES-MAD-BERRUGUETE,5,18,5.0,4.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310771805,ES-MAD-BERRUGUETE,5,23,5.0,4.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310771813,ES-MAD-BERRUGUETE,5,9,5.0,4.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310771815,ES-MAD-BERRUGUETE,3,3,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/310771818,ES-MAD-BERRUGUETE,6,10,6.0,5.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/310771820,ES-MAD-BERRUGUETE,4,12,4.0,3.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/310771821,ES-MAD-BERRUGUETE,3,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
