building_id,class,building_tag,footprint_area_m2,levels,height_m,height_source,year_built,eui_kwh_m2,eui_status,geometry_outcome
31240,residential,Edificio generico,547.4,,9.0,assumed 9.0 m,,35.66,simulated,geometry-limited massing box
29702,residential,Edificio generico,524.8,,9.0,assumed 9.0 m,,52.13,simulated,geometry-limited massing box
30817,residential,Edificio generico,173.2,,9.0,assumed 9.0 m,,57.72,simulated,geometry-limited massing box
93387,residential,Edificio generico,50.8,,9.0,assumed 9.0 m,,66.87,simulated,geometry-limited massing box
93388,residential,Edificio generico,108.6,,9.0,assumed 9.0 m,,93.33,simulated,dwelling layout (imputed)
92930,residential,Edificio generico,27.4,,9.0,assumed 9.0 m,,126.13,simulated,dwelling layout (imputed)
92937,residential,Edificio generico,390.2,,9.0,assumed 9.0 m,,53.45,simulated,dwelling layout (imputed)
92938,residential,Edificio generico,34.6,,9.0,assumed 9.0 m,,113.55,simulated,dwelling layout (imputed)
95507,residential,Edificio generico,873.5,,9.0,assumed 9.0 m,,50.53,simulated,geometry-limited massing box
30168,residential,Edificio generico,274.4,,9.0,assumed 9.0 m,,51.4,simulated,geometry-limited massing box
30423,residential,Edificio generico,166.5,,9.0,assumed 9.0 m,,61.76,simulated,dwelling layout (imputed)
30427,residential,Edificio generico,484.5,,9.0,assumed 9.0 m,,52.47,simulated,geometry-limited massing box
31361,residential,Edificio generico,139.3,,9.0,assumed 9.0 m,,,not simulated,
32668,residential,Edificio generico,185.7,,9.0,assumed 9.0 m,,53.84,simulated,geometry-limited massing box
30422,residential,Edificio generico,61.3,,9.0,assumed 9.0 m,,57.5,simulated,dwelling layout (imputed)
31785,residential,Edificio generico,153.5,,9.0,assumed 9.0 m,,106.32,simulated,dwelling layout (imputed)
30477,residential,Edificio generico,45.0,,9.0,assumed 9.0 m,,104.91,simulated,dwelling layout (imputed)
31792,residential,Edificio generico,95.9,,9.0,assumed 9.0 m,,53.11,simulated,geometry-limited massing box
33191,residential,Edificio generico,557.6,,9.0,assumed 9.0 m,,48.42,simulated,geometry-limited massing box
30574,residential,Edificio generico,85.5,,9.0,assumed 9.0 m,,,not simulated,
32776,residential,Edificio generico,279.4,,9.0,assumed 9.0 m,,45.1,simulated,geometry-limited massing box
32790,residential,Edificio generico,135.6,,9.0,assumed 9.0 m,,55.56,simulated,geometry-limited massing box
30798,residential,Edificio generico,165.6,,9.0,assumed 9.0 m,,,not simulated,
29583,residential,Edificio generico,381.2,,9.0,assumed 9.0 m,,40.23,simulated,geometry-limited massing box
30992,residential,Edificio generico,103.8,,9.0,assumed 9.0 m,,48.9,simulated,geometry-limited massing box
32031,residential,Edificio generico,192.1,,9.0,assumed 9.0 m,,39.69,simulated,dwelling layout (imputed)
33261,residential,Edificio generico,290.8,,9.0,assumed 9.0 m,,51.15,simulated,dwelling layout (imputed)
30741,residential,Edificio generico,328.8,,9.0,assumed 9.0 m,,47.54,simulated,geometry-limited massing box
33266,residential,Edificio generico,27.2,,9.0,assumed 9.0 m,,251.15,simulated,dwelling layout (imputed)
29896,residential,Edificio generico,186.5,,9.0,assumed 9.0 m,,57.97,simulated,geometry-limited massing box
29904,residential,Edificio generico,213.7,,9.0,assumed 9.0 m,,37.98,simulated,geometry-limited massing box
32408,residential,Edificio generico,260.9,,9.0,assumed 9.0 m,,45.8,simulated,geometry-limited massing box
29235,residential,Edificio generico,254.8,,9.0,assumed 9.0 m,,48.11,simulated,geometry-limited massing box
28192,residential,Edificio generico,376.9,,9.0,assumed 9.0 m,,41.56,simulated,geometry-limited massing box
28980,residential,Edificio generico,637.6,,9.0,assumed 9.0 m,,,not simulated,
28989,residential,Edificio generico,253.8,,9.0,assumed 9.0 m,,50.42,simulated,geometry-limited massing box
28844,residential,Edificio generico,266.8,,9.0,assumed 9.0 m,,53.76,simulated,dwelling layout (imputed)
28781,residential,Edificio generico,2721.3,,9.0,assumed 9.0 m,,47.22,simulated,geometry-limited massing box
28782,residential,Edificio generico,537.9,,9.0,assumed 9.0 m,,51.86,simulated,geometry-limited massing box
28784,residential,Edificio generico,1237.3,,9.0,assumed 9.0 m,,,not simulated,
29292,residential,Edificio generico,93.1,,9.0,assumed 9.0 m,,86.5,simulated,dwelling layout (imputed)
28613,residential,Edificio generico,375.9,,9.0,assumed 9.0 m,,45.86,simulated,dwelling layout (imputed)
29437,residential,Edificio generico,154.4,,9.0,assumed 9.0 m,,49.22,simulated,geometry-limited massing box
28454,residential,Edificio generico,634.9,,9.0,assumed 9.0 m,,44.88,simulated,geometry-limited massing box
29329,residential,Edificio generico,97.4,,9.0,assumed 9.0 m,,49.03,simulated,dwelling layout (imputed)
29341,residential,Edificio generico,1869.3,,9.0,assumed 9.0 m,,76.87,simulated,dwelling layout (imputed)
28026,residential,Edificio generico,264.6,,9.0,assumed 9.0 m,,45.5,simulated,geometry-limited massing box
28308,residential,Edificio generico,884.1,,9.0,assumed 9.0 m,,42.1,simulated,geometry-limited massing box
29299,residential,Edificio generico,361.7,,9.0,assumed 9.0 m,,50.9,simulated,geometry-limited massing box
28736,residential,Edificio generico,50.8,,9.0,assumed 9.0 m,,,not simulated,
28749,residential,Edificio generico,761.8,,9.0,assumed 9.0 m,,38.22,simulated,geometry-limited massing box
28033,residential,Edificio generico,374.2,,9.0,assumed 9.0 m,,45.35,simulated,geometry-limited massing box
29454,residential,Edificio generico,2353.8,,9.0,assumed 9.0 m,,72.64,simulated,dwelling layout (imputed)
28362,residential,Edificio generico,460.5,,9.0,assumed 9.0 m,,50.72,simulated,geometry-limited massing box
29559,residential,Edificio generico,95.7,,9.0,assumed 9.0 m,,,not simulated,
29513,residential,Edificio generico,51.8,,9.0,assumed 9.0 m,,,not simulated,
28835,residential,Edificio generico,1082.5,,9.0,assumed 9.0 m,,49.16,simulated,geometry-limited massing box
29279,residential,Edificio generico,173.5,,9.0,assumed 9.0 m,,42.56,simulated,dwelling layout (imputed)
29114,residential,Edificio generico,429.9,,9.0,assumed 9.0 m,,52.59,simulated,geometry-limited massing box
29116,residential,Edificio generico,46.9,,9.0,assumed 9.0 m,,58.14,simulated,dwelling layout (imputed)
29081,residential,Edificio generico,348.8,,9.0,assumed 9.0 m,,44.91,simulated,geometry-limited massing box
29085,residential,Edificio generico,336.2,,9.0,assumed 9.0 m,,61.41,simulated,dwelling layout (imputed)
27931,residential,Edificio generico,4360.0,,9.0,assumed 9.0 m,,40.68,simulated,geometry-limited massing box
29094,residential,Edificio generico,570.5,,9.0,assumed 9.0 m,,58.58,simulated,dwelling layout (imputed)
28787,residential,Edificio generico,281.9,,9.0,assumed 9.0 m,,53.43,simulated,geometry-limited massing box
29417,residential,Edificio generico,2444.1,,9.0,assumed 9.0 m,,,not simulated,
29439,residential,Edificio generico,203.6,,9.0,assumed 9.0 m,,66.81,simulated,dwelling layout (imputed)
28959,residential,Edificio generico,358.4,,9.0,assumed 9.0 m,,55.98,simulated,geometry-limited massing box
28960,residential,Edificio generico,399.2,,9.0,assumed 9.0 m,,46.5,simulated,geometry-limited massing box
28997,residential,Edificio generico,2204.4,,9.0,assumed 9.0 m,,,not simulated,
28908,residential,Edificio generico,578.2,,9.0,assumed 9.0 m,,43.33,simulated,geometry-limited massing box
28662,residential,Edificio generico,176.5,,9.0,assumed 9.0 m,,58.51,simulated,dwelling layout (imputed)
31408,residential,Edificio generico,138.5,,9.0,assumed 9.0 m,,59.78,simulated,dwelling layout (imputed)
32305,residential,Edificio generico,97.3,,9.0,assumed 9.0 m,,53.37,simulated,geometry-limited massing box
31092,residential,Edificio generico,62.5,,9.0,assumed 9.0 m,,66.95,simulated,dwelling layout (imputed)
32211,residential,Edificio generico,690.4,,9.0,assumed 9.0 m,,47.03,simulated,geometry-limited massing box
32918,residential,Edificio generico,237.5,,9.0,assumed 9.0 m,,62.57,simulated,geometry-limited massing box
30163,residential,Edificio generico,216.9,,9.0,assumed 9.0 m,,64.5,simulated,dwelling layout (imputed)
31470,residential,Edificio generico,243.3,,9.0,assumed 9.0 m,,50.09,simulated,dwelling layout (imputed)
31734,residential,Edificio generico,291.4,,9.0,assumed 9.0 m,,59.46,simulated,geometry-limited massing box
32056,residential,Edificio generico,289.4,,9.0,assumed 9.0 m,,52.7,simulated,geometry-limited massing box
33450,residential,Edificio generico,300.2,,9.0,assumed 9.0 m,,50.44,simulated,geometry-limited massing box
32010,residential,Edificio generico,151.0,,9.0,assumed 9.0 m,,41.49,simulated,dwelling layout (imputed)
31915,residential,Edificio generico,334.4,,9.0,assumed 9.0 m,,47.48,simulated,geometry-limited massing box
30000,residential,Edificio generico,631.2,,9.0,assumed 9.0 m,,42.83,simulated,geometry-limited massing box
32261,residential,Edificio generico,271.8,,9.0,assumed 9.0 m,,59.2,simulated,geometry-limited massing box
30954,residential,Edificio generico,314.1,,9.0,assumed 9.0 m,,,not simulated,
29928,residential,Edificio generico,29.9,,9.0,assumed 9.0 m,,211.48,simulated,dwelling layout (imputed)
30988,residential,Edificio generico,43.6,,9.0,assumed 9.0 m,,45.42,simulated,dwelling layout (imputed)
29782,residential,Edificio generico,179.3,,9.0,assumed 9.0 m,,47.17,simulated,geometry-limited massing box
32356,residential,Edificio generico,310.9,,9.0,assumed 9.0 m,,58.29,simulated,dwelling layout (imputed)
31502,residential,Edificio generico,1850.9,,9.0,assumed 9.0 m,,31.83,simulated,dwelling layout (imputed)
31923,residential,Edificio generico,68.7,,9.0,assumed 9.0 m,,157.77,simulated,dwelling layout (imputed)
31926,residential,Edificio generico,295.9,,9.0,assumed 9.0 m,,54.31,simulated,geometry-limited massing box
30253,residential,Edificio generico,234.4,,9.0,assumed 9.0 m,,59.12,simulated,geometry-limited massing box
30233,residential,Edificio generico,267.3,,9.0,assumed 9.0 m,,,not simulated,
31444,residential,Edificio generico,126.2,,9.0,assumed 9.0 m,,59.88,simulated,dwelling layout (imputed)
30594,residential,Edificio generico,1088.4,,9.0,assumed 9.0 m,,43.69,simulated,geometry-limited massing box
31276,residential,Edificio generico,98.9,,9.0,assumed 9.0 m,,,not simulated,
31287,residential,Edificio generico,77.9,,9.0,assumed 9.0 m,,50.64,simulated,geometry-limited massing box
31293,residential,Edificio generico,319.4,,9.0,assumed 9.0 m,,57.53,simulated,geometry-limited massing box
31302,residential,Edificio generico,183.2,,9.0,assumed 9.0 m,,,not simulated,
32763,residential,Edificio generico,72.2,,9.0,assumed 9.0 m,,49.02,simulated,geometry-limited massing box
33482,residential,Edificio generico,352.6,,9.0,assumed 9.0 m,,54.48,simulated,geometry-limited massing box
29706,residential,Edificio generico,251.6,,9.0,assumed 9.0 m,,93.54,simulated,dwelling layout (imputed)
29719,residential,Edificio generico,396.3,,9.0,assumed 9.0 m,,55.73,simulated,geometry-limited massing box
32489,residential,Edificio generico,193.0,,9.0,assumed 9.0 m,,55.34,simulated,geometry-limited massing box
32497,residential,Edificio generico,85.9,,9.0,assumed 9.0 m,,,not simulated,
32501,residential,Edificio generico,580.5,,9.0,assumed 9.0 m,,50.95,simulated,dwelling layout (imputed)
31124,residential,Edificio generico,402.4,,9.0,assumed 9.0 m,,43.73,simulated,geometry-limited massing box
31225,residential,Edificio generico,526.9,,9.0,assumed 9.0 m,,49.6,simulated,geometry-limited massing box
30004,residential,Edificio generico,134.1,,9.0,assumed 9.0 m,,49.27,simulated,geometry-limited massing box
33473,residential,Edificio generico,574.3,,9.0,assumed 9.0 m,,50.8,simulated,geometry-limited massing box
33112,residential,Edificio generico,96.2,,9.0,assumed 9.0 m,,63.46,simulated,geometry-limited massing box
28237,residential,Edificio generico,4876.7,,9.0,assumed 9.0 m,,40.67,simulated,dwelling layout (imputed)
95976,residential,Edificio generico,1216.1,,9.0,assumed 9.0 m,,49.74,simulated,geometry-limited massing box
29718,residential,Edificio generico,236.6,,9.0,assumed 9.0 m,,33.43,simulated,geometry-limited massing box
32185,residential,Edificio generico,376.2,,9.0,assumed 9.0 m,,54.37,simulated,geometry-limited massing box
32188,residential,Edificio generico,224.8,,9.0,assumed 9.0 m,,78.3,simulated,dwelling layout (imputed)
33412,residential,Edificio generico,201.9,,9.0,assumed 9.0 m,,62.24,simulated,geometry-limited massing box
33048,residential,Edificio generico,300.7,,9.0,assumed 9.0 m,,42.74,simulated,dwelling layout (imputed)
81082,residential,,23.9,,9.0,assumed 9.0 m,,51.93,simulated,dwelling layout (imputed)
81093,residential,,29.5,,9.0,assumed 9.0 m,,45.74,simulated,geometry-limited massing box
28392,residential,Edificio generico,1308.1,,9.0,assumed 9.0 m,,48.9,simulated,geometry-limited massing box
29376,residential,Edificio generico,613.2,,9.0,assumed 9.0 m,,50.15,simulated,geometry-limited massing box
29126,residential,Edificio generico,881.1,,9.0,assumed 9.0 m,,43.09,simulated,geometry-limited massing box
27997,residential,Edificio generico,763.7,,9.0,assumed 9.0 m,,45.86,simulated,geometry-limited massing box
28000,residential,Edificio generico,743.0,,9.0,assumed 9.0 m,,42.23,simulated,geometry-limited massing box
29405,residential,Edificio generico,202.6,,9.0,assumed 9.0 m,,,not simulated,
28636,residential,Edificio generico,437.9,,9.0,assumed 9.0 m,,43.24,simulated,geometry-limited massing box
29198,residential,Edificio generico,62.8,,9.0,assumed 9.0 m,,51.66,simulated,dwelling layout (imputed)
29497,residential,Edificio generico,141.5,,9.0,assumed 9.0 m,,46.41,simulated,dwelling layout (imputed)
92979,residential,Edificio generico,66.6,,9.0,assumed 9.0 m,,48.99,simulated,geometry-limited massing box
28713,residential,Edificio generico,560.3,,9.0,assumed 9.0 m,,87.5,simulated,dwelling layout (imputed)
28721,residential,Edificio generico,154.2,,9.0,assumed 9.0 m,,49.14,simulated,geometry-limited massing box
87566,residential,,876.0,,9.0,assumed 9.0 m,,38.78,simulated,geometry-limited massing box
87569,residential,,68.4,,9.0,assumed 9.0 m,,172.65,simulated,dwelling layout (imputed)
92813,residential,Edificio generico,164.3,,9.0,assumed 9.0 m,,61.44,simulated,geometry-limited massing box
87518,residential,,34.3,,9.0,assumed 9.0 m,,,not simulated,
92968,residential,Edificio generico,41.0,,9.0,assumed 9.0 m,,,not simulated,
93416,residential,Edificio generico,104.2,,9.0,assumed 9.0 m,,51.41,simulated,geometry-limited massing box
94724,residential,Edificio generico,23.7,,9.0,assumed 9.0 m,,152.46,simulated,dwelling layout (imputed)
93382,residential,Edificio generico,26.4,,9.0,assumed 9.0 m,,55.44,simulated,geometry-limited massing box
93385,residential,Edificio generico,60.3,,9.0,assumed 9.0 m,,63.37,simulated,geometry-limited massing box
93414,residential,Edificio generico,113.5,,9.0,assumed 9.0 m,,,not simulated,
93404,residential,Edificio generico,28.1,,9.0,assumed 9.0 m,,147.65,simulated,dwelling layout (imputed)
93408,residential,Edificio generico,58.0,,9.0,assumed 9.0 m,,,not simulated,
93398,residential,Edificio generico,92.3,,9.0,assumed 9.0 m,,84.66,simulated,dwelling layout (imputed)
30538,residential,Edificio generico,212.5,,9.0,assumed 9.0 m,,55.55,simulated,geometry-limited massing box
31731,residential,Edificio generico,230.8,,9.0,assumed 9.0 m,,56.16,simulated,geometry-limited massing box
32639,residential,Edificio generico,217.5,,9.0,assumed 9.0 m,,50.4,simulated,geometry-limited massing box
32641,residential,Edificio generico,447.2,,9.0,assumed 9.0 m,,53.7,simulated,geometry-limited massing box
30306,residential,Edificio generico,78.9,,9.0,assumed 9.0 m,,,not simulated,
31637,residential,Edificio generico,108.4,,9.0,assumed 9.0 m,,,not simulated,
31644,residential,Edificio generico,139.6,,9.0,assumed 9.0 m,,49.63,simulated,geometry-limited massing box
31306,residential,Edificio generico,28.6,,9.0,assumed 9.0 m,,249.54,simulated,dwelling layout (imputed)
31311,residential,Edificio generico,398.0,,9.0,assumed 9.0 m,,60.35,simulated,dwelling layout (imputed)
30103,residential,Edificio generico,138.6,,9.0,assumed 9.0 m,,,not simulated,
32653,residential,Edificio generico,335.3,,9.0,assumed 9.0 m,,56.32,simulated,dwelling layout (imputed)
30184,residential,Edificio generico,3977.8,,9.0,assumed 9.0 m,,38.52,simulated,dwelling layout (imputed)
33161,residential,Edificio generico,208.3,,9.0,assumed 9.0 m,,,not simulated,
30546,residential,Edificio generico,107.0,,9.0,assumed 9.0 m,,,not simulated,
30611,residential,Edificio generico,127.2,,9.0,assumed 9.0 m,,49.62,simulated,geometry-limited massing box
30016,residential,Edificio generico,135.5,,9.0,assumed 9.0 m,,50.68,simulated,geometry-limited massing box
32662,residential,Edificio generico,208.2,,9.0,assumed 9.0 m,,60.01,simulated,geometry-limited massing box
31440,residential,Edificio generico,262.9,,9.0,assumed 9.0 m,,50.31,simulated,geometry-limited massing box
30026,residential,Edificio generico,271.6,,9.0,assumed 9.0 m,,,not simulated,
31384,residential,Edificio generico,337.5,,9.0,assumed 9.0 m,,61.54,simulated,geometry-limited massing box
30620,residential,Edificio generico,308.5,,9.0,assumed 9.0 m,,49.51,simulated,geometry-limited massing box
31812,residential,Edificio generico,346.5,,9.0,assumed 9.0 m,,,not simulated,
31813,residential,Edificio generico,361.3,,9.0,assumed 9.0 m,,41.65,simulated,geometry-limited massing box
31817,residential,Edificio generico,1214.1,,9.0,assumed 9.0 m,,50.74,simulated,geometry-limited massing box
28074,residential,Edificio generico,1706.6,,9.0,assumed 9.0 m,,44.74,simulated,geometry-limited massing box
29968,residential,Edificio generico,154.3,,9.0,assumed 9.0 m,,61.87,simulated,dwelling layout (imputed)
30946,residential,Edificio generico,335.2,,9.0,assumed 9.0 m,,47.51,simulated,geometry-limited massing box
30960,residential,Edificio generico,157.2,,9.0,assumed 9.0 m,,,not simulated,
32175,residential,Edificio generico,331.0,,9.0,assumed 9.0 m,,55.88,simulated,geometry-limited massing box
32176,residential,Edificio generico,71.3,,9.0,assumed 9.0 m,,51.64,simulated,geometry-limited massing box
29661,residential,Edificio generico,81.4,,9.0,assumed 9.0 m,,,not simulated,
29665,residential,Edificio generico,140.9,,9.0,assumed 9.0 m,,,not simulated,
32316,residential,Edificio generico,193.4,,9.0,assumed 9.0 m,,51.04,simulated,geometry-limited massing box
32277,residential,Edificio generico,199.2,,9.0,assumed 9.0 m,,,not simulated,
32230,residential,Edificio generico,38.7,,9.0,assumed 9.0 m,,74.69,simulated,geometry-limited massing box
32283,residential,Edificio generico,42.1,,9.0,assumed 9.0 m,,74.97,simulated,dwelling layout (imputed)
32046,residential,Edificio generico,100.3,,9.0,assumed 9.0 m,,,not simulated,
93207,residential,Edificio generico,27.7,,9.0,assumed 9.0 m,,33.82,simulated,geometry-limited massing box
31463,residential,Edificio generico,364.3,,9.0,assumed 9.0 m,,49.17,simulated,geometry-limited massing box
31466,residential,Edificio generico,119.5,,9.0,assumed 9.0 m,,43.26,simulated,dwelling layout (imputed)
31471,residential,Edificio generico,181.2,,9.0,assumed 9.0 m,,,not simulated,
31376,residential,Edificio generico,1035.3,,9.0,assumed 9.0 m,,45.91,simulated,dwelling layout (imputed)
31378,residential,Edificio generico,39.3,,9.0,assumed 9.0 m,,104.53,simulated,dwelling layout (imputed)
32797,residential,Edificio generico,190.5,,9.0,assumed 9.0 m,,62.56,simulated,dwelling layout (imputed)
32922,residential,Edificio generico,368.1,,9.0,assumed 9.0 m,,59.19,simulated,dwelling layout (imputed)
92912,residential,Edificio generico,27.0,,9.0,assumed 9.0 m,,,not simulated,
30169,residential,Edificio generico,31.9,,9.0,assumed 9.0 m,,217.61,simulated,dwelling layout (imputed)
31539,residential,Edificio generico,445.0,,9.0,assumed 9.0 m,,101.65,simulated,dwelling layout (imputed)
31653,residential,Edificio generico,218.6,,9.0,assumed 9.0 m,,67.49,simulated,geometry-limited massing box
31655,residential,Edificio generico,465.4,,9.0,assumed 9.0 m,,39.51,simulated,dwelling layout (imputed)
31658,residential,Edificio generico,44.4,,9.0,assumed 9.0 m,,75.78,simulated,dwelling layout (imputed)
92919,residential,Edificio generico,46.7,,9.0,assumed 9.0 m,,60.54,simulated,dwelling layout (imputed)
92922,residential,Edificio generico,22.1,,9.0,assumed 9.0 m,,38.11,simulated,dwelling layout (imputed)
92924,residential,Edificio generico,124.0,,9.0,assumed 9.0 m,,35.96,simulated,geometry-limited massing box
32860,residential,Edificio generico,379.5,,9.0,assumed 9.0 m,,55.92,simulated,geometry-limited massing box
30440,residential,Edificio generico,184.6,,9.0,assumed 9.0 m,,45.14,simulated,dwelling layout (imputed)
30272,residential,Edificio generico,89.4,,9.0,assumed 9.0 m,,,not simulated,
33143,residential,Edificio generico,116.9,,9.0,assumed 9.0 m,,56.86,simulated,geometry-limited massing box
33145,residential,Edificio generico,413.4,,9.0,assumed 9.0 m,,,not simulated,
31892,residential,Edificio generico,156.6,,9.0,assumed 9.0 m,,,not simulated,
31900,residential,Edificio generico,514.8,,9.0,assumed 9.0 m,,49.65,simulated,geometry-limited massing box
32803,residential,Edificio generico,90.2,,9.0,assumed 9.0 m,,55.26,simulated,geometry-limited massing box
32732,residential,Edificio generico,297.5,,9.0,assumed 9.0 m,,52.35,simulated,geometry-limited massing box
32739,residential,Edificio generico,32.3,,9.0,assumed 9.0 m,,83.82,simulated,dwelling layout (imputed)
30294,residential,Edificio generico,23.2,,9.0,assumed 9.0 m,,254.08,simulated,dwelling layout (imputed)
32813,residential,Edificio generico,338.0,,9.0,assumed 9.0 m,,53.89,simulated,geometry-limited massing box
32816,residential,Edificio generico,105.2,,9.0,assumed 9.0 m,,55.48,simulated,geometry-limited massing box
33207,residential,Edificio generico,85.8,,9.0,assumed 9.0 m,,,not simulated,
30771,residential,Edificio generico,179.8,,9.0,assumed 9.0 m,,50.31,simulated,geometry-limited massing box
31965,residential,Edificio generico,136.1,,9.0,assumed 9.0 m,,66.89,simulated,geometry-limited massing box
31968,residential,Edificio generico,282.3,,9.0,assumed 9.0 m,,51.4,simulated,geometry-limited massing box
30319,residential,Edificio generico,257.6,,9.0,assumed 9.0 m,,33.43,simulated,geometry-limited massing box
30323,residential,Edificio generico,95.9,,9.0,assumed 9.0 m,,46.06,simulated,dwelling layout (imputed)
30330,residential,Edificio generico,523.1,,9.0,assumed 9.0 m,,50.12,simulated,geometry-limited massing box
31977,residential,Edificio generico,121.9,,9.0,assumed 9.0 m,,43.16,simulated,geometry-limited massing box
32821,residential,Edificio generico,324.8,,9.0,assumed 9.0 m,,,not simulated,
31579,residential,Edificio generico,193.0,,9.0,assumed 9.0 m,,,not simulated,
31529,residential,Edificio generico,177.3,,9.0,assumed 9.0 m,,38.72,simulated,dwelling layout (imputed)
31534,residential,Edificio generico,30.6,,9.0,assumed 9.0 m,,,not simulated,
31667,residential,Edificio generico,316.8,,9.0,assumed 9.0 m,,59.58,simulated,geometry-limited massing box
31681,residential,Edificio generico,30.4,,9.0,assumed 9.0 m,,109.64,simulated,dwelling layout (imputed)
