building_id,archetype_id,building_type,age_band,geometry_outcome,construction_period_provenance,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds,platform,energyplus_version,layout_json
BATIMENT0000000240881166_part0,FR.N.AB.07.Gen.ReEx.001.001,AB,FR.07,DWELLING_LAYOUT_EMITTED_BEST_EFFORT_IMPUTED_COUNT,,63f357b39b418f4380167afd387e230f32441a246abd56406399c7829863e5cf,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,238116.560913,3492.2314,68.184646,31275,hostname=magic-node-10.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:26",openubem/outputs/eu_evidence/EU-11/FR-LYO-HAUTCOEURPENTES_recut_2026-09-08/layouts/BATIMENT0000000240881166_part0.json
BATIMENT0000000240881557_part0,FR.N.AB.05.Gen.ReEx.001.001,AB,FR.05,DWELLING_LAYOUT_EMITTED_BEST_EFFORT_IMPUTED_COUNT,,78a4d0bd9fc296b67f4cadbe13767013d22dd8a7bb41d27a31601525f4b70fa8,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,238958.044401,5407.9519,44.186422,1818,hostname=speed-21.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:30",openubem/outputs/eu_evidence/EU-11/FR-LYO-HAUTCOEURPENTES_recut_2026-09-08/layouts/BATIMENT0000000240881557_part0.json
BATIMENT0000000357175644_part0,FR.N.AB.05.Gen.ReEx.001.001,AB,FR.05,DWELLING_LAYOUT_EMITTED_BEST_EFFORT_IMPUTED_COUNT,,83c5dfe7ff6302796c2ac6bd5015a5134465820295422e54e153f5e7b253220b,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,348170.650772,10892.6372,31.963853,201,hostname=speed-08.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:30",openubem/outputs/eu_evidence/EU-11/FR-LYO-HAUTCOEURPENTES_recut_2026-09-08/layouts/BATIMENT0000000357175644_part0.json
BATIMENT0000000240877536_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,,c4b8e78ba73bbd19559a3aa87d982320a16fd071dec803fb24fa2b1c984575bd,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,70047.066578,1154.6677,60.664264,461,hostname=speed-35.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:30",
BATIMENT0000000240879543_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,,c09dfa0d8712e75ac1d90ae77839bb0030a9176b8bb602c0aec4c58de223fe7c,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,63125.780518,1342.52,47.020365,573,hostname=magic-node-06.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:31",
BATIMENT0000000240879899_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,,d0e9c2e363464ba0d6cd7d08937a89c4fcee2420f6708da6f90dbbfd5f7cbe6d,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,84046.304,1431.4857,58.71264,537,hostname=speed-24.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:31",
BATIMENT0000000240879941_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,,82d2fe5ccc4e942493bb8a5e956c0d1c6b1fa1246c37fb73d5646c8b66a5137b,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,115434.784486,2000.0431,57.716148,452,hostname=speed-23.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:31",
BATIMENT0000000240880045_part0,FR.N.AB.07.Gen.ReEx.001.001,AB,FR.07,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,IMPUTED_NEIGHBOUR_TOUCHING,358ed52caf7c101716c57f09a095743006a257ef13a306e63ada371118fb1d13,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,481143.985651,9543.6699,50.414986,784,hostname=speed-08.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:33",
BATIMENT0000000240880142_part0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,,1a3cf768dfafa8d22d8d848c49353b114538a6a49753f5e4c2e44054f01b80de,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,65160.052291,1197.5731,54.410083,310,hostname=magic-node-04.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:34",
BATIMENT0000000240880143_part0,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,,4356afa8b86863995a70944d40f70200d7d0427737f64d2772f90ecb7913f7ad,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,0,0,0,126522.170776,1126.5961,112.304819,600,hostname=speed-24.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:35",
