code,name,quartiere,zona,area_km2,n_sez,edifici_totali,edifici_utilizzati,edifici_residenziali,res_per_km2,res_share_of_all_buildings,edifici_non_residenziali_utilizzati,res_muratura_portante,res_calcestruzzo_armato,res_altro_materiale,res_ante1919,res_1919_1945,res_1946_1960,res_1961_1970,res_1971_1980,res_1981_1990,res_1991_2000,res_2001_2005,res_post2005,res_1piano,res_2piani,res_3piani,res_4piu_piani,res_1interno,res_2interni,res_3_4interni,res_5_8interni,res_9_15interni,res_16piu_interni,interni_totali,res_stato_ottimo,res_stato_buono,res_stato_mediocre,res_stato_pessimo
13,CNR,Navile,Bolognina,0.2984820428730288,5,16,12,10,33.50285298152391,0.625,2,7,2,1,2,1,3,0,0,1,3,0,0,4,3,3,0,4,2,2,1,1,0,31,2,4,2,2
31,PRATI DI CAPRARA-OSPEDALE MAGGIORE,Porto - Saragozza,Saffi,0.5639556340019855,3,28,28,18,31.917404339534677,0.6428571428571429,10,7,11,0,2,1,7,0,0,4,3,1,0,0,0,1,17,0,0,0,1,15,2,235,4,14,0,0
66,OSPEDALE SANT'ORSOLA,San Donato - San Vitale,S. Vitale,0.23193873935933632,2,15,15,7,30.18038305862779,0.4666666666666667,8,7,0,0,0,5,2,0,0,0,0,0,0,1,1,1,4,1,1,0,1,4,0,53,6,1,0,0
32,SCALO RAVONE,Porto - Saragozza,Saffi,0.6666309249662047,1,40,34,20,30.00160846275458,0.5,14,20,0,0,1,17,2,0,0,0,0,0,0,13,2,2,3,13,4,1,0,1,1,53,4,2,1,13
41,CADRIANO-CALAMOSCO,San Donato - San Vitale,San Donato,6.077161498080011,22,240,225,180,29.619091093246134,0.75,45,102,17,61,37,36,49,3,6,14,10,20,5,13,140,26,1,102,31,27,20,0,0,369,121,46,12,1
70,STRADELLI GUELFI,San Donato - San Vitale,S. Vitale,1.84016328813396,5,73,67,53,28.801791852800896,0.726027397260274,14,49,4,0,25,7,6,1,0,0,0,8,6,8,40,5,0,29,8,13,2,1,0,117,37,13,3,0
3,BARGELLINO,Borgo Panigale - Reno,Borgo Panigale,0.6846585428326971,6,60,59,19,27.751059559396797,0.31666666666666665,40,14,4,1,3,7,5,2,0,0,2,0,0,0,14,4,1,11,1,6,0,1,0,42,3,12,2,2
19,SAVENA ABBANDONATO,Navile,Corticella,6.028638494174114,23,238,230,155,25.710614452962655,0.6512605042016807,75,144,2,9,45,38,39,6,0,0,11,2,14,14,105,31,5,65,25,27,28,8,2,511,97,39,13,6
86,OSPEDALE BELLARIA,Savena,Mazzini,0.7724095171698062,2,46,46,19,24.59835045743364,0.41304347826086957,27,14,2,3,3,9,2,2,0,0,0,3,0,0,13,5,1,11,8,0,0,0,0,27,7,10,2,0
25,TIRO A SEGNO,Navile,Lame,1.5456060519626063,11,56,53,35,22.64483886793604,0.625,18,31,4,0,17,4,7,1,1,0,3,2,0,0,18,15,2,21,2,5,6,1,0,86,21,9,5,0
10,RIGOSA,Borgo Panigale - Reno,Borgo Panigale,8.729772582650526,38,298,292,196,22.45190217091436,0.6577181208053692,96,161,9,26,72,22,32,9,10,8,20,3,20,16,121,53,6,90,46,30,22,4,4,537,107,62,17,10
76,SAN LUCA,Porto - Saragozza,Costa Saragozza,7.645969393208942,16,166,166,166,21.71078531225082,1.0,0,134,18,14,67,32,19,21,7,2,10,4,4,16,109,39,2,100,41,18,7,0,0,281,103,51,9,3
2,VIA DEL VIVAIO,Borgo Panigale - Reno,Borgo Panigale,6.122654032757997,22,139,137,132,21.559277936293842,0.9496402877697842,5,51,9,72,21,23,25,28,14,7,7,4,3,5,91,32,4,39,42,37,12,1,1,347,62,62,7,1
45,CAAB,San Donato - San Vitale,San Donato,3.159738819838091,16,185,158,67,21.20428422100823,0.3621621621621622,91,51,16,0,10,28,15,2,4,0,3,5,0,3,53,10,1,36,14,8,9,0,0,154,25,27,13,2
52,PADERNO,Santo Stefano,Colli,22.592713114777062,37,487,477,444,19.65235417917098,0.9117043121149897,33,144,8,292,102,52,151,79,44,9,2,3,2,24,251,145,24,251,105,72,13,1,2,826,68,362,13,1
23,LAGHETTI DEL ROSARIO,Navile,Lame,4.6066432998548015,23,116,111,81,17.58330192453865,0.6982758620689655,30,73,6,2,31,24,14,0,1,6,3,0,2,5,64,10,2,32,23,12,11,3,0,221,35,33,10,3
75,VIA DEL GENIO,Porto - Saragozza,Costa Saragozza,0.4024162240485976,3,7,7,7,17.394924910270635,1.0,0,6,1,0,3,2,1,1,0,0,0,0,0,0,6,1,0,6,1,0,0,0,0,8,5,0,2,0
4,AEROPORTO,Borgo Panigale - Reno,Borgo Panigale,4.370386708530444,18,106,104,74,16.93214009084398,0.6981132075471698,30,25,18,31,6,24,15,5,6,2,3,4,9,5,51,17,1,26,18,16,10,2,2,237,42,26,5,1
81,LUNGO SAVENA,Savena,Mazzini,0.8285067900801604,2,33,29,13,15.690879248849866,0.3939393939393939,16,10,0,3,3,2,1,0,0,0,4,0,3,2,8,3,0,6,3,1,3,0,0,35,4,3,2,4
6,LUNGO RENO,Borgo Panigale - Reno,Borgo Panigale,0.2682203328682487,1,2,2,2,7.456556252140702,1.0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,5,0,1,1,0
42,FIERA,San Donato - San Vitale,San Donato,1.5297422468206396,11,103,87,8,5.229639187011347,0.07766990291262135,79,6,1,1,0,3,3,1,0,0,1,0,0,0,6,2,0,3,3,2,0,0,0,15,3,4,1,0
55,GIARDINI MARGHERITA,Santo Stefano,Murri,0.2635239773470492,3,16,15,1,3.794721110645067,0.0625,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,1,0,0,0
46,SCALO MERCI SAN DONATO,San Donato - San Vitale,San Donato,1.1540021024995648,3,25,24,4,3.4661981909183814,0.16,20,1,3,0,0,3,1,0,0,0,0,0,0,2,1,0,1,2,0,0,0,0,2,38,0,1,2,1
