city,unit_id,unit_name,area_km2,total_buildings,residential,unknown,nonres,res_share,unknown_share,res_per_km2,levels_cov,osm_date_cov
Lyon,693810301,Grande Côte-Bon Pasteur [Habitat],0.1366,322,112,200,10,0.3478,0.6211,819.7,0.973,0.0
Lyon,693830901,Richard Vitton-Docteur Long [Habitat],0.2931,816,239,550,27,0.2929,0.674,815.5,0.247,0.0
Lyon,693860402,Saxe-Bossuet [Habitat],0.0682,111,54,55,2,0.4865,0.4955,792.0,0.278,0.0
Lyon,693830205,Mairie-Saint-Sacrement [Habitat],0.103,139,81,43,15,0.5827,0.3094,786.3,0.877,0.0
Lyon,693830404,Baraban-Ferrandière [Habitat],0.1182,134,91,33,10,0.6791,0.2463,770.1,0.747,0.0
Lyon,693870401,Domer [Habitat],0.1183,122,90,17,15,0.7377,0.1393,760.7,0.889,0.022
Lyon,693820101,La Bourse-Grenette [Habitat],0.2199,307,165,127,15,0.5375,0.4137,750.3,0.533,0.0
Lyon,693820301,Vaubecour-Mairie [Habitat],0.1537,177,115,53,9,0.6497,0.2994,748.0,0.113,0.0
Lyon,693830403,Pompidou [Activité],0.0379,53,28,15,10,0.5283,0.283,739.3,0.964,0.0
Lyon,693820402,Carnot-Charité [Habitat],0.2125,269,154,97,18,0.5725,0.3606,724.8,0.76,0.0
Lyon,693840204,Cuire Canuts [Habitat],0.1451,389,105,261,23,0.2699,0.671,723.6,0.714,0.0
Lyon,693830105,Mutualité-Liberté [Habitat],0.1818,194,131,56,7,0.6753,0.2887,720.4,0.832,0.0
Lyon,693890301,Salengro [Habitat],0.2245,391,160,210,21,0.4092,0.5371,712.7,0.55,0.0
Lyon,693830204,Saint-Amour [Habitat],0.1027,132,72,46,14,0.5455,0.3485,701.0,0.958,0.028
Lyon,693810101,Terreaux-Bât d'Argent [Habitat],0.1995,354,138,212,4,0.3898,0.5989,691.6,0.783,0.0
Lyon,693870402,Jean Macé [Habitat],0.2036,194,140,41,13,0.7216,0.2113,687.6,0.843,0.0
Lyon,693830302,Danton-Bir Hakeim [Habitat],0.4108,410,282,61,67,0.6878,0.1488,686.4,0.954,0.004
Lyon,693870502,Stalingrad [Habitat],0.1895,306,130,139,37,0.4248,0.4542,686.1,0.892,0.031
Lyon,693890303,Mairie [Habitat],0.1832,448,122,314,12,0.2723,0.7009,665.8,0.615,0.0
Lyon,693880104,Marius Berliet Nord [Habitat],0.1322,205,88,98,19,0.4293,0.478,665.5,0.773,0.0
Lyon,693820102,Mercière-Grolée [Habitat],0.2079,276,135,132,9,0.4891,0.4783,649.3,0.496,0.0
Lyon,693830104,Bonnel-Servient [Habitat],0.1591,211,102,83,26,0.4834,0.3934,641.0,0.824,0.0
Lyon,693830703,Monchat-Bonnand [Habitat],0.3139,941,201,701,39,0.2136,0.745,640.3,0.398,0.005
Lyon,693830603,Saint-Maximin-Sisley [Habitat],0.1736,187,111,44,32,0.5936,0.2353,639.3,0.919,0.0
Lyon,693830604,Montbrilland-Guilloud [Habitat],0.1726,205,110,49,46,0.5366,0.239,637.2,0.918,0.009
Lyon,693830405,Saint-Anne de Baraban [Habitat],0.1495,179,94,69,16,0.5251,0.3855,628.9,0.926,0.0
Lyon,693830702,Jules Verne-Acacias [Habitat],0.3286,579,205,327,47,0.3541,0.5648,623.8,0.78,0.0
Lyon,693830802,Trarieux-Lacassagne [Habitat],0.211,643,131,502,10,0.2037,0.7807,620.9,0.473,0.0
Lyon,693810201,Griffon-Royale [Habitat],0.2095,200,130,45,25,0.65,0.225,620.5,0.992,0.008
Lyon,693860701,Bellecombe-Thiers [Habitat],0.151,179,93,51,35,0.5196,0.2849,615.8,0.763,0.0
Lyon,693830402,Richerand-Petites Sœurs [Habitat],0.1566,168,95,50,23,0.5655,0.2976,606.5,0.747,0.0
Lyon,693870301,Victor Basch [Habitat],0.1137,252,68,168,16,0.2698,0.6667,598.3,0.794,0.0
Lyon,693860503,Vauban [Habitat],0.1271,145,75,47,23,0.5172,0.3241,590.2,0.453,0.0
Lyon,693840101,Herbouville-Gros Caillou [Habitat],0.1831,220,106,108,6,0.4818,0.4909,578.8,0.943,0.0
Lyon,693880101,Jean Moulin [Habitat],0.1961,237,113,101,23,0.4768,0.4262,576.1,0.805,0.0
Lyon,693830501,Villette-Paul Bert [Habitat],0.2195,209,126,48,35,0.6029,0.2297,574.0,0.968,0.008
Lyon,693870501,Jules Brunard [Habitat],0.137,118,77,22,19,0.6525,0.1864,561.9,0.805,0.013
Lyon,693850102,Saint-Jean [Habitat],0.1659,258,90,153,15,0.3488,0.593,542.5,0.511,0.056
Lyon,693850101,Saint-Paul [Habitat],0.1573,263,84,169,10,0.3194,0.6426,534.0,0.369,0.012
Lyon,693860501,Mairie [Habitat],0.0712,119,38,76,5,0.3193,0.6387,533.5,0.447,0.0
Lyon,693860202,Mongolfier-Le Lycée [Habitat],0.168,167,89,60,18,0.5329,0.3593,529.7,0.865,0.011
Lyon,693880701,Le Bocage [Habitat],0.298,579,155,377,47,0.2677,0.6511,520.1,0.355,0.006
Lyon,693880102,Colbert [Habitat],0.1684,136,86,43,7,0.6324,0.3162,510.7,0.547,0.0
Lyon,693830102,Jussieu [Habitat],0.1278,115,65,38,12,0.5652,0.3304,508.5,0.538,0.0
Lyon,693870103,Centre Berthelot [Habitat],0.185,181,94,45,42,0.5193,0.2486,508.1,0.936,0.0
Lyon,693820204,Bellecour-Sala [Habitat],0.1639,282,83,182,17,0.2943,0.6454,506.3,0.482,0.012
Lyon,693860301,Maréchal Lyautey [Habitat],0.1323,192,63,117,12,0.3281,0.6094,476.3,0.302,0.0
Lyon,693880202,Les Alouettes-Bachut [Habitat],0.3468,392,163,192,37,0.4158,0.4898,470.0,0.638,0.006
Lyon,693870704,Jean-Jaurès Sud [Habitat],0.1458,196,66,111,19,0.3367,0.5663,452.7,0.682,0.0
Lyon,693860403,Edgard Quinet [Habitat],0.1024,122,45,71,6,0.3689,0.582,439.6,0.511,0.0
Lyon,693860103,Les Belges [Habitat],0.1417,136,62,71,3,0.4559,0.5221,437.5,0.758,0.016
Lyon,693830602,Dauphiné-Montluc [Habitat],0.2879,245,123,67,55,0.502,0.2735,427.3,0.951,0.008
Lyon,693860401,Molière [Habitat],0.1434,170,61,97,12,0.3588,0.5706,425.3,0.377,0.016
Lyon,693870705,Jean-Jaurès Nord [Habitat],0.1043,73,44,17,12,0.6027,0.2329,421.8,0.909,0.0
Lyon,693830103,Les Halles [Habitat],0.0901,72,38,27,7,0.5278,0.375,421.7,0.447,0.026
Lyon,693860601,Jules Ferry [Habitat],0.1539,116,62,35,19,0.5345,0.3017,402.8,0.694,0.016
Lyon,693880901,Petite Guille [Habitat],0.4621,548,184,343,21,0.3358,0.6259,398.2,0.25,0.005
Lyon,693830801,Feuillat Harmonie [Habitat],0.242,235,96,92,47,0.4085,0.3915,396.6,0.719,0.0
Lyon,693820504,Sainte-Blandine-Casimir Perier [Habitat],0.1545,237,61,161,15,0.2574,0.6793,394.9,0.852,0.0
Lyon,693830401,Villette Gare [Habitat],0.2114,156,81,30,45,0.5192,0.1923,383.2,0.84,0.0
Lyon,693880203,Montplaisir Nord [Habitat],0.1388,166,52,86,28,0.3133,0.5181,374.8,0.692,0.0
Lyon,693880503,Général André [Habitat],0.2195,507,82,397,28,0.1617,0.783,373.6,0.354,0.0
Lyon,693880603,Viviani [Habitat],0.169,109,61,42,6,0.5596,0.3853,360.9,0.787,0.0
Lyon,693840102,Boucle Louis Thevenet [Habitat],0.175,301,63,219,19,0.2093,0.7276,360.1,0.317,0.0
Lyon,693880303,Bataille [Habitat],0.3924,506,140,314,52,0.2767,0.6206,356.8,0.464,0.014
Lyon,693880404,Mairie [Habitat],0.2612,352,93,215,44,0.2642,0.6108,356.0,0.731,0.065
Lyon,693860302,Kléber [Habitat],0.0875,162,31,127,4,0.1914,0.784,354.2,0.581,0.0
Lyon,693880602,Grange Rouge [Habitat],0.1445,73,51,1,21,0.6986,0.0137,353.0,0.863,0.0
Lyon,693870403,Route de Vienne [Habitat],0.1918,271,66,186,19,0.2435,0.6863,344.2,0.394,0.0
Lyon,693880105,Marius Berliet Sud [Habitat],0.2009,201,69,126,6,0.3433,0.6269,343.4,0.551,0.0
Lyon,693870102,Universités [Habitat],0.3336,188,110,35,43,0.5851,0.1862,329.8,0.918,0.0
Lyon,693880902,Grand Trou [Habitat],0.1777,293,57,227,9,0.1945,0.7747,320.8,0.351,0.0
Lyon,693880301,Laennec [Habitat],0.2016,304,59,211,34,0.1941,0.6941,292.6,0.559,0.0
Lyon,693860104,L'Helvétie [Habitat],0.2162,142,63,77,2,0.4437,0.5423,291.4,0.397,0.0
Lyon,693890501,La Grivière [Habitat],0.2559,263,74,183,6,0.2814,0.6958,289.1,0.095,0.0
Lyon,693860201,Puvis de Chavannes [Habitat],0.142,132,41,81,10,0.3106,0.6136,288.8,0.341,0.0
Lyon,693850601,Joliot Curie-Les Aqueducs [Habitat],0.3199,324,91,222,11,0.2809,0.6852,284.4,0.451,0.0
Lyon,693820201,Hôtel-Dieu [Activité],0.1042,41,29,8,4,0.7073,0.1951,278.4,0.448,0.0
Lyon,693880204,Montplaisir Sud [Habitat],0.1466,230,39,171,20,0.1696,0.7435,266.0,0.564,0.0
Lyon,693830804,Chaussagne Desgenettes [Habitat],0.3504,492,92,377,23,0.187,0.7663,262.6,0.359,0.0
Lyon,693870603,Le Rhône [Habitat],0.1007,98,26,69,3,0.2653,0.7041,258.3,0.731,0.0
Lyon,693830902,Chambovet-Pinel [Habitat],0.4564,987,115,770,102,0.1165,0.7801,251.9,0.13,0.0
Lyon,693860502,L'Europe [Habitat],0.0982,84,24,53,7,0.2857,0.631,244.4,0.583,0.0
Lyon,693810401,Normale-Chartreux [Habitat],0.2539,395,58,298,39,0.1468,0.7544,228.4,0.483,0.0
Lyon,693870801,Marcel Mérieux [Habitat],0.2855,148,62,64,22,0.4189,0.4324,217.2,0.484,0.0
Lyon,693870703,Cité Jardin [Habitat],0.2803,128,60,35,33,0.4688,0.2734,214.1,0.733,0.0
Lyon,693840301,Deleuvre-Henon [Habitat],0.2186,335,46,264,25,0.1373,0.7881,210.5,0.587,0.0
Lyon,693880402,La Trinité-Mermoz [Habitat],0.1252,59,26,28,5,0.4407,0.4746,207.7,0.692,0.0
Lyon,693880801,Moulin à Vent [Habitat],0.2133,226,43,163,20,0.1903,0.7212,201.5,0.767,0.0
Lyon,693850603,La Garde [Habitat],0.2058,122,41,58,23,0.3361,0.4754,199.3,0.293,0.0
Lyon,693880501,Pinel Santy [Habitat],0.2329,411,46,349,16,0.1119,0.8491,197.6,0.739,0.0
Lyon,693870601,Yves Farges [Habitat],0.9047,368,178,71,119,0.4837,0.1929,196.7,0.91,0.0
Lyon,693820502,Rambaud-Seguin [Habitat],0.3353,253,65,170,18,0.2569,0.6719,193.9,0.677,0.0
Lyon,693890302,Saint-Simon-Marietton [Habitat],0.5447,614,105,449,60,0.171,0.7313,192.8,0.867,0.0
Lyon,693880802,Audibert-La Virotte [Habitat],0.229,153,44,93,16,0.2876,0.6078,192.1,0.614,0.0
Lyon,693840302,Canuts-Denfert-Rochereau [Habitat],0.0952,217,17,187,13,0.0783,0.8618,178.6,0.176,0.0
Lyon,693880502,La Plaine [Habitat],0.2128,279,38,228,13,0.1362,0.8172,178.5,0.526,0.0
Lyon,693880403,Genton-Ranvier [Habitat],0.3187,298,56,215,27,0.1879,0.7215,175.7,0.536,0.0
Lyon,693890202,La Gare d'Eau [Activité],0.1019,53,17,17,19,0.3208,0.3208,166.8,0.647,0.0
Lyon,693850404,Albéric Pont [Habitat],0.2044,242,33,194,15,0.1364,0.8017,161.4,0.061,0.0
Lyon,693870503,Lamothe [Habitat],0.4412,190,71,93,26,0.3737,0.4895,160.9,0.803,0.0
Lyon,693820103,Jacobins [Activité],0.0127,19,2,14,3,0.1053,0.7368,157.7,1.0,0.0
Lyon,693840403,Bony Bonnet [Habitat],0.1172,252,18,205,29,0.0714,0.8135,153.6,0.389,0.0
Lyon,693890403,Le Béal-Gorge de Loup [Habitat],0.4634,429,71,328,30,0.1655,0.7646,153.2,0.859,0.0
Lyon,693880601,Langlet Santy [Habitat],0.2092,103,32,52,19,0.3107,0.5049,152.9,0.375,0.031
Lyon,693850602,Point du Jour [Habitat],0.2692,354,41,302,11,0.1158,0.8531,152.3,0.098,0.024
Lyon,693870602,Le Fleuve [Habitat],0.3578,95,54,22,19,0.5684,0.2316,150.9,0.907,0.0
Lyon,693890203,Rochecardon-Gare de Vaise [Habitat],0.4801,256,72,110,74,0.2812,0.4297,150.0,0.528,0.0
Lyon,693840201,Hôpital-Saint-Denis [Activité],0.0884,85,12,53,20,0.1412,0.6235,135.7,0.583,0.0
Lyon,693880302,Rockefeller-La Buire [Habitat],0.4372,341,59,239,43,0.173,0.7009,135.0,0.508,0.017
Lyon,693830301,Part Dieu [Activité],0.4581,155,60,43,52,0.3871,0.2774,131.0,0.833,0.0
Lyon,693890401,Saint-Pierre de Vaise [Habitat],0.5539,392,70,278,44,0.1786,0.7092,126.4,0.6,0.0
Lyon,693850204,Radisson-Choulans [Habitat],0.435,392,55,297,40,0.1403,0.7577,126.4,0.182,0.0
Lyon,693850502,Ménival [Habitat],0.4242,408,51,339,18,0.125,0.8309,120.2,0.176,0.0
Lyon,693850203,Loyasse-Saint-Just [Habitat],0.3663,594,43,522,29,0.0724,0.8788,117.4,0.07,0.0
Lyon,693890102,Les Trois Gouttes-Grand Champ [Habitat],0.3055,312,34,263,15,0.109,0.8429,111.3,0.235,0.0
Lyon,693850201,Fourvière-Antiquaille [Activité],0.2161,125,23,72,30,0.184,0.576,106.4,0.609,0.0
Lyon,693890402,Arloing-l'Observance [Habitat],0.4393,429,45,361,23,0.1049,0.8415,102.4,0.311,0.0
Lyon,693890502,Champvert Nord [Habitat],0.5202,194,48,131,15,0.2474,0.6753,92.3,0.562,0.0
Lyon,693850504,La Plaine Charcot [Habitat],0.5539,1008,48,928,32,0.0476,0.9206,86.7,0.458,0.0
Lyon,693840502,Gillet Serein [Habitat],0.4524,228,39,170,19,0.1711,0.7456,86.2,0.513,0.0
Lyon,693810102,Louis Pradel [Activité],0.0234,20,2,5,13,0.1,0.25,85.4,1.0,0.0
Lyon,693890201,L'Industrie-Le Bourg [Habitat],1.1398,722,92,572,58,0.1274,0.7922,80.7,0.315,0.043
Lyon,693890606,Le Château [Habitat],0.2846,91,22,56,13,0.2418,0.6154,77.3,0.545,0.0
Lyon,693890104,Balmont Est [Habitat],0.1797,56,13,27,16,0.2321,0.4821,72.4,0.846,0.0
Lyon,693850302,Champvert Mairie [Habitat],0.488,375,32,308,35,0.0853,0.8213,65.6,0.375,0.0
Lyon,693850202,La Sarra [Habitat],0.4027,250,26,206,18,0.104,0.824,64.6,0.423,0.0
Lyon,693880401,Latarget-Mermoz [Habitat],0.1091,38,7,28,3,0.1842,0.7368,64.1,0.857,0.0
Lyon,693850403,Les Castors-Les Granges [Habitat],0.3328,429,21,398,10,0.049,0.9277,63.1,0.143,0.0
Lyon,693820503,Verdun-Suchet [Habitat],0.315,141,18,81,42,0.1277,0.5745,57.1,0.5,0.0
Lyon,693850402,Saint-Irénée [Habitat],0.14,105,8,94,3,0.0762,0.8952,57.1,0.25,0.0
Lyon,693840401,Saint-Exupéry-Popy [Habitat],0.2019,175,11,146,18,0.0629,0.8343,54.5,0.364,0.0
Lyon,693880702,États-Unis [Habitat],0.24,157,13,136,8,0.0828,0.8662,54.2,0.923,0.0
Lyon,693880903,Montagny-Saint-Jean de Dieu [Habitat],0.794,296,41,217,38,0.1385,0.7331,51.6,0.171,0.0
Lyon,693850503,Pierre Valdo [Habitat],0.3773,344,19,281,44,0.0552,0.8169,50.4,0.684,0.0
Lyon,693850501,Les Battières [Habitat],0.2952,223,14,203,6,0.0628,0.9103,47.4,0.357,0.0
Lyon,693850104,Quarantaine-Les Étroits [Habitat],0.4013,302,17,265,20,0.0563,0.8775,42.4,0.353,0.0
Lyon,693890607,Le Plateau [Habitat],0.1503,80,6,72,2,0.075,0.9,39.9,0.167,0.0
Lyon,693870701,L'Artillerie-La Gare [Activité],1.3441,355,49,259,47,0.138,0.7296,36.5,0.51,0.0
Lyon,693810402,Giraud-Saint-Vincent [Habitat],0.3342,262,12,241,9,0.0458,0.9198,35.9,0.667,0.0
Lyon,693890605,Balmont le Fort [Habitat],0.2142,56,7,33,16,0.125,0.5893,32.7,0.857,0.0
Lyon,693890604,La Sauvegarde [Habitat],0.2459,82,8,66,8,0.0976,0.8049,32.5,0.625,0.125
Lyon,693890101,Montessuy-Le Vergoin [Habitat],0.4159,448,12,431,5,0.0268,0.9621,28.9,0.5,0.0
Lyon,693840501,Lyon Plage-Ypres [Habitat],0.7023,477,13,433,31,0.0273,0.9078,18.5,0.0,0.0
Lyon,693850301,Champvert Sud [Habitat],0.1732,84,3,80,1,0.0357,0.9524,17.3,0.0,0.0
Lyon,693870802,Tony Garnier [Habitat],1.4214,184,23,86,75,0.125,0.4674,16.2,0.87,0.0
Lyon,693890103,Louis Bouquet-Jean Perrin [Habitat],0.8244,483,13,459,11,0.0269,0.9503,15.8,0.154,0.0
Lyon,693850401,Debrousse [Activité],0.1327,53,2,46,5,0.0377,0.8679,15.1,1.0,0.0
Lyon,693860101,Cité Internationale [Activité],0.3508,112,5,67,40,0.0446,0.5982,14.3,1.0,0.0
Lyon,693820501,Montrochet-Marché-Gare [Activité],1.1435,182,15,67,100,0.0824,0.3681,13.1,0.8,0.067
Lyon,693840402,Flammarion Bony [Habitat],0.1551,137,1,127,9,0.0073,0.927,6.4,1.0,0.0
Lyon,693820203,Grande Poste [Activité],0.127,11,0,2,9,0.0,0.1818,0.0,0.0,0.0
Lyon,693830803,Grange Blanche [Activité],0.1838,95,0,30,65,0.0,0.3158,0.0,0.0,0.0
Lyon,693830101,Préfecture [Activité],0.0261,2,0,0,2,0.0,0.0,0.0,0.0,0.0
Lyon,693860102,Le Parc [Divers],1.0549,98,0,62,36,0.0,0.6327,0.0,0.0,0.0
Lyon,693870901,La Mouche-Le Port [Activité],2.1526,226,0,204,22,0.0,0.9027,0.0,0.0,0.0
