osm_id,footprint_area_m2,levels,height_m,archetype_id,zoning_strategy,data_quality_flag,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,fans_eui_kwh_m2,pumps_eui_kwh_m2,dhw_gas_eui_kwh_m2,dhw_elec_eui_kwh_m2,dhw_eui_kwh_m2,cooking_eui_kwh_m2,refrigeration_eui_kwh_m2,elevators_eui_kwh_m2,total_eui_kwh_m2,gwp_heating_kgco2_m2,gwp_cooling_kgco2_m2,gwp_lighting_kgco2_m2,gwp_equipment_kgco2_m2,gwp_fans_kgco2_m2,gwp_pumps_kgco2_m2,gwp_dhw_kgco2_m2,gwp_cooking_kgco2_m2,gwp_refrigeration_kgco2_m2,gwp_elevators_kgco2_m2,gwp_total_kgco2_m2,iod,simulation_status,error_summary,floor_area_m2,floor_area_provenance,centroid_lon,centroid_lat
way/381802985,186.940849603348,3.0,10.5,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",11.532140847937733,27.679834626606237,26.465220888810716,27.764904256119486,11.028518612115347,0.0,0.0,2.3149407225652574,2.3149407225652574,0.0,0.0,0.0,106.78555995415476,2.0873174934767293,10.31981738416835,9.86697537353352,10.351533724000516,4.111740537117741,0.0,0.8630747197125598,0.0,0.0,0.0,37.60045923200941,0.0,success,,560.8199999999999,eio_simulated,-103.48876754122563,1.4894601263102627e-05
way/381802999,202.55000316082064,2.0,7.0,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",10.916701054421925,27.033010677470923,26.46510101128149,27.764778491511834,10.674014198682979,0.0,0.0,2.771980576667668,2.771980576667668,0.0,0.0,0.0,105.62558601003683,1.9759228908503683,10.078663304860129,9.866930679834056,10.351486835433374,3.9795713656665774,0.0,1.0334719744378533,0.0,0.0,0.0,37.28604705108236,0.0,success,,405.1,eio_simulated,-103.48873965274484,9.699604881161208e-06
way/381803065,698.6299462481214,3.0,10.5,SmallOffice,perimeter_core,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback",7.138078805768512,23.166354871301657,26.465098561927107,27.764775921871852,8.60095959965186,0.0,0.0,1.4473089900536866,1.4473089900536866,0.0,0.0,0.0,94.58257675057467,1.2919922638441006,8.637065753957653,9.866929766646159,10.35148587739964,3.2066785656190038,0.0,0.5395973161437359,0.0,0.0,0.0,33.89374954361029,0.0,success,,2095.89,eio_simulated,-103.48875203333101,3.052597936003263e-05
way/381803067,129.6230710715534,2.0,7.0,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",13.3530225050783,26.76870295653949,26.465727631336215,27.76543588431794,10.772560534191749,0.0,0.0,3.717558063038699,3.717558063038699,0.0,0.0,0.0,108.8430075745024,2.416897073419172,9.980121985880704,9.867164301335817,10.35173192987849,4.016312198841641,0.0,1.386009737526592,0.0,0.0,0.0,38.01823722688241,0.0,success,,259.24,eio_simulated,-103.4887351200253,-5.887691066066531e-06
way/381803379,1827.9573172401842,3.0,10.5,MediumOffice,perimeter_core,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",20.111396769326277,35.24395900515421,26.465303326087593,44.06361362565445,51.7515498443598,0.0,3.156871348533926,0.0,3.156871348533926,0.0,0.0,3.2881274805332286,184.08082139964947,3.640162815248056,13.139934747973633,9.867006108458584,16.428148940825498,19.294426825372977,0.0,0.5713937140846406,0.0,0.0,1.2259059923122426,64.16697914427563,2.163573055920681e-06,success,,5639.600000000002,eio_simulated,-103.48876557040658,-4.5184882113767176e-05
way/381803409,35.59966375987514,2.0,7.0,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",23.524779081974465,41.018014838543834,26.464850636172766,27.764515820705082,17.661701588711598,0.0,0.0,10.44986765700982,10.44986765700982,0.0,0.0,0.0,146.8837296231176,4.257985013837378,15.292664436224621,9.86683733298302,10.351388904401833,6.584776879916167,0.0,3.896003258827657,0.0,0.0,0.0,50.249655826190676,0.0,success,,71.2,eio_simulated,-103.48874388438738,-4.1780856335204333e-13
way/381803480,33.39325907255395,1.0,3.5,SmallOffice,single_zone,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",24.176245797570104,43.3350922938536,26.467684582478626,27.767488939583615,18.81498961261829,0.0,0.0,21.06254984641235,21.06254984641235,0.0,0.0,0.0,161.62405107251658,4.3759004893601885,16.15653578973285,9.867893907516342,10.35249736636708,7.014754947293252,0.0,7.852708334138223,0.0,0.0,0.0,55.62029083440793,0.0,success,,33.39,eio_simulated,-103.48874388438786,4.4940951765331827e-13
way/381803825,81.57004498951851,2.0,7.0,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",16.96617239148741,34.07424562690325,26.46511521805186,27.76479339596401,14.20128980248361,0.0,0.0,5.2050575837988395,5.2050575837988395,0.0,0.0,0.0,124.67667401868897,3.0708772028592213,12.703832848587084,9.866935976515839,10.351492392230469,5.294638474480359,0.0,1.9405912088525537,0.0,0.0,0.0,43.228368103525526,0.0,success,,163.14,eio_simulated,-103.4887423716142,-6.994739758179476e-06
way/381803853,617.0628211409304,3.0,10.5,SmallOffice,perimeter_core,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",15.8350710535436,31.396437090832436,26.465650119759463,27.765354566216864,13.52886413817963,0.0,0.0,1.56056350804295,1.56056350804295,0.0,0.0,0.0,116.55194047657493,2.8661478606913917,11.705470847700875,9.86713540284968,10.351701612213501,5.043939358909235,0.0,0.581821771576637,0.0,0.0,0.0,40.41621685394132,4.344485224436375e-06,success,,1851.1499999999999,eio_simulated,-103.48871326845988,1.941776338281105e-05
way/381805524,47.65607393361186,2.0,7.0,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",23.228298144344638,37.40265012440689,26.46292075187969,27.762491161517552,16.027132676335558,0.0,0.0,8.096913747374328,8.096913747374328,0.0,0.0,0.0,138.98040660585863,4.204321964126379,13.94475524058237,9.8661178180818,10.350634054766266,5.9753638214528335,0.0,3.018756158606076,0.0,0.0,0.0,47.35994905761572,0.0,success,,95.32,eio_simulated,-103.48874202760959,-4.3633578811840615e-06
