osm_id,footprint_area_m2,levels,height_m,archetype_id,zoning_strategy,data_quality_flag,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,fans_eui_kwh_m2,pumps_eui_kwh_m2,dhw_gas_eui_kwh_m2,dhw_elec_eui_kwh_m2,dhw_eui_kwh_m2,cooking_eui_kwh_m2,refrigeration_eui_kwh_m2,total_eui_kwh_m2,gwp_heating_kgco2_m2,gwp_cooling_kgco2_m2,gwp_lighting_kgco2_m2,gwp_equipment_kgco2_m2,gwp_fans_kgco2_m2,gwp_pumps_kgco2_m2,gwp_dhw_kgco2_m2,gwp_cooking_kgco2_m2,gwp_refrigeration_kgco2_m2,gwp_total_kgco2_m2,iod,simulation_status,error_summary,centroid_lon,centroid_lat
way/382005672,621.3785284400716,2.0,7.0,MediumOffice,perimeter_core,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback",10.727284535786325,29.033969582721248,26.465100637674222,44.063276157999084,39.30962912121728,0.0,5.325322052175152,0.0,5.325322052175152,0.0,0.0,154.9245820875733,1.9416385009773247,10.824676811586798,9.866930540542805,16.428023123434482,14.655730406005194,0.0,0.9638832914437026,0.0,0.0,54.680882673990304,0.0,success,,-103.48874001176071,-2.8117646515478176e-05
way/382005676,143.49420601031693,2.0,7.0,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",13.053506025057283,29.742542039530814,26.46510059787434,27.764778057802626,12.107259803329669,0.0,0.0,3.446504518547215,3.446504518547215,0.0,0.0,112.57969104214195,2.362684590535368,11.088852463514193,9.866930525704294,10.351486673734437,4.513925457955794,0.0,1.284953386640921,0.0,0.0,39.46883309808501,0.0,success,,-103.48874610039454,5.389144675622119e-06
way/382005677,255.46298601335158,2.0,7.0,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",11.261059807285863,27.52603879701121,26.465099674398136,27.76477708897534,10.969717203859366,0.0,0.0,2.432553892683349,2.432553892683349,0.0,0.0,106.41924646421324,2.038251825118741,10.262477992612096,9.866930181406508,10.351486312528497,4.089817725680479,0.0,0.9069242027013477,0.0,0.0,37.51588824004766,0.0,success,,-103.48874856749116,1.3650310294653033e-05
way/382005679,99.8120302039633,3.0,10.5,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",15.669554898315283,31.575375163187772,26.465100626062426,27.764778087375007,13.143493774927547,0.0,0.0,3.3498022941967536,3.3498022941967536,0.0,0.0,117.96810484406478,2.8361894365950664,11.77218397134097,9.866930536213601,10.351486684759848,4.900262497118687,0.0,1.2489000897407871,0.0,0.0,40.97595321576896,0.0,success,,-103.4887323754077,-5.49037804730718e-06
way/382005682,253.04215383629432,3.0,10.5,MediumOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",20.091818858456183,36.645116246275755,26.465100598326103,44.06327609248611,52.999608804463506,0.0,6.938748912663374,0.0,6.938748912663374,0.0,0.0,187.20366951267104,3.636619213380569,13.662325399866496,9.866930525872725,16.428023099009412,19.75973815135052,0.0,1.2559135531920707,0.0,0.0,64.60954994267179,0.0,success,,-103.48873939943539,-1.069431430963617e-05
way/382005683,190.77360661883742,2.0,7.0,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",11.7651578878588,28.10323486413781,26.465098615301258,27.764775977867156,11.281978529724562,0.0,0.0,2.8706831250871625,2.8706831250871625,0.0,0.0,108.25092899997676,2.129493577702443,10.47767284792677,9.866929786545537,10.351485898276255,4.206237491280149,0.0,1.0702710481599966,0.0,0.0,38.10209064989115,0.0,success,,-103.48874397868988,4.123395137168474e-07
way/382005689,167.76175859042957,3.0,10.5,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",11.63760886519808,27.916252143041756,26.46510059822004,27.764778058165312,11.106667487663808,0.0,0.0,2.4497053789991847,2.4497053789991847,0.0,0.0,107.34011253128818,2.1064072046008526,10.407960453985972,9.866930525833181,10.351486673869656,4.140876626090722,0.0,0.913318757041508,0.0,0.0,37.786980241421894,0.0,success,,-103.48874202474543,-5.333957338244081e-07
way/382005691,129.72897998347386,2.0,7.0,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",13.672340517014458,30.333424613837774,26.465100598247894,27.764778058194523,12.438513150185692,0.0,0.0,3.6929223155125785,3.6929223155125785,0.0,0.0,114.36707925299292,2.474693633579617,11.30915003192791,9.866930525843566,10.351486673880547,4.637425980757431,0.0,1.3768248410479236,0.0,0.0,40.016511687036996,0.0,success,,-103.4887524144238,-4.324361076238671e-06
way/382005696,219.29362378400498,2.0,7.0,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",12.50426448872649,29.25892014504998,26.46510060371637,27.76477806393155,11.91221735497758,0.0,0.0,2.652718011098831,2.652718011098831,0.0,0.0,110.55799866750081,2.2632718724594945,10.908544679838695,9.866930527882365,10.351486676019473,4.4412081720215815,0.0,0.9890075506419549,0.0,0.0,38.82044947886357,0.0,success,,-103.48874390710931,-2.370624514378267e-05
way/382005698,234.00080870866594,2.0,7.0,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",11.26314527663945,27.341188592327576,26.465100598228005,27.764778058173665,10.901403463054526,0.0,0.0,2.551806122817777,2.551806122817777,0.0,0.0,106.287422111241,2.0386292950717406,10.193560660500305,9.866930525836151,10.35148667387277,4.064348450323693,0.0,0.951384773157906,0.0,0.0,37.46634037876257,0.0,success,,-103.48876292253442,1.1059144490105648e-05
way/382005701,232.16253211773534,2.0,7.0,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",12.306142565476616,28.184057082833974,26.46510038041988,27.764777829669175,11.612608766048227,0.0,0.0,2.5633324356095737,2.5633324356095737,0.0,0.0,108.89601906005744,2.2274118043512674,10.507805634078824,9.866930444631183,10.351486588679899,4.3295057010282285,0.0,0.9556821053034461,0.0,0.0,38.23882227807285,0.0,success,,-103.4887534055327,1.7741086026349329e-06
way/382005724,321.4925669025912,2.0,7.0,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",10.3732031083701,24.075476380463815,26.46510127989161,27.764778773313157,9.418598388544332,0.0,0.0,2.1683457914317983,2.1683457914317983,0.0,0.0,100.26550372201483,1.8775497626149882,8.976011707975562,9.866930779979429,10.351486940496798,3.511517200004206,0.0,0.8084200247279345,0.0,0.0,35.39191641579892,0.0,success,,-103.4887348536372,1.540516711508322e-05
