building_id,class,building_tag,footprint_area_m2,levels,height_m,height_source,year_built,layout_state,storey_count,dwelling_count,gross_area_m2,conditioned_area_m2,circulation_pct
way/396619816,residential,house,50.8,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396619817,residential,house,49.8,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396619819,residential,apartments,218.2,2.0,6.0,storeys x 3.0 m,,massing_box,2,0,436.4,436.4,0.0
way/396619820,residential,house,100.7,,9.0,assumed 9.0 m,,no_idf,,,,,
way/396619822,residential,house,74.5,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396619823,residential,house,81.0,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396622951,residential,house,390.8,,9.0,assumed 9.0 m,,no_idf,,,,,
way/396622952,residential,apartments,126.6,2.0,6.0,storeys x 3.0 m,,massing_box,2,0,253.2,253.2,0.0
way/396622953,residential,apartments,141.5,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396622954,residential,apartments,50.8,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396622955,residential,apartments,256.6,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396622956,residential,apartments,133.7,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396622957,residential,apartments,130.1,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396622958,residential,house,60.0,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396622959,residential,house,69.3,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396622960,residential,house,38.4,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396622961,residential,house,61.1,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396622962,residential,house,61.2,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396622963,residential,house,54.3,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396622964,residential,house,57.6,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396682091,residential,house,75.4,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396711810,residential,house,45.0,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396929140,residential,apartments,421.6,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,1264.8,1264.8,0.0
way/396929143,residential,house,25.4,,9.0,assumed 9.0 m,,no_idf,,,,,
way/396929144,residential,house,26.1,,9.0,assumed 9.0 m,,no_idf,,,,,
way/396929145,residential,house,26.0,,9.0,assumed 9.0 m,,no_idf,,,,,
way/396929146,residential,house,28.3,,9.0,assumed 9.0 m,,no_idf,,,,,
way/396929147,residential,house,24.7,,9.0,assumed 9.0 m,,no_idf,,,,,
way/396940018,residential,house,28.3,1.0,3.0,storeys x 3.0 m,,no_idf,,,,,
way/396940019,residential,house,32.2,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396940020,residential,house,32.7,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396940021,residential,house,38.3,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396940022,residential,house,30.0,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396940023,residential,house,29.6,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396940024,residential,house,38.9,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396940025,residential,house,38.0,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396940026,residential,house,41.4,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396940027,residential,house,36.9,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396940028,residential,house,32.5,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396940029,residential,house,31.7,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396940030,residential,house,31.8,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396940031,residential,house,32.2,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396940032,residential,house,32.7,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396940033,residential,house,31.8,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396940034,residential,house,37.2,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396940035,residential,house,37.6,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396940036,residential,house,38.5,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396940037,residential,house,45.4,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396940039,residential,house,47.3,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396940040,residential,house,41.9,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/397131449,residential,house,38.8,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/397131452,residential,house,34.4,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/397131456,residential,house,55.0,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/397131459,residential,house,32.1,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/397131462,residential,house,39.2,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/397131465,residential,house,78.8,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/397131466,residential,house,41.1,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/397131468,residential,house,74.0,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/397131470,residential,apartments,132.8,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,398.3,398.3,0.0
way/397131471,residential,house,39.9,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/397131474,residential,house,65.6,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/397131482,residential,house,46.5,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/397131485,residential,house,33.5,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/397131488,residential,house,47.6,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/397134748,residential,house,29.9,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/397134755,residential,house,35.2,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/397134758,residential,house,57.9,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/397134759,residential,house,55.9,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/397134763,residential,house,48.2,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/397134764,residential,house,64.8,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/397134766,residential,house,52.1,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/398158941,residential,terrace,333.9,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/398158943,residential,apartments,71.8,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/398158944,residential,terrace,830.6,3.0,9.0,storeys x 3.0 m,,ruled,3,1,830.5,830.5,0.0
way/398158946,residential,apartments,322.8,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/398158947,residential,apartments,189.1,3.0,9.0,storeys x 3.0 m,,ruled,3,17,538.1,487.1,9.5
way/398158948,residential,terrace,331.1,2.0,6.0,storeys x 3.0 m,,ruled,2,1,331.0,331.0,0.0
way/398158951,residential,apartments,104.9,2.0,6.0,storeys x 3.0 m,,massing_box,2,0,209.8,209.8,0.0
way/398158953,residential,terrace,308.6,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/398158956,residential,terrace,761.7,2.0,6.0,storeys x 3.0 m,,ruled,2,1,761.7,761.7,0.0
way/398158958,residential,apartments,171.6,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,514.9,514.9,0.0
way/398158959,residential,terrace,336.1,2.0,6.0,storeys x 3.0 m,,ruled,2,1,336.1,336.1,0.0
way/398158960,residential,terrace,322.4,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/398158963,residential,apartments,118.4,3.0,9.0,storeys x 3.0 m,,ruled,3,17,337.2,305.2,9.5
way/398158964,residential,terrace,242.8,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/398158965,residential,apartments,134.6,3.0,9.0,storeys x 3.0 m,,ruled,3,17,383.5,347.2,9.5
way/398158967,residential,apartments,117.8,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,353.2,353.2,0.0
way/398158969,residential,terrace,221.4,3.0,9.0,storeys x 3.0 m,,ruled,3,1,221.4,221.4,0.0
way/398158970,residential,apartments,148.2,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/409624877,residential,apartments,355.7,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,1423.0,1423.0,0.0
way/409624878,residential,apartments,528.3,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,2113.4,2113.4,0.0
way/409624879,residential,apartments,818.6,4.0,12.0,storeys x 3.0 m,,no_idf,,,,,
way/409624880,residential,apartments,561.7,4.0,12.0,storeys x 3.0 m,,no_idf,,,,,
way/419435175,residential,apartments,125.4,,9.0,assumed 9.0 m,,no_idf,,,,,
way/419435176,residential,terrace,396.3,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/419435178,residential,apartments,145.9,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/419435179,residential,terrace,251.7,3.0,9.0,storeys x 3.0 m,,ruled,3,1,251.7,251.7,0.0
way/419435181,residential,apartments,133.5,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,400.4,400.4,0.0
way/419435182,residential,terrace,237.2,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/419435184,residential,terrace,1253.9,2.0,6.0,storeys x 3.0 m,,ruled,2,1,1253.9,1253.9,0.0
way/419435186,residential,terrace,239.1,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/419435188,residential,terrace,1351.5,2.0,6.0,storeys x 3.0 m,,ruled,2,1,1351.6,1351.6,0.0
way/419435190,residential,terrace,358.5,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/422882740,residential,apartments,242.4,4.0,12.0,storeys x 3.0 m,,no_idf,,,,,
way/422882741,residential,apartments,78.7,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/422882742,residential,house,46.0,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/422882744,residential,residential,61.6,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/422882745,residential,terrace,695.5,,9.0,assumed 9.0 m,,no_idf,,,,,
way/442591154,residential,apartments,229.8,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,919.3,919.3,0.0
way/442591156,residential,apartments,110.9,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/459203320,residential,apartments,511.3,,9.0,assumed 9.0 m,,no_idf,,,,,
way/484767410,residential,house,60.2,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/484767411,residential,house,46.2,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/484767412,residential,house,41.5,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/484767413,residential,house,47.9,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/484767414,residential,house,49.2,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/484767415,residential,house,47.0,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/484767416,residential,house,42.9,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
