district,group,count,share,median_area_m2,median_perimeter_m,median_n_vertices_raw,median_n_vertices_denoised,median_n_interior_rings,median_interior_ring_area_m2,median_hull_deficit_fraction,median_rectangularity,median_min_rot_rect_w_m,median_min_rot_rect_l_m,median_aspect_ratio,median_reflex_count,median_longest_edge_m,median_n_edges_ge_15pct_perimeter,median_circularity,median_storeys,median_dwellings_total
FLEET,SQUARE,220,0.08647798742138364,149.94084073204357,50.03057396268475,7.0,4.0,0.0,0.0,0.0,0.9644586668165269,11.79890423513814,13.906396414545107,1.199908217355872,0.0,13.01413094906875,4.0,0.7755296983025723,4.0,8.0
FR-LYO-HAUTCOEURPENTES,SQUARE,52,0.1750841750841751,180.15469905980018,54.036031635022766,7.0,4.0,0.0,0.0,0.0,0.96529931764116,13.00326102884203,15.022693873174509,1.193813611320189,0.0,14.237886274754787,4.0,0.7771828070003071,5.5,29.0
GB-LDN-STDUNSTANS,SQUARE,15,0.18292682926829268,148.64665775700558,48.7752233806612,5.0,4.0,0.0,0.0,0.0,0.999178432820489,11.479176467176961,12.961519780304494,1.1066468169532468,0.0,12.375517321660338,4.0,0.783038977267285,3.0,17.0
IT-BOL-GALVANI2,SQUARE,44,0.036544850498338874,162.5853805059497,52.08200281122205,6.5,4.0,0.0,0.0,0.0,0.957365538206061,11.610607935966495,14.805420272572036,1.2193563080995902,0.0,14.125765496967551,4.0,0.7671022071711575,5.0,16.0
ES-MAD-BERRUGUETE,RECTANGLE,84,0.08740894901144641,212.46909848066298,64.89278088542201,8.0,4.0,0.0,0.0,0.0,0.949548640178717,10.862413073346247,21.7234417766771,1.985014017370466,0.0,17.518050228659217,4.0,0.6724134019483683,4.0,10.0
FLEET,RECTANGLE,203,0.07979559748427673,221.65139649753368,65.34627886619704,8.0,4.0,0.0,0.0,0.0,0.9582227542690165,10.721721753870714,21.67374067941064,1.9708655367786956,0.0,18.310631377806388,4.0,0.6828305785008382,4.0,15.0
FR-LYO-HAUTCOEURPENTES,RECTANGLE,39,0.13131313131313133,180.02453503327666,61.24739712884866,8.0,4.0,0.0,0.0,0.0,0.963902654046496,10.751997392577294,20.417362024789554,1.7495904968737364,0.0,18.54076372790764,4.0,0.7100452799509179,5.0,26.0
GB-LDN-STDUNSTANS,RECTANGLE,17,0.2073170731707317,221.42207043239898,63.36782862280686,6.0,4.0,0.0,0.0,1.1292096763241523e-16,0.995094820209721,9.447208116551657,21.286420442577125,1.9836632887161387,0.0,18.475477273203207,4.0,0.6929359922682593,3.0,17.0
IT-BOL-GALVANI2,RECTANGLE,63,0.05232558139534884,241.46469999569499,67.71997597375669,8.0,4.0,0.0,0.0,0.0,0.9609346791946496,11.080473195348956,22.46073692368504,2.091166074919937,0.0,20.096101635847482,3.0,0.6675300270962664,5.0,16.0
ES-MAD-BERRUGUETE,SLAB,10,0.01040582726326743,317.53037235572407,84.00277381234591,7.5,4.0,0.0,0.0,0.0,0.9540102666901612,9.989815491001831,33.40705108133753,3.2208922574327445,0.0,30.19110859656,2.0,0.5647972965247741,5.0,12.0
FLEET,SLAB,28,0.0110062893081761,366.9995392014314,97.56399928606658,7.0,4.0,0.0,0.0,0.0,0.9595641277919087,10.072197397555318,37.866165197749595,3.7722756970776086,0.0,32.35675375196277,2.0,0.4971467304757653,4.0,12.0
FR-LYO-HAUTCOEURPENTES,SLAB,2,0.006734006734006734,499.53581628647567,116.53983552550412,43.5,19.5,0.0,0.0,0.05970657687527498,0.9178534738242339,12.979223528698181,41.59494899505058,3.1928815903491943,9.0,19.73991757820444,1.5,0.45951461466659943,7.5,27.5
GB-LDN-STDUNSTANS,SLAB,6,0.07317073170731707,599.9090334763315,140.28659522020646,4.5,4.0,0.0,0.0,0.0,0.9921648542560295,10.164768122958318,60.13009254454444,6.209163476075351,0.0,59.97928344140633,2.0,0.3968734212242824,3.0,35.0
