neighbourhood_id,country_stock_code,building_id,building_type,year_built,archetype_id,mapping_status,reason,layout_ready,type_provenance,dwellings_provenance,age_band,completeness_band,shape_class,native_crs,observed_dwellings,observed_storeys,units_per_floor_measured,layout_status_measured,layout_reason_measured,simulation_mode_expected
ES-MAD-BERRUGUETE,ES,way/434900098,AB,1965.0,ES.ME.AB.04.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,NEW_POST_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,9.0,3.0,3,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR
ES-MAD-BERRUGUETE,ES,way/434900099,AB,1989.0,ES.ME.AB.05.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,NEW_POST_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,6.0,3.0,2,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR
ES-MAD-BERRUGUETE,ES,way/434900101,AB,1999.0,ES.ME.AB.05.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,NEW_POST_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,14.0,4.0,4,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR
ES-MAD-BERRUGUETE,ES,way/434900117,AB,1950.0,ES.ME.AB.03.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,NEW_POST_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,4.0,2.0,2,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR
ES-MAD-BERRUGUETE,ES,way/434900119,AB,1955.0,ES.ME.AB.03.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,NEW_POST_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,3.0,4.0,1,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR
ES-MAD-BERRUGUETE,ES,way/435212309,AB,2000.0,ES.ME.AB.05.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,NEW_POST_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,23.0,5.0,5,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR
ES-MAD-BERRUGUETE,ES,way/435212310,AB,1925.0,ES.ME.AB.02.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,OLD_PRE_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,12.0,3.0,4,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR
ES-MAD-BERRUGUETE,ES,way/435212311,AB,1992.0,ES.ME.AB.05.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,NEW_POST_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,8.0,3.0,3,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR
ES-MAD-BERRUGUETE,ES,way/435212312,AB,1965.0,ES.ME.AB.04.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,NEW_POST_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,14.0,5.0,3,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR
ES-MAD-BERRUGUETE,ES,way/435212313,AB,1997.0,ES.ME.AB.05.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,NEW_POST_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,2.0,4.0,1,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_ONE_ZONE_PER_FLOOR
ES-MAD-BERRUGUETE,ES,way/435212314,AB,2012.0,ES.ME.AB.06.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,NEW_POST_1945,HIGH_MAPPING_INPUT_COMPLETENESS,SIMPLE_CONVEX,EPSG:32630,7.0,4.0,2,DWELLING_LAYOUT_EMITTED,,EUROPEAN_DWELLING_LAYOUT
ES-MAD-BERRUGUETE,ES,way/435212315,AB,2000.0,ES.ME.AB.05.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,NEW_POST_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,1.0,3.0,1,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_ONE_ZONE_PER_FLOOR
ES-MAD-BERRUGUETE,ES,way/435212316,AB,2004.0,ES.ME.AB.05.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,NEW_POST_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,4.0,3.0,2,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_ONE_ZONE_PER_FLOOR
