district,building_id,building_tag,footprint_area_m2,levels_observed,height_m,year_built_observed,epc_certificate_found,blocker,district_blocker_histogram,touching_prepared_neighbours,touching_neighbour_age_bands,nearest_prepared_id,nearest_prepared_distance_m,nearest_prepared_age_band,nearest_prepared_type,nearest_prepared_levels,proposed_imputed_age_band,imputation_source
ES-MAD-BERRUGUETE,way/987123379,house,89.6,,,,,gpkg_null:year_built+levels+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,1,ES.06,way/987508178,0.0,ES.06,AB,,ES.06,touching_prepared_neighbours_agree
ES-MAD-BERRUGUETE,way/988302825,apartments,39.4,,,,,gpkg_null:year_built+levels+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,1,ES.03,way/435941317,0.0,ES.03,AB,,ES.03,touching_prepared_neighbours_agree
ES-MAD-BERRUGUETE,way/1503016147,residential,221.1,1.0,,,,gpkg_null:year_built+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,0,,way/391270224,16.7,ES.04,AB,4.0,ES.04,nearest_prepared_neighbour_16.7m
ES-MAD-BERRUGUETE,relation/5662802,apartments,207.2,5.0,,,,gpkg_null:year_built+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,2,ES.04,way/380242669,0.0,ES.04,AB,7.0,ES.04,touching_prepared_neighbours_agree
ES-MAD-BERRUGUETE,relation/12707193,apartments,371.2,4.0,,,,gpkg_null:year_built+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,4,ES.02,relation/12706920,0.0,ES.02,AB,3.0,ES.02,touching_prepared_neighbours_agree
ES-MAD-BERRUGUETE,relation/12837456,apartments,220.2,2.0,,,,gpkg_null:year_built+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,2,ES.03,way/434899833,0.0,ES.03,AB,3.0,ES.03,touching_prepared_neighbours_agree
ES-MAD-BERRUGUETE,relation/12876437,apartments,102.6,2.0,,,,gpkg_null:year_built+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,2,ES.02|ES.05,relation/12876436,0.0,ES.02,AB,3.0,ES.02,nearest_prepared_neighbour_0.0m
ES-MAD-BERRUGUETE,relation/12882211,apartments,166.0,3.0,,,,gpkg_null:year_built+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,1,ES.05,way/435823572,0.0,ES.05,AB,3.0,ES.05,touching_prepared_neighbours_agree
ES-MAD-BERRUGUETE,relation/13430481,apartments,140.4,2.0,,,,gpkg_null:year_built+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,2,ES.03|ES.05,way/291155596,0.0,ES.05,AB,7.0,ES.05,nearest_prepared_neighbour_0.0m
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240877536_part0,Résidentiel,288.7,4,17.8,1870.0,,gpkg_complete_(failed_later:_IDF_assembly_or_typology),TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,2,FR.01,BATIMENT0000000240877537_part0,0.0,FR.01,MFH,6,FR.01,touching_prepared_neighbours_agree
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240879543_part0,Résidentiel,335.6,4,16.6,1900.0,,gpkg_complete_(failed_later:_IDF_assembly_or_typology),TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,3,FR.01,BATIMENT0000000240879604_part0,0.0,FR.01,MFH,4,FR.01,touching_prepared_neighbours_agree
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240879899_part0,Résidentiel,357.9,4,16.3,1800.0,,gpkg_complete_(failed_later:_IDF_assembly_or_typology),TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,2,FR.01,BATIMENT0000000240879900_part0,0.0,FR.01,MFH,6,FR.01,touching_prepared_neighbours_agree
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240879941_part0,Résidentiel,500.0,4,27.9,1914.0,,gpkg_complete_(failed_later:_IDF_assembly_or_typology),TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,1,FR.01,BATIMENT0000000240879936_part0,0.0,FR.01,MFH,6,FR.01,touching_prepared_neighbours_agree
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240880045_part0,Résidentiel,954.3,10,26.9,,,gpkg_null:year_built,TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,1,FR.07,BATIMENT0000000240880044_part0,0.0,FR.07,AB,8,FR.07,touching_prepared_neighbours_agree
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240880120_part0,Résidentiel,226.3,5,16.4,1800.0,,gpkg_complete_(failed_later:_IDF_assembly_or_typology),TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,2,FR.01,BATIMENT0000000240880121_part0,0.0,FR.01,MFH,5,FR.01,touching_prepared_neighbours_agree
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240880142_part0,Résidentiel,299.4,4,18.5,1850.0,,gpkg_complete_(failed_later:_IDF_assembly_or_typology),TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,0,,BATIMENT0000000240880200_part0,2.6,FR.01,MFH,4,FR.01,nearest_prepared_neighbour_2.6m
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240880143_part0,Résidentiel,281.6,4,19.0,1850.0,,gpkg_complete_(failed_later:_IDF_assembly_or_typology),TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,1,FR.01,BATIMENT0000000240880151_part0,0.0,FR.01,AB,5,FR.01,touching_prepared_neighbours_agree
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240880195_part0,Résidentiel,242.7,3,16.6,1900.0,,gpkg_complete_(failed_later:_IDF_assembly_or_typology),TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,1,FR.07,BATIMENT0000000240880199_part0,0.0,FR.07,MFH,2,FR.07,touching_prepared_neighbours_agree
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240880358_part0,Résidentiel,259.6,6,29.7,,,gpkg_null:year_built,TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,2,FR.01,BATIMENT0000000240880362_part0,0.0,FR.01,MFH,4,FR.01,touching_prepared_neighbours_agree
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240880392_part0,Résidentiel,60.8,5,7.6,1800.0,,gpkg_complete_(failed_later:_IDF_assembly_or_typology),TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,2,FR.01,BATIMENT0000000240880390_part0,0.0,FR.01,MFH,5,FR.01,touching_prepared_neighbours_agree
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240880398_part0,Résidentiel,24.9,8,34.9,1820.0,,gpkg_complete_(failed_later:_IDF_assembly_or_typology),TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,1,FR.01,BATIMENT0000000240880383_part0,0.0,FR.01,AB,8,FR.01,touching_prepared_neighbours_agree
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240880405_part0,Résidentiel,411.3,7,20.7,,,gpkg_null:year_built,TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,3,FR.01,BATIMENT0000000240880407_part0,0.0,FR.01,MFH,5,FR.01,touching_prepared_neighbours_agree
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240881099_part0,Résidentiel,343.6,4,23.0,1700.0,,gpkg_complete_(failed_later:_IDF_assembly_or_typology),TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,2,FR.01,BATIMENT0000000240881103_part0,0.0,FR.01,AB,5,FR.01,touching_prepared_neighbours_agree
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240881161_part0,Résidentiel,273.0,3,28.9,,,gpkg_null:year_built,TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,2,FR.01,BATIMENT0000000240881152_part0,0.0,FR.01,AB,8,FR.01,touching_prepared_neighbours_agree
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240881177_part0,Résidentiel,99.1,8,30.5,,,gpkg_null:year_built,TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,2,FR.01,BATIMENT0000000240881158_part0,0.0,FR.01,MFH,8,FR.01,touching_prepared_neighbours_agree
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240881317_part0,Résidentiel,21.2,6,26.1,1770.0,,gpkg_complete_(failed_later:_IDF_assembly_or_typology),TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,2,FR.01,BATIMENT0000000240881318_part0,0.0,FR.01,AB,6,FR.01,touching_prepared_neighbours_agree
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240881334_part0,Résidentiel,60.5,5,10.4,,,gpkg_null:year_built,TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,1,FR.01,BATIMENT0000000240881335_part0,0.0,FR.01,MFH,2,FR.01,touching_prepared_neighbours_agree
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240881344_part0,Résidentiel,1229.8,9,24.5,,,gpkg_null:year_built,TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,0,,BATIMENT0000000240881554_part0,8.9,FR.01,MFH,3,FR.01,nearest_prepared_neighbour_8.9m
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240881379_part0,Résidentiel,48.0,0,6.7,1998.0,,gpkg_complete_(failed_later:_IDF_assembly_or_typology),TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,1,FR.07,BATIMENT0000000240882144_part0,0.0,FR.07,AB,5,FR.07,touching_prepared_neighbours_agree
FR-LYO-HAUTCOEURPENTES,BATIMENT0000000240881535_part0,Résidentiel,72.9,5,22.6,,,gpkg_null:year_built,TYPOLOGY_SIGNALS_DISAGREE 10; MISSING_OBSERVED_YEAR_BUILT 8; IDF_ASSEMBLY_FAILED_RuntimeError 1; MISSING_OBSERVED_DWELLING_COUNT 1; MISSING_OBSERVED_STOREY_COUNT 1,2,FR.01,BATIMENT0000000240881534_part0,0.0,FR.01,AB,6,FR.01,touching_prepared_neighbours_agree
GB-LDN-STDUNSTANS,way/14325891,apartments,852.3,3,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_B|C|D|E|F,,0,,way/389891684,16.7,A,TH,,A,nearest_prepared_neighbour_16.7m
GB-LDN-STDUNSTANS,way/29093390,apartments,391.1,6,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_C|D|E|G,,0,,way/261272600,19.2,C|D,AB,3.0,C|D,nearest_prepared_neighbour_19.2m
GB-LDN-STDUNSTANS,way/29093543,apartments,438.1,6,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_C|D|E|I,,0,,,,,,,GB.08,district_mode_same_type
GB-LDN-STDUNSTANS,way/29093544,apartments,429.8,6,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_C|D|E,,0,,way/29093545,29.1,D|E|F,AB,6.0,D|E|F,nearest_prepared_neighbour_29.1m
GB-LDN-STDUNSTANS,way/29093548,apartments,425.2,6,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_C|D|E|G,,0,,way/261272600,17.3,C|D,AB,3.0,C|D,nearest_prepared_neighbour_17.3m
GB-LDN-STDUNSTANS,way/29093572,apartments,601.0,6,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_C|D|E|F,,0,,,,,,,GB.08,district_mode_same_type
GB-LDN-STDUNSTANS,way/29093600,apartments,572.4,6,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_B|C|D|E,,0,,,,,,,GB.08,district_mode_same_type
GB-LDN-STDUNSTANS,way/51781396,apartments,312.2,17,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_D|E|I,,0,,way/422882740,10.5,D|E,AB,4.0,D|E,nearest_prepared_neighbour_10.5m
GB-LDN-STDUNSTANS,way/51781397,apartments,322.5,17,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_D|E|F|G,,0,,way/1055642105,21.3,GB.06,TH,3.0,GB.06,nearest_prepared_neighbour_21.3m
GB-LDN-STDUNSTANS,way/51781407,apartments,360.3,17,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_C|D|E|F|G,,0,,way/1054785374,14.7,I,AB,3.0,I,nearest_prepared_neighbour_14.7m
GB-LDN-STDUNSTANS,way/154194221,apartments,805.4,4,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_A|B|C|D|E|F|G|H|I,,0,,way/396591273,5.9,GB.04,AB,2.0,GB.04,nearest_prepared_neighbour_5.9m
GB-LDN-STDUNSTANS,way/182927520,apartments,1007.0,5,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_B|C|D|F|I|K|L,,0,,,,,,,GB.08,district_mode_same_type
GB-LDN-STDUNSTANS,way/182927523,apartments,2957.5,8,,,N,MISSING_OBSERVED_EPC_AGE_BAND,,0,,way/396164735,17.8,E,TH,3.0,E,nearest_prepared_neighbour_17.8m
GB-LDN-STDUNSTANS,way/182927525,apartments,238.7,6,,,N,MISSING_OBSERVED_EPC_AGE_BAND,,0,,,,,,,GB.08,district_mode_same_type
GB-LDN-STDUNSTANS,way/190348376,residential,553.9,4,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_B|C|D|F,,0,,way/531931777,16.6,GB.08,AB,5.0,GB.08,nearest_prepared_neighbour_16.6m
GB-LDN-STDUNSTANS,way/190348378,residential,763.8,4,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_B|C|D|E,,0,,way/531931774,14.6,GB.08,AB,7.0,GB.08,nearest_prepared_neighbour_14.6m
GB-LDN-STDUNSTANS,way/190348379,residential,638.8,4,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_B|D|E|F,,0,,way/190348377,4.9,GB.08,AB,4.0,GB.08,nearest_prepared_neighbour_4.9m
GB-LDN-STDUNSTANS,way/190348384,apartments,528.3,10,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_G|I|K|L,,0,,way/394373881,23.2,I,TH,3.0,I,nearest_prepared_neighbour_23.2m
GB-LDN-STDUNSTANS,way/190701337,house,44.4,2,,,N,MISSING_OBSERVED_EPC_AGE_BAND,,0,,way/1432262694,18.9,GB.08,AB,5.0,GB.08,nearest_prepared_neighbour_18.9m
GB-LDN-STDUNSTANS,way/190701339,house,48.7,2,,,N,MISSING_OBSERVED_EPC_AGE_BAND,,0,,way/394902414,17.2,H,AB,3.0,H,nearest_prepared_neighbour_17.2m
GB-LDN-STDUNSTANS,way/190701340,house,45.9,2,,,N,MISSING_OBSERVED_EPC_AGE_BAND,,0,,way/1432262694,13.7,GB.08,AB,5.0,GB.08,nearest_prepared_neighbour_13.7m
GB-LDN-STDUNSTANS,way/190701341,house,48.8,2,,,N,MISSING_OBSERVED_EPC_AGE_BAND,,0,,way/1432262694,8.1,GB.08,AB,5.0,GB.08,nearest_prepared_neighbour_8.1m
GB-LDN-STDUNSTANS,way/190701342,house,42.2,2,,,N,MISSING_OBSERVED_EPC_AGE_BAND,,0,,way/1328452202,21.2,GB.08,TH,2.0,GB.08,nearest_prepared_neighbour_21.2m
GB-LDN-STDUNSTANS,way/190837474,apartments,330.8,4,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_E|F|G|H|I,,0,,way/1432262694,13.4,GB.08,AB,5.0,GB.08,nearest_prepared_neighbour_13.4m
GB-LDN-STDUNSTANS,way/190837476,house,50.4,3,,,Y,PERIOD_STRADDLE_B_GB.01_GB.02,,0,,way/360924345,2.6,I,TH,2.0,I,nearest_prepared_neighbour_2.6m
GB-LDN-STDUNSTANS,way/192335451,apartments,235.6,4,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_I|J|K,,0,,way/554859566,12.4,G,TH,3.0,G,nearest_prepared_neighbour_12.4m
GB-LDN-STDUNSTANS,way/192335452,house,45.9,2,,,Y,PERIOD_STRADDLE_C_GB.02_GB.03,,0,,way/192335478,6.5,GB.02,TH,2.0,GB.02,nearest_prepared_neighbour_6.5m
GB-LDN-STDUNSTANS,way/192335453,house,48.6,2,,,Y,PERIOD_STRADDLE_D_GB.03_GB.04,,1,GB.03,way/192335469,0.0,GB.03,TH,2.0,GB.03,touching_prepared_neighbours_agree
GB-LDN-STDUNSTANS,way/192335456,house,46.7,2,,,N,MISSING_OBSERVED_EPC_AGE_BAND,,0,,way/1056576469,14.3,C|D,TH,3.0,C|D,nearest_prepared_neighbour_14.3m
GB-LDN-STDUNSTANS,way/192335458,house,48.5,2,,,Y,PERIOD_STRADDLE_D_GB.03_GB.04,,0,,way/1056576469,11.8,C|D,TH,3.0,C|D,nearest_prepared_neighbour_11.8m
GB-LDN-STDUNSTANS,way/192335460,house,49.7,3,,,Y,PERIOD_STRADDLE_C_GB.02_GB.03,,0,,way/1056576469,11.5,C|D,TH,3.0,C|D,nearest_prepared_neighbour_11.5m
GB-LDN-STDUNSTANS,way/192335461,house,55.5,3,,,N,MISSING_OBSERVED_EPC_AGE_BAND,,0,,way/1056576469,11.5,C|D,TH,3.0,C|D,nearest_prepared_neighbour_11.5m
GB-LDN-STDUNSTANS,way/192335463,house,50.8,2,,,Y,PERIOD_STRADDLE_D_GB.03_GB.04,,0,,way/1056576469,12.2,C|D,TH,3.0,C|D,nearest_prepared_neighbour_12.2m
