cell,city,archetype_id,heating_eui,heating_eui,heating_eui,cooling_eui,cooling_eui,cooling_eui,lighting_eui,lighting_eui,lighting_eui,equipment_eui,equipment_eui,equipment_eui,fans_eui,fans_eui,fans_eui,pumps_eui,pumps_eui,pumps_eui,dhw_eui,dhw_eui,dhw_eui,cooking_eui,cooking_eui,cooking_eui,refrig_eui,refrig_eui,refrig_eui,total_eui,total_eui,total_eui,phaseE_total_eui,phaseE_total_eui,phaseE_total_eui
,,,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count
austin_rural,AUS,RetailStandalone,19.032725949168952,17.62797025902121,21,34.79050311583032,33.515168578790245,21,23.49040520664146,23.972821062151933,21,23.481409884832814,23.52741601982235,21,48.33505083220051,42.88851640267451,21,0.0,0.0,21,11.671524350579334,11.694308647285881,21,0.0,0.0,21,0.0,0.0,21,160.8016193392534,152.38618613315975,21,180.39925503231245,178.40069261514097,21
austin_rural,AUS,SmallOffice,3.9733193422916124,3.557716540972564,177,13.362792606490755,12.902754688019062,177,10.610655091558597,10.609502140567225,177,26.263623040104996,26.253402502742627,177,11.82432503943883,11.228942960510466,177,1.2801609846921073e-10,1.279662826767657e-10,177,13.616041313651415,13.610071428782625,177,0.0,0.0,177,0.0,0.0,177,79.65075643366423,78.19533295085279,177,101.89136228707976,99.21573452935533,177
austin_rural,AUS,SuperMarket,1.0031406918551191,1.0031406918551191,1,16.717612818270535,16.717612818270535,1,66.57474348121005,66.57474348121005,1,20.88645079710861,20.88645079710861,1,3.7893872355952083,3.7893872355952083,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,27.824225145040536,27.824225145040536,1,136.79556016908006,136.79556016908006,1,318.7832467697524,318.7832467697524,1
austin_suburban,AUS,Courthouse,25.404341201157163,22.245539169186863,7,59.02154535933413,53.310582671047534,7,19.676655036048064,19.676654937623773,7,28.256190513239517,28.256190371891236,7,34.92349263130907,35.734726647344644,7,0.6638756007712113,0.5502272340173013,7,4.618915313589411,3.5627445567410545,7,0.0,0.0,7,0.0,0.0,7,172.56501565544858,154.27325079474855,7,167.6196745645665,146.99644838856855,7
austin_suburban,AUS,FullServiceRestaurant,142.87757096897195,119.74815619830846,7,160.11613122405112,157.1232707822686,7,20.998858689521132,20.99473484552822,7,224.75420464235432,224.5834227338617,7,96.69058333257001,76.51812543274076,7,0.24262901097620057,0.24244463927865184,7,214.53743794914212,214.38472064909905,7,456.38649363817996,456.0397034345645,7,56.59252946321241,41.503414511686245,7,1373.1964389189793,1310.7279522426988,7,1098.5235526665267,1095.410329754202,7
austin_suburban,AUS,MediumOffice,7.684792291045231,7.519326620913104,4,24.703589925304186,24.71009770967246,4,9.333127138291992,9.437523776993451,4,35.643798151900974,36.08603414275372,4,7.254810752646965,7.23159533026133,4,0.008064737659145697,0.008164797540732304,4,7.43581730312995,7.527622257801115,4,0.0,0.0,4,0.0,0.0,4,92.06400029997845,92.52556946525073,4,133.68118152059174,122.15403657481771,4
austin_suburban,AUS,MidriseApartment,25.270521371084207,25.270521371084207,2,25.7699150484284,25.7699150484284,2,5.081542673971157,5.081542673971157,2,37.47587107142865,37.47587107142865,2,13.87830075091612,13.87830075091612,2,0.0,0.0,2,39.27474299755241,39.27474299755241,2,0.0,0.0,2,0.0,0.0,2,146.75089391338093,146.75089391338093,2,113.17423082511846,113.17423082511846,2
austin_suburban,AUS,OpenUBEMUnknown,19.368365086412844,15.08362958599966,24,90.81142648285969,89.25559628633097,24,36.07297826506785,38.06647242368294,24,204.34867516160594,194.5150972518382,24,60.29301294205457,47.05364262164021,24,0.22006447322195735,0.00446547637001519,24,41.89880461070215,31.058141864966714,24,0.0,0.0,24,0.0,0.0,24,453.013327021925,426.4132310818048,24,434.5957184373658,411.4520220842273,24
austin_suburban,AUS,QuickServiceRestaurant,71.66348178293426,62.61905347121133,7,159.96138768718785,161.9107755079593,7,25.367930646754612,25.33843545511097,7,286.73152547176176,286.7408299934135,7,64.82615853905553,63.84207494815002,7,1.1215690304158745e-08,1.1216053662902491e-08,7,224.12788207307543,224.16172752415963,7,804.8657990038711,804.8919171339023,7,47.2324776252885,49.13929564358078,7,1684.7766428411448,1678.6363136445395,7,1539.8887399674247,1586.0385142441482,7
austin_suburban,AUS,RetailStandalone,24.039213767591633,22.116704921946223,7,44.72951227933551,42.20652756457844,7,24.07608789127308,24.04940712167619,7,23.52719203513926,23.527418170290826,7,71.84217563329591,58.22279856193727,7,0.0,0.0,7,11.690349251349724,11.691383969626381,7,0.0,0.0,7,0.0,0.0,7,199.9045308579851,181.81483066871934,7,194.8729825882156,192.82772561980184,7
austin_suburban,AUS,SecondarySchool,4.218905744975682,4.218905744975682,2,23.585333198256436,23.585333198256436,2,4.545769152345462,4.545769152345462,2,17.096259325562976,17.096259325562976,2,7.990400010961908,7.990400010961908,2,0.7154367220244753,0.7154367220244753,2,6.348883434921133,6.348883434921133,2,6.5350669631628,6.5350669631628,2,0.7694552227350993,0.7694552227350993,2,71.80550977494597,71.80550977494597,2,237.40373554292694,237.40373554292694,2
austin_suburban,AUS,SmallOffice,5.032110673018648,3.528183702607154,377,17.072464314065392,14.698687798744754,377,10.589345424665899,10.603336411839772,377,26.277233604983117,26.25340263980105,377,14.342494912838239,11.752794340292683,377,1.280824396588277e-10,1.2796628137919455e-10,377,13.620542530611413,13.608901910533733,377,0.0,0.0,377,0.0,0.0,377,86.93419146031079,80.45131315255026,377,120.55830144286321,110.7926714316358,377
austin_urban,AUS,Hospital,15.718367782133146,15.718367782133146,2,56.684480076617106,56.684480076617106,2,29.0357566902233,29.0357566902233,2,85.37451119205161,85.37451119205161,2,40.214144617254405,40.214144617254405,2,13.134246048838786,13.134246048838786,2,19.330844231770072,19.330844231770072,2,51.87253470433926,51.87253470433926,2,4.936152717825484,4.936152717825484,2,316.3010380610532,316.3010380610532,2,330.54208351446755,330.54208351446755,2
