building_id,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds,platform,energyplus_version,layout_json
relation/4172891,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,FALLBACK_PENDING_LAYOUT,dec3f1c414b19a100e14ea9338e6fb2a700d0c989ad84532d33fcc320cc6cb4b,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,880.5521,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/relation/4172891.json
relation/4172892,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,60da4f678368f47b746af4e8e461590d58e63754a07ffd969b446289256bd417,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1587.8663,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/relation/4172892.json
relation/4179135,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,76009ddf7411b5ea2f12a63fe18d5ae034814b3d1000cce8a9350e1a2a55e5a2,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1259.665,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/relation/4179135.json
relation/4466638,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,FALLBACK_PENDING_LAYOUT,e30653a8bbd1e354f9ca70967cb4e4adabc742bb3b9be9707ac93391a5b8eea3,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1725.0084,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/relation/4466638.json
relation/4495684,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,96d13524ccaf8df28b5b216f42b1e876dbacf5402b4a197bb3083cb52fb57491,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,296.2576,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/relation/4495684.json
relation/4678507,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,FALLBACK_PENDING_LAYOUT,31034f36adc1684d52103625e673910fb73bf799a3da3854bb9c91301d271bc1,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,3821.1444,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/relation/4678507.json
relation/4678509,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,FALLBACK_PENDING_LAYOUT,43ae91b93d66d5116ed233b8551b85bb37aa719794a0300f05e3a6117254df3b,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,3104.2903,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/relation/4678509.json
relation/4835799,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,FALLBACK_PENDING_LAYOUT,49638ecc5a651fb47b336bbd3ed1963771c51f0b1add3128ba5c60b23f05ad6d,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1417.2067,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/relation/4835799.json
relation/4835800,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,955d165c84e2b0523ecde11b88834f1c00147a7a7a798075cd3b5188e0ec80d5,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,324.2532,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/relation/4835800.json
relation/4835801,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,FALLBACK_PENDING_LAYOUT,8c72c5d40b407ed92ff635f45bba7bdcc169456ad345a0b920ada10d79f2239e,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,2756.1793,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/relation/4835801.json
