Date/Time,BATIMENT0000000240879409_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 02/04  15:00:00,14523076.138704807,13337701.318493772,13238896.245897409,14659801.936406113,28727590.407007094 
 02/04  16:00:00,14382043.417998163,13207324.249526951,13126005.724027717,14469392.376566913,28043924.52119062 
 02/04  17:00:00,14662028.743324723,13490362.370794091,13520304.958375579,14953429.507128187,28400791.71261725 
 02/04  18:00:00,15293467.656603988,14132888.403701458,14234922.723127205,15862666.720495742,30189561.832440853 
 02/04  19:00:00,16198457.033354787,15058817.399900446,15210237.21568584,16953872.578646716,32441165.1355862 
 02/04  20:00:00,16961320.05873336,15842211.611155964,16017489.743437234,17838256.54055639,34262247.691932924 
 02/04  21:00:00,17444333.024679355,16344752.719748408,16544854.252034303,18443035.087770723,35736190.47241797 
 02/04  22:00:00,18056911.748816337,16978796.569014605,17200517.47947805,19171408.150413122,37255560.504874356 
 02/04  23:00:00,18510116.46831055,17450829.298501465,17685836.466156784,19700092.466487844,38184685.10105428 
 02/04  24:00:00,18472071.168220047,17423870.538317047,17671328.15817748,19717464.466766432,38423254.81802322 
 02/05  01:00:00,18743675.368420437,17709797.60024932,17972549.063397594,20067933.845303707,39250605.16071139 
 02/05  02:00:00,19387788.825061418,18379099.23955024,18659539.24284426,20817724.53335988,40695420.947809175 
 02/05  03:00:00,20046471.937820382,19063304.937557686,19358961.338291943,21573880.33317871,42075722.006004214 
 02/05  04:00:00,20906882.846505266,19958268.065041255,20273008.098561577,22563227.1735924,43943797.43036466 
 02/05  05:00:00,21895214.25964459,20986560.440977998,21325168.086664803,23706183.647090282,46184335.29996257 
 02/05  06:00:00,22783687.236948106,21913121.22237858,22271523.95492897,24727856.191220734,48046985.344748065 
 02/05  07:00:00,23890506.82926233,23065757.00374843,23449766.765748333,26005878.226178396,50510140.05564588 
 02/05  08:00:00,24686911.347823,23901252.27887988,24302886.45195832,26926911.621379398,52150545.00812064 
 02/05  09:00:00,25067896.29091672,24308524.201039203,24708706.931145903,27347626.83756928,52718176.4199444 
 02/05  10:00:00,24342474.840625748,23566245.82577848,23904594.078801375,26406448.435987536,51171608.36659783 
 02/05  11:00:00,21912545.473843485,21055257.026228406,21194988.317450054,22986884.762634628,45588385.706198804 
 02/05  12:00:00,19290400.3920532,18272232.64688205,18120523.234370727,19843420.099897906,40372635.13027519 
 02/05  13:00:00,17684224.613000665,16456889.668085832,16239412.84721468,17969884.859609015,37195822.159589216 
 02/05  14:00:00,16695038.92120951,15369650.436102377,15063676.64009378,16622632.518707193,34810920.185088366 
 02/05  15:00:00,15963718.282028388,14633819.89859804,14234372.409839725,15519528.727120053,32454005.783634726 
 02/05  16:00:00,16096663.177416226,14922819.436853446,14703240.094781674,15992652.064329604,32373026.022488236 
 02/05  17:00:00,16672954.68560515,15540771.617725965,15554811.940780306,16961069.610681307,32682683.76564562 
 02/05  18:00:00,17746095.830033615,16637832.912202,16738280.038121548,18575298.178757988,36007945.159030415 
 02/05  19:00:00,19155659.63066438,18085421.29736791,18234886.8176838,20165952.15523423,38289727.04828127 
 02/05  20:00:00,20254362.591202654,19220092.579227027,19389175.688108888,21374068.206405733,40093534.674074784 
 02/05  21:00:00,21139158.800954994,20142707.713932026,20343120.105542406,22418697.001151487,42180503.463578105 
 02/05  22:00:00,22024404.99334963,21069335.66097056,21298509.16069723,23460362.81670365,44196070.95483518 
 02/05  23:00:00,22542320.3366237,21620755.870144095,21867446.27229229,24076396.3836748,45208700.689422466 
 02/05  24:00:00,22987498.973367527,22100944.63823569,22372477.192790862,24649015.788277257,46474253.65582148 
 02/06  01:00:00,23476148.67794124,22626883.2218223,22931010.815624543,25303420.96018605,48201146.83377222 
 02/06  02:00:00,23865575.768456977,23042542.24394162,23361930.838532496,25779880.012448236,49038317.97598295 
 02/06  03:00:00,23974095.731084682,23171856.370042242,23498784.234871667,25929388.80550326,49137736.903934956 
 02/06  04:00:00,24217282.84643207,23437340.102945887,23780459.475507434,26251471.548763588,49834716.47294871 
 02/06  05:00:00,24729550.401870254,23983988.874464676,24353936.40992691,26905398.961112253,51415111.440235026 
 02/06  06:00:00,25168128.686717175,24454578.051501483,24851909.932935297,27487250.108994283,52934980.76226888 
 02/06  07:00:00,25622106.15424659,24937267.96419347,25356081.930030026,28058950.9512385,54233347.86363162 
 02/06  08:00:00,26215195.052266315,25562462.089482807,26004167.413268544,28782449.91406941,55770638.12275162 
 02/06  09:00:00,26814480.32808434,26187036.03134937,26634468.537582327,29455272.562541433,56985706.07500586 
 02/06  10:00:00,26021723.03940683,25365806.995478034,25733431.48665807,28320707.377267394,54851698.08939605 
 02/06  11:00:00,24080408.61797009,23356334.11243401,23456455.366064224,24939914.879431427,49135446.46083828 
 02/06  12:00:00,22296254.141161907,21307199.590061247,20851643.135033585,22297065.0344653,44349012.042325854 
 02/06  13:00:00,21151647.34879504,19881569.087271784,19447299.113293145,21076549.929295998,41850338.12997788 
 02/06  14:00:00,20238091.848764535,18860439.5269763,18335661.552695204,19793584.44447238,39694098.52614417 
 02/06  15:00:00,19745452.342502117,18439646.782012682,17912158.779286273,19201375.404406987,38296525.717982054 
 02/06  16:00:00,19859953.402694236,18741100.43595369,18484169.39114043,19967039.7347862,38952798.48641828 
 02/06  17:00:00,19952856.274923984,18891725.834509883,18863247.26494504,20562316.28039751,39158183.77856825 
 02/06  18:00:00,20733580.290387414,19733543.60609605,19832350.34957991,21835569.89337821,41618308.2933079 
 02/06  19:00:00,21866303.40976853,20931998.32257889,21130324.02655144,23343364.93063379,45085979.589090586 
 02/06  20:00:00,22933054.732503463,22049388.838908106,22296217.077023037,24637249.25233712,47756952.52430068 
 02/06  21:00:00,24033987.823814336,23199604.179214288,23483268.09081629,25924215.68735212,50083894.622927114 
 02/06  22:00:00,24969135.364510197,24183237.324099816,24503895.550572477,27045999.785905987,52244917.34157848 
 02/06  23:00:00,25931352.895921234,25196431.823268924,25555532.381487798,28208222.92167532,54574421.86701631 
 02/06  24:00:00,26879851.80843458,26193791.829733647,26583973.138182018,29328290.68794471,56652606.7045678 
 02/07  01:00:00,27755693.707956057,27111728.69428295,27519645.709207445,30316525.80617064,58085082.623071 
 02/07  02:00:00,28817906.695422683,28226287.641737495,28656782.77630044,31526318.012841478,60085334.7660243 
 02/07  03:00:00,29996015.541180126,29456399.98332087,29909973.22212492,32855910.573840797,62287525.62225875 
 02/07  04:00:00,30989279.441884305,30496510.731093846,30971701.42974706,33988173.144908324,64202065.47729561 
 02/07  05:00:00,31376381.29868056,30913253.796775013,31409934.631372288,34489185.991628796,65283136.32522111 
 02/07  06:00:00,32670308.98215945,32239625.524670336,32754238.55323233,35918370.713045225,67736216.15998226 
 02/07  07:00:00,33138900.952841125,32735214.2290202,33256682.004903518,36446552.97306315,68361096.31282282 
 02/07  08:00:00,32301921.802787337,31870160.382263385,32362745.36999774,35450621.38740918,65692048.45150174 
