building_id,run_slug,country_stock_code,building_type,layout_mode,zone_count,idf_missing,schedule_file_used,interpolate_no,hours_8760,csv_exists_and_reads,people_assignment_unique,n_eu_schedules,n_eu_gains,n_eu_people
BATIMENT0000000240879681_part0,BATIMENT0000000240879681_part0,FR,MFH,DWELLING_LAYOUT_EMITTED,2,False,True,True,True,True,True,2,2,0
BATIMENT0000000240879754_part0,BATIMENT0000000240879754_part0,FR,TH,FALLBACK_PENDING_LAYOUT,4,False,True,True,True,True,True,4,4,0
BATIMENT0000000240879789_part0,BATIMENT0000000240879789_part0,FR,AB,FALLBACK_PENDING_LAYOUT,6,False,True,True,True,True,True,6,6,0
BATIMENT0000000240879934_part0,BATIMENT0000000240879934_part0,FR,SFH,FALLBACK_PENDING_LAYOUT,3,False,True,True,True,True,True,3,3,0
BATIMENT0000000240879957_part0,BATIMENT0000000240879957_part0,FR,AB,FALLBACK_PENDING_LAYOUT,6,False,True,True,True,True,True,6,6,0
BATIMENT0000000240879966_part0,BATIMENT0000000240879966_part0,FR,TH,FALLBACK_PENDING_LAYOUT,2,False,True,True,True,True,True,2,2,0
BATIMENT0000000240879968_part0,BATIMENT0000000240879968_part0,FR,SFH,FALLBACK_PENDING_LAYOUT,1,False,True,True,True,True,True,1,1,0
BATIMENT0000000240879972_part0,BATIMENT0000000240879972_part0,FR,AB,FALLBACK_PENDING_LAYOUT,7,False,True,True,True,True,True,7,7,0
BATIMENT0000000240879975_part0,BATIMENT0000000240879975_part0,FR,AB,FALLBACK_PENDING_LAYOUT,7,False,True,True,True,True,True,7,7,0
BATIMENT0000000240879995_part0,BATIMENT0000000240879995_part0,FR,AB,FALLBACK_PENDING_LAYOUT,7,False,True,True,True,True,True,7,7,0
BATIMENT0000000240879996_part0,BATIMENT0000000240879996_part0,FR,AB,FALLBACK_PENDING_LAYOUT,6,False,True,True,True,True,True,6,6,0
BATIMENT0000000240880001_part0,BATIMENT0000000240880001_part0,FR,MFH,FALLBACK_PENDING_LAYOUT,4,False,True,True,True,True,True,4,4,0
BATIMENT0000000240880013_part0,BATIMENT0000000240880013_part0,FR,MFH,DWELLING_LAYOUT_EMITTED,1,False,True,True,True,True,True,1,1,0
BATIMENT0000000240880015_part0,BATIMENT0000000240880015_part0,FR,AB,FALLBACK_PENDING_LAYOUT,6,False,True,True,True,True,True,6,6,0
BATIMENT0000000240880024_part0,BATIMENT0000000240880024_part0,FR,TH,FALLBACK_PENDING_LAYOUT,2,False,True,True,True,True,True,2,2,0
BATIMENT0000000240880044_part0,BATIMENT0000000240880044_part0,FR,AB,FALLBACK_PENDING_LAYOUT,8,False,True,True,True,True,True,8,8,0
BATIMENT0000000240880049_part0,BATIMENT0000000240880049_part0,FR,TH,FALLBACK_PENDING_LAYOUT,4,False,True,True,True,True,True,4,4,0
BATIMENT0000000240880050_part0,BATIMENT0000000240880050_part0,FR,TH,FALLBACK_PENDING_LAYOUT,4,False,True,True,True,True,True,4,4,0
BATIMENT0000000240880071_part0,BATIMENT0000000240880071_part0,FR,SFH,FALLBACK_PENDING_LAYOUT,2,False,True,True,True,True,True,2,2,0
BATIMENT0000000240880079_part0,BATIMENT0000000240880079_part0,FR,TH,FALLBACK_PENDING_LAYOUT,2,False,True,True,True,True,True,2,2,0
BATIMENT0000000240880082_part0,BATIMENT0000000240880082_part0,FR,TH,DWELLING_LAYOUT_EMITTED,1,False,True,True,True,True,True,1,1,0
BATIMENT0000000240880083_part0,BATIMENT0000000240880083_part0,FR,TH,FALLBACK_PENDING_LAYOUT,2,False,True,True,True,True,True,2,2,0
BATIMENT0000000240880094_part0,BATIMENT0000000240880094_part0,FR,TH,FALLBACK_PENDING_LAYOUT,2,False,True,True,True,True,True,2,2,0
