building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,storey_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,eui_denominator_m2,context_building_count,fallback_reason
28308,51cb47ea67faa410,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,005aac218d3a5fa2e3d4172e4e4e1941fa8ec7c44dec1f27912d001b4aae4b63,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,5304.5899,5304.5899,5304.5899,5304.5899,10,
28333,9b3d03a9204583e0,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,69f991d807f8b016ebb54a1f9894818a549247d8e3daadbbfddd561eb055de7e,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,2342.3197,2342.3197,2342.3197,2342.3197,10,
28350,7010c02e9661e126,IT.MidClim.AB.05.Gen.ReEx.001.001,AB,IT.05,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,c1c4c288cf7653006ab91e36b41c82663d0cac924186c5795c178c251daeb567,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,17476.1095,17476.1095,17476.1095,17476.1095,7,near_duplicate_vertex_tolerated_box
28362,1ae3feaee84eada7,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,c621a18377ec88fcc2622642833907d273a5ef60f5d0768f600b4cd83dd754a1,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,2302.3811,2302.3811,2302.3811,2302.3811,8,near_duplicate_vertex_tolerated_box
28373,a53d307eac631355,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,8731841906e8683a5db2a584737d4cf8c8358aa009654fdda1241dda9e365967,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,15695.6502,15695.6502,15695.6502,15695.6502,12,
28380,13530777b5cc15f2,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,47525183d988372cc0b59164fa6876193d85bc1a6cb329728ca74c9cffcf016c,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,1017.0927,1017.0927,1017.0927,1017.0927,10,
28388,39c82e70ef4806b4,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,74f965764f3486b744141e386017a98781fb025e05538ebc40a4d0057b02651e,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,1714.5279,1714.5279,1714.5279,1714.5279,11,
28392,d1e6e482543275e3,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,118eb113973cc563ea9699021967033e97f78dd287d3db8eaf45dc9ca7368312,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,7848.6733,7848.6733,7848.6733,7848.6733,13,
28454,239d455de119eea3,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,b937da277450c91c53c2bd23c3194f102f0adeca28eba2d0a25c1cfc58ca39fe,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,4444.4169,4444.4169,4444.4169,4444.4169,4,
28457,cd29212cd483e429,IT.MidClim.AB.05.Gen.ReEx.001.001,AB,IT.05,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,981249a9413253e89c4945b8dddb1ccd073a10c86ef320f7b571bb80dd5da63e,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,7684.4357,7684.4357,7684.4357,7684.4357,4,
28463,98e669698b7a0c31,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,fc47fab4925d1a9304b16e01b3a2582e5a694c59af01fedb728dcc07fe254aa1,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,3966.6133,3966.6133,3966.6133,3966.6133,11,
28472,947bef667d48a0f0,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,780df7c4c2de7b889717b9ec56694c1572a5877d2ea7b1d599218bc758ca7292,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,313.4451,313.4451,313.4451,313.4451,3,
28473,97d478bc56840531,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,e3a6bbf4c728bea85f3385a74a4404ab75779c9f7f89090ec88efc274fe130d1,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,1099.7095,1099.7095,1099.7095,1099.7095,8,
28517,53a878cac1057a1b,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,de0825e5bae181e5f730cbdfee08144d2222b018fd6cfd9e427bb2212ca8a021,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,1492.19,1492.19,1492.19,1492.19,8,
28527,027f230632b64c16,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,e5ff00d48a1044592dd095de5b4d193f82825015f50b988f7658083b3be08559,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,5148.4394,5148.4394,5148.4394,5148.4394,5,
28533,bb0f0b3189ad6f8f,IT.MidClim.AB.05.Gen.ReEx.001.001,AB,IT.05,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,65d1c288b9203b1d2ade06a06a14f6994540695ab6743d1530f1b0b3dd914f7f,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,6808.7155,6808.7155,6808.7155,6808.7155,9,
28583,29f42de6b7adf4e2,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,03e359ee4c5dcae5d7a593f19bd16b379aad99c537d60d39ab987a98a29c74d5,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,2491.1221,2491.1221,2491.1221,2491.1221,10,
28589,8cd89fe4103b2d10,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,f5cd1ed4e412382a0b83cb2378832a8cef9055418299b95448f17615f3340d08,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,14338.9797,14338.9797,14338.9797,14338.9797,14,
28590,83cea6d2fb3a7819,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,d02ee488a8e9c8a5eb32b5ee20045cdf202ddedcd7d0e807c1cbc2593a8e22f7,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,6405.6772,6405.6772,6405.6772,6405.6772,8,
28593,1b9340ff517e0656,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,b5bf8835c6214cac209aafb503b7f6730de7fa308cf8b061b2687cd3de94a737,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,609.3161,609.3161,609.3161,609.3161,9,
28613,8288faf63dd2052a,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,725da5082b99e1df6eed53cd0bd909acf4ef53e97f17108987b217d72cb8b888,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,2631.3977,2631.3977,2631.3977,2631.3977,9,
28621,fece15355c8f4738,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,3cd745c80c73e7d1c89220fd9cdcafd5096d8bc52ae6cc3bae89d20e98cee463,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,2219.2411,2219.2411,2219.2411,2219.2411,11,
28629,fe2daa1df7ed4012,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,9d8da30f8edbfcdcaeea8ab6c2eb4bfd00ab39dc2075dbc350740f36d5f3e4f7,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,25076.3707,25076.3707,25076.3707,25076.3707,15,
28636,35ece342c4759693,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,91953c431794bb1f2060039c08f18e71743ff0f997f58d49eb0c19be7d5330ee,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,2627.14,2627.14,2627.14,2627.14,10,
28651,c8928691948d3c2a,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,34edef4dedf8df7e3a84b45300d07b7f675f54a7ceab86a5af2222d8270dddca,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,6524.5169,6524.5169,6524.5169,6524.5169,14,
