Date/Time,BATIMENT0000000240877130_PART0_F0_DWELLING_0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877130_PART0_F0_DWELLING_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877130_PART0_F0_DWELLING_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/05  14:00:00,1575272.1908141247,1405629.8872241017,1587956.5817607623 
 01/05  15:00:00,1435768.376671482,1284243.7080883854,1446078.6744219994 
 01/05  16:00:00,1496057.0204727473,1334586.0546673704,1486611.426948085 
 01/05  17:00:00,1529000.3124696803,1319800.7508847506,1304563.0740632021 
 01/05  18:00:00,2130191.6225720756,1884978.8138921517,2104336.11100928 
 01/05  19:00:00,2315259.54782841,2050279.9127898302,2308486.073563881 
 01/05  20:00:00,2438715.7020810465,2160971.34127081,2434667.4938705983 
 01/05  21:00:00,2517513.9307153826,2231566.3713249736,2515884.0822193795 
 01/05  22:00:00,2509300.562410762,2224279.0883864677,2510030.2875863747 
 01/05  23:00:00,2462153.4528142335,2181928.4278335823,2465070.9355826573 
 01/05  24:00:00,2381427.559302774,2107717.962109227,2386864.8699015174 
 01/06  01:00:00,2341323.7178745978,2069740.6390671078,2348484.746622311 
 01/06  02:00:00,2371522.5988565353,2095516.6901609392,2379717.591903723 
 01/06  03:00:00,2413941.3491540346,2132176.469773727,2423064.6703457898 
 01/06  04:00:00,2486224.1809353083,2197720.562211244,2495083.0903624175 
 01/06  05:00:00,2484730.8054102277,2197261.091418837,2494273.3783841794 
 01/06  06:00:00,2458872.557536867,2172829.4348823694,2469668.727889495 
 01/06  07:00:00,2450758.5658649374,2166575.934908529,2461865.6932065 
 01/06  08:00:00,2455012.6739942,2171096.851346114,2466434.3023898937 
 01/06  09:00:00,2447518.8301867805,2164343.9151911307,2458611.3158394992 
 01/06  10:00:00,2358044.375063983,2085115.9712776397,2368587.951048064 
 01/06  11:00:00,2002842.4798493623,1777387.7929007486,2017636.4374173153 
 01/06  12:00:00,1513766.5783685865,1353652.8561242423,1512486.856492317 
 01/06  13:00:00,1146139.956498153,1027243.8147561969,1083748.1339902617 
 01/06  14:00:00,929704.151676499,823062.8862871752,739172.8442592995 
 01/06  15:00:00,896549.3547615184,769188.247628282,606490.0892533279 
 01/06  16:00:00,1069808.247690968,893818.8430188316,715550.3418323582 
 01/06  17:00:00,1424316.9552373483,1169456.247955306,989747.7979400589 
 01/06  18:00:00,2105732.830731783,1830085.8352386071,2024329.2138180542 
 01/06  19:00:00,2333077.309003124,2039155.349462793,2287820.8578001787 
 01/06  20:00:00,2570949.4036013093,2252339.637199226,2537291.873571129 
 01/06  21:00:00,2713434.0837455364,2379073.7729811436,2688612.27614521 
 01/06  22:00:00,2902448.2408798113,2553239.246239805,2886934.657922947 
 01/06  23:00:00,3088429.4847454675,2722704.883553034,3080466.962952777 
 01/06  24:00:00,3154563.9727768414,2784665.648719479,3152451.0211193026 
 01/07  01:00:00,3103552.8823765432,2747661.0980507666,3106589.6790516092 
 01/07  02:00:00,3111332.045809811,2758911.84111678,3118310.804819272 
 01/07  03:00:00,3151614.1226934325,2796187.280210726,3161385.249220887 
 01/07  04:00:00,3141363.1598285413,2788126.198779916,3153332.1865874296 
 01/07  05:00:00,3134328.873509255,2779663.2301810887,3147402.4931699806 
 01/07  06:00:00,3154732.166866441,2795745.6824002163,3168754.39285552 
 01/07  07:00:00,3114740.0736029283,2759188.905761163,3128966.8821142362 
 01/07  08:00:00,3030400.371088085,2682480.873897911,3044027.4421568215 
 01/07  09:00:00,2978024.246005193,2633094.221209135,2990941.21356347 
 01/07  10:00:00,2764755.864725743,2444810.66296086,2764076.3201846606 
 01/07  11:00:00,2024604.9834616727,1778401.3773937128,1848477.7437077214 
 01/07  12:00:00,1135151.1426732698,944759.5519421826,600895.0253104675 
 01/07  13:00:00,661945.740794317,506968.479375319,41981.46228036239 
 01/07  14:00:00,457203.4462421627,265600.6729562716,0.0 
 01/07  15:00:00,340389.78191162745,47163.20548344302,0.0 
 01/07  16:00:00,370544.83195437246,4875.960768476216,0.0 
 01/07  17:00:00,773260.7285919649,356681.61401526025,0.0 
 01/07  18:00:00,1669467.8749129926,1351082.2418901531,1021612.1761152984 
 01/07  19:00:00,1859008.008871647,1542924.108802503,1372200.484243215 
 01/07  20:00:00,1891937.7032077943,1584693.136005751,1468954.4247176691 
 01/07  21:00:00,1922207.4670946696,1625919.9921938824,1566278.3558385114 
 01/07  22:00:00,1979684.097312046,1691699.741649018,1683054.611679248 
 01/07  23:00:00,1999652.87271016,1719328.9520800957,1755747.5747300894 
 01/07  24:00:00,2002880.098321952,1729231.372164613,1804335.2115512406 
 01/08  01:00:00,1921947.6205839077,1662579.3910341284,1762521.5421560802 
 01/08  02:00:00,1881183.8169258907,1630839.8442290784,1752624.5595066578 
 01/08  03:00:00,1882992.3061768436,1636562.5637779108,1779206.0662566782 
 01/08  04:00:00,1884128.9950584602,1641317.2621562565,1801574.8383191 
 01/08  05:00:00,1901230.229212441,1658866.9007598993,1835818.3120220182 
 01/08  06:00:00,1979546.8700756156,1730476.900067701,1928631.9491529344 
 01/08  07:00:00,2035254.0200338357,1780953.654624483,1995339.094026191 
 01/08  08:00:00,2033932.7309917787,1779972.3641800021,2003245.7718332924 
 01/08  09:00:00,2089645.6748995688,1819251.260964479,2066489.6690775917 
 01/08  10:00:00,2115375.2571394537,1836052.1950353645,2097918.3210588554 
 01/08  11:00:00,1768852.7642642437,1554343.7614781419,1752405.8194842106 
 01/08  12:00:00,1269172.3148499047,1118248.848200076,1228429.9282524697 
 01/08  13:00:00,1018407.2269611463,897585.133298455,944285.7150580765 
 01/08  14:00:00,838782.776389423,727024.4413588721,652111.2002597882 
 01/08  15:00:00,661489.0328280556,533933.6745531189,303453.23691174237 
 01/08  16:00:00,1060374.0804820163,901628.8480720462,875300.9528950121 
 01/08  17:00:00,1108285.134538148,874378.5683580716,612322.662883439 
 01/08  18:00:00,1688914.3884982774,1456750.2581903203,1604012.4839020832 
 01/08  19:00:00,1749452.6028375896,1518289.444082723,1694541.22474177 
 01/08  20:00:00,1794752.7222695574,1558544.262388003,1751467.5449494692 
 01/08  21:00:00,1892100.2183486912,1645291.602357333,1858401.3841902807 
 01/08  22:00:00,2031502.0391165912,1772039.3190354086,2006300.546552366 
 01/08  23:00:00,2146051.8531618784,1877346.3510070515,2127903.2422466637 
 01/08  24:00:00,2216583.029536866,1940769.8070404255,2203899.8026237413 
 01/09  01:00:00,2349644.9904639367,2063836.7232926928,2342767.6580189234 
 01/09  02:00:00,2545015.1996846516,2247533.663309701,2545206.598797261 
 01/09  03:00:00,2803545.9552593683,2479463.15855513,2808921.4521679915 
 01/09  04:00:00,3034624.811516273,2683255.5280936873,3043386.7489499045 
 01/09  05:00:00,3301895.4782498367,2925090.457778934,3315198.0011375886 
 01/09  06:00:00,3608932.016463665,3200377.9323038254,3625976.9927419657 
 01/09  07:00:00,3816860.049047022,3384847.1975338785,3836033.0870418223 
 01/09  08:00:00,3853405.2171137845,3415435.4388999706,3872952.910232546 
 01/09  09:00:00,3725593.4422920058,3293492.9476115396,3742912.665646897 
 01/09  10:00:00,3389804.123591571,2989695.983267871,3401156.109735758 
 01/09  11:00:00,2659705.5268405005,2343608.929719408,2602627.6546845855 
 01/09  12:00:00,1797888.2815604827,1548314.8167266264,1410583.3998989677 
 01/09  13:00:00,1224670.0717177247,1004036.0173526581,535422.4609515666 
 01/09  14:00:00,1169338.849121127,964205.0252493744,509455.50507011864 
 01/09  15:00:00,1451960.3663760626,1149499.7003474587,613916.8266637909 
 01/09  16:00:00,3010743.298470262,2538790.523093494,2865032.6662982167 
 01/09  17:00:00,2081898.7357160426,1625067.3175901256,989865.0127931982 
 01/09  18:00:00,3020747.6853259047,2618920.439136401,2837353.405316537 
 01/09  19:00:00,3210531.7851315704,2800575.1003130274,3088842.1617867295 
 01/09  20:00:00,3328103.0344159086,2910310.2604092783,3231775.4066398107 
 01/09  21:00:00,3441870.9567485554,3017555.5149001526,3370862.2801512247 
 01/09  22:00:00,3456730.9571898766,3039197.652487196,3405638.3203786267 
 01/09  23:00:00,3422847.086188187,3007986.1643777187,3382609.497748204 
 01/09  24:00:00,3480308.3260047203,3056334.852853315,3449158.488053927 
 01/10  01:00:00,3522609.8930087714,3092373.0317769474,3500784.986681136 
 01/10  02:00:00,3555525.2041074554,3120991.826980241,3541654.949349989 
 01/10  03:00:00,3557672.611825943,3124977.0714855455,3549687.0551062487 
 01/10  04:00:00,3569560.7269960004,3136186.1253286605,3566970.3360450566 
 01/10  05:00:00,3626826.458334868,3187931.563230686,3628847.1481674863 
 01/10  06:00:00,3766707.035944926,3315248.7950349506,3771361.624722476 
 01/10  07:00:00,3954604.227265588,3484594.6915486893,3962312.5804339666 
 01/10  08:00:00,3860125.7849380095,3401519.739008521,3872223.1051478256 
 01/10  09:00:00,3919973.80559071,3450118.894406045,3933741.745515986 
 01/10  10:00:00,3944946.429842002,3471571.2894489164,3949250.044281497 
 01/10  11:00:00,3074838.677790508,2703270.4305846496,2967995.7091230825 
 01/10  12:00:00,2078947.9265755373,1796376.4096740854,1658619.5047421851 
 01/10  13:00:00,1288790.3657512777,1047032.6651913795,467640.8964313403 
 01/10  14:00:00,964002.0594033565,704745.3106991452,0.0 
 01/10  15:00:00,995878.4848373459,589813.1201729572,0.0 
 01/10  16:00:00,1475586.5061718223,1051448.5694238173,170486.3590390254 
 01/10  17:00:00,2031264.9992832737,1621149.345560904,1107390.337472253 
 01/10  18:00:00,2668828.490813926,2275400.0752879037,2305022.8496956765 
 01/10  19:00:00,2752064.8921086257,2358933.2016540268,2463720.3565927474 
 01/10  20:00:00,2854618.0360497474,2458102.5490782387,2619736.2151911696 
 01/10  21:00:00,2923563.0493941475,2526713.5152861523,2734162.511632556 
 01/10  22:00:00,2991114.1415179013,2592415.46878247,2839670.555974417 
 01/10  23:00:00,3048249.882234226,2647822.690053373,2927642.196638552 
 01/10  24:00:00,3046615.8694336065,2652930.343703055,2950811.129571578 
 01/11  01:00:00,3216055.620451274,2809642.761290405,3143194.284973697 
 01/11  02:00:00,3327844.1125561576,2910081.9606434247,3271306.329617285 
 01/11  03:00:00,3361230.24809193,2939144.95841247,3317731.138022568 
 01/11  04:00:00,3353780.8804383157,2935882.004720621,3321170.117691661 
 01/11  05:00:00,3323686.3596976786,2913433.3966623284,3299919.091207719 
 01/11  06:00:00,3452445.1726634214,3026706.0556254038,3436385.1281802403 
 01/11  07:00:00,3503045.220069059,3071045.363858294,3492587.3772981614 
 01/11  08:00:00,3508062.418133134,3076156.4463993837,3502433.8490866534 
 01/11  09:00:00,3582851.9757647226,3144721.944202481,3581833.3152975696 
 01/11  10:00:00,3352459.6866302975,2946956.1086982205,3351565.7929834947 
 01/11  11:00:00,2633743.0472412882,2317828.338245805,2619046.229016533 
 01/11  12:00:00,2124634.6573049356,1871751.0422563897,2086575.986574109 
 01/11  13:00:00,2006551.8549131944,1769328.1762975543,1978744.560376385 
 01/11  14:00:00,2466035.388325636,2153812.1048206976,2462320.9357982106 
 01/11  15:00:00,2729356.5722896345,2366347.6293070912,2730622.1568762106 
 01/11  16:00:00,2022822.1320444588,1764069.366371748,1898672.2746397727 
 01/11  17:00:00,1869354.3603828768,1539502.482351438,1298517.4623990946 
 01/11  18:00:00,2641462.2388006235,2311001.6311462685,2577504.067501479 
 01/11  19:00:00,3047395.668828016,2682940.4101696643,3025299.1534730624 
 01/11  20:00:00,3448912.052879595,3049695.1109826695,3438018.418200621 
 01/11  21:00:00,3686054.585532207,3262210.9264800753,3682421.762649824 
 01/11  22:00:00,3749414.77448841,3320074.8460886884,3750308.133507319 
 01/11  23:00:00,3839974.305046181,3401118.265938447,3845205.47675737 
 01/11  24:00:00,3961228.331863001,3498802.3463016246,3968102.8851675866 
 01/12  01:00:00,4138995.0335020614,3649992.9770196835,4148139.444767467 
 01/12  02:00:00,4282142.749040006,3783680.5654157195,4296582.525146606 
 01/12  03:00:00,4464438.52448428,3947580.807605167,4482502.196689586 
 01/12  04:00:00,4522627.059278164,3994449.1522339946,4540715.576512259 
 01/12  05:00:00,4347861.780131783,3830205.5959436316,4362484.114567433 
 01/12  06:00:00,4206543.212470424,3699399.289009211,4219685.273224518 
 01/12  07:00:00,4359436.657229474,3841413.693464891,4376655.726723606 
 01/12  08:00:00,4443596.451270578,3919135.125803972,4463603.625874239 
 01/12  09:00:00,4194942.335101181,3693092.899158883,4211443.078483939 
 01/12  10:00:00,3844054.5010973783,3379818.3948024735,3856271.7981228125 
 01/12  11:00:00,3291963.103965178,2902159.3409072733,3296746.1832811036 
 01/12  12:00:00,2389115.2774006203,2111807.801868942,2346466.9251648234 
 01/12  13:00:00,1756061.623871202,1553003.3707041668,1665899.9037136745 
 01/12  14:00:00,1458789.5496923511,1286067.4447160924,1323565.613169254 
 01/12  15:00:00,1445133.8162682909,1267608.0141876428,1324250.0193368206 
 01/12  16:00:00,1379907.5457763341,1172248.9182263054,1066417.222078224 
 01/12  17:00:00,1540989.5973125333,1234271.2368045782,884965.7283034351 
 01/12  18:00:00,2333659.6436710455,2033561.6346770073,2240161.2650310574 
 01/12  19:00:00,2544792.5710192816,2222616.6680400087,2495941.824875285 
 01/12  20:00:00,2664618.14887907,2329740.154519716,2627100.206092918 
 01/12  21:00:00,2754387.052171227,2410348.122883978,2726500.3151325276 
 01/12  22:00:00,2859506.3422830775,2504163.8090582136,2839418.617154417 
 01/12  23:00:00,2941453.1240098244,2577764.1370854,2927663.1606319514 
 01/12  24:00:00,3004778.719012959,2633361.5816453923,2996100.5592726357 
 01/13  01:00:00,3030229.8347474197,2655497.9248996233,3025597.135232646 
 01/13  02:00:00,3047379.683022053,2671733.3165250407,3046261.6640133974 
 01/13  03:00:00,3047343.213830231,2672625.471005384,3048968.739955991 
 01/13  04:00:00,3015877.5687248576,2646370.670709454,3019719.0784484027 
 01/13  05:00:00,2979892.2758847503,2616293.572307662,2985442.4291088157 
 01/13  06:00:00,3007738.7184824217,2625798.1092913738,3014677.585545313 
 01/13  07:00:00,3012102.6684462177,2625988.793589279,3020209.487646805 
 01/13  08:00:00,2929603.2375143776,2569376.9525925145,2938534.201675566 
 01/13  09:00:00,2859436.5743271243,2509695.8252831222,2868758.4163253354 
 01/13  10:00:00,2777244.509122306,2439310.245380342,2785891.732413118 
 01/13  11:00:00,2542806.3784490675,2236005.1561115854,2548043.760284588 
 01/13  12:00:00,2125297.341197423,1874555.4916629249,2113179.6591276545 
 01/13  13:00:00,1296820.898281591,1128569.0734848243,1059075.1548517344 
 01/13  14:00:00,679795.9906529755,536232.3745575229,45920.584816435454 
 01/13  15:00:00,646547.1523807948,458246.1365577288,0.0 
 01/13  16:00:00,607262.4189081172,309194.49995119864,0.0 
 01/13  17:00:00,831629.9840831382,425789.7496355327,0.0 
 01/13  18:00:00,2218842.9241516087,1891571.7603483011,1853835.0310825359 
 01/13  19:00:00,2685826.5873475894,2317333.735540657,2389868.359637765 
 01/13  20:00:00,2723413.8312104354,2350355.0445012664,2477158.3794927704 
 01/13  21:00:00,2894795.513072715,2508582.2609872487,2695663.9549875194 
 01/13  22:00:00,3205529.6084421435,2796433.221448831,3047630.199230084 
 01/13  23:00:00,3334034.058272538,2917070.830515959,3207906.7225240124 
 01/13  24:00:00,3351256.1371569415,2937018.976588834,3252086.694196088 
 01/14  01:00:00,3412016.7946100687,2997570.850191799,3336292.8339147065 
 01/14  02:00:00,3432378.490568092,3019663.745060749,3374365.037820955 
 01/14  03:00:00,3469013.54630117,3055916.2564033605,3426899.017948755 
 01/14  04:00:00,3430293.1501489542,3019559.690966438,3397926.6478922702 
 01/14  05:00:00,3437036.5452571297,3018906.782722315,3412029.144164143 
 01/14  06:00:00,3596918.8862870466,3161846.789127515,3580882.449982109 
 01/14  07:00:00,3697405.7930185944,3250944.48243255,3687336.355079622 
 01/14  08:00:00,3734367.2328492776,3278326.2241939018,3728419.5787986824 
 01/14  09:00:00,3776777.8684107573,3312286.396248726,3774566.08057249 
 01/14  10:00:00,3625264.177134992,3178381.7420628327,3622683.880785072 
 01/14  11:00:00,2989198.1990134288,2622620.0051407875,2965494.5497404714 
 01/14  12:00:00,2243014.3413901664,1957875.1330619152,2085648.9345663087 
 01/14  13:00:00,1508845.7699717383,1277905.413268982,1018806.4501986868 
 01/14  14:00:00,1119220.1560390976,909267.3583385109,411032.6972527823 
 01/14  15:00:00,991355.023024143,779654.2895300266,310966.68225466635 
 01/14  16:00:00,1172897.913489384,943037.6070699298,628215.5998197627 
 01/14  17:00:00,1544949.5037852125,1273843.828788595,1103055.6063115215 
 01/14  18:00:00,2079724.7783153425,1793865.1728330806,1948776.8411629836 
 01/14  19:00:00,2193842.411005198,1899242.2340219119,2097402.0837708567 
 01/14  20:00:00,2268871.664402407,1969766.186768538,2192294.2052539103 
 01/14  21:00:00,2355150.572066471,2048595.9351245987,2294958.55137897 
 01/14  22:00:00,2400733.1415671553,2090574.3371312837,2353388.9318377418 
 01/14  23:00:00,2423405.686068698,2112793.6995139243,2387408.9400308025 
 01/14  24:00:00,2374227.199855111,2073465.4382539748,2347211.6159865586 
 01/15  01:00:00,2325373.1108755465,2033982.0000431698,2305312.826375706 
 01/15  02:00:00,2336655.687348423,2045282.9612041214,2322460.501323498 
 01/15  03:00:00,2354362.0134437773,2061519.2108132674,2344934.119874009 
 01/15  04:00:00,2363691.441131021,2070303.5855579106,2358104.749513998 
 01/15  05:00:00,2375560.429989961,2081164.8099938296,2373107.914116685 
 01/15  06:00:00,2419144.7103443714,2119288.5417275475,2419418.5477692136 
 01/15  07:00:00,2480807.329770908,2172356.8762111072,2483307.171563875 
 01/15  08:00:00,2500588.3454236733,2189262.553260593,2504723.0484129554 
 01/15  09:00:00,2463654.554395411,2159307.7356611746,2469032.014699119 
 01/15  10:00:00,2598943.4795963047,2264665.1278375452,2605256.474789916 
 01/15  11:00:00,3000219.76186093,2583352.5345207276,3008461.431077688 
 01/15  12:00:00,3194125.448264258,2751010.6040243558,3203911.4054876547 
 01/15  13:00:00,3020582.6773487953,2621533.3651368236,3034489.485494131 
 01/15  14:00:00,2480412.424674529,2184695.936275018,2469937.142180999 
 01/15  15:00:00,1923486.4501626354,1653825.8025678159,1512403.5149769597 
 01/15  16:00:00,1685897.8189819097,1303438.6120802779,588651.3657470085 
 01/15  17:00:00,1967422.0516183707,1459648.0386091585,507424.8349398633 
 01/15  18:00:00,3361021.2926365784,2925360.895283606,3145111.7328633247 
 01/15  19:00:00,3575448.5069635306,3112011.766657017,3446060.711211199 
 01/15  20:00:00,3622709.1129245404,3147981.182711404,3519065.018159219 
 01/15  21:00:00,3804640.50567216,3315132.3728424273,3725951.913892608 
 01/15  22:00:00,4002451.423348652,3497816.413387557,3944892.302110046 
 01/15  23:00:00,4155676.818316105,3637100.1898344774,4114375.7275299067 
 01/15  24:00:00,4304557.4995672535,3772240.133249059,4276648.203984776 
 01/16  01:00:00,4405717.750166949,3863735.232884013,4388189.648612977 
 01/16  02:00:00,4430635.444637579,3880202.8493207092,4419448.8338434165 
