fold,Code_BuildingVariant,Code_BuildingSizeClass,n_Apartment,n_air_infiltration,n_air_use,g_gl_n_Window_1,g_gl_n_Window_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,F_red_temp,h_Transmission,h_Ventilation,delta_U_ThermalBridging,H_Transmission_ThermalBridging,A_C_Ref,n_Storey,h_room,V_C
uk,GB.ENG.TH.05.Gen.ReEx.001.001,TH,1,0.2,0.4,0.76,0,1,1,1,0.5,0,1,0,0.8277886448090909,3.1663406557272764,0.5100000000000001,0.1,18.298,74.26,2,2.5,174.61
uk,GB.ENG.TH.06.Gen.ReEx.001.001,TH,1,0.1,0.4,0.76,0,1,1,1,0.5,0,1,0,0.836269877433536,2.911903676993921,0.42500000000000004,0.05,9.561,80.34,2,2.5,189.53
uk,GB.ENG.TH.07.Gen.ReEx.001.001,TH,1,0.1,0.4,0.72,0,1,1,1,0.5,0,1,0,0.8980890842629357,1.0573274721119306,0.42500000000000004,0.05,10.261000000000003,98.4,2,2.5,234.34
uk,GB.ENG.TH.08.Gen.ReEx.001.001,TH,1,0.1,0.4,0.72,0,1,1,1,0.5,0,1,0,0.9072952546561113,0.9635237267194436,0.42500000000000004,0.05,10.262000000000002,98.4,2,2.5,234.3
it,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,16,0.4,0.4,0.85,0,1,1,1,1,1,0.5,0,0.9141122793388265,2.076631619835201,0.68,0.05,65.49900000000001,899.3,5,2.5,3745.3
it,IT.MidClim.AB.02.Gen.ReEx.001.001,AB,40,0.4,0.4,0.85,0,1,1,1,1,1,0.5,0,0.8703355462410222,3.389933612769336,0.68,0.05,261.77400000000006,2448,4,2.5,11029
it,IT.MidClim.AB.03.Gen.ReEx.001.001,AB,30,0.4,0.4,0.85,0,1,1,1,1,1,0.5,0,0.8900729014021777,2.797812957934668,0.68,0.1,331.87,1911.6499999999999,5,2.5,7197
it,IT.MidClim.AB.04.Gen.ReEx.001.001,AB,24,0.4,0.4,0.85,0,1,1,1,1,0,0.5,0,0.8892212146429693,2.8233635607109204,0.68,0.1,273.95399999999995,1498.55,4,2.5,5949
it,IT.MidClim.AB.05.Gen.ReEx.001.001,AB,40,0.4,0.4,0.85,0,1,1,1,1,0,1,0.5,0.8982921488477288,2.5512355345681366,0.68,0.1,430.908,2438.65,8,2.5,9438
it,IT.MidClim.AB.06.Gen.ReEx.001.001,AB,48,0.2,0.4,0.75,0,1,1,1,1,0,0.5,0,0.9379841276019935,1.3604761719401937,0.5100000000000001,0.1,472.05,3506.25,6,2.5,12685
it,IT.MidClim.AB.07.Gen.ReEx.001.001,AB,36,0.2,0.4,0.75,0,1,1,1,1,1,0.5,0,0.9339328873145012,1.4820133805649625,0.5100000000000001,0.1,425.016,2780.35,6,2.5,9912.1
it,IT.MidClim.AB.08.Gen.ReEx.001.001,AB,31,0.1,0.4,0.67,0,1,1,1,1,0,0.5,0,0.979431888745393,0.7056811125460696,0.42500000000000004,0,0,2124.5,7,2.5,8199.1
it,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,5,0.4,0.4,0.85,0,1,1,1,0,0,0.5,0,0.8598653231142929,3.7040403065712124,0.68,0.05,73.424,549.9499999999999,2,2.5,2684
it,IT.MidClim.MFH.02.Gen.ReEx.001.001,MFH,16,0.4,0.4,0.85,0,1,1,1,1,0,0.5,0,0.8988848293486498,2.5334551195405055,0.68,0.05,110.40100000000002,1110.1,2,2.5,4113
