excluded_id,prepared_neighbor_id,excluded_blocker_key,prepared_blocker_key,excluded_epc_age_band,prepared_epc_age_band,excluded_storeys,prepared_storeys,excluded_building_type,prepared_building_type,prepared_tabula_period,differing_field
way/1058147235,way/1058147234,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058147235,way/1058147236,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058147237,way/1058147236,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058147239,way/1054785378,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,H|I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058252088,way/1058252098,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058252091,way/1058252090,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058252092,way/1058252093,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058252095,way/1058252094,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058252096,way/1058252097,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058252100,way/1058252101,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058252102,way/1058252101,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058252110,way/1058252111,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,H,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058252112,way/1058252113,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058252112,way/1058252111,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,H,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058252114,way/1058252113,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058252114,way/1058252115,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058252116,way/1058252115,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058252117,way/1057778448,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058252122,way/1057072199,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,G,3.0,3.0,TH,TH,GB.05,epc_certificate_found
