cell,city,mode,osm_id,archetype_id,floor_area_m2,status,has_fatal,n_severe,zoning_strategy,num_zones,data_quality_flag,heating_eui,cooling_eui,lighting_eui,equipment_eui,fans_eui,pumps_eui,dhw_eui,cooking_eui,refrig_eui,total_eui,phaseE_total_eui
nyc_centre,NYC,layout_assign,way/260085159,LargeOffice,1186.258501121039,failed,False,1,layout_assign,23,"no_floors,no_height",,,,,,,,,,,114.22298512313691
nyc_centre,NYC,layout_assign,way/260180778,LargeOffice,836.4150894197633,success,False,0,layout_assign,22,"no_floors,no_height",111.10256618018268,66.56214200794368,10.826037331314398,40.35963211739418,28.202682560482785,5.891340873730066,220.48610916993147,62.45392299027597,14.619775502992663,560.5042087342479,112.10421577583257
nyc_centre,NYC,layout_assign,way/265276997,SmallOffice,417.61869025153135,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",11.897917884481254,6.338955247572555,10.680209050199348,26.25340231296315,9.96966749939205,1.2796627203369713e-10,16.68693420067209,0.0,0.0,81.82708619540841,135.47570853855274
nyc_centre,NYC,layout_assign,way/265277022,SmallOffice,435.7382607018296,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",11.728095213626386,6.250135844957396,10.368431222038138,26.253402388720804,9.838465466630062,1.2796626489145517e-10,15.993457719374838,0.0,0.0,80.43198785547558,135.0644806374134
nyc_centre,NYC,layout_assign,way/265281597,MediumOffice,8153.329350729625,success,False,0,layout_assign,18,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",13.045389457956697,11.089374642876782,9.967335970460955,36.951488621155605,5.1861005336681565,0.008360614056744804,6.104752617922253,0.0,0.0,82.3528024580972,254.54955993021025
nyc_centre,NYC,layout_assign,way/265281598,TallBuilding,99515.21674954168,failed,False,1,layout_assign,164,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",,,,,,,,,,,174.1445721943005
nyc_centre,NYC,layout_assign,way/265296083,SmallOffice,947.2196932668987,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",8.98353809646937,5.354999790957469,10.761345180643806,26.252348102019837,7.975887225811018,1.2796114380455793e-10,7.358983889820625,0.0,0.0,66.68710228585009,116.65901487870578
nyc_centre,NYC,layout_assign,way/265296085,SmallOffice,802.3178971134982,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",9.449463470949095,5.517597269043535,10.753669209362059,26.25340390676282,8.295172892822238,1.279662918192284e-10,8.687308943917644,0.0,0.0,68.95661569298535,121.52322876299729
nyc_centre,NYC,layout_assign,way/265296086,SmallOffice,294.6812960756039,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",13.677522214909603,6.945229906688679,10.691191531936314,26.253405577058984,11.225449705222173,1.279663164991648e-10,23.64619494378778,0.0,0.0,92.43899387973151,126.69496878390585
nyc_centre,NYC,layout_assign,way/265296088,LargeOffice,14779.159592472839,failed,False,1,layout_assign,23,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",,,,,,,,,,,197.34005746174617
nyc_centre,NYC,layout_assign,way/265296090,MediumOffice,2573.0194968090163,success,False,0,layout_assign,18,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",26.899088155525437,11.934385526222785,9.573847495709279,36.116124271975636,5.774781536571633,0.008171604682664313,11.175829575073715,0.0,0.0,101.48222816576114,194.46236162515982
nyc_centre,NYC,layout_assign,way/265296092,LargeOffice,18414.603479431207,failed,False,1,layout_assign,23,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",,,,,,,,,,,201.24739142047846
nyc_centre,NYC,layout_assign,way/265296095,SmallOffice,868.7658043055382,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",9.227978610159447,5.437651714385759,10.755240963888996,26.25340376927146,8.135552665492222,1.2796629361906758e-10,8.02326829996548,0.0,0.0,67.83309602329133,122.49583138980051
nyc_centre,NYC,layout_assign,way/265296097,MediumOffice,8075.99470330375,success,False,0,layout_assign,18,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",13.21505456739225,10.82445722542756,9.73755311201805,36.11612561922231,5.079032677739592,0.0081716055322249,6.043061152485827,0.0,0.0,81.0234559598178,175.13778936190465
nyc_centre,NYC,layout_assign,way/265296099,SmallOffice,2053.5767270846227,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",7.901576826189066,4.920020273394434,11.138558708394537,26.25340233282245,7.123663459058884,1.279662474873255e-10,3.394817960436384,0.0,0.0,60.73203956042372,108.31967934092076
nyc_centre,NYC,layout_assign,way/265296100,SmallOffice,587.334763415779,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",10.469421699355394,5.8436676255178,10.44912990623267,26.244528554058512,9.020740889023703,1.2792302302110963e-10,11.866359119771921,0.0,0.0,73.89384779408792,121.4045298830655
nyc_centre,NYC,layout_assign,way/265296101,LargeOffice,16213.783929612495,failed,False,1,layout_assign,23,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",,,,,,,,,,,201.5911792538202
nyc_centre,NYC,layout_assign,way/265296102,MediumOffice,6421.0490009720015,success,False,0,layout_assign,18,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",17.14267318457994,10.742910346699706,9.703799918356836,36.11612009981975,5.17317082567993,0.008171604288402403,6.660793973442203,0.0,0.0,85.54763995286677,152.94439052625006
nyc_centre,NYC,layout_assign,way/265296110,MediumOffice,5304.0766177424,success,False,0,layout_assign,18,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",19.995109142892723,10.620605637352735,9.348602646626869,36.12322971130888,5.230281089617161,0.008173213415255872,7.297152015129988,0.0,0.0,88.6231534563436,160.321976482609
nyc_centre,NYC,layout_assign,way/265296256,TallBuilding,48969.754760056494,success,False,0,layout_assign,164,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",67.10378290103094,32.66890009549392,34.22110553209799,123.44027051035633,18.40934167601671,16.384800528408196,80.91086091645842,23.068263147119396,0.0,396.2073253069819,179.96318415528742
nyc_centre,NYC,layout_assign,way/265296257,TallBuilding,72732.17151858578,failed,False,1,layout_assign,164,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",,,,,,,,,,,177.62744691911342
nyc_centre,NYC,layout_assign,way/265296283,SmallOffice,1879.0689288284398,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",8.047439716538507,4.966459131088845,11.119471816664488,26.26074487321275,7.223892499824162,1.2800211243858628e-10,3.710085632125942,0.0,0.0,61.3280936695827,124.42740937160984
nyc_centre,NYC,layout_assign,way/265296284,MediumOffice,9094.634431063268,success,False,0,layout_assign,18,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",11.628648615277491,10.924154789190064,9.822619134137543,36.36686746719147,5.076295432338186,0.008228338370878028,5.800043767841519,0.0,0.0,79.62685754434715,186.89208020811594
nyc_centre,NYC,layout_assign,way/265296287,MediumOffice,1256.7263609323745,success,False,0,layout_assign,18,"generic_tag,no_floors,no_function,no_height",37.11588106087437,14.184979295271603,9.619339930304195,36.06604904633334,6.772970814681175,0.008160274896439938,19.066012243248416,0.0,0.0,122.83339266560954,123.15492372223534
nyc_centre,NYC,layout_assign,way/265301696,LargeOffice,13999.152163420826,failed,False,1,layout_assign,23,"generic_tag,no_floors,no_function",,,,,,,,,,,133.480863525124
nyc_centre,NYC,layout_assign,way/265301698,MediumOffice,6851.721072379423,success,False,0,layout_assign,18,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",15.897867792771402,10.75612956271237,9.712277841931318,36.11103999115802,5.139162775166971,0.008170454803778685,6.470819461754461,0.0,0.0,84.09546788029832,144.13559328573527
nyc_centre,NYC,layout_assign,way/265301700,LargeOffice,16803.317569206403,failed,False,1,layout_assign,23,"generic_tag,no_floors,no_function,no_year|HOTDECK_NEIGHBOR_HIGH",,,,,,,,,,,192.41957312434403
nyc_centre,NYC,layout_assign,way/265301703,SmallOffice,594.394910496389,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",10.419562359469694,5.830683370156796,10.465847603920063,26.25027225782479,8.990418924095986,1.2795102568761797e-10,11.72517713272946,0.0,0.0,73.68196164832473,126.23967767621856
nyc_centre,NYC,layout_assign,way/265301704,SmallOffice,447.1495800568733,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",11.59686093464381,6.20745180726909,10.394029288544523,26.2254013202003,9.757197680849844,1.2782980549572332e-10,15.58561316299395,0.0,0.0,79.76655419462936,125.30610715292484
nyc_centre,NYC,layout_assign,way/265301705,MidriseApartment,6095.529285498711,success,False,0,layout_assign,27,no_floors,11.916240390421512,7.948496347411163,5.090309820546922,37.54052790419066,7.310190688373012,0.0,20.156442270448274,0.0,0.0,89.96220742139155,99.31413089875876
nyc_centre,NYC,layout_assign,way/265301706,SmallOffice,544.0922256119121,success,False,0,layout_assign,6,"generic_tag,no_function,no_year|GROUPMODE_MED",10.760775132563493,5.938618066861327,10.388459748969286,26.25528515693639,9.217523633867053,1.279754717180063e-10,12.809124752723775,0.0,0.0,75.3697864920493,121.97382603799079
nyc_centre,NYC,layout_assign,way/265301708,SmallOffice,525.8220881466959,success,False,0,layout_assign,6,"generic_tag,no_function,no_year|GROUPMODE_MED",10.898480068873724,5.982491724802049,10.373397799640834,26.25340240479856,9.308641122279296,1.2796626605768352e-10,13.254202739253154,0.0,0.0,76.07061585977557,122.809084985141
nyc_centre,NYC,layout_assign,way/265301710,SmallOffice,548.8332443883867,success,False,0,layout_assign,6,"generic_tag,no_function,no_year|GROUPMODE_MED",10.730244126306722,5.927248460033978,10.393164301011911,26.25340244427402,9.194068584816785,1.2796626708848625e-10,12.69849222176542,0.0,0.0,75.1966201383368,121.15375795148601
nyc_centre,NYC,layout_assign,way/265301712,SmallOffice,828.3401853281521,success,False,0,layout_assign,6,"generic_tag,no_function,no_year|GROUPMODE_MED",9.367858467292836,5.484120918185606,10.754011528401776,26.253401327023024,8.229332032474979,1.279662654033797e-10,8.414321395211903,0.0,0.0,68.5030456687181,123.88882723128725
nyc_centre,NYC,layout_assign,way/265301713,SmallOffice,315.16793767904585,success,False,0,layout_assign,6,"generic_tag,no_function,no_year|GROUPMODE_MED",13.31483893488221,6.818875117167297,10.694230045751532,26.25340289844319,10.960289644371466,1.2796628945020473e-10,22.10938842856859,0.0,0.0,90.15102506931225,133.45134101929972
nyc_centre,NYC,layout_assign,way/265301714,SmallOffice,826.920370183703,success,False,0,layout_assign,6,"generic_tag,no_function,no_year|GROUPMODE_MED",9.370736360019608,5.485629184204379,10.753959637470613,26.253402287646082,8.232405812507071,1.2796627282112469e-10,8.429158740469338,0.0,0.0,68.52529202244507,123.99468394321507
nyc_centre,NYC,layout_assign,way/265301715,SmallOffice,422.72488276904767,success,False,0,layout_assign,6,"generic_tag,no_function,no_year|GROUPMODE_MED",11.832134273141135,6.320287929343715,10.683287561572337,26.253402388718595,9.929944497246552,1.279662783171149e-10,16.485827140167846,0.0,0.0,81.50488379031815,134.57887650467336
nyc_centre,NYC,layout_assign,way/265301717,SmallOffice,1097.8393001458512,success,False,0,layout_assign,6,"generic_tag,no_function,no_year|GROUPMODE_MED",8.620122730471474,5.224341139344789,10.771391097216105,26.233370389378617,7.717107391514015,1.2786863879293272e-10,6.3492894530541175,0.0,0.0,64.91562220110698,115.87971622784075
nyc_centre,NYC,layout_assign,way/265301719,SmallOffice,587.3061262588374,success,False,0,layout_assign,6,"generic_tag,no_function,no_year|GROUPMODE_MED",10.470836745971395,5.84528785039203,10.452978297669516,26.253402858018053,9.022776090487605,1.2796628228144594e-10,11.867157542076741,0.0,0.0,73.9124393847433,128.43568597519638
nyc_centre,NYC,layout_assign,way/265301720,HighriseApartment,9229.293201895272,success,False,0,layout_assign,27,no_floors,6.277209003904641,11.436922127233812,4.164354375621193,37.65034093620185,7.7477897281180566,2.0912678779316143,45.30137152226868,0.0,0.0,114.66925557127986,107.24233003405207
nyc_centre,NYC,layout_assign,way/265301723,LargeOffice,12342.459903676536,failed,False,1,layout_assign,23,"generic_tag,no_floors,no_function,no_year|HOTDECK_NEIGHBOR_HIGH",,,,,,,,,,,212.29530392481294
nyc_centre,NYC,layout_assign,way/265301724,SmallOffice,1860.1096056862264,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",8.039467328743761,4.96401690653823,11.094497565214468,26.21516175433232,7.224668069323565,1.2777990197474975e-10,3.748518972028801,0.0,0.0,61.286330596308936,104.02495570658664
nyc_centre,NYC,layout_assign,way/265301726,MediumOffice,4055.5334542249097,success,False,0,layout_assign,18,"generic_tag,no_floors,no_function,no_year|HOTDECK_NEIGHBOR_HIGH",22.32912158655639,10.852066575713748,9.634333086559053,36.12809929967504,5.418862680085304,0.008174313686549898,8.42227305008969,0.0,0.0,92.79293059236576,159.9284046667595
nyc_centre,NYC,layout_assign,way/265301728,SmallOffice,1463.0573899498481,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",8.462655507151501,5.098695429582108,10.945855741015558,26.253396700836603,7.5351616847763045,1.2796623525498954e-10,4.765390838186935,0.0,0.0,63.061155901676976,113.34459253361763
nyc_centre,NYC,layout_assign,way/265301729,SmallOffice,1258.058690489951,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",8.349835383734836,5.126017340691195,10.852103185123305,26.266924181436963,7.507570766094288,1.2803218505984461e-10,5.540959987623021,0.0,0.0,63.64341084483165,118.52182163213146
nyc_centre,NYC,layout_assign,way/265301730,TallBuilding,9520.06329323965,success,False,10,layout_assign,164,"generic_tag,no_floors,no_function",190.16493813746013,53.23602836362656,33.77256665470837,123.4423788892255,23.8536558048171,30.624897432172997,106.97924568054074,23.068657156616442,0.0,585.1423681191679,206.12843824623224
nyc_centre,NYC,layout_assign,way/265301731,TallBuilding,10808.678783441843,success,False,10,layout_assign,164,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",177.82547534177124,50.75402357594124,33.7991105615838,123.41884922952512,23.313821812914433,28.417154227031194,103.11018137316839,23.064259982343625,0.0,563.7028761042791,206.45827056054992
nyc_centre,NYC,layout_assign,way/265301733,MediumOffice,5593.021379533474,success,False,0,layout_assign,18,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",19.20966936495196,10.644469350480453,9.453427758228045,36.116129600715965,5.208689937015486,0.008171606660580623,7.107822679349295,0.0,0.0,87.74838029740178,151.96975804541353
nyc_centre,NYC,layout_assign,way/265301736,SmallOffice,847.0227355897678,success,False,0,layout_assign,6,"generic_tag,no_function,no_year|GROUPMODE_MED",9.290304161679755,5.4628075877000075,10.756827567062638,26.259157980396317,8.186860412203979,1.2799433926547012e-10,8.228658454150569,0.0,0.0,68.18461616332127,115.16352258839848
nyc_centre,NYC,layout_assign,way/265301746,SmallOffice,2508.962481083239,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",7.670365923390961,4.827748858105332,11.142176139081846,26.25242272848887,6.919962288279048,1.2796149286247222e-10,2.7792098057596895,0.0,0.0,59.59188574323371,97.75308697514212
nyc_centre,NYC,layout_assign,way/265301753,Courthouse,5255.596816194452,success,False,0,perimeter_core,40,"no_floors,no_year|GROUPMODE_MED|layout_assign_fallback_auto",63.308821461912565,20.303619607820256,19.676654719859997,28.256190059190754,35.41544424881803,1.8869565774011072,3.123149896533035,0.0,0.0,171.97083657153576,234.68434708135248
nyc_centre,NYC,layout_assign,way/265301758,SmallOffice,869.1936203115054,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",9.225757756305946,5.43716969121829,10.755257929399681,26.25340913473051,8.13440978378867,1.279663114630717e-10,8.019096654532579,0.0,0.0,67.82510095010365,130.1285053747262
nyc_centre,NYC,layout_assign,way/265301761,SmallOffice,1570.3598913852097,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",8.32350202277806,5.061551619127758,11.000952435692152,26.253404652373117,7.439599538491781,1.2796633504356216e-10,4.439567455586195,0.0,0.0,62.51857772417703,116.02172663843884
nyc_centre,NYC,layout_assign,way/265301763,SmallOffice,725.8025885847263,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",9.6998762323935,5.613976445843051,10.664387017391585,26.24765157338914,8.5072653145083,1.2793825006599628e-10,9.60279780267052,0.0,0.0,70.33595438632403,132.20377398846574
nyc_centre,NYC,layout_assign,way/265301766,SmallOffice,1464.8050260459704,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",8.46083210859723,5.09803642342025,10.94691207408866,26.25371654363617,7.533591147850075,1.2796784222371023e-10,4.759731815782922,0.0,0.0,63.05282011350327,113.97384704030706
nyc_centre,NYC,layout_assign,way/265301767,MediumOffice,9609.649003633,success,False,0,layout_assign,18,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",11.000600643066539,10.858831437596837,9.761078467151,36.11461820088945,5.033369533585686,0.008171264362613933,5.660538111722657,0.0,0.0,78.4372076583748,197.97403648857775
nyc_centre,NYC,layout_assign,way/265301769,LargeOffice,11788.396197395119,failed,False,1,layout_assign,23,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",,,,,,,,,,,144.48314825543392
nyc_centre,NYC,layout_assign,way/265301770,TallBuilding,10993.773458707383,success,False,10,layout_assign,164,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",175.8819845260069,50.39114991551014,33.80588531127698,123.42282606178276,23.211023295469364,28.17345423245759,102.63878855410482,23.065003164552433,0.0,560.590115061161,195.4608684279753
nyc_centre,NYC,layout_assign,way/265301775,SmallOffice,1302.9049049295268,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",8.281126725964036,5.098629020467277,10.861894283925306,26.243921006618532,7.44758541084046,1.2792002711681422e-10,5.350182619069163,0.0,0.0,63.28333906701269,112.31181520769678
nyc_centre,NYC,layout_assign,way/265301777,SmallOffice,942.264029645857,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",9.003458387400686,5.360188124288773,10.761385496154555,26.253402307017293,7.984861009634249,1.2796628371688676e-10,7.397681827342421,0.0,0.0,66.76097715196593,119.81245905880003
nyc_centre,NYC,layout_assign,way/265301778,SmallOffice,674.0018997492086,success,False,0,layout_assign,6,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",9.942327769049234,5.694037892772695,10.597813218767504,26.253402364505334,8.680970158005845,1.279662861960678e-10,10.340658382527973,0.0,0.0,71.50920978575654,126.2939083912301
nyc_centre,NYC,layout_assign,way/265301780,TallBuilding,11665.375173561333,success,False,10,layout_assign,164,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",170.04458072970172,49.30424828487063,33.82968485900278,123.43510539770132,22.99013477552114,27.220595462463063,101.01322743845688,23.067297901524256,0.0,550.9048748492418,197.0912298400628
