cell,city,archetype_id,heating_eui,heating_eui,heating_eui,cooling_eui,cooling_eui,cooling_eui,lighting_eui,lighting_eui,lighting_eui,equipment_eui,equipment_eui,equipment_eui,fans_eui,fans_eui,fans_eui,pumps_eui,pumps_eui,pumps_eui,dhw_eui,dhw_eui,dhw_eui,cooking_eui,cooking_eui,cooking_eui,refrig_eui,refrig_eui,refrig_eui,total_eui,total_eui,total_eui,phaseE_total_eui,phaseE_total_eui,phaseE_total_eui
,,,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count
la_centre,LA,HighriseApartment,0.4041237037134604,0.3952614981803001,12,12.013752786018921,11.799055840361785,12,4.079408154723917,4.153877652188898,12,36.88233372799014,37.55561984055856,12,7.092981651608436,7.133408918939084,12,1.4505377775627164,1.4572198527561593,12,39.64900879857527,39.8331262094822,12,0.0,0.0,12,0.0,0.0,12,101.57214660019285,102.92265271825694,12,98.58596328652997,98.43005793948265,12
la_centre,LA,LargeOffice,2.2197218094879854,2.0773123358750745,10,16.880426910209316,14.5077244211311,10,10.445500442917307,10.456217636848702,10,83.3818566131055,88.09311730550488,10,13.995273978115389,13.933532354835073,10,2.7789568212934848,2.8027654021231685,10,10.17381936006975,4.988742647580052,10,6.33690425943296,0.0,10,0.08113968678371661,0.0,10,146.29359988141542,137.51380687504317,10,134.2347990899761,130.35133232262257,10
la_centre,LA,MediumOffice,3.75866271855594,2.7455456781023138,25,15.780479599729412,13.423886220178602,25,9.571260988797965,9.628077319682658,25,36.209418954629555,36.195984406989155,25,6.318954503949607,5.205852449464432,25,0.2198186673460464,0.008189673008756308,25,15.640793794150602,6.909274326522342,25,4.879820744384652,0.0,25,0.1815032154543909,0.0,25,92.56071318699816,73.96061082322221,25,135.80267173052502,130.78232779812734,25
la_centre,LA,MidriseApartment,3.4028338824616395,1.5901606730791595,14,10.866683225120942,9.462002669738414,14,4.9713608136203025,5.072103202288112,14,36.66329082605934,37.40625590799402,14,7.5593111093855105,7.024355502854078,14,0.0,0.0,14,99.06106824654314,5.162083985736332,14,0.0,0.0,14,0.0,0.0,14,162.52454810319088,65.73293170897612,14,95.49669201884444,91.33154034240918,14
la_centre,LA,OpenUBEMUnknown,4.129265071314753,1.0168839365692133,15,48.55945926025773,48.31563943620568,15,32.433720056631486,35.80180039333164,15,206.2818171935755,224.7282042138006,15,31.327530860371514,24.38741229274771,15,0.017253058814527968,0.0,15,12.660483113541968,13.013784556629627,15,0.0,0.0,15,0.0,0.0,15,335.40952861450745,326.362387794047,15,323.3757274249819,316.489502344969,15
la_centre,LA,QuickServiceRestaurant,19.847214723702347,19.847214723702347,1,68.48162417853817,68.48162417853817,1,25.529440146591483,25.529440146591483,1,287.35981985325304,287.35981985325304,1,42.632779013596576,42.632779013596576,1,1.1240262960474777e-08,1.1240262960474777e-08,1,209.89049251469547,209.89049251469547,1,806.6294441366118,806.6294441366118,1,26.323723657193312,26.323723657193312,1,1486.6945382354224,1486.6945382354224,1,1369.8697898711935,1369.8697898711935,1
la_centre,LA,RetailStandalone,4.728380656324927,4.9205046134306905,52,17.546853969435542,17.33886159421358,52,21.181064409137527,20.884659124407637,52,23.410606043005675,23.527423134812864,52,21.908434095834096,18.84134814806756,52,0.0,0.0,52,25.75039945287427,17.68089719828919,52,0.0,0.0,52,0.0,0.0,52,114.52573862661204,103.01329044573342,52,163.64897793852168,160.0330503560256,52
la_centre,LA,SecondarySchool,2.999505856873472,2.999505856873472,1,14.004142052356281,14.004142052356281,1,4.549045090247128,4.549045090247128,1,16.743438742109586,16.743438742109586,1,7.059267624227224,7.059267624227224,1,0.682091268334549,0.682091268334549,1,5.712108666465218,5.712108666465218,1,6.400200844507673,6.400200844507673,1,0.6234281576709189,0.6234281576709189,1,58.773228302792056,58.773228302792056,1,202.7878690889617,202.7878690889617,1
la_centre,LA,SmallOffice,1.363885149770051,0.9993555680217096,41,9.563582606750991,8.172035815367,41,10.766374186208507,10.69440263380982,41,26.347512454172684,26.253402596066355,41,11.794507258141616,9.749911112682252,41,1.2842499792998266e-10,1.2796628180755773e-10,41,37.24985336903895,14.793064217644574,41,0.0,0.0,41,0.0,0.0,41,97.08571502421123,70.42591095366794,41,92.62047571637163,88.72868198313107,41
la_centre,LA,Warehouse,0.8589912043026203,0.8409042976393315,8,1.3740052911527922,1.386276706242668,8,4.731831672615338,4.813468687002035,8,7.832822033002743,7.842603817312216,8,1.8766492546968963,1.877933353262187,8,0.0,0.0,8,2.9934614339329366,2.8579719089954008,8,0.0,0.0,8,0.0,0.0,8,19.667760889703324,19.6360168208316,8,18.159689097612386,18.188624252976357,8
