cell,osm_id,archetype_id,source_storey_count,auto_storey_count,layout_assign_storey_count,layout_assign_storey_count_naive,layout_assign_storey_count_floor,agree,diff_layout_assign_minus_auto,layout_assign_no_baseline_fallback,layout_assign_match_storeys_status,auto_zone_multiplier_gt1,auto_zone_multiplier_max,layout_assign_zone_multiplier_gt1,layout_assign_zone_multiplier_max,auto_attic_zone_count,layout_assign_z_origin_collapse_risk
austin_centre,way/328526438,MediumOffice,2,2,3,3,3,False,1,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328526439,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328526440,TallBuilding,31,31,11,1,20,False,-20,False,fallback_not_expressible,False,,False,,0,True
austin_centre,way/328526441,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328526442,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328526443,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328526444,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328526445,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328526446,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328526447,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328526448,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328526449,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328526450,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328526451,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328526452,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328526453,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328526454,MediumOffice,5,5,3,3,3,False,-2,False,applied,False,,True,3,0,False
austin_centre,way/328526455,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328529688,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328529689,QuickServiceRestaurant,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328529690,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328529693,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328529696,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328529698,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328529699,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328529700,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328529701,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328529702,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328529704,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328529706,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328529708,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328529709,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328529710,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328529714,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328535175,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328535176,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328535177,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328535178,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328535179,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328535180,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328535181,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328535182,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328535183,SmallOffice,2,2,1,1,2,False,-1,False,identity,False,,False,,0,False
austin_centre,way/328605829,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328605831,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328605839,SmallOffice,2,2,1,1,2,False,-1,False,identity,False,,False,,0,False
austin_centre,way/328605855,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328605869,SmallOffice,2,2,1,1,2,False,-1,False,identity,False,,False,,0,False
austin_centre,way/328607254,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328607257,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328607258,SmallOffice,2,2,1,1,2,False,-1,False,identity,False,,False,,0,False
