cell,mode,stem,n_severe,first_severe,last_severe_before_fatal,fatal_line,cause_group
nyc_centre,fast_zone,way_265301889,1,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 926382.20 C for zone=""WAY/265301889_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0001_1""","** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 926382.20 C for zone=""WAY/265301889_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0001_1""",**  Fatal  ** Program terminates due to preceding condition.,CalcHeatBalanceInsideSurf
nyc_centre,fast_zone,way_265302168,1,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 8784594.85 C for zone=""WAY/265302168_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0001_1""","** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 8784594.85 C for zone=""WAY/265302168_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0001_1""",**  Fatal  ** Program terminates due to preceding condition.,CalcHeatBalanceInsideSurf
nyc_centre,fast_zone,way_266149332,1,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -14097.04 C for zone=""WAY/266149332_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 FLOOR 0001""","** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -14097.04 C for zone=""WAY/266149332_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 FLOOR 0001""",**  Fatal  ** Program terminates due to preceding condition.,CalcHeatBalanceInsideSurf
nyc_centre,fast_zone,way_266170540,1,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -53250.69 C for zone=""WAY/266170540_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0002_1""","** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -53250.69 C for zone=""WAY/266170540_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0002_1""",**  Fatal  ** Program terminates due to preceding condition.,CalcHeatBalanceInsideSurf
nyc_centre,fast_zone,way_266170544,1,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 22980.87 C for zone=""WAY/266170544_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0001_1""","** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 22980.87 C for zone=""WAY/266170544_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0001_1""",**  Fatal  ** Program terminates due to preceding condition.,CalcHeatBalanceInsideSurf
nyc_centre,fast_zone,way_266170765,1,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 1848943.44 C for zone=""WAY/266170765_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0001_1""","** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 1848943.44 C for zone=""WAY/266170765_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0001_1""",**  Fatal  ** Program terminates due to preceding condition.,CalcHeatBalanceInsideSurf
nyc_centre,fast_zone,way_292840084,1,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 11042.15 C for zone=""WAY/292840084_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0001_1""","** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 11042.15 C for zone=""WAY/292840084_F0_CORE"", for surface=""BLOCK CORE_ZONE STOREY 0 WALL 0001_1""",**  Fatal  ** Program terminates due to preceding condition.,CalcHeatBalanceInsideSurf
nyc_rural,layout_assign,way_965718400,1,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -12459.96 C for zone=""LAUNDRYROOMFLR1"", for surface=""P_LAUNDRYROOMFLR1_10070_0_10047""","** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -12459.96 C for zone=""LAUNDRYROOMFLR1"", for surface=""P_LAUNDRYROOMFLR1_10070_0_10047""",**  Fatal  ** Program terminates due to preceding condition.,CalcHeatBalanceInsideSurf
nyc_rural,layout_assign,way_965718402,1,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -11949.70 C for zone=""LAUNDRYROOMFLR1"", for surface=""P_LAUNDRYROOMFLR1_10010_0_10008""","** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -11949.70 C for zone=""LAUNDRYROOMFLR1"", for surface=""P_LAUNDRYROOMFLR1_10010_0_10008""",**  Fatal  ** Program terminates due to preceding condition.,CalcHeatBalanceInsideSurf
nyc_rural,layout_assign,way_965718403,1,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -15490.64 C for zone=""LAUNDRYROOMFLR1"", for surface=""W_LAUNDRYROOMFLR1_3_0_0""","** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -15490.64 C for zone=""LAUNDRYROOMFLR1"", for surface=""W_LAUNDRYROOMFLR1_3_0_0""",**  Fatal  ** Program terminates due to preceding condition.,CalcHeatBalanceInsideSurf
