osm_id,join_status,t08_cell,t08_city,t08_archetype_id,t08_floor_area_m2,t08_status,t20_cell,t20_city,t20_archetype_id,t20_floor_area_m2,t20_status,archetype_agree,floor_area_agree_1pct,vintage_t08,vintage_t20,vintage_agree
way/1014148266,in_both,nyc_suburban,NYC,MidriseApartment,118.6375997613487,success,nyc_suburban,NYC,MidriseApartment,118.6375997613487,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148267,in_both,nyc_suburban,NYC,MidriseApartment,146.33036105186457,success,nyc_suburban,NYC,MidriseApartment,146.33036105186457,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148268,in_both,nyc_suburban,NYC,MidriseApartment,79.71453103702025,success,nyc_suburban,NYC,MidriseApartment,79.71453103702025,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148269,in_both,nyc_suburban,NYC,MidriseApartment,97.48543194121596,success,nyc_suburban,NYC,MidriseApartment,97.48543194121596,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148270,in_both,nyc_suburban,NYC,OpenUBEMUnknown,29.15617153539361,success,nyc_suburban,NYC,OpenUBEMUnknown,29.156171535393614,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148271,in_both,nyc_suburban,NYC,MidriseApartment,104.72059249574995,success,nyc_suburban,NYC,MidriseApartment,104.72059249574995,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148272,in_both,nyc_suburban,NYC,MidriseApartment,121.5689309369374,success,nyc_suburban,NYC,MidriseApartment,121.5689309369374,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148273,in_both,nyc_suburban,NYC,MidriseApartment,201.63401766838825,success,nyc_suburban,NYC,MidriseApartment,201.63401766838825,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148274,in_both,nyc_suburban,NYC,MidriseApartment,89.70662594876558,success,nyc_suburban,NYC,MidriseApartment,89.70662594876558,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148275,in_both,nyc_suburban,NYC,MidriseApartment,111.5087404603876,success,nyc_suburban,NYC,MidriseApartment,111.5087404603876,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148276,in_both,nyc_suburban,NYC,MidriseApartment,120.648072619882,success,nyc_suburban,NYC,MidriseApartment,120.648072619882,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148277,in_both,nyc_suburban,NYC,MidriseApartment,106.14661424274222,success,nyc_suburban,NYC,MidriseApartment,106.14661424274222,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148278,in_both,nyc_suburban,NYC,OpenUBEMUnknown,69.50242522123321,success,nyc_suburban,NYC,OpenUBEMUnknown,69.50242522123321,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148279,in_both,nyc_suburban,NYC,MidriseApartment,92.0744015472817,success,nyc_suburban,NYC,MidriseApartment,92.0744015472817,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148280,in_both,nyc_suburban,NYC,MidriseApartment,34.615860799604945,success,nyc_suburban,NYC,MidriseApartment,34.615860799604945,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148281,in_both,nyc_suburban,NYC,MidriseApartment,105.84121072064312,success,nyc_suburban,NYC,MidriseApartment,105.84121072064312,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148282,in_both,nyc_suburban,NYC,MidriseApartment,286.3815788082924,success,nyc_suburban,NYC,MidriseApartment,286.3815788082924,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148283,in_both,nyc_suburban,NYC,MidriseApartment,88.50461728995286,success,nyc_suburban,NYC,MidriseApartment,88.50461728995286,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148284,in_both,nyc_suburban,NYC,MidriseApartment,86.29718361738279,success,nyc_suburban,NYC,MidriseApartment,86.29718361738279,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148285,in_both,nyc_suburban,NYC,OpenUBEMUnknown,23.619036555663342,success,nyc_suburban,NYC,OpenUBEMUnknown,23.619036555663342,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148286,in_both,nyc_suburban,NYC,MidriseApartment,65.48051862688226,success,nyc_suburban,NYC,MidriseApartment,65.48051862688226,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148287,in_both,nyc_suburban,NYC,MidriseApartment,175.2070448921536,success,nyc_suburban,NYC,MidriseApartment,175.2070448921536,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148288,in_both,nyc_suburban,NYC,MidriseApartment,103.7746349772292,success,nyc_suburban,NYC,MidriseApartment,103.7746349772292,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148289,in_both,nyc_suburban,NYC,MidriseApartment,122.83893749959616,success,nyc_suburban,NYC,MidriseApartment,122.83893749959616,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148290,in_both,nyc_suburban,NYC,MidriseApartment,210.1742831792509,success,nyc_suburban,NYC,MidriseApartment,210.17428317925092,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148291,in_both,nyc_suburban,NYC,OpenUBEMUnknown,28.95055669865744,success,nyc_suburban,NYC,OpenUBEMUnknown,28.95055669865744,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148292,in_both,nyc_suburban,NYC,MidriseApartment,104.18944929228364,success,nyc_suburban,NYC,MidriseApartment,104.18944929228364,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148293,in_both,nyc_suburban,NYC,OpenUBEMUnknown,55.08477567770859,success,nyc_suburban,NYC,OpenUBEMUnknown,55.08477567770859,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148294,in_both,nyc_suburban,NYC,MidriseApartment,152.48596911513596,success,nyc_suburban,NYC,MidriseApartment,152.48596911513596,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148295,in_both,nyc_suburban,NYC,MidriseApartment,203.18454251807844,success,nyc_suburban,NYC,MidriseApartment,203.18454251807844,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148296,in_both,nyc_suburban,NYC,OpenUBEMUnknown,27.70782750452741,success,nyc_suburban,NYC,OpenUBEMUnknown,27.70782750452741,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148297,in_both,nyc_suburban,NYC,MidriseApartment,86.34330803074263,success,nyc_suburban,NYC,MidriseApartment,86.34330803074263,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148298,in_both,nyc_suburban,NYC,MidriseApartment,80.69493258974086,success,nyc_suburban,NYC,MidriseApartment,80.69493258974086,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148299,in_both,nyc_suburban,NYC,OpenUBEMUnknown,32.438214380096646,success,nyc_suburban,NYC,OpenUBEMUnknown,32.438214380096646,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148300,in_both,nyc_suburban,NYC,OpenUBEMUnknown,28.28161864720544,success,nyc_suburban,NYC,OpenUBEMUnknown,28.28161864720544,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148301,in_both,nyc_suburban,NYC,MidriseApartment,78.53379029708888,success,nyc_suburban,NYC,MidriseApartment,78.53379029708888,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148302,in_both,nyc_suburban,NYC,MidriseApartment,160.260321724513,success,nyc_suburban,NYC,MidriseApartment,160.260321724513,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
