cell,osm_id,sql_path,status,dh_water_gj,dh_total_gj,dh_total_kwh,total_end_uses_all_fuels_gj,dh_share_of_total_end_uses,parser_status,parser_total_eui_kwh_m2,parser_floor_area_m2,parser_total_kwh,dh_share_of_parser_total,c2_pass,c2_failures
la_suburban,way_442621955,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\la_suburban\sim\way_442621955\eplusout.sql,ok,0.0,0.0,0.0,214.27,0.0,success,92.1738584531116,572.2000000000002,52741.88180687048,0.0,True,
la_suburban,way_442634561,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\la_suburban\sim\way_442634561\eplusout.sql,ok,0.0,0.0,0.0,72.34,0.0,success,112.73620961436876,161.28,18182.095886605395,0.0,True,
la_urban,relation_6387018,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\la_urban\sim\relation_6387018\eplusout.sql,ok,0.0,0.0,0.0,2416.6299999999997,0.0,success,89.35702657092168,6632.639999999996,592672.9887153576,0.0,True,
la_urban,way_401911275,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\la_urban\sim\way_401911275\eplusout.sql,ok,0.0,0.0,0.0,120.5,0.0,success,103.4940665228834,290.19999999999993,30033.978104940757,0.0,True,
la_urban,way_402222550,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\la_urban\sim\way_402222550\eplusout.sql,ok,0.0,0.0,0.0,766.29,0.0,success,90.4278808006355,2081.12,188191.27129181856,0.0,True,
la_urban,way_402279962,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\la_urban\sim\way_402279962\eplusout.sql,ok,0.0,0.0,0.0,375.49,0.0,success,92.60714955416219,998.4800000000004,92466.38668683989,0.0,True,
nyc_centre,way_265424467,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\nyc_centre\sim\way_265424467\eplusout.sql,ok,134.49,134.49,37358.333333333336,9926.54,0.013548527482889304,success,153.07516838443394,17769.150000000005,2720015.628298265,0.013734602457672638,True,
nyc_centre,way_266170570,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\nyc_centre\sim\way_266170570\eplusout.sql,ok,0.0,0.0,0.0,1804.08,0.0,success,320.0943798146207,1128.62,361264.9189463772,0.0,True,
nyc_centre,way_266170721,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\nyc_centre\sim\way_266170721\eplusout.sql,ok,0.0,0.0,0.0,4544.11,0.0,success,162.59381146997578,3225.1899999999996,524395.9348148511,0.0,True,
nyc_centre,way_266170743,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\nyc_centre\sim\way_266170743\eplusout.sql,ok,0.0,0.0,0.0,48.26,0.0,success,90.20140879090461,142.64,12866.328949934632,0.0,True,
nyc_rural,way_270445757,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\nyc_rural\sim\way_270445757\eplusout.sql,ok,0.0,0.0,0.0,66.85,0.0,success,82.02145248164429,216.4,17749.442317027824,0.0,True,
nyc_rural,way_772627016,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\nyc_rural\sim\way_772627016\eplusout.sql,ok,0.0,0.0,0.0,24.52,0.0,success,105.97970322691049,62.07000000000001,6578.160179294335,0.0,True,
nyc_rural,way_772627029,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\nyc_rural\sim\way_772627029\eplusout.sql,ok,0.0,0.0,0.0,39.98,0.0,success,91.39497623822714,116.67999999999999,10663.965827476342,0.0,True,
nyc_rural,way_772627043,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\nyc_rural\sim\way_772627043\eplusout.sql,ok,0.0,0.0,0.0,132.85,0.0,success,74.6312662595511,470.60999999999996,35122.22021440734,0.0,True,
nyc_suburban,way_610017070,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\nyc_suburban\sim\way_610017070\eplusout.sql,ok,0.0,0.0,0.0,55.13,0.0,success,98.66414210638919,149.49,14749.30260348412,0.0,True,
nyc_suburban,way_815835776,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\nyc_suburban\sim\way_815835776\eplusout.sql,ok,0.0,0.0,0.0,43.75,0.0,success,105.55567704551171,111.17,11734.624617149537,0.0,True,
nyc_suburban,way_846412091,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\nyc_suburban\sim\way_846412091\eplusout.sql,ok,0.0,0.0,0.0,253.29,0.0,success,193.6410275412415,342.3999999999999,66302.68783012107,0.0,True,
nyc_suburban,way_846412106,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\nyc_suburban\sim\way_846412106\eplusout.sql,ok,0.34,0.34,94.44444444444444,37.25,0.009127516778523491,success,313.95992848209545,32.65,10250.791664940416,0.009213380539911052,True,
nyc_urban,way_241862173,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\nyc_urban\sim\way_241862173\eplusout.sql,ok,0.0,0.0,0.0,86.91,0.0,success,80.50067851640007,286.47,23061.02937459313,0.0,True,
nyc_urban,way_241862488,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\nyc_urban\sim\way_241862488\eplusout.sql,ok,0.77,0.77,213.88888888888889,62.99,0.012224162565486585,success,227.3282425459255,76.02,17281.492998341255,0.012376759861513051,True,
nyc_urban,way_241862544,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\nyc_urban\sim\way_241862544\eplusout.sql,ok,0.0,0.0,0.0,28.259999999999998,0.0,success,105.02930076145643,72.14,7576.813756931467,0.0,True,
nyc_urban,way_281344759,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open03-untrimmed-sample\nyc_urban\sim\way_281344759\eplusout.sql,ok,0.0,0.0,0.0,37.89,0.0,success,95.92530443410409,105.57000000000002,10126.834389108371,0.0,True,
