group,cell,mode,stem,n_zones,n_degenerate_zones,any_degenerate,min_volume_m3,max_volume_m3,median_volume_m3,stem_norm
control,la_urban,layout_assign,relation_6243355,27,0,False,705.1,801.25,801.25,relation_6243355
control,la_urban,layout_assign,relation_6353541,23,0,False,34.37,2369.76,297.55,relation_6353541
control,la_urban,layout_assign,relation_6356829,18,0,False,2011.45,15072.61,3177.44,relation_6356829
control,la_urban,layout_assign,relation_6356830,14,0,False,7498.3,7498.3,7498.3,relation_6356830
control,la_urban,layout_assign,relation_6356862,27,0,False,266.67,303.04,303.04,relation_6356862
control,la_urban,layout_assign,relation_6356884,27,0,False,1046.89,1189.65,1189.65,relation_6356884
control,la_urban,layout_assign,relation_6356886,23,0,False,48.12,3317.5,416.55,relation_6356886
control,la_urban,layout_assign,relation_6356887,6,1,True,131.07,459.87,220.95,relation_6356887
control,la_urban,layout_assign,relation_6378549,27,0,False,404.08,459.18,459.18,relation_6378549
control,la_urban,layout_assign,relation_6378550,27,0,False,425.34,483.34,483.34,relation_6378550
control,la_urban,layout_assign,way_401904735,27,0,False,558.91,635.12,635.12,way_401904735
control,la_urban,layout_assign,way_402215469,3,2,True,257.92,5664.21,4091.38,way_402215469
control,nyc_centre,fast_zone,way_1240348353,837,0,False,100.46,6686.96,453.16,way_1240348353
fatal,la_centre,layout_assign,way_427942886,67,0,False,39.72,631.1,103.27,way_427942886
fatal,la_rural,auto,way_472960972,57,48,True,10.0,7775.03,10.0,way_472960972
fatal,la_rural,auto,way_472961034,27,24,True,10.0,2743.27,10.0,way_472961034
fatal,la_rural,auto,way_472961088,27,24,True,10.0,3174.96,10.0,way_472961088
fatal,la_rural,auto,way_472961091,27,24,True,10.0,2625.98,10.0,way_472961091
fatal,la_rural,auto,way_472961171,39,36,True,10.0,66701.7,10.0,way_472961171
fatal,la_rural,fast_zone,way_472960972,57,0,False,10.1,7775.03,190.65,way_472960972
fatal,la_rural,fast_zone,way_472961034,27,0,False,4.5,2743.27,215.47,way_472961034
fatal,la_rural,fast_zone,way_472961088,27,0,False,2.87,3174.96,283.33,way_472961088
fatal,la_rural,fast_zone,way_472961091,27,0,False,2.97,2625.98,219.59,way_472961091
fatal,la_rural,fast_zone,way_472961171,39,0,False,6.73,66701.7,319.86,way_472961171
fatal,la_rural,floor,way_472960972,3,0,False,11961.51,11961.52,11961.51,way_472960972
fatal,la_rural,floor,way_472961034,3,0,False,4894.75,4894.75,4894.75,way_472961034
fatal,la_rural,floor,way_472961088,3,0,False,5445.57,5445.57,5445.57,way_472961088
fatal,la_rural,floor,way_472961091,3,0,False,4743.3,4743.3,4743.3,way_472961091
fatal,la_rural,floor,way_472961171,3,0,False,78552.8,78552.81,78552.8,way_472961171
fatal,la_urban,auto,way_402215469,6,6,True,10.0,10.0,10.0,way_402215469
fatal,la_urban,layout_assign,relation_6374725,67,0,False,34.11,542.06,88.7,relation_6374725
fatal,la_urban,layout_assign,way_401910463,67,0,False,13.25,210.5,34.45,way_401910463
fatal,la_urban,layout_assign,way_428846131,67,0,False,11.87,188.67,30.87,way_428846131
fatal,nyc_rural,layout_assign,way_965718400,67,0,False,12.88,204.64,33.49,way_965718400
fatal,nyc_rural,layout_assign,way_965718402,67,0,False,7.2,114.39,18.72,way_965718402
fatal,nyc_rural,layout_assign,way_965718403,67,0,False,6.73,106.95,17.5,way_965718403
