cell,stem,status,n_converge_warnings,n_vol_stub,n_temp_out_of_bounds,completed,n_severe_lines,bytes
nyc_centre,way_265301780,success,0,24,0,True,0,24904
nyc_centre,way_265301782,success,0,5,0,True,0,14970
nyc_centre,way_265301784,success,0,7,0,True,0,11410
nyc_centre,way_265301786,success,0,6,0,True,0,10620
nyc_centre,way_265301788,success,0,4,0,True,0,12769
nyc_centre,way_265301790,success,0,7,0,True,0,11728
nyc_centre,way_265301792,success,0,7,0,True,0,20287
nyc_centre,way_265301794,success,0,8,0,True,0,12368
nyc_centre,way_265301795,success,0,20,0,True,0,22048
nyc_centre,way_265301797,success,0,4,0,True,0,9208
nyc_centre,way_265301799,success,0,4,0,True,0,9208
nyc_centre,way_265301801,success,0,15,0,True,0,18073
nyc_centre,way_265301805,success,0,16,0,True,0,18868
nyc_centre,way_265301808,success,0,14,0,True,0,17278
nyc_centre,way_265301810,success,0,21,0,True,0,22519
nyc_centre,way_265301813,success,0,6,0,True,0,10788
nyc_centre,way_265301816,success,0,40,0,True,0,37636
nyc_centre,way_265301817,success,0,6,0,True,0,10788
nyc_centre,way_265301821,success,0,2,0,True,0,7458
nyc_centre,way_265301824,success,0,5,0,True,0,10663
nyc_centre,way_265301825,success,0,14,0,True,0,17278
nyc_centre,way_265301826,success,0,5,0,True,0,9998
nyc_centre,way_265301827,success,0,5,0,True,0,14970
nyc_centre,way_265301828,success,0,13,0,True,0,16483
nyc_centre,way_265301829,success,0,5,0,True,0,10663
nyc_centre,way_265301833,success,0,78,0,True,0,67146
nyc_centre,way_265301835,success,0,56,0,True,0,50300
nyc_centre,way_265301837,success,0,6,0,True,0,16424
nyc_centre,way_265301838,success,0,4,0,True,0,14180
nyc_centre,way_265301841,success,0,15,0,True,0,18073
nyc_centre,way_265301842,success,0,19,0,True,0,21253
nyc_centre,way_265301843,success,0,7,0,True,0,12821
nyc_centre,way_265301844,success,0,6,0,True,0,15760
nyc_centre,way_265301845,success,0,6,0,True,0,10788
nyc_centre,way_265301848,success,0,5,0,True,0,15262
nyc_centre,way_265301849,success,0,23,0,True,0,24109
nyc_centre,way_265301853,success,0,13,0,True,0,16483
nyc_centre,way_265301854,success,0,16,0,True,0,18845
nyc_centre,way_265301856,success,0,1,0,True,0,8451
nyc_centre,way_265301857,success,0,22,0,True,0,23314
nyc_centre,way_265301859,success,0,3,0,True,0,10904
nyc_centre,way_265301861,success,0,7,0,True,0,15312
nyc_centre,way_265301862,success,0,5,0,True,0,11241
nyc_centre,way_265301868,success,0,4,0,True,0,14186
nyc_centre,way_265301870,success,0,14,0,True,0,17278
nyc_centre,way_265301871,success,0,5,0,True,0,16216
nyc_centre,way_265301873,success,0,5,0,True,0,16887
nyc_centre,way_265301876,success,0,68,0,True,0,59798
nyc_centre,way_265301877,success,0,19,0,True,0,21389
nyc_centre,way_265301882,success,0,5,0,True,0,13728
nyc_centre,way_265301883,success,0,5,0,True,0,14971
nyc_centre,way_265301885,success,0,5,0,True,0,9998
nyc_centre,way_265301886,success,0,15,0,True,0,18073
nyc_centre,way_265301888,success,0,17,0,True,0,19663
nyc_centre,way_265301889,success,0,19,0,True,0,21230
nyc_centre,way_265301894,success,0,5,0,True,0,14970
nyc_centre,way_265301901,success,0,13,0,True,0,16483
nyc_centre,way_265301903,success,0,6,0,True,0,18259
nyc_centre,way_265301908,success,0,6,0,True,0,17004
nyc_centre,way_265301909,success,0,7,0,True,0,17793
nyc_centre,way_265301912,success,0,14,0,True,0,17278
nyc_centre,way_265301915,success,0,6,0,True,0,10788
nyc_centre,way_265301916,success,0,5,0,True,0,16213
nyc_centre,way_265301919,success,0,20,0,True,0,22048
nyc_centre,way_265301922,success,0,1,0,True,0,8083
nyc_centre,way_265301924,success,0,7,0,True,0,11578
nyc_centre,way_265301926,success,0,5,0,True,0,11241
nyc_centre,way_265301927,success,0,1,0,True,0,7977
nyc_centre,way_265301931,success,0,4,0,True,0,10451
nyc_centre,way_265301941,success,0,5,0,True,0,11241
nyc_centre,way_265301944,success,0,11,0,True,0,14725
nyc_centre,way_265301952,success,0,4,0,True,0,12937
nyc_centre,way_265301954,success,0,5,0,True,0,9830
nyc_centre,way_265301955,success,0,1,0,True,0,8083
