cell,rank,osm_id,idf_stem,idf_path,n_idfs_in_cell,stride_k
austin_suburban,3,way/382991827,way_382991827,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_suburban\fleet_staging\idfs\way_382991827.idf,437,87
austin_suburban,4,way/382992872,way_382992872,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_suburban\fleet_staging\idfs\way_382992872.idf,437,87
austin_urban,0,relation/5682346,relation_5682346,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_urban\fleet_staging\idfs\relation_5682346.idf,425,85
austin_urban,1,way/381805731,way_381805731,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_urban\fleet_staging\idfs\way_381805731.idf,425,85
austin_urban,2,way/381824457,way_381824457,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_urban\fleet_staging\idfs\way_381824457.idf,425,85
austin_urban,3,way/381824710,way_381824710,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_urban\fleet_staging\idfs\way_381824710.idf,425,85
austin_urban,4,way/382005641,way_382005641,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\austin_urban\fleet_staging\idfs\way_382005641.idf,425,85
la_centre,0,relation/12292681,relation_12292681,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_centre\fleet_staging\idfs\relation_12292681.idf,226,45
la_centre,1,way/425993516,way_425993516,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_centre\fleet_staging\idfs\way_425993516.idf,226,45
la_centre,2,way/427817548,way_427817548,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_centre\fleet_staging\idfs\way_427817548.idf,226,45
la_centre,3,way/427942814,way_427942814,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_centre\fleet_staging\idfs\way_427942814.idf,226,45
la_centre,4,way/428015132,way_428015132,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_centre\fleet_staging\idfs\way_428015132.idf,226,45
la_rural,0,way/222366800,way_222366800,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_rural\fleet_staging\idfs\way_222366800.idf,149,29
la_rural,1,way/472961001,way_472961001,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_rural\fleet_staging\idfs\way_472961001.idf,149,29
la_rural,2,way/472961050,way_472961050,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_rural\fleet_staging\idfs\way_472961050.idf,149,29
la_rural,3,way/472961098,way_472961098,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_rural\fleet_staging\idfs\way_472961098.idf,149,29
la_rural,4,way/472961204,way_472961204,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_rural\fleet_staging\idfs\way_472961204.idf,149,29
la_suburban,0,relation/6584771,relation_6584771,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_suburban\fleet_staging\idfs\relation_6584771.idf,1343,268
la_suburban,1,way/442621975,way_442621975,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_suburban\fleet_staging\idfs\way_442621975.idf,1343,268
la_suburban,2,way/442622377,way_442622377,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_suburban\fleet_staging\idfs\way_442622377.idf,1343,268
la_suburban,3,way/442624948,way_442624948,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_suburban\fleet_staging\idfs\way_442624948.idf,1343,268
la_suburban,4,way/442634013,way_442634013,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_suburban\fleet_staging\idfs\way_442634013.idf,1343,268
la_urban,0,relation/6243355,relation_6243355,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_urban\fleet_staging\idfs\relation_6243355.idf,618,123
la_urban,1,way/402036185,way_402036185,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_urban\fleet_staging\idfs\way_402036185.idf,618,123
la_urban,2,way/402250529,way_402250529,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_urban\fleet_staging\idfs\way_402250529.idf,618,123
la_urban,3,way/402278405,way_402278405,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_urban\fleet_staging\idfs\way_402278405.idf,618,123
la_urban,4,way/427049883,way_427049883,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\la_urban\fleet_staging\idfs\way_427049883.idf,618,123
nyc_centre,0,relation/11171765,relation_11171765,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_centre\fleet_staging\idfs\relation_11171765.idf,738,147
nyc_centre,1,way/265301868,way_265301868,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_centre\fleet_staging\idfs\way_265301868.idf,738,147
nyc_centre,2,way/265320179,way_265320179,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_centre\fleet_staging\idfs\way_265320179.idf,738,147
nyc_centre,3,way/266143309,way_266143309,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_centre\fleet_staging\idfs\way_266143309.idf,738,147
nyc_centre,4,way/266170674,way_266170674,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_centre\fleet_staging\idfs\way_266170674.idf,738,147
nyc_rural,0,way/1055839510,way_1055839510,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_rural\fleet_staging\idfs\way_1055839510.idf,198,39
nyc_rural,1,way/271121943,way_271121943,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_rural\fleet_staging\idfs\way_271121943.idf,198,39
nyc_rural,2,way/772626984,way_772626984,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_rural\fleet_staging\idfs\way_772626984.idf,198,39
nyc_rural,3,way/772627027,way_772627027,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_rural\fleet_staging\idfs\way_772627027.idf,198,39
nyc_rural,4,way/772627068,way_772627068,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_rural\fleet_staging\idfs\way_772627068.idf,198,39
nyc_suburban,0,way/1010383033,way_1010383033,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_suburban\fleet_staging\idfs\way_1010383033.idf,1589,317
nyc_suburban,1,way/1108091102,way_1108091102,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_suburban\fleet_staging\idfs\way_1108091102.idf,1589,317
nyc_suburban,2,way/1108093334,way_1108093334,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_suburban\fleet_staging\idfs\way_1108093334.idf,1589,317
nyc_suburban,3,way/813473589,way_813473589,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_suburban\fleet_staging\idfs\way_813473589.idf,1589,317
nyc_suburban,4,way/845748932,way_845748932,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_suburban\fleet_staging\idfs\way_845748932.idf,1589,317
nyc_urban,0,relation/17949119,relation_17949119,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_urban\fleet_staging\idfs\relation_17949119.idf,1779,355
nyc_urban,1,way/241854757,way_241854757,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_urban\fleet_staging\idfs\way_241854757.idf,1779,355
nyc_urban,2,way/241862490,way_241862490,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_urban\fleet_staging\idfs\way_241862490.idf,1779,355
nyc_urban,3,way/280618562,way_280618562,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_urban\fleet_staging\idfs\way_280618562.idf,1779,355
nyc_urban,4,way/281344643,way_281344643,C:\Users\o_iseri\Desktop\OpenUBEM\evidence\open48_refleet4\nyc_urban\fleet_staging\idfs\way_281344643.idf,1779,355
