stem,osm_id,archetype_id,cell,city,task_id,floor_area_m2,area_provenance,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,fans_eui_kwh_m2,pumps_eui_kwh_m2,dhw_eui_kwh_m2,cooking_eui_kwh_m2,refrigeration_eui_kwh_m2,total_eui_kwh_m2,total_kwh,gwp_total_kgco2_m2,gwp_total_kgco2
way_1020979628,way/1020979628,RetailStandalone,austin_centre,austin,11,216.44,ok,23.241113841843596,31.615453409806506,58.28123403181179,48.97394604042147,12.422376632705072,0.0,5.479698286940608,0.0,0.0,180.01382224352903,38962.19168638942,62.65589693335726,13561.242332255846
way_1020979629,way/1020979629,SmallOffice,austin_centre,austin,12,275.44,ok,11.029896697123508,18.363175330894745,26.465489453215948,27.76518600948713,6.488371375364116,0.0,3.5541383252335077,0.0,0.0,93.66625719131896,25799.43388077689,32.80556031250925,9035.963532477548
way_1020979630,way/1020979630,QuickServiceRestaurant,austin_centre,austin,13,125.0,ok,155.00051237545551,174.63348053750414,93.53940471747256,562.9661663775728,52.42040016350095,0.0,91.45379715369498,708.3663553919308,190.5573312,2028.9374479171315,253617.18098964143,573.2833523215671,71660.41904019589
way_1021167043,way/1021167043,RetailStandalone,austin_centre,austin,14,109.43,ok,39.22127990519022,39.229597624841226,58.28183316817244,48.97444949703791,14.420572350569676,0.0,8.478353804787005,0.0,0.0,208.60608635059847,22827.76402934599,70.2504502802681,7687.506774169738
way_1021167044,way/1021167044,FullServiceRestaurant,austin_centre,austin,15,140.43,ok,131.9776632718487,151.4435945742357,72.73350064343967,428.4477105622856,41.50835434403212,0.0,75.78751369109719,401.9137841483871,154.07881221961122,1457.890933454937,204731.62378507687,426.58906518607256,59905.902424080174
way_1021167045,way/1021167045,SmallOffice,austin_centre,austin,16,324.17,ok,13.029959602650935,19.570546103890507,26.465511195186107,27.765208819195472,7.3598900439826,0.0,3.1859555540945057,0.0,0.0,97.37707131900014,31566.725209480275,33.80538765506286,10958.692516141728
way_1022725553,way/1022725553,OpenUBEMUnknown,austin_centre,austin,17,43.52,ok,42.1907398519968,49.6066379020372,26.844025055899998,50.94527982102513,14.290065015630516,0.0,72.97176963843575,0.0,0.0,256.84851728502537,11178.047472244303,73.66892513181075,3206.0716217364043
way_1025013853,way/1025013853,LargeOffice,austin_centre,austin,18,13980.799999999996,ok,25.34758224342227,39.08016601692553,26.46510952062803,50.96915485828584,48.620948561459166,14.435588377930731,2.282641028485669,0.0,0.0,207.2011906071372,2896838.405640264,71.95015502187421,1005920.7273298188
way_1029943785,way/1029943785,SmallOffice,austin_centre,austin,19,453.71,ok,8.464171882396364,15.898397884979016,26.46536223296317,27.76505254156974,5.284636979456062,0.0,2.598834616907692,0.0,0.0,86.47645613827206,39235.23291449541,30.61717902526336,13891.320295552236
way_1029943786,way/1029943786,LargeOffice,austin_centre,austin,20,15268.15,ok,3.9950247314998513,25.26601584597574,26.46510248055765,50.94065934520461,29.20739088054848,7.84647576074506,2.260324171638622,0.0,0.0,145.98099321617002,2228859.7015734664,53.22585066940699,812660.2718981063
way_1032979883,way/1032979883,QuickServiceRestaurant,austin_centre,austin,21,451.75,ok,48.315397786914666,138.42396033126158,93.53539746832436,562.4776325994039,42.243272952303165,0.0,76.6298409220248,707.5593497998782,190.34011112340897,1859.52496298352,840040.402027805,533.5852826947502,241047.15145735335
way_1034698229,way/1034698229,OpenUBEMUnknown,austin_centre,austin,22,244.24,ok,43.19424882735253,36.48024600007146,37.74775673791081,19.4204601258197,9.512705282306086,0.0,15.513454510427811,0.0,0.0,161.8688714838884,39534.8531712249,49.087466301715416,11989.122769530974
way_1034702476,way/1034702476,SmallOffice,austin_centre,austin,23,130.1,ok,19.947334493264755,31.892596855821743,26.465999254205556,27.7657208463286,13.937334571268416,0.0,6.259914852706084,0.0,0.0,126.26890087359514,16427.584003654727,43.25012449372674,5626.841196633849
way_1039387743,way/1039387743,OpenUBEMUnknown,austin_centre,austin,24,1399.93,ok,12.425441061440916,23.39576432648431,18.94091064444324,45.25764557087061,4.346503716917377,0.0,5.006506575424751,0.0,0.0,109.37277189558122,153114.22455978105,37.43329614900108,52403.99427787108
way_1039387744,way/1039387744,OpenUBEMUnknown,austin_centre,austin,25,409.35,ok,25.854061535159783,25.42089890665877,23.594440084023542,28.58665157231663,7.034413764948245,0.0,10.38587693458356,0.0,0.0,120.87634279769054,49480.730924234624,38.11425021580344,15602.068325839138
way_1039387745,way/1039387745,OpenUBEMUnknown,austin_centre,austin,26,973.84,ok,9.638352532686492,26.755889557419515,27.45203830612775,61.29735976989545,6.007535829735922,0.0,5.952533192675846,0.0,0.0,137.103709188541,133517.07615616877,48.12533326242055,46866.374544275626
way_1039387746,way/1039387746,OpenUBEMUnknown,austin_centre,austin,27,89.55,ok,47.03556960371338,49.89598456207018,28.673531109662196,17.93663711149722,11.25196642183426,0.0,37.267763986854845,0.0,0.0,192.06145279563208,17199.103097848852,55.434147446878384,4964.12790386796
way_1039387747,way/1039387747,OpenUBEMUnknown,austin_centre,austin,28,104.96,ok,24.544254413016308,33.36459948320407,23.39281793184348,38.92467988638053,8.552629977300727,0.0,32.07139356811326,0.0,0.0,160.85037525985837,16882.855387274732,49.10905718645836,5154.486642290669
way_1039387750,way/1039387750,OpenUBEMUnknown,austin_centre,austin,29,26.08,ok,44.624952240808895,71.5570268173171,34.43714413193193,16.03978809320379,20.85744913978527,0.0,119.73084126461823,0.0,0.0,307.24720168766515,8013.007020014307,83.02231655424977,2165.222015734834
way_1039387756,way/1039387756,OpenUBEMUnknown,austin_centre,austin,30,27.99,ok,35.73413637525618,68.72566295230388,26.630476055225373,51.91285513924349,20.432012753941144,0.0,111.24539094133222,0.0,0.0,314.68053421730224,8807.90815274229,89.12692544508187,2494.662643207841
way_1039387757,way/1039387757,OpenUBEMUnknown,austin_centre,austin,31,42.75,ok,89.33966018801246,71.16907176777508,28.65765444551508,18.547666761938224,22.88479731894345,0.0,74.9495240014743,0.0,0.0,305.5483744836586,13062.193009176406,82.4017237372926,3522.6736897692585
way_1039387764,way/1039387764,OpenUBEMUnknown,austin_centre,austin,32,234.94,ok,28.88832626545302,33.03456951116886,19.909902206770138,49.367599238853,9.535250935116332,0.0,15.958670402535564,0.0,0.0,156.6943185598969,36813.76320246218,49.81711972322233,11704.034107773856
way_1051117928,way/1051117928,SmallOffice,austin_centre,austin,33,591.82,ok,11.640486002785002,20.515586016778546,26.46477689450528,27.7644384576456,7.780319846879263,0.0,2.250833131803233,0.0,0.0,96.41644035039693,57061.17772817191,33.713777474015544,19952.48778467188
way_1120921408,way/1120921408,SuperTallBuilding,austin_centre,austin,34,245869.9200000001,ok,2.2102509685686003,24.0463132890775,26.465113946989565,44.063298317450254,23.57206025259783,7.384800400140743,35.77242360532089,0.0,0.0,163.51426078014538,40203238.2168735,53.67655431997997,13197450.116529131
way_112834453,way/112834453,Courthouse,austin_centre,austin,35,5305.08,ok,31.090492498803886,61.20028851254094,19.676750228044487,28.256327211419283,51.200524896702255,1.3628966333167138,2.7642147470683622,0.0,0.0,195.55149472789597,1037416.3236510662,66.4127918948508,352325.17402553506
way_112834456,way/112834456,LargeOffice,austin_centre,austin,36,1914.63,ok,9.219240483900942,14.807168790180617,26.46513961780895,50.90747803306088,5.376546233362452,0.0,3.656327004005481,0.0,0.0,110.43190016231934,211436.22900778148,38.70221011364708,74100.4125498921
way_112834472,way/112834472,MediumOffice,austin_centre,austin,37,5042.949999999999,ok,23.127241575085414,34.70157983482006,26.464846476061783,47.60175899879607,52.221902156782,0.0,3.4182647290229924,0.0,0.0,187.53559377056837,945732.6226052874,64.82634897098893,326916.03654324857
way_112834493,way/112834493,TallBuilding,austin_centre,austin,38,87289.20000000003,ok,1.7303987755710646,24.33969581207217,26.46512362596898,44.06331443256013,25.979625850767693,7.28404381882316,41.31525189151761,0.0,0.0,171.17745420728085,14941943.035790185,55.56238682102581,4849996.295697887
way_112834500,way/112834500,MediumOffice,austin_centre,austin,39,9192.66,ok,15.121986793361096,30.73464163849432,26.465046009281565,47.60194402450482,42.84836528297089,0.0,3.1405049973001,0.0,0.0,165.9124887459128,1525177.0987950028,58.35356407894222,536424.474365929
way_112834509,way/112834509,MediumOffice,austin_centre,austin,40,596.92,ok,19.38068454042876,27.18965785395575,26.46514442040485,47.60213923802191,8.265824125459499,0.0,7.97630203737228,0.0,0.0,136.87975221564307,81706.26169256165,45.78476823780735,27329.84385651196
way_112836380,way/112836380,RetailStandalone,austin_centre,austin,41,1715.9,ok,9.740227167470843,25.247461072005738,58.282083088875446,48.97465950635256,8.41154520387297,0.0,2.802637274536183,0.0,0.0,153.45861331311374,263319.63458397187,55.345219587219965,94966.86228971074
way_112836382,way/112836382,Courthouse,austin_centre,austin,42,2261.34,ok,16.195061082192815,37.92976146497459,19.676618331496247,28.256137804536863,6.227217467713366,0.0,3.424768387508722,0.0,0.0,111.7095645384226,252613.30667331655,37.88482088021711,85670.46084927017
way_112836384,way/112836384,RetailStandalone,austin_centre,austin,43,1470.53,ok,9.936724880093228,24.736343171143144,58.28199152194042,48.97458256226401,8.200809744626904,0.0,2.8729355290469702,0.0,0.0,153.0033874091147,224996.07128672543,55.13780486066688,81081.79618175646
way_112836385,way/112836385,LargeOffice,austin_centre,austin,44,2500.76,ok,8.454328308691883,14.377462144999734,26.465132880475025,50.92639455804615,5.226798285093637,0.0,3.285491277520679,0.0,0.0,108.7356074548271,271921.65769873344,38.28765294458429,95748.2309776986
way_112836386,way/112836386,MediumOffice,austin_centre,austin,45,755.78,ok,15.22776112765335,19.805365268867423,26.46497846723527,47.60184507144353,5.301847236110937,0.0,6.879042793702692,0.0,0.0,121.2808399650132,91661.63322875768,40.97618901985005,30968.984137422274
way_1134169120,way/1134169120,SmallOffice,austin_centre,austin,46,218.8,ok,11.00790236813952,19.501948519470343,26.46487966991863,27.764546280282445,7.03133860407213,0.0,4.172282600897562,0.0,0.0,95.94289804278064,20992.3060917604,33.65857489601835,7364.496187248816
way_1134169121,way/1134169121,RetailStandalone,austin_centre,austin,47,140.85,ok,29.041510951482053,37.66285931439805,58.28408287875719,48.97633993750637,13.608906383244824,0.0,7.122202681946825,0.0,0.0,194.6959021473353,27422.91781745218,67.01710884298583,9439.359780534554
way_1134169122,way/1134169122,SmallOffice,austin_centre,austin,48,299.95,ok,11.624223309182844,23.72877378019941,26.46508559816393,27.76476232146264,9.231283841896962,0.0,3.3527104833406507,0.0,0.0,102.16683933424645,30644.943458307214,35.8608068663545,10756.449019563031
way_1134169124,way/1134169124,RetailStandalone,austin_centre,austin,49,152.1,ok,34.85682152567474,44.86715102409004,58.28172162443892,48.97435576639365,17.202099093283593,0.0,6.781350193707941,0.0,0.0,210.9634992275889,32087.54823251627,71.96658513039637,10946.117598333289
way_1135532954,way/1135532954,QuickServiceRestaurant,austin_centre,austin,50,343.77,ok,84.95098515165279,150.1658877122338,93.5354710300645,562.9424178956333,47.36228999238116,0.0,78.50168885488786,708.336634923939,190.5491753207086,1916.3445508815007,658781.7662565334,547.2333066625322,188122.3938313787
way_1213502014,way/1213502014,SmallOffice,austin_centre,austin,51,284.87,ok,12.409573696031558,18.80098807986703,26.46466150799961,27.76431740457973,7.010071111988869,0.0,3.469142564108282,0.0,0.0,95.91875436457508,27324.375555836505,33.38069364927346,9509.15819986853
way_1213502015,way/1213502015,SmallOffice,austin_centre,austin,52,350.98,ok,12.068357001176828,20.568398721690173,26.464821325477164,27.76448507061116,7.988925211543282,0.0,3.028745103697317,0.0,0.0,97.88373243419592,34355.23240975409,34.17874740915465,11996.0567656651
way_1213502016,way/1213502016,SmallOffice,austin_centre,austin,53,248.99,ok,13.568431053385597,23.335960197999427,26.46523716372601,27.764921330260155,9.60208891220323,0.0,3.806845544487561,0.0,0.0,104.54348420206198,26030.282131471413,36.37393313597751,9056.74561152704
way_1213502017,way/1213502017,SmallOffice,austin_centre,austin,54,270.25,ok,12.712231676514516,19.68906599763727,26.465553339788634,27.76525303349223,7.376432274562823,0.0,3.5947249138936463,0.0,0.0,97.60326123588912,26377.281348999037,33.95066670201164,9175.167676218643
way_1213502018,way/1213502018,QuickServiceRestaurant,austin_centre,austin,55,305.82,ok,107.37782243885503,153.856019158754,93.5367795260538,567.7785600033269,47.4632996469734,0.0,80.25361238867603,716.4229538547249,192.72458308809104,1959.4136301054552,599227.8763588503,557.1013196128168,170372.72556399164
way_1239928162,way/1239928162,FullServiceRestaurant,austin_centre,austin,56,376.55,ok,112.30294325404306,143.678350976804,72.73484425401456,428.5033389643585,38.07052863007648,0.0,64.35976283529897,401.97696073288887,154.10318417208867,1415.729913819573,533093.0990487603,416.8244623023488,156955.25127994944
way_1239928163,way/1239928163,SmallOffice,austin_centre,austin,57,219.5,ok,12.602707257334668,25.175876546819747,26.464924176656822,27.76459297268581,10.424586007661285,0.0,4.168977460583952,0.0,0.0,106.6016644217423,23399.065340572437,37.32653321526934,8193.17404075162
way_1243589069,way/1243589069,QuickServiceRestaurant,austin_centre,austin,58,178.04,ok,144.0156532986872,174.1347125806804,93.53595770882154,562.2662095485467,54.42445766760331,0.0,85.2592467310125,707.2040402155009,190.24462592675803,2011.0849036776103,358053.5562507618,570.1458803189599,101508.77253198762
way_1243589070,way/1243589070,OpenUBEMUnknown,austin_centre,austin,59,66.93,ok,27.2682675021293,32.51325486012948,16.196768779464104,45.16845010683,9.050401634237428,0.0,48.55502308213737,0.0,0.0,178.75216596492768,11963.88246803261,52.098782346173344,3486.9715024293823
way_1243589071,way/1243589071,OpenUBEMUnknown,austin_centre,austin,60,50.78,ok,41.42806943923465,53.249687090029134,36.65269809924986,18.82009496721263,15.209712697310875,0.0,63.2297392649864,0.0,0.0,228.59000155802357,11607.800279116436,65.14845497276148,3308.2385435168285
way_1243589072,way/1243589072,OpenUBEMUnknown,austin_centre,austin,61,44.23,ok,43.80437926697278,56.06769502662512,15.440671781655292,16.911127081602864,14.185914023646188,0.0,72.1994430409223,0.0,0.0,218.60923022142453,9669.086252693607,59.25086085931437,2620.6655758074744
way_1243589074,way/1243589074,OpenUBEMUnknown,austin_centre,austin,62,54.33,ok,39.68442019241778,60.65185924683924,19.997132661923917,53.59502671371524,18.50221870883015,0.0,59.22384084768623,0.0,0.0,251.6544983714126,13672.388896518843,74.85046942001593,4066.626003589465
way_1243589077,way/1243589077,QuickServiceRestaurant,austin_centre,austin,63,49.85,ok,171.1245190168613,185.8031869959944,93.5291378479872,563.0407077032798,60.97795477300569,0.0,122.2545640271302,708.5183244132766,190.59721564694075,2095.845610424476,104477.90367966011,589.1979513656238,29371.517875576348
way_1311610010,way/1311610010,SmallOffice,austin_centre,austin,64,344.05,ok,12.476598481702377,20.222237297103867,26.464793503709355,27.764455882503597,7.395382761300508,0.0,3.0689770724914887,0.0,0.0,97.3924449988112,33507.87070184099,33.91726955046878,11669.236588838785
way_1311610011,way/1311610011,SmallOffice,austin_centre,austin,65,343.97,ok,11.992382780328096,24.042628000191456,26.46493105575656,27.76460018959416,10.011037508422152,0.0,3.0686782823397185,0.0,0.0,103.34425781663217,35547.32436118696,36.22915814927455,12461.743528605966
way_1311610012,way/1311610012,SmallOffice,austin_centre,austin,66,339.98,ok,12.094466199983078,24.05689573751046,26.465108766666248,27.76478662774509,10.027381465560028,0.0,3.091356454606396,0.0,0.0,103.4999952520713,35187.928385799205,36.26763896762889,12330.271896214472
way_1317011702,way/1317011702,LargeOffice,austin_centre,austin,67,2440.55,ok,9.044414524536606,14.823554013846476,26.46510184900342,50.926057722851525,5.431515733829353,0.0,3.317139553406885,0.0,0.0,110.00778339747426,268479.4957707058,38.64268967284978,94309.41628107354
way_134807224,way/134807224,TallBuilding,austin_centre,austin,68,42393.54,ok,2.88290850249937,25.65225644156215,26.46508840751377,44.063255795282,27.71006704775808,7.925618234061247,41.16843204888854,0.0,0.0,175.86762647756515,7455651.257781718,57.11809488908602,2421438.240404264
way_134807225,way/134807225,LargeOffice,austin_centre,austin,69,30449.399999999987,ok,13.936545480370755,33.07476756062852,26.465030664081183,50.996521826312566,38.54381096839073,11.909290782927544,2.176014760246837,0.0,0.0,177.10198204295816,5392649.092018847,62.9377375552748,1916416.345915584
way_134807226,way/134807226,LargeOffice,austin_centre,austin,70,26408.430000000008,ok,14.343055741600288,33.571742779771284,26.465073979254104,50.92628300220149,39.44500309679872,12.066072327020771,2.1702334545525708,0.0,0.0,178.9874643811992,4726777.9239883935,63.56382713039413,1678620.8793051147
way_134807227,way/134807227,HighriseApartment,austin_centre,austin,71,176258.69999999984,ok,0.0139187643571512,24.5670841259724,3.965494199731392,46.46771226775097,4.737352304227476,4.603435993636573,26.73952576686697,0.0,0.0,111.09452342254292,19581376.27557695,36.28708922104418,6395915.172885253
way_134807228,way/134807228,LargeOffice,austin_centre,austin,72,6512.83,ok,6.1839316179514405,13.137212018690276,26.465106400650157,50.93204453244967,4.400133725091852,0.0,2.5295550832778835,0.0,0.0,103.64798337811128,675041.6955844646,36.97137961997105,240788.31033033607
way_134807229,way/134807229,FullServiceRestaurant,austin_centre,austin,73,708.77,ok,67.82695451450162,121.65478615949264,72.73380441660383,428.44943524728,32.02153314368314,0.0,61.17201616030088,401.9153875810883,154.07944805790314,1339.8533652808535,949647.8697101106,397.69061095541895,281871.1743268723
way_134807252,way/134807252,LargeOffice,austin_centre,austin,74,10102.4,ok,21.683274926421326,38.65842608759233,26.465278736108345,50.92667717934774,47.23978815383983,14.213056024915897,2.354013586821992,0.0,0.0,201.54051469504745,2036042.8956552476,70.52892203180672,712511.3819341242
way_134807256,way/134807256,OpenUBEMUnknown,austin_centre,austin,75,22932.320000000003,ok,2.488590828240756,30.06687077391468,32.432759237392894,61.39808457125055,30.862983884484944,0.1149734402733436,2.9380689020213167,0.0,0.0,160.30233163757848,3676104.365859074,58.7242124170384,1346682.430895498
way_134807260,way/134807260,OpenUBEMUnknown,austin_centre,austin,76,16053.92,ok,5.604110698005599,23.42679648526578,41.08909320930553,20.689845500392096,25.1087773424195,0.2397533097206171,2.998189472095273,0.0,0.0,119.15656601720438,1912929.9783149175,42.774742158032176,686702.288625676
way_134807269,way/134807269,LargeOffice,austin_centre,austin,77,9355.590000000002,ok,21.66426364856301,38.96401971952694,26.465000574360506,50.92587978894346,48.31352815035582,14.339884985842389,2.378277599404177,0.0,0.0,203.05085446699636,1899660.5435428864,71.09101136670625,665098.3550322435
way_135049613,way/135049613,MediumOffice,austin_centre,austin,78,1286.14,ok,12.154523595635103,20.32668152540221,26.465172911106063,47.61311177937688,5.267876778769034,0.0,5.208815890119069,0.0,0.0,117.0361824804084,150524.91573535246,40.303591154932434,51836.060728004806
way_135049616,way/135049616,MediumOffice,austin_centre,austin,79,1454.99,ok,11.188096051592622,19.86382477584181,26.46511884149183,47.60188667205124,5.145574743001966,0.0,4.920598693657668,0.0,0.0,115.18509977763712,167593.16832546424,39.854131684305024,57987.36305934696
way_135049618,way/135049618,MediumOffice,austin_centre,austin,80,560.8,ok,31.45712884367388,29.50564018451385,26.464992308337507,47.60185978780076,10.79721724377122,0.0,8.324536237360732,0.0,0.0,154.15137460545796,86448.09087874081,49.84071144223896,27950.670976807607
way_135049619,way/135049619,MediumOffice,austin_centre,austin,81,633.83,ok,24.512481597239194,26.59798796786347,26.46509368907862,47.60204322734351,8.031231293249805,0.0,7.680737448762272,0.0,0.0,140.8895752235369,89300.03946393439,46.35201772828444,29379.29939671853
way_135049620,way/135049620,MediumOffice,austin_centre,austin,82,1121.04,ok,20.55000567011689,26.91411858603112,26.46517093969629,47.602189332868086,8.183353879341979,0.0,5.562358300217924,0.0,0.0,135.2771967082723,151651.14859784156,45.426044138650354,50924.41252119259
way_135049621,way/135049621,LargeOffice,austin_centre,austin,83,2102.82,ok,10.741791116351417,15.788902937994662,26.465155457789965,50.92643589827507,5.990911767918309,0.0,3.521186914271282,0.0,0.0,113.43438409260072,238532.09155760263,39.55547600281784,83178.04604824542
way_135049622,way/135049622,MediumOffice,austin_centre,austin,84,468.92,ok,37.14211963691827,36.78202897201369,26.4652979095902,47.60242316071653,13.958529195238487,0.0,9.40909505246954,0.0,0.0,171.35949392694675,80353.89389222387,54.9577909903598,25770.80735119952
way_135049626,way/135049626,MediumOffice,austin_centre,austin,85,955.8,ok,13.60426817950299,22.662606559326,26.46503094452397,47.60192294923174,6.460799176068885,0.0,6.03022442297364,0.0,0.0,122.82485223162722,117395.9937629893,42.02609856086522,40168.545004474974
way_1350740813,way/1350740813,OpenUBEMUnknown,austin_centre,austin,86,289.69,ok,67.64025702002932,43.54207965563274,10.891718976606011,52.90398947911704,12.510373190844158,0.0,13.526257428280807,0.0,0.0,201.0146757505101,58231.94141816527,59.37388939712074,17200.022019451906
way_1350740814,way/1350740814,OpenUBEMUnknown,austin_centre,austin,87,116.54,ok,40.784104793135725,35.36689682942458,20.815098280723078,53.326082072167175,10.350404771638631,0.0,29.20729275874848,0.0,0.0,189.84987950583763,22125.10495761032,57.35504106681961,6684.1564859271575
way_1350740815,way/1350740815,OpenUBEMUnknown,austin_centre,austin,88,174.85,ok,32.94015686080304,46.14780742556165,42.861073855201056,65.26632843640348,11.516942682664148,0.0,20.317171766788967,0.0,0.0,219.0494810274224,38300.8017576448,71.4515330765181,12493.30055842919
way_1350740816,way/1350740816,OpenUBEMUnknown,austin_centre,austin,89,64.79,ok,45.462230500334,34.614100293512244,15.655425720648644,30.21451551644918,9.975287293330911,0.0,50.30016694768396,0.0,0.0,186.22172627195891,12065.30564516022,51.05876458486351,3308.0973574533077
way_1350740817,way/1350740817,OpenUBEMUnknown,austin_centre,austin,90,181.99,ok,53.22681194642518,32.593683216342995,11.196601728549098,40.16212702405616,9.684988550826864,0.0,19.73427108081167,0.0,0.0,166.59848354701194,30319.258020720707,48.11660078891659,8756.740177574931
way_1350777574,way/1350777574,OpenUBEMUnknown,austin_centre,austin,91,86.05,ok,31.41993874685049,46.92918505814323,29.204464450737863,42.03289049575648,13.778387461839792,0.0,38.52524509027318,0.0,0.0,201.89011130360103,17372.644077674868,61.85284169199121,5322.437027595844
way_1352736089,way/1352736089,OpenUBEMUnknown,austin_centre,austin,92,43.14,ok,64.42265467964401,64.05710981955275,29.09946403933554,42.57587816539743,17.130714109808768,0.0,73.7979029931742,0.0,0.0,291.0837238069127,12557.351845030214,82.00958944222228,3537.893688537469
way_1444415151,way/1444415151,SmallOffice,austin_centre,austin,93,257.72,ok,11.03733998597048,20.497574743288325,26.46556560259397,27.7652658984864,7.931571469626988,0.0,3.719751248066137,0.0,0.0,97.4170689480323,25106.327009286884,34.202540126928234,8814.678641511946
way_1507317989,way/1507317989,QuickServiceRestaurant,austin_centre,austin,94,197.55,ok,142.81280918927374,170.76972604179736,93.53819142190248,562.9587434890205,53.17472422123699,0.0,83.95836613569779,708.3571373722626,190.55472133637053,2006.1244192075617,396309.87901445385,568.5555609962319,112318.15107480562
way_1507317990,way/1507317990,FullServiceRestaurant,austin_centre,austin,95,143.79,ok,120.3684770275173,153.8478421588697,72.73223704717103,428.4405095997386,41.57686115745791,0.0,75.31708124103798,401.9066860003291,154.0764531608596,1448.266147392981,208246.1893336368,425.3192461666189,61156.65440629813
way_1507538789,way/1507538789,SmallOffice,austin_centre,austin,96,318.48,ok,9.946745045396156,17.667338962413986,26.46512622534649,27.76480494381003,6.257676183181012,0.0,3.221396676004761,0.0,0.0,91.32308803615244,29084.577077753827,32.13974005777438,10235.864413599986
way_1507538790,way/1507538790,MediumOffice,austin_centre,austin,97,615.49,ok,15.386208166160774,20.529256650460304,26.46505311531275,47.60246348899432,5.529674613888807,0.0,7.804403195348012,0.0,0.0,123.31705923016496,75900.41678557424,41.52744396240844,25559.72648442277
way_1507538791,way/1507538791,QuickServiceRestaurant,austin_centre,austin,98,54.22,ok,172.53405266773467,181.9317957527434,93.53269871729418,562.8481697715135,58.78212039567546,0.0,118.1085559336512,708.1868675762142,190.5081888601992,2086.432449675026,113126.3674213799,586.2769765912439,31787.937670777243
way_1519744798,way/1519744798,OpenUBEMUnknown,austin_centre,austin,99,24.85,ok,69.5140298568452,81.52695643940369,18.95764214568265,40.513673002847945,24.17203299371141,0.0,125.84395373799642,0.0,0.0,360.5282881764873,8959.12796118571,96.93990934723212,2408.9567472787185
way_183289651,way/183289651,LargeOffice,austin_centre,austin,100,95102.10000000003,ok,8.251051369418173,27.89119774886425,26.465024517752298,50.95140191931886,30.36460947632212,9.5620746121345,2.0953224500154155,0.0,0.0,155.5806820938256,14796049.586555218,56.02011034664251,5327630.136197433
