osm_id,n_warmup_severes_true,converged_true,n_warmup_severes_false,converged_false,eui_true,eui_false,pct_delta
way_772626995,2,False,0,True,92.57222222222222,94.24166666666666,-1.771450467179525
way_772626996,2,False,0,True,87.78333333333333,89.24722222222222,-1.640262691026798
way_772626997,1,False,0,True,88.81111111111112,90.31388888888888,-1.6639498046934942
way_772626999,2,False,0,True,84.12222222222222,85.39166666666667,-1.4866139683159314
way_772627000,2,False,3,False,87.04444444444445,88.45833333333333,-1.5983670905950567
way_772627001,2,False,0,True,77.60833333333333,78.61111111111111,-1.2756183745583067
way_772627004,4,False,0,True,80.60833333333333,81.74722222222222,-1.3931835944136697
way_772627005,2,False,0,True,95.10833333333333,96.925,-1.8743014358180685
way_772627006,0,True,0,True,90.79166666666667,92.38333333333333,-1.7228937398520525
way_772627008,2,False,0,True,110.98055555555554,113.32222222222221,-2.066379056770274
way_772627009,1,False,0,True,97.93333333333334,99.86666666666666,-1.935914552736972
way_772627010,2,False,0,True,108.10277777777777,110.38333333333333,-2.0660325129598833
way_772627011,1,False,4,False,86.55277777777776,87.96944444444445,-1.610407654172872
way_772627012,0,True,0,True,105.68611111111112,107.90833333333333,-2.0593610832239224
way_772627013,2,False,0,True,92.975,94.66944444444444,-1.789853584108446
way_772627015,1,False,0,True,92.22777777777777,93.8861111111111,-1.7663244474688582
way_772627016,2,False,0,True,108.23333333333332,110.51944444444445,-2.0685148415311665
way_772627017,0,True,0,True,91.2,92.80555555555556,-1.7300209518108338
way_772627018,1,False,0,True,102.95555555555555,105.08611111111111,-2.0274378155481
way_772627020,2,False,0,True,83.60277777777779,84.86388888888888,-1.4860397368334686
way_772627021,0,True,0,True,76.66944444444444,77.62777777777777,-1.234523724325479
way_772627022,2,False,3,False,87.05,88.46388888888889,-1.5982667127201964
way_772627024,0,True,0,True,90.74166666666667,92.325,-1.714956223485869
way_772627026,0,True,0,True,115.79444444444445,118.21666666666665,-2.048968466563262
way_772627027,1,False,0,True,94.44999999999999,96.23888888888888,-1.8588004387230876
way_772627028,0,True,0,True,96.18888888888888,98.03888888888889,-1.8870062900209754
way_772627029,1,False,0,True,94.19722222222222,95.96111111111111,-1.838128871649392
way_772627030,0,True,0,True,95.71111111111111,97.54444444444445,-1.8794851349812145
way_772627031,0,True,0,True,93.81666666666666,95.56388888888888,-1.8283289248030674
way_772627032,0,True,0,True,106.73888888888888,108.9888888888889,-2.064430624936296
way_772627033,0,True,0,True,99.74166666666666,101.75555555555555,-1.9791439178859984
way_772627034,1,False,0,True,85.13333333333334,86.45833333333333,-1.5325301204819146
way_772627035,0,True,0,True,97.1611111111111,99.05833333333334,-1.9152575642859322
way_772627036,1,False,0,True,82.23055555555554,83.42222222222222,-1.4284762919552603
way_772627037,0,True,0,True,93.625,95.36666666666666,-1.8262845159035233
way_772627038,0,True,0,True,97.38888888888889,99.3,-1.924583193465369
way_772627039,0,True,0,True,98.16944444444445,100.10555555555555,-1.9340695932071619
way_772627040,2,False,0,True,95.53055555555557,97.35277777777779,-1.8717721916283852
way_772627041,0,True,0,True,99.28611111111111,101.28055555555555,-1.9692273936534883
way_772627042,0,True,0,True,99.14722222222223,101.13888888888889,-1.9692392199945004
way_772627043,1,False,0,True,78.02777777777777,79.05,-1.2931337409515822
way_772627044,1,False,0,True,97.40555555555557,99.31388888888888,-1.9215170754901527
way_772627046,1,False,0,True,133.825,136.6222222222222,-2.047413793103445
way_772627047,0,True,0,True,91.14166666666667,92.75277777777778,-1.7369949986523348
way_772627048,0,True,0,True,96.43055555555554,98.29722222222222,-1.8990024585299765
way_772627049,0,True,0,True,143.80833333333334,146.83333333333334,-2.060158910329175
way_772627050,0,True,0,True,109.01388888888889,111.31111111111112,-2.063785186664013
way_772627051,1,False,0,True,107.325,109.58055555555555,-2.058353823924552
way_772627052,0,True,0,True,108.82777777777777,111.11388888888888,-2.057448563785906
way_772627053,0,True,0,True,98.44166666666666,100.37777777777778,-1.92882444100067
way_772627054,1,False,0,True,88.72777777777777,90.22777777777777,-1.6624592081768363
way_772627056,2,False,0,True,83.47777777777777,84.73333333333333,-1.4817728822449567
way_772627057,0,True,0,True,95.675,97.50277777777777,-1.8745904675080391
