cell,osm_id,archetype_id,use_class,base_storeys_geometry_fallback,treated_storeys_archetype_fallback,recovered_lev_src,archetype_consumed_group_median_today,genuine_disagreement,eligible_for_intervention,tier,footprint_area_m2,on_record_total_eui_kwh_m2
austin_centre,way/328526450,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,694.9138841806562,124.94835711235685
austin_centre,way/328526451,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,332.67399101295246,105.17917604614952
austin_centre,way/328526452,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,373.0746187406189,92.61527341425798
austin_centre,way/328526453,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1361.770568825269,114.22832883982618
austin_centre,way/328526455,MediumOffice,commercial,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,650.7411680870289,125.26406104856692
austin_centre,way/328529688,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,247.75357192694017,104.6796913371926
austin_centre,way/328529689,QuickServiceRestaurant,commercial,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,272.6006083729941,1541.1125441157158
austin_centre,way/328529690,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,510.0162914452336,129.85028931500747
austin_centre,way/328529693,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,269.2348942776777,105.6333944015422
austin_centre,way/328529696,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,200.72983332070572,107.27908673003267
austin_centre,way/328529698,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,265.98770265034426,105.88754505674746
austin_centre,way/328529699,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,100.676744335352,115.15936397359252
austin_centre,way/328529700,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,157.84655099602261,111.4441059132767
austin_centre,way/328529701,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,163.41384739127875,102.8083329037834
austin_centre,way/328529702,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,562.2635882489989,137.1534401486683
