cell,osm_id,percentile_slot,footprint_area_m2,levels,archetype_id,auto_total_eui_kwh_m2,auto_floor_area_m2,parse_status,sim_outcome,total_eui_kwh_m2,floor_area_m2,num_zones,sql_size_bytes,error_summary,gap_pct,floor_area_disagree_pct,floor_area_disagree_gt10
austin_suburban,way/382991906,90,404.4086002290343,3.0,SmallOffice,96.27049157322904,1213.23,success,success,75.44346809762438,383.10999999999996,6,8404992,,-21.633860111498855,68.42231069129515,True
austin_urban,way/381824762,10,44.17304190922247,2.0,SmallOffice,140.11113585747535,88.34,success,success,104.72015378085568,41.849999999999994,6,8396800,,-25.259221445910114,52.62621688929138,True
austin_urban,way/381824551,35,140.53166012594207,2.0,SmallOffice,110.85397187302016,281.06,success,success,84.93298204523863,133.31,6,8400896,,-23.38300503790088,52.568846509642064,True
austin_urban,way/381824501,65,254.92014940845507,3.0,SmallOffice,106.07377607105236,764.76,success,success,80.27295544076952,241.51000000000002,6,8400896,,-24.323467671218232,68.4201579580522,True
austin_urban,way/381810583,90,1302.3881620059808,4.0,MediumOffice,160.06983360472785,5209.56,success,success,88.50546013556037,5210.4400000000005,18,22978560,,-44.70822006717807,0.016892021591076962,False
la_centre,way/905248736,10,149.45043450140827,1.0,SmallOffice,93.93952999469506,149.45,success,success,73.98837635225848,140.98,6,8351744,,-21.23829408510268,5.667447306791569,False
la_centre,way/427817563,35,548.1645085144193,4.0,Warehouse,18.64288271807811,2192.64,success,success,15.366202850074906,2305.6000000000004,3,5103616,,-17.57603648295115,5.151780502043222,False
la_centre,way/425993516,65,1466.4426264501471,11.0,LargeOffice,150.70829480544836,16130.840000000004,success,success,111.08068518409787,5876.790000000003,23,29040640,,-26.294245895692985,63.56798530020754,True
la_centre,way/425993511,90,4906.046706267225,18.0,Courthouse,119.76530490839156,88308.90000000001,success,success,100.79614038405174,88308.90000000002,90,130949120,,-15.838614145264629,1.6478424290605874e-14,False
la_rural,way/472961221,10,45.587704508805714,1.0,SmallOffice,161.58454451556105,45.59,success,success,102.86274918901034,43.2,6,8474624,,-36.341220320669734,5.242377714411056,False
la_rural,way/472961296,35,89.27046559196897,2.0,SmallOffice,124.2245159284092,178.54,success,success,89.60276404909698,84.56,6,8474624,,-27.870305326256855,52.63806429931668,True
la_rural,way/472961040,65,195.65185260564323,2.0,SmallOffice,106.31184704908644,391.3,success,success,79.14574758840415,185.35,6,8470528,,-25.55321933983437,52.632251469460776,True
la_rural,way/472961122,90,919.3280168859112,3.0,SmallOffice,85.26789092536347,2757.99,success,success,68.46127788302954,870.93,6,8470528,,-19.71036560180088,68.42156788095679,True
la_suburban,way/442634561,10,40.337494684037694,2.0,MidriseApartment,141.03320130041325,80.68,success,success,112.73620961436876,161.28,27,39161856,,-20.064063940355,99.90084283589488,True
la_suburban,way/442621955,35,144.27344216337684,2.0,MidriseApartment,109.98801035094164,288.54,success,success,92.1738584531116,572.2000000000002,27,39194624,,-16.19644890473966,98.30872669300621,True
la_suburban,way/442340540,65,196.0346599344911,2.0,MidriseApartment,107.66473587427944,392.06,success,success,90.09209695617287,780.0400000000004,27,39202816,,-16.321629153139074,98.95934295771066,True
la_suburban,way/442341109,90,264.97643898844467,3.0,MidriseApartment,100.98889867345405,794.94,success,success,88.67563528081433,1059.92,27,39202816,,-12.192690042550566,33.33333333333333,True
la_urban,way/401911275,10,71.8846964870862,2.0,MidriseApartment,133.88381049907932,143.76,success,success,103.4940665228834,290.19999999999993,27,38248448,,-22.69859504514543,101.86421814134665,True
la_urban,way/402279962,35,249.65390769716896,2.0,MidriseApartment,105.96590283522184,499.3,success,success,92.60714955416219,998.4800000000004,27,38268928,,-12.606652634133319,99.97596635289412,True
la_urban,way/402222550,65,520.2948597020815,3.0,MidriseApartment,100.1920939247562,1560.87,success,success,90.4278808006355,2081.12,27,38277120,,-9.745492624850785,33.330770659952464,True
la_urban,relation/6387018,90,1777.4694657789282,5.0,MidriseApartment,92.08898892790911,8887.35,success,success,89.35702657092168,6632.639999999996,27,38281216,,-2.9666547421061664,25.36987966041626,True
nyc_centre,way/266170743,10,150.56342581364737,5.0,SmallOffice,124.47505528500147,752.8,success,success,90.20140879090461,142.64,6,8507392,,-27.534550127833235,81.05207226354942,True
nyc_centre,way/266170570,35,282.18931580508433,11.0,LargeHotel,432.8585184485662,3104.09,success,success,320.0943798146207,1128.62,22,32120832,,-26.05103834807505,63.64087381487007,True
nyc_centre,way/266170721,65,720.5337078043971,14.0,LargeOffice,278.7352145204333,10087.419999999998,success,success,162.59381146997578,3225.1899999999996,23,29581312,,-41.667287447077676,68.02760269722089,True
nyc_centre,way/265424467,90,1974.344648971087,9.0,Courthouse,203.60909952861013,17769.150000000005,success,success,153.07516838443394,17769.150000000005,81,118784000,,-24.819092693386928,0.0,False
nyc_rural,way/772627016,10,65.52190884380185,1.0,SmallOffice,167.41789203012024,65.52,success,success,105.97970322691049,62.07000000000001,6,8347648,,-36.69750470407092,5.265567765567749,False
nyc_rural,way/772627029,35,123.15891852597224,1.0,SmallOffice,144.69270033474874,123.16,success,success,91.39497623822714,116.67999999999999,6,8347648,,-36.83511605852715,5.261448522247486,False
nyc_rural,way/270445757,65,228.42351089453112,1.0,SmallOffice,123.11725255094768,228.42,success,success,82.02145248164429,216.4,6,8347648,,-33.37939989547555,5.262236231503363,False
nyc_rural,way/772627043,90,496.7725017823726,1.0,SmallOffice,110.84665005308256,496.77,success,success,74.6312662595511,470.60999999999996,6,8347648,,-32.671608728083825,5.266018479376779,False
nyc_suburban,way/846412106,10,32.64611428140372,1.0,OpenUBEMUnknown,364.020047896497,32.65,success,success,313.95992848209545,32.65,1,2506752,,-13.752022643718592,0.0,False
nyc_suburban,way/846412091,35,85.58684128967901,1.0,MidriseApartment,220.58424140225185,85.59,success,success,193.6410275412415,342.3999999999999,27,39182336,,-12.214478101306153,300.0467344315924,True
nyc_suburban,way/815835776,65,117.3495612106683,1.0,SmallOffice,145.7548100269589,117.35,success,success,105.55567704551171,111.17,6,8523776,,-27.579970070292653,5.26629740093736,False
nyc_suburban,way/610017070,90,157.8137225448097,1.0,SmallOffice,141.6619913776585,157.81,success,success,98.66414210638919,149.49,6,8523776,,-30.352424706949655,5.27216272733033,False
nyc_urban,way/241862488,10,38.00651942433818,2.0,OpenUBEMUnknown,259.6447799344274,76.02,success,success,227.3282425459255,76.02,2,3973120,,-12.446442172518683,0.0,False
nyc_urban,way/241862544,35,76.15906312164475,3.0,SmallOffice,143.23334558560884,228.48,success,success,105.02930076145643,72.14,6,8507392,,-26.67259126564095,68.42612044817926,True
nyc_urban,way/281344759,65,111.42966040439876,3.0,SmallOffice,130.89696625817513,334.29,success,success,95.92530443410409,105.57000000000002,6,8511488,,-26.71693838579463,68.41963564569684,True
nyc_urban,way/241862173,90,302.3887938364258,5.0,SmallOffice,99.9324389646456,1511.9499999999998,success,success,80.50067851640007,286.47,6,8507392,,-19.444897622402827,81.05294487251562,True
