scope,definition,baseline,n,agree_n,agree_rate_pct,mean_signed_diff,max_signed_diff,min_signed_diff
archetype:Outpatient,layout_assign_storey_count,source_storey_count,6,1,16.6667,0.1667,2,-6
archetype:Outpatient,layout_assign_storey_count_naive,auto_storey_count,6,1,16.6667,0.1667,2,-6
archetype:Outpatient,layout_assign_storey_count_naive,source_storey_count,6,1,16.6667,0.1667,2,-6
archetype:Outpatient,layout_assign_storey_count_floor,auto_storey_count,6,1,16.6667,0.1667,2,-6
archetype:Outpatient,layout_assign_storey_count_floor,source_storey_count,6,1,16.6667,0.1667,2,-6
archetype:Outpatient,layout_assign_storey_count_attic_excluded,auto_storey_count,6,1,16.6667,0.1667,2,-6
archetype:Outpatient,layout_assign_storey_count_attic_excluded,source_storey_count,6,1,16.6667,0.1667,2,-6
archetype:PrimarySchool,layout_assign_storey_count,auto_storey_count,2,1,50.0,-0.5,0,-1
archetype:PrimarySchool,layout_assign_storey_count,source_storey_count,2,1,50.0,-0.5,0,-1
archetype:PrimarySchool,layout_assign_storey_count_naive,auto_storey_count,2,1,50.0,-0.5,0,-1
archetype:PrimarySchool,layout_assign_storey_count_naive,source_storey_count,2,1,50.0,-0.5,0,-1
archetype:PrimarySchool,layout_assign_storey_count_floor,auto_storey_count,2,1,50.0,-0.5,0,-1
archetype:PrimarySchool,layout_assign_storey_count_floor,source_storey_count,2,1,50.0,-0.5,0,-1
archetype:PrimarySchool,layout_assign_storey_count_attic_excluded,auto_storey_count,2,1,50.0,-0.5,0,-1
archetype:PrimarySchool,layout_assign_storey_count_attic_excluded,source_storey_count,2,1,50.0,-0.5,0,-1
archetype:QuickServiceRestaurant,layout_assign_storey_count,auto_storey_count,50,37,74.0,-0.46,0,-4
archetype:QuickServiceRestaurant,layout_assign_storey_count,source_storey_count,50,37,74.0,-0.46,0,-4
archetype:QuickServiceRestaurant,layout_assign_storey_count_naive,auto_storey_count,50,37,74.0,-0.46,0,-4
archetype:QuickServiceRestaurant,layout_assign_storey_count_naive,source_storey_count,50,37,74.0,-0.46,0,-4
archetype:QuickServiceRestaurant,layout_assign_storey_count_floor,auto_storey_count,50,6,12.0,0.54,1,-3
archetype:QuickServiceRestaurant,layout_assign_storey_count_floor,source_storey_count,50,6,12.0,0.54,1,-3
archetype:QuickServiceRestaurant,layout_assign_storey_count_attic_excluded,auto_storey_count,50,6,12.0,0.54,1,-3
archetype:QuickServiceRestaurant,layout_assign_storey_count_attic_excluded,source_storey_count,50,6,12.0,0.54,1,-3
archetype:RetailStandalone,layout_assign_storey_count,auto_storey_count,140,47,33.5714,-1.7143,0,-8
archetype:RetailStandalone,layout_assign_storey_count,source_storey_count,140,47,33.5714,-1.7143,0,-8
archetype:RetailStandalone,layout_assign_storey_count_naive,auto_storey_count,140,47,33.5714,-1.7143,0,-8
archetype:RetailStandalone,layout_assign_storey_count_naive,source_storey_count,140,47,33.5714,-1.7143,0,-8
archetype:RetailStandalone,layout_assign_storey_count_floor,auto_storey_count,140,47,33.5714,-1.7143,0,-8
archetype:RetailStandalone,layout_assign_storey_count_floor,source_storey_count,140,47,33.5714,-1.7143,0,-8
archetype:RetailStandalone,layout_assign_storey_count_attic_excluded,auto_storey_count,140,47,33.5714,-1.7143,0,-8
archetype:RetailStandalone,layout_assign_storey_count_attic_excluded,source_storey_count,140,47,33.5714,-1.7143,0,-8
archetype:SecondarySchool,layout_assign_storey_count,auto_storey_count,11,0,0.0,-2.4545,1,-11
archetype:SecondarySchool,layout_assign_storey_count,source_storey_count,11,0,0.0,-2.4545,1,-11
archetype:SecondarySchool,layout_assign_storey_count_naive,auto_storey_count,11,0,0.0,-2.4545,1,-11
archetype:SecondarySchool,layout_assign_storey_count_naive,source_storey_count,11,0,0.0,-2.4545,1,-11
archetype:SecondarySchool,layout_assign_storey_count_floor,auto_storey_count,11,0,0.0,-2.4545,1,-11
archetype:SecondarySchool,layout_assign_storey_count_floor,source_storey_count,11,0,0.0,-2.4545,1,-11
archetype:SecondarySchool,layout_assign_storey_count_attic_excluded,auto_storey_count,11,0,0.0,-2.4545,1,-11
archetype:SecondarySchool,layout_assign_storey_count_attic_excluded,source_storey_count,11,0,0.0,-2.4545,1,-11
archetype:SmallHotel,layout_assign_storey_count,auto_storey_count,8,1,12.5,2.0,3,0
archetype:SmallHotel,layout_assign_storey_count,source_storey_count,8,1,12.5,2.0,3,0
archetype:SmallHotel,layout_assign_storey_count_naive,auto_storey_count,8,1,12.5,2.0,3,0
archetype:SmallHotel,layout_assign_storey_count_naive,source_storey_count,8,1,12.5,2.0,3,0
archetype:SmallHotel,layout_assign_storey_count_floor,auto_storey_count,8,1,12.5,2.0,3,0
archetype:SmallHotel,layout_assign_storey_count_floor,source_storey_count,8,1,12.5,2.0,3,0
archetype:SmallHotel,layout_assign_storey_count_attic_excluded,auto_storey_count,8,1,12.5,2.0,3,0
archetype:SmallHotel,layout_assign_storey_count_attic_excluded,source_storey_count,8,1,12.5,2.0,3,0
archetype:SmallOffice,layout_assign_storey_count,auto_storey_count,3497,1144,32.7138,-1.4104,0,-16
archetype:SmallOffice,layout_assign_storey_count,source_storey_count,3497,1144,32.7138,-1.4104,0,-16
archetype:SmallOffice,layout_assign_storey_count_naive,auto_storey_count,3497,1144,32.7138,-1.4104,0,-16
archetype:SmallOffice,layout_assign_storey_count_naive,source_storey_count,3497,1144,32.7138,-1.4104,0,-16
archetype:SmallOffice,layout_assign_storey_count_floor,auto_storey_count,3497,775,22.1619,-0.4104,1,-15
archetype:SmallOffice,layout_assign_storey_count_floor,source_storey_count,3497,775,22.1619,-0.4104,1,-15
archetype:SmallOffice,layout_assign_storey_count_attic_excluded,auto_storey_count,3497,775,22.1619,-0.4104,1,-15
archetype:SmallOffice,layout_assign_storey_count_attic_excluded,source_storey_count,3497,775,22.1619,-0.4104,1,-15
archetype:SuperMarket,layout_assign_storey_count,auto_storey_count,5,3,60.0,-0.8,0,-2
