cell,osm_id,idf_stem,outdir,sql_path,err_path,status,dh_water_gj,dh_total_gj,dh_total_kwh,total_end_uses_all_fuels_gj,dh_share_of_total_end_uses,c2_pass,c2_failures,parser_status,parser_total_eui_kwh_m2,parser_floor_area_m2,dh_share_of_parser_total,record_total_eui_kwh_m2,c4_residual_pct,c4_pass,c4b_pass,rank
austin_suburban,relation/5698619,relation_5698619,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_suburban\relation_5698619\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_suburban\relation_5698619\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_suburban\relation_5698619\out\eplusout.err,ok,2169.74,2169.74,602705.5555555555,30306.27,0.0715937659104865,True,,success,224.57944333358498,34801.5,0.0771147101477072,224.57944311838463,9.582370570842753e-08,True,True,0
austin_suburban,way/382991348,way_382991348,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_suburban\way_382991348\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_suburban\way_382991348\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_suburban\way_382991348\out\eplusout.err,ok,1.86,1.86,516.6666666666666,173.23,0.010737170236102293,True,,success,106.67590667893045,446.22,0.010854131249032468,106.67590667893045,0.0,True,True,1
austin_suburban,way/382991635,way_382991635,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_suburban\way_382991635\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_suburban\way_382991635\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_suburban\way_382991635\out\eplusout.err,ok,0.73,0.73,202.77777777777777,76.31,0.009566242956362206,True,,success,120.5525699995702,174.14,0.009659293133014772,120.55256999957018,1.178809768655506e-14,True,True,2
austin_suburban,way/382991827,way_382991827,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_suburban\way_382991827\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_suburban\way_382991827\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_suburban\way_382991827\out\eplusout.err,ok,0.15,0.15,41.666666666666664,20.38,0.007360157016683023,True,,success,161.976663359083,34.7,0.007413219083126889,161.97666335908306,3.509358550916245e-14,True,True,3
austin_suburban,way/382992872,way_382992872,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_suburban\way_382992872\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_suburban\way_382992872\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_suburban\way_382992872\out\eplusout.err,ok,0.14,0.14,38.88888888888889,20.33,0.006886374815543533,True,,success,161.68317489017872,34.7,0.006931563904574626,161.6831748901788,5.2735931459242594e-14,True,True,4
austin_urban,relation/5682346,relation_5682346,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_urban\relation_5682346\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_urban\relation_5682346\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_urban\relation_5682346\out\eplusout.err,ok,8.92,8.92,2477.777777777778,734.0200000000001,0.01215225743167761,True,,success,86.29233545909217,2334.12,0.012301751520720024,86.29233545909216,1.6468269910180863e-14,True,True,0
austin_urban,way/381805731,way_381805731,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_urban\way_381805731\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_urban\way_381805731\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_urban\way_381805731\out\eplusout.err,ok,0.13,0.13,36.111111111111114,18.41,0.007061379684953829,True,,success,164.7838265409022,30.82,0.0071103934607312565,164.7838265409023,6.899150244784302e-14,True,True,1
austin_urban,way/381824457,way_381824457,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_urban\way_381824457\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_urban\way_381824457\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_urban\way_381824457\out\eplusout.err,ok,46.11,46.11,12808.333333333332,2088.96,0.022073184742647058,True,,success,234.76510672773574,2417.13,0.02257142950547239,234.7651067292615,6.499103076301436e-10,True,True,2
austin_urban,way/381824710,way_381824710,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_urban\way_381824710\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_urban\way_381824710\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_urban\way_381824710\out\eplusout.err,ok,61.99,61.99,17219.444444444445,3985.96,0.015552087828277253,True,,success,144.53289349498635,7541.48,0.015797772478378366,144.53289349912558,2.863863010278252e-09,True,True,3
austin_urban,way/382005641,way_382005641,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_urban\way_382005641\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_urban\way_382005641\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_urban\way_382005641\out\eplusout.err,ok,2.06,2.06,572.2222222222222,193.5,0.010645994832041344,True,,success,105.85219211010153,502.36,0.010760930128828766,105.85219211010154,1.342518698188193e-14,True,True,4
