cell,osm_id,current_num_floors,preopen35_num_floors,current_floor_area_m2,preopen35_floor_area_m2,eio_readable,built_zone_count,built_distinct_storey_levels,built_floor_area_m2_summed,built_max_z_m,res_floor_area_m2,res_levels,res_height_m,res_archetype_id,simulation_status,total_eui_kwh_m2
nyc_urban,way/821626191,6,1,1637.3228391932962,272.8871398655494,True,6,6,1637.34,21.0,1637.3399999999997,6.0,21.0,MidriseApartment,success,137.25664021150152
austin_rural,way/1509648448,1,1,445.6678872683556,445.6678872683556,True,1,1,445.67,3.5,445.67,1.0,3.5,MidriseApartment,success,114.49324109454564
austin_suburban,way/240181910,1,1,400.28275850977485,400.28275850977485,True,1,1,398.82,3.5,398.82,1.0,3.5,MidriseApartment,success,116.72382738599505
austin_rural,way/1450169425,1,1,393.25916882986417,393.25916882986417,True,1,1,393.26,3.5,393.26,1.0,3.5,MidriseApartment,success,117.78858840621093
austin_rural,way/762126687,1,1,386.4606018804131,386.4606018804131,True,1,1,386.46,3.5,386.46,1.0,3.5,MidriseApartment,success,120.99476262207698
austin_rural,way/1450169423,1,1,368.63190895054777,368.63190895054777,True,1,1,368.63,3.5,368.63,1.0,3.5,MidriseApartment,success,119.71228973556683
austin_rural,way/1450169424,1,1,354.48801628952657,354.48801628952657,True,1,1,354.49,3.5,354.49,1.0,3.5,MidriseApartment,success,120.17909028884078
austin_rural,way/762126688,1,1,348.0306193232666,348.0306193232666,True,1,1,348.03,3.5,348.03,1.0,3.5,MidriseApartment,success,123.18243720330096
austin_rural,way/762126686,1,1,339.4344165247027,339.4344165247027,True,1,1,339.43,3.5,339.43,1.0,3.5,MidriseApartment,success,122.65862305645992
austin_rural,way/1450169422,1,1,331.6286678392806,331.6286678392806,True,1,1,331.63,3.5,331.63,1.0,3.5,MidriseApartment,success,121.0692613815119
austin_rural,way/1450169430,1,1,322.83565814563724,322.83565814563724,True,1,1,322.84,3.5,322.84,1.0,3.5,MidriseApartment,success,120.99175889338366
austin_rural,way/1450169429,1,1,322.8114363425348,322.8114363425348,True,1,1,322.81,3.5,322.81,1.0,3.5,MidriseApartment,success,121.07325254108561
austin_rural,way/1450169431,1,1,322.8109699043377,322.8109699043377,True,1,1,322.81,3.5,322.81,1.0,3.5,MidriseApartment,success,121.07302787274847
austin_rural,way/1450169428,1,1,322.81094393456397,322.81094393456397,True,1,1,322.81,3.5,322.81,1.0,3.5,MidriseApartment,success,121.07302105983163
austin_rural,way/1450169427,1,1,322.8104766977277,322.8104766977277,True,1,1,322.81,3.5,322.81,1.0,3.5,MidriseApartment,success,121.07279119073628
austin_rural,way/1450169426,1,1,322.73780385153276,322.73780385153276,True,1,1,322.74,3.5,322.74,1.0,3.5,MidriseApartment,success,121.04462570883499
austin_rural,way/762126689,1,1,305.90197670487123,305.90197670487123,True,1,1,305.9,3.5,305.9,1.0,3.5,MidriseApartment,success,126.0520158779087
austin_rural,way/1005416638,1,1,276.44282780720545,276.44282780720545,True,1,1,276.44,3.5,276.44,1.0,3.5,MidriseApartment,success,124.50933876783114
austin_rural,way/1005416637,1,1,259.31180728264366,259.31180728264366,True,1,1,259.31,3.5,259.31,1.0,3.5,MidriseApartment,success,125.46430169433401
